sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,597,1261,2388,3641,258,305,321,435
0.015,541,1261,2374,3615,257,309,309,459
0.025,544,1253,2363,3601,292,308,313,440
0.035,541,1250,2359,3541,280,320,323,427
0.045,532,1250,2352,3568,286,306,324,421
0.055,519,1250,2347,3577,267,329,336,410
0.065,509,1253,2350,3634,247,364,315,407
0.075,511,1250,2359,3654,216,325,340,420
0.085,509,1245,2352,3714,284,330,336,438
0.095,509,1240,2347,3837,314,289,322,434
0.105,509,1242,2344,3910,274,296,380,437
0.115,509,1240,2347,3917,259,328,386,471
0.125,509,1250,2350,3925,241,305,369,468
0.135,492,1250,2350,3799,248,325,330,445
0.145,473,1248,2359,3760,263,305,303,454
0.155,473,1250,2366,3770,221,323,307,478
0.165,474,1245,2371,3739,173,339,322,483
0.175,476,1250,2410,3799,197,324,330,475
0.185,474,1237,2408,3763,245,291,298,449
0.195,439,1229,2420,3847,239,313,305,451
0.205,430,1198,2425,3852,256,302,368,488
0.215,416,1194,2420,3843,282,294,335,501
0.225,403,1185,2415,3753,295,268,302,475
0.235,404,1178,2420,3667,285,277,316,456
0.245,392,1148,2417,3725,290,295,308,429
0.255,401,1116,2420,3769,297,316,352,440
0.265,404,1115,2407,3733,261,297,330,473
0.275,404,1116,2415,3699,250,300,326,504
0.285,398,1120,2408,3669,250,307,314,468
0.295,392,1129,2412,3635,224,347,299,426
0.305,427,1126,2420,3635,230,322,329,413
0.315,427,1147,2425,3653,231,303,309,408
0.325,438,1181,2431,3643,231,288,282,397
0.335,439,1198,2432,3631,203,294,294,385
0.345,479,1193,2444,3625,197,297,308,393
0.355,509,1188,2457,3653,193,313,319,405
0.365,530,1183,2466,3720,174,323,312,386
0.375,555,1180,2469,3712,150,349,356,363
0.385,602,1157,2490,3718,171,339,358,365
0.395,622,1137,2506,3652,174,328,371,391
0.405,625,1132,2523,3660,177,316,371,379
0.415,622,1116,2530,3709,156,336,353,409
0.425,625,1101,2528,3655,211,336,368,459
0.435,590,1077,2518,3597,209,340,365,443
0.445,582,1053,2526,3625,191,341,368,457
0.455,567,1054,2542,3605,204,334,362,454
0.465,555,1047,2566,3680,200,321,344,459
0.475,538,1054,2579,3774,202,315,350,460
0.485,520,1069,2579,3801,207,293,331,432
0.495,520,1095,2583,3800,208,308,318,406
0.505,506,1120,2591,3817,223,287,313,414
0.515,497,1147,2585,3840,239,286,309,406
0.525,485,1151,2567,3868,238,286,300,393
0.535,462,1209,2550,3975,258,291,273,429
0.545,439,1264,2506,4030,260,322,233,490
0.555,408,1322,2515,3971,238,285,286,458
0.565,392,1356,2506,3921,217,305,305,463
0.575,381,1413,2518,3883,208,295,321,463
0.585,375,1479,2530,3894,264,349,375,484
0.595,366,1535,2539,4162,240,318,353,451
0.605,346,1546,2530,4258,203,308,321,389
0.615,345,1560,2528,4376,192,297,300,403
0.625,346,1622,2528,4395,187,301,282,397
0.635,350,1694,2542,4336,195,304,312,370
0.645,353,1745,2550,4388,191,285,305,377
0.655,357,1784,2554,4292,200,306,326,368
0.665,364,1797,2561,4227,219,281,310,369
0.675,364,1818,2554,4146,221,293,319,390
0.685,357,1841,2558,4124,221,296,319,401
0.695,342,1849,2554,4150,215,284,328,433
0.705,334,1870,2558,4097,217,293,331,419
0.715,312,1890,2554,4026,230,292,339,409
0.725,299,1903,2566,3963,228,292,332,390
0.735,296,1903,2567,3996,211,292,353,387
0.745,293,1911,2572,4048,200,283,336,394
0.755,299,1935,2567,4129,199,292,307,387
0.765,304,1952,2569,4014,201,297,339,423
0.775,312,1968,2567,3970,202,312,332,416
0.785,318,1962,2572,3974,209,311,341,422
0.795,322,1941,2567,4096,213,331,358,419
0.805,322,1925,2574,4212,215,293,357,438
0.815,326,1900,2591,4195,206,312,334,432
0.825,326,1892,2652,4162,262,338,314,431
0.835,322,1880,2675,4126,299,314,325,452
0.845,307,1838,2713,4040,341,304,344,459
0.855,287,1830,2721,3961,325,322,352,484
0.865,285,1830,2725,3926,351,322,348,495
0.875,274,1838,2726,3953,320,311,381,515
0.885,274,1838,2726,3946,288,339,320,487
0.895,276,1838,2701,3902,293,335,301,464
0.905,274,1841,2669,3854,277,337,303,447
0.915,277,1851,2652,3890,258,324,291,422
0.925,276,1880,2634,3899,228,329,296,418
0.935,277,1904,2615,3924,199,322,294,423
0.945,291,1931,2584,4063,215,308,298,448
0.955,276,1960,2591,4092,210,296,306,444
0.965,288,1972,2585,3981,209,283,326,415
0.975,288,1976,2579,3939,204,282,350,403
0.985,282,1952,2577,3959,201,273,343,390
0.995,276,1900,2579,4078,200,289,375,380
1.005,285,1865,2585,4002,197,270,414,381
1.015,285,1846,2579,3956,196,249,408,378
1.025,287,1807,2577,4039,196,242,418,376
