sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,408,1689,2582,3666,268,312,343,420
0.015,398,1700,2612,3651,283,302,376,431
0.025,399,1698,2683,3635,270,282,341,421
0.035,399,1700,2674,3672,276,314,329,447
0.045,399,1698,2642,3538,280,326,339,450
0.055,392,1698,2586,3505,292,341,353,448
0.065,399,1684,2611,3528,306,302,366,407
0.075,388,1677,2606,3608,291,340,359,412
0.085,392,1687,2587,3758,289,337,373,451
0.095,388,1689,2507,3896,293,349,372,465
0.105,388,1687,2436,4116,314,301,327,470
0.115,376,1687,2381,4250,311,291,324,429
0.125,388,1684,2357,4323,320,294,315,406
0.135,387,1677,2333,4220,353,290,356,412
0.145,377,1673,2308,4248,294,309,335,410
0.155,366,1655,2296,4155,221,285,348,430
0.165,364,1651,2308,4148,208,307,323,413
0.175,355,1634,2301,4058,209,267,341,373
0.185,376,1624,2308,4060,212,291,356,366
0.195,375,1602,2317,4010,206,303,368,392
0.205,355,1584,2332,4013,215,289,358,392
0.215,355,1570,2381,4072,208,307,350,384
0.225,334,1559,2455,4067,207,337,377,420
0.235,316,1527,2504,4174,214,402,438,410
0.245,312,1500,2566,4284,230,401,448,417
0.255,300,1483,2590,4325,255,394,432,386
0.265,300,1516,2610,4372,307,371,423,366
0.275,290,1543,2602,4269,297,348,437,359
0.285,290,1586,2590,4251,277,321,411,434
0.295,295,1634,2577,4283,297,331,353,435
0.305,312,1720,2553,4238,314,342,296,444
0.315,316,1732,2528,4234,325,342,310,433
0.325,312,1741,2504,4207,308,335,313,438
0.335,323,1738,2492,4137,310,340,311,426
0.345,338,1730,2480,4033,311,298,317,435
0.355,355,1684,2467,4019,306,285,338,441
0.365,370,1645,2455,3940,292,320,389,449
0.375,399,1597,2418,3860,299,346,367,456
0.385,425,1548,2398,3906,262,334,372,440
0.395,432,1473,2369,3902,284,325,380,452
0.405,435,1467,2357,3908,294,316,373,457
0.415,443,1473,2333,3869,277,293,379,432
0.425,439,1505,2308,3821,231,285,382,410
0.435,454,1537,2308,3860,208,278,372,404
0.445,436,1570,2308,3862,200,284,370,394
0.455,465,1580,2323,3873,202,277,372,397
0.465,498,1580,2345,3866,208,290,366,410
0.475,527,1575,2388,3847,220,303,382,412
0.485,538,1537,2418,3885,223,298,391,430
0.495,542,1505,2455,3933,224,325,374,442
0.505,560,1462,2459,3971,216,297,356,458
0.515,555,1398,2501,4003,222,309,340,454
0.525,549,1312,2504,4051,228,297,350,457
0.535,538,1267,2504,4080,230,284,354,455
0.545,509,1237,2518,4100,222,291,353,460
0.555,479,1237,2504,4073,249,285,340,455
0.565,454,1259,2449,3991,257,297,338,456
0.575,435,1302,2480,3919,206,324,317,456
0.585,377,1420,2455,3804,212,311,330,439
0.595,349,1472,2465,3733,210,290,344,426
0.605,344,1527,2406,3691,203,276,364,399
0.615,333,1612,2371,3652,215,282,377,407
0.625,344,1655,2345,3641,236,272,383,422
0.635,338,1677,2234,3612,235,280,406,423
0.645,334,1655,2193,3579,203,267,413,443
0.655,327,1612,2160,3586,225,270,393,456
0.665,327,1586,2117,3577,176,298,350,465
0.675,312,1554,2075,3568,212,327,315,452
0.685,305,1505,2013,3559,190,325,312,439
0.695,305,1478,1998,3609,206,323,313,432
0.705,301,1473,1976,3623,173,312,313,434
0.715,305,1518,1976,3646,206,307,332,444
0.725,301,1516,2013,3698,254,315,337,457
0.735,289,1559,2041,3726,259,325,324,478
0.745,279,1619,2062,3739,296,361,290,472
0.755,279,1677,2210,3751,293,325,334,453
0.765,278,1705,2263,3687,305,322,336,443
0.775,278,1720,2283,3582,290,352,330,412
0.785,279,1741,2369,3631,307,368,324,401
0.795,279,1770,2381,3676,270,360,353,403
0.805,295,1784,2388,3629,305,368,354,395
0.815,312,1741,2369,3552,309,356,342,404
0.825,322,1667,2346,3533,268,356,354,402
0.835,334,1612,2333,3745,235,285,368,453
0.845,333,1564,2283,3836,234,314,295,460
0.855,334,1516,2259,3895,213,330,334,445
0.865,365,1452,2231,3906,212,310,310,443
0.875,388,1364,2210,3907,238,310,313,435
0.885,410,1323,2176,3955,215,324,320,446
0.895,441,1256,2160,3959,175,340,306,485
0.905,454,1216,2185,3934,205,321,321,493
0.915,462,1164,2198,3946,182,299,334,489
0.925,452,1130,2210,3888,182,303,340,492
0.935,443,1055,2283,3837,207,269,391,521
0.945,435,1012,2328,3841,217,296,375,501
0.955,421,970,2369,3783,219,294,369,496
0.965,408,920,2492,3753,236,322,338,502
0.975,388,905,2545,3763,240,321,299,517
0.985,377,895,2566,3668,236,291,322,497
0.995,376,895,2577,3551,227,312,322,444
1.005,376,893,2590,3543,224,310,318,427
1.015,366,884,2615,3532,215,304,309,427
1.025,376,877,2627,3594,208,319,303,447
1.035,393,884,2631,3674,199,342,345,455
1.045,366,873,2637,3759,235,367,389,440
1.055,366,888,2639,3800,233,360,395,448
1.065,365,916,2615,3810,248,346,412,440
1.075,365,959,2600,3896,282,308,371,452
1.085,365,980,2602,3877,256,321,333,458
1.095,366,1002,2572,3810,280,309,319,471
1.105,360,1055,2541,3818,269,314,350,469
1.115,365,1120,2480,3901,218,317,357,507
1.125,366,1216,2469,3969,212,282,362,494
1.135,366,1291,2480,4050,207,285,367,447
1.145,366,1305,2480,4178,219,305,335,447
1.155,335,1302,2496,4223,214,307,300,428
1.165,301,1277,2517,4216,219,320,306,439
1.175,268,1270,2539,4132,209,308,287,445
1.185,262,1270,2553,4156,213,289,300,427
1.195,268,1267,2566,4152,207,280,356,420
1.205,295,1270,2578,4145,192,295,397,418
1.215,312,1312,2583,4107,190,287,410,395
1.225,343,1326,2578,4114,197,347,369,412
1.235,355,1355,2572,4087,191,352,372,423
1.245,366,1387,2566,4086,192,324,367,400
1.255,381,1424,2566,4055,195,326,382,410
1.265,381,1462,2553,3976,233,316,346,441
1.275,381,1481,2550,3929,260,291,365,429
1.285,377,1473,2541,3855,265,321,361,401
1.295,381,1473,2545,3860,293,345,351,391
1.305,377,1489,2529,3981,311,333,360,372
1.315,376,1473,2529,4011,329,354,350,404
1.325,377,1462,2523,3869,330,364,346,416
1.335,377,1445,2529,3807,355,343,387,426
1.345,381,1440,2529,3693,329,365,386,394
1.355,377,1420,2518,3581,338,356,383,349
1.365,344,1397,2529,3575,339,360,332,339
1.375,338,1355,2501,3630,319,344,346,372
1.385,334,1302,2480,3662,263,375,337,384
1.395,327,1288,2436,3775,261,341,344,408
1.405,334,1288,2406,3827,238,354,299,477
1.415,338,1280,2345,3833,246,359,326,458
1.425,344,1270,2301,3865,164,362,327,466
1.435,343,1216,2271,3922,178,389,307,486
1.445,344,1087,2173,4033,172,410,313,497
1.455,349,1055,2099,4167,180,433,289,501
1.465,366,1023,2074,4276,148,416,325,473
1.475,365,980,2062,4371,123,404,312,459
1.485,377,953,1989,4374,134,401,295,433
1.495,403,916,1989,4371,137,390,271,435
1.505,419,893,1971,4399,167,379,301,443
1.515,432,927,1939,4380,188,349,351,429
1.525,441,952,1906,4457,171,325,414,420
1.535,432,970,1878,4443,165,299,458,390
1.545,430,1012,1792,4440,167,296,460,382
1.555,410,1023,1749,4448,156,285,452,417
1.565,403,1034,1694,4369,164,293,436,395
1.575,388,1034,1678,4290,178,298,391,405
1.585,387,1039,1657,4254,209,332,344,399
1.595,376,1034,1620,4227,216,316,338,413
1.605,362,1023,1613,4137,218,314,321,479
1.615,319,991,1620,4105,206,318,346,446
1.625,295,969,1619,4051,206,304,349,430
1.635,287,937,1624,3978,209,291,352,447
1.645,287,931,1657,3994,204,285,341,466
1.655,289,937,1700,4054,203,305,365,458
1.665,287,980,1743,4066,200,329,371,455
1.675,311,996,1841,4081,214,369,346,455
1.685,343,1001,1938,4164,159,401,323,497
1.695,373,985,2138,4282,206,361,304,488
1.705,438,948,2187,4393,188,311,308,481
1.715,468,947,2270,4406,217,300,310,459
1.725,481,948,2332,4467,207,315,325,446
1.735,481,969,2374,4553,180,298,354,434
1.745,500,1044,2399,4524,228,290,336,413
1.755,503,1083,2412,4498,245,284,334,420
1.765,511,1108,2415,4468,239,318,359,417
1.775,511,1183,2414,4478,247,324,367,396
1.785,503,1323,2411,4416,223,296,389,387
1.795,484,1380,2411,4379,197,305,372,395
1.805,460,1419,2413,4308,200,277,338,409
