sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,403,1489,2506,3690,252,299,342,452
0.015,387,1489,2512,3731,257,320,301,436
0.025,378,1462,2523,3788,244,310,289,425
0.035,365,1435,2528,3730,267,272,307,425
0.045,366,1424,2528,3761,312,290,319,430
0.055,378,1397,2534,3815,289,326,341,430
0.065,365,1375,2528,3794,266,343,352,430
0.075,342,1348,2518,3769,299,323,360,445
0.085,330,1342,2490,3738,274,325,370,471
0.095,330,1337,2474,3707,279,319,382,453
0.105,318,1337,2442,3787,274,303,386,442
0.115,330,1332,2412,3855,272,344,338,451
0.125,333,1324,2353,3808,296,313,305,454
0.135,333,1305,2317,3744,254,300,329,447
0.145,330,1305,2295,3713,247,300,342,418
0.155,349,1292,2236,3721,285,291,363,440
0.165,354,1271,2187,3795,212,309,357,435
0.175,333,1250,2130,3789,178,323,399,422
0.185,330,1217,1990,3820,218,302,419,430
0.195,327,1196,1911,3857,211,326,427,443
0.205,354,1196,1837,3813,227,301,452,494
0.215,360,1196,1755,3883,241,263,395,506
0.225,354,1191,1705,4010,264,287,373,517
0.235,365,1196,1685,4053,273,310,389,517
0.245,366,1191,1667,4068,262,297,319,505
0.255,378,1191,1638,4079,291,270,296,478
0.265,381,1202,1591,4053,293,266,295,465
0.275,378,1229,1591,4065,277,277,306,443
0.285,378,1272,1624,4022,274,289,301,451
0.295,376,1294,1638,3974,263,276,361,454
0.305,378,1353,1720,3894,252,305,414,451
0.315,376,1402,1797,3764,240,265,379,428
0.325,398,1440,1861,3759,232,256,376,401
0.335,398,1500,1990,3886,200,241,380,388
0.345,389,1543,2107,3949,182,252,365,380
0.355,437,1635,2213,3955,182,278,341,373
0.365,446,1678,2342,3945,175,290,338,357
0.375,437,1727,2424,3942,163,302,326,356
0.385,446,1797,2498,4000,170,297,322,378
0.395,437,1834,2517,3974,197,304,316,373
0.405,437,1855,2528,3929,196,282,306,361
0.415,441,1850,2517,3925,210,277,306,333
0.425,435,1845,2494,3841,227,318,281,346
0.435,437,1819,2517,3823,241,309,278,361
0.445,449,1802,2482,3836,244,299,275,367
0.455,454,1765,2483,3871,211,282,269,336
0.465,461,1738,2455,3791,210,280,310,354
0.475,452,1743,2400,3728,195,291,333,375
0.485,449,1685,2353,3603,214,291,321,380
0.495,449,1622,2318,3508,211,305,292,370
0.505,449,1526,2283,3468,213,324,309,371
0.515,449,1462,2240,3332,229,338,292,385
0.525,437,1366,2236,3341,233,331,281,356
0.535,419,1305,2224,3337,241,306,273,362
0.545,389,1249,2232,3351,258,281,284,366
0.555,381,1207,2213,3383,263,276,285,363
0.565,366,1196,2231,3383,264,269,328,402
0.575,354,1175,2259,3510,251,281,320,399
0.585,342,1207,2353,3713,246,283,303,424
0.595,342,1271,2399,3755,228,289,331,379
0.605,338,1299,2435,3820,227,303,354,386
0.615,330,1302,2474,3898,251,302,374,372
0.625,327,1332,2541,4015,275,337,360,365
0.635,330,1334,2611,4139,293,301,367,362
0.645,342,1359,2631,4139,295,276,341,366
0.655,354,1356,2637,4027,269,284,359,373
0.665,378,1337,2635,4046,258,318,349,356
0.675,401,1326,2635,4062,236,327,333,349
0.685,425,1313,2600,3950,180,305,314,392
0.695,446,1272,2566,3954,207,316,288,389
0.705,473,1240,2553,3880,224,299,283,400
0.715,509,1217,2528,3895,233,306,285,384
0.725,522,1202,2517,3856,231,289,306,381
0.735,521,1185,2494,3814,236,300,320,370
0.745,521,1185,2469,3815,223,298,350,391
0.755,533,1185,2447,3852,218,301,340,397
0.765,533,1202,2447,3884,217,292,342,391
0.775,533,1196,2442,3841,217,300,323,390
0.785,533,1196,2447,3820,215,294,313,385
0.795,544,1185,2447,3880,206,307,321,377
0.805,545,1185,2453,3870,201,298,309,366
0.815,557,1202,2447,3902,214,309,312,365
0.825,565,1207,2447,3909,206,290,315,359
0.835,557,1207,2424,3938,208,290,299,372
0.845,545,1229,2425,3899,212,286,302,393
0.855,533,1239,2424,3767,194,303,306,438
0.865,509,1256,2431,3702,212,312,304,416
0.875,495,1271,2435,3649,246,308,319,427
0.885,485,1313,2482,3579,249,318,358,422
0.895,461,1377,2496,3534,250,306,355,423
0.905,452,1391,2506,3555,237,322,320,431
0.915,449,1402,2507,3629,250,289,346,445
0.925,449,1430,2512,3673,251,337,349,454
0.935,425,1445,2529,3682,229,344,340,423
0.945,403,1451,2529,3602,245,361,373,434
0.955,389,1467,2539,3380,250,358,388,409
0.965,366,1473,2564,3293,210,321,374,413
0.975,366,1494,2588,3211,222,270,356,438
0.985,354,1505,2611,3263,193,319,285,471
0.995,330,1505,2631,3293,210,321,275,486
1.005,333,1500,2635,3305,206,319,296,487
1.015,342,1505,2635,3351,200,325,287,480
1.025,354,1515,2637,3388,192,332,283,473
1.035,342,1536,2635,3412,189,338,299,486
1.045,330,1547,2642,3464,204,324,295,497
1.055,327,1543,2635,3560,185,302,268,505
1.065,330,1530,2642,3690,195,306,309,471
1.075,330,1536,2635,3755,216,269,303,465
1.085,333,1543,2626,3732,221,296,321,504
1.095,330,1547,2623,3666,229,288,339,444
1.105,318,1548,2635,3675,239,293,302,417
1.115,338,1547,2648,3815,238,275,288,408
1.125,342,1534,2647,3994,239,273,310,409
1.135,354,1547,2635,3951,212,281,295,392
1.145,354,1554,2642,3867,219,276,337,400
1.155,354,1547,2647,3840,286,303,376,382
1.165,354,1558,2648,3838,281,309,329,365
1.175,342,1570,2658,3976,294,304,311,349
1.185,349,1558,2670,3924,319,323,323,401
1.195,342,1564,2665,3872,317,327,332,386
1.205,342,1558,2670,3760,291,343,356,403
1.215,349,1525,2635,3657,319,326,391,368
1.225,354,1536,2610,3596,356,338,399,396
1.235,354,1526,2588,3614,379,298,358,399
1.245,354,1494,2529,3685,353,288,286,444
1.255,354,1483,2412,3742,330,305,319,449
1.265,354,1441,2344,3769,308,286,343,429
1.275,354,1407,2283,3774,308,286,315,437
1.285,354,1366,2154,3847,307,245,342,418
1.295,354,1326,1896,3924,328,209,347,390
1.305,354,1313,1802,3997,289,230,333,414
1.315,376,1288,1767,3997,272,273,340,451
1.325,389,1249,1754,3988,236,299,364,466
1.335,401,1240,1743,4114,216,303,413,482
1.345,389,1212,1732,4174,208,308,401,448
1.355,398,1185,1759,4278,157,317,395,437
1.365,401,1164,1790,4239,146,342,390,412
1.375,419,1122,1861,4176,167,356,413,420
1.385,425,1110,1906,4188,153,355,397,434
1.395,449,1090,1954,4215,155,357,362,444
1.405,462,1079,2013,4263,169,349,316,453
1.415,449,1100,2063,4325,193,333,312,427
1.425,461,1131,2083,4335,176,328,295,414
1.435,457,1164,2095,4322,237,339,322,397
1.445,449,1239,2095,4239,260,302,365,398
1.455,449,1345,2095,4210,254,284,375,400
1.465,461,1419,2095,4186,214,267,382,399
1.475,449,1526,2119,4158,182,248,411,396
1.485,457,1586,2117,4180,183,231,398,414
1.495,461,1622,2119,4072,189,227,447,375
1.505,449,1696,2154,4032,187,229,442,385
1.515,452,1732,2171,4002,176,239,418,411
1.525,449,1749,2198,4080,169,236,386,413
1.535,461,1749,2312,4141,169,246,331,433
1.545,473,1813,2365,4175,167,245,300,420
1.555,449,1802,2417,4181,164,244,302,433
1.565,452,1844,2467,4133,147,243,309,401
1.575,437,1845,2515,4122,166,241,329,410
1.585,441,1877,2560,4100,171,258,326,413
1.595,437,1894,2601,4058,187,268,345,387
1.605,413,1898,2633,4108,180,264,359,414
1.615,401,1930,2649,4067,195,263,361,419
1.625,378,1983,2642,4005,206,273,331,407
1.635,370,1975,2610,4016,221,264,290,384
1.645,354,2026,2565,4091,224,281,284,377
1.655,360,2052,2515,4146,249,288,289,381
1.665,343,2047,2467,4157,238,281,317,410
1.675,330,2030,2416,4077,232,281,347,479
1.685,330,1978,2355,4041,261,291,336,475
1.695,343,1797,2283,4040,318,249,335,430
1.705,351,1732,2202,4011,344,255,335,421
1.715,365,1605,2116,4081,325,273,362,455
1.725,373,1499,2030,4127,329,272,362,456
1.735,370,1425,1957,4144,311,257,366,445
1.745,373,1361,1908,4152,246,228,400,417
1.755,359,1326,1882,4195,202,230,387,438
1.765,373,1318,1869,4180,217,269,335,429
1.775,369,1350,1861,4204,233,303,299,440
1.785,373,1364,1853,4191,239,316,321,436
1.795,365,1382,1852,4161,217,319,320,423
1.805,373,1424,1866,4086,196,332,323,420
1.815,362,1435,1900,3935,185,304,348,418
1.825,354,1451,1951,3748,220,301,353,458
1.835,341,1446,2016,3727,239,278,374,412
1.845,338,1435,2102,3763,249,279,399,361
1.855,333,1429,2211,3745,262,306,371,368
1.865,330,1435,2328,3837,268,307,363,359
1.875,338,1435,2423,3858,295,327,348,346
1.885,341,1435,2477,3757,274,306,367,351
1.895,351,1435,2503,3734,238,331,361,358
1.905,374,1418,2516,3785,217,301,325,370
1.915,351,1443,2532,3725,210,320,313,377
1.925,357,1439,2550,3833,219,300,333,420
1.935,376,1413,2522,3825,226,302,362,426
1.945,351,1372,2418,3796,253,308,344,452
1.955,354,1322,2280,3826,227,304,365,459
1.965,351,1272,2166,3825,269,303,316,460
1.975,351,1232,2130,3764,283,306,296,452
1.985,351,1208,2230,3680,338,274,298,439
1.995,349,1198,2198,3549,331,297,291,403
2.005,362,1195,2209,3655,298,313,275,434
2.015,360,1195,2231,3640,270,326,344,426
2.025,362,1196,2241,3781,298,313,335,435
2.035,365,1194,2236,3852,257,317,362,483
2.045,373,1187,2209,3752,235,337,415,473
2.055,384,1174,2198,3663,233,346,348,455
2.065,392,1156,2171,3663,254,339,343,441
2.075,406,1130,2155,3619,255,332,372,430
2.085,416,1097,2133,3562,196,346,399,425
2.095,446,1095,2079,3428,168,371,368,420
2.105,471,1031,2063,3350,83,433,325,417
2.115,490,1018,2025,3298,64,465,287,417
2.125,511,989,2013,3267,71,454,263,397
2.135,525,996,2003,3193,91,421,275,376
2.145,557,989,1992,3173,143,336,326,391
2.155,555,999,1966,3197,191,306,314,394
2.165,546,1023,1938,3139,212,298,316,389
2.175,555,1052,1946,3130,224,301,334,389
2.185,557,1066,1906,3100,217,299,331,378
2.195,557,1084,1862,3088,215,306,343,379
2.205,560,1104,1825,3055,222,307,338,389
2.215,557,1127,1830,3039,219,305,331,382
2.225,546,1134,1830,2996,207,317,335,401
2.235,544,1137,1797,3020,215,325,308,382
2.245,536,1111,1776,2999,186,324,302,401
2.255,492,1106,1733,2994,206,314,307,388
2.265,468,1063,1732,3079,224,320,332,396
2.275,441,1045,1711,3151,235,298,361,432
2.285,427,1031,1711,3101,251,277,377,448
2.295,384,980,1727,3067,258,287,400,438
2.305,365,957,1754,3092,241,297,413,441
2.315,351,925,1803,3134,227,306,390,427
2.325,354,903,1841,3183,223,282,381,434
2.335,362,893,1916,3198,223,288,395,442
2.345,398,893,1971,3205,150,345,378,444
2.355,406,893,2079,3214,142,345,308,448
2.365,492,925,2160,3153,162,330,352,445
2.375,549,980,2231,3173,142,323,395,408
2.385,549,1042,2339,3294,140,317,367,401
2.395,557,1159,2425,3446,151,302,357,415
2.405,571,1297,2566,3555,178,274,349,434
2.415,568,1414,2642,3605,177,294,363,458
2.425,568,1531,2664,3718,174,271,343,471
2.435,557,1595,2642,3849,181,244,381,484
2.445,549,1635,2626,4002,189,271,356,508
2.455,525,1680,2610,4138,187,276,341,480
2.465,517,1765,2588,4264,177,273,336,473
2.475,514,1807,2577,4298,161,280,349,475
2.485,492,1819,2588,4311,189,279,363,454
2.495,479,1818,2577,4333,171,285,319,482
2.505,471,1824,2577,4462,181,264,314,471
2.515,471,1818,2577,4558,175,259,320,424
2.525,473,1776,2577,4586,176,260,330,407
2.535,471,1733,2583,4597,185,274,342,411
2.545,471,1711,2577,4462,203,306,328,416
2.555,452,1659,2577,4398,197,286,314,423
2.565,427,1573,2572,4371,177,307,301,452
2.575,398,1516,2566,4379,211,352,346,473
2.585,384,1488,2566,4364,185,341,302,476
2.595,351,1456,2572,4231,226,352,304,468
2.605,354,1446,2577,4109,215,350,292,454
2.615,351,1456,2588,4002,223,346,287,417
2.625,343,1456,2583,3972,228,316,267,425
2.635,319,1447,2577,3976,245,343,261,457
2.645,311,1478,2533,3993,227,338,289,435
2.655,330,1510,2555,3841,287,320,276,452
2.665,338,1548,2523,3816,261,293,290,443
2.675,330,1552,2496,3814,211,303,311,438
2.685,349,1595,2469,3932,251,314,313,473
2.695,351,1615,2447,3873,252,306,317,480
2.705,370,1595,2436,3795,258,279,320,469
2.715,373,1595,2431,3712,279,310,337,443
2.725,365,1602,2425,3667,256,301,332,415
2.735,373,1616,2436,3717,230,295,357,438
2.745,387,1616,2447,3756,198,315,372,448
2.755,419,1616,2458,3808,228,279,377,456
2.765,428,1624,2458,3843,246,312,352,476
2.775,495,1627,2463,3757,289,318,357,483
2.785,549,1616,2474,3719,260,334,344,450
2.795,557,1619,2474,3709,314,318,313,459
2.805,499,1627,2474,3721,312,303,301,425
2.815,486,1619,2469,3648,317,304,313,452
2.825,478,1629,2474,3446,345,271,356,441
2.835,500,1640,2490,3530,295,304,316,423
2.845,589,1640,2507,3501,305,300,290,400
2.855,676,1651,2523,3529,295,320,291,427
2.865,735,1651,2534,3575,282,326,303,404
2.875,708,1651,2561,3652,271,295,306,432
2.885,746,1667,2572,3725,276,334,311,442
2.895,826,1668,2583,3684,264,335,314,440
2.905,954,1721,2596,3728,256,346,315,467
2.915,913,1751,2693,3777,238,351,350,469
2.925,930,1805,2710,3802,233,345,365,459
2.935,951,1841,2725,3848,226,346,371,442
2.945,964,1848,2747,3920,231,339,347,471
2.955,859,1837,2750,3891,243,308,342,437
2.965,834,1811,2815,3923,242,297,349,426
2.975,901,1777,2774,3862,271,339,352,433
2.985,929,1881,2730,3842,279,337,360,420
2.995,859,1888,2807,3938,257,306,353,435
3.005,866,1812,2860,4028,257,313,354,436
3.015,904,1781,2848,4055,251,308,346,438
3.025,984,1779,2885,4144,253,331,351,461
3.035,1013,1703,2826,4077,258,328,332,442
3.045,1051,1737,2751,4026,249,352,342,471
3.055,1038,1850,2713,3924,228,345,365,452
3.065,1031,1905,2718,3861,235,341,352,466
3.075,993,1907,2727,3818,249,329,362,464
3.085,949,1982,2767,3846,213,329,391,479
3.095,854,1945,2746,3717,234,309,397,449
3.105,989,1911,2783,3740,267,306,373,435
3.115,996,1934,2843,3775,241,321,347,432
3.125,958,1857,2915,3860,225,304,353,434
3.135,1032,1857,2831,3937,241,317,369,436
3.145,965,1769,2914,3929,244,310,376,445
3.155,917,1757,2912,3953,239,318,339,464
3.165,919,1738,2897,3972,244,295,351,446
3.175,908,1775,2843,3942,267,310,348,441
3.185,886,1884,2791,4054,236,343,348,462
3.195,889,1914,2742,4058,216,348,359,442
3.205,942,1909,2789,4063,240,311,373,488
3.215,944,1893,2825,4055,246,319,385,462
