sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,430,1528,2498,3635,242,291,350,433
0.015,507,1427,2480,3666,274,323,303,471
0.025,571,1468,2414,3672,284,300,287,458
0.035,656,1554,2390,3596,258,343,286,442
0.045,690,1573,2420,3654,228,347,294,453
0.055,728,1557,2487,3680,253,327,341,455
0.065,743,1516,2547,3670,263,307,357,458
0.075,757,1513,2460,3639,216,340,340,467
0.085,703,1572,2456,3576,213,338,321,419
0.095,760,1545,2480,3524,276,334,331,418
0.105,766,1606,2504,3644,263,331,328,429
0.115,798,1673,2493,3635,217,368,324,447
0.125,773,1736,2506,3651,216,338,340,422
0.135,763,1736,2609,3700,272,340,337,460
0.145,774,1895,2681,3561,296,367,361,415
0.155,774,1773,2803,3708,275,335,358,419
0.165,774,1770,2804,3786,266,350,341,427
0.175,774,1841,2763,3860,256,329,334,452
0.185,774,1841,2827,3821,241,306,363,441
0.195,774,1830,2805,3881,200,322,359,459
0.205,763,1830,2783,3976,211,313,354,428
0.215,763,1841,2772,3963,225,290,352,419
0.225,752,1851,2761,4011,225,292,330,411
0.235,763,1841,2750,4062,226,291,336,418
0.245,774,1786,2750,4143,226,288,283,404
0.255,785,1789,2750,4077,252,298,327,414
0.265,795,1696,2706,4082,213,269,299,408
0.275,828,1646,2693,4061,232,307,285,402
0.285,796,1610,2675,4078,237,281,289,406
0.295,741,1589,2675,4089,210,300,294,443
0.305,698,1576,2642,4018,215,290,301,454
0.315,687,1539,2620,3865,197,325,328,432
0.325,644,1467,2582,3799,204,305,310,422
0.335,633,1452,2542,3851,282,270,285,397
0.345,563,1415,2459,3893,289,296,294,390
0.355,441,1427,2401,3926,261,301,304,378
0.365,404,1447,2397,3901,220,289,288,394
0.375,412,1484,2447,3893,211,300,270,384
0.385,503,1512,2447,3919,209,314,315,383
0.395,536,1527,2458,3979,195,301,334,395
0.405,590,1592,2501,4058,176,288,333,392
0.415,601,1711,2620,4049,160,274,343,404
0.425,611,1765,2755,4018,168,295,361,414
0.435,568,1765,2836,3983,193,310,371,469
0.445,583,1743,2890,4037,259,336,352,514
0.455,644,1594,2841,4020,267,357,316,508
0.465,757,1552,2699,3949,251,355,269,498
0.475,842,1536,2672,3801,281,340,345,435
0.485,838,1587,2672,3815,263,341,368,418
0.495,824,1678,2703,3893,278,347,346,369
0.505,859,1748,2783,3918,293,351,345,376
0.515,876,1841,2920,4001,306,343,339,392
0.525,830,1851,2913,4064,288,340,321,377
0.535,829,1862,2947,4039,283,324,291,380
0.545,786,1862,2891,4010,270,326,308,403
0.555,679,1787,2966,4056,302,307,332,407
0.565,596,1722,2953,4138,242,293,330,410
0.575,579,1613,2938,4284,195,293,332,403
0.585,546,1570,2934,4294,188,323,335,408
0.595,503,1440,2942,4196,169,356,325,436
0.605,481,1332,3047,4151,185,334,339,386
0.615,460,1202,3084,4201,202,298,337,389
0.625,438,1126,3094,4189,208,303,335,390
0.635,460,1115,3135,4274,212,280,322,390
0.645,460,1158,3103,4293,209,280,313,390
0.655,492,1180,3135,4364,231,284,325,412
0.665,557,1223,3166,4446,225,311,324,412
0.675,633,1310,3111,4445,204,298,316,419
0.685,666,1418,3085,4395,209,289,324,421
0.695,731,1527,3057,4283,215,296,318,437
0.705,768,1559,3038,4195,212,290,321,463
0.715,769,1636,3038,4086,221,294,338,440
0.725,750,1631,2979,3950,225,290,343,419
0.735,741,1631,2897,3841,226,286,356,405
0.745,752,1624,2870,3774,226,294,379,408
0.755,770,1613,2810,3754,229,292,393,406
0.765,779,1585,2764,3724,232,300,390,410
0.775,756,1547,2720,3705,228,285,365,391
0.785,741,1548,2696,3705,226,307,338,370
0.795,749,1516,2673,3735,231,298,335,365
0.805,724,1516,2634,3699,216,254,315,346
0.815,686,1581,2676,3803,240,261,322,375
0.825,674,1581,2697,3937,219,256,336,359
0.835,657,1657,2675,4113,223,258,348,402
0.845,604,1722,2664,4335,219,284,340,406
0.855,550,1768,2655,4373,213,331,311,402
0.865,479,1769,2690,4390,215,316,300,416
0.875,410,1796,2677,4430,183,292,362,443
0.885,396,1842,2705,4415,238,339,379,442
0.895,464,1840,2699,4365,289,356,346,451
0.905,501,1888,2754,4371,336,338,366,444
0.915,578,1907,2717,4400,353,381,351,449
0.925,616,1858,2778,4520,314,367,332,469
0.935,631,1858,2739,4531,313,363,340,441
0.945,599,1807,2704,4511,334,347,337,462
0.955,621,1740,2789,4494,335,355,313,403
0.965,648,1697,2804,4535,339,362,318,433
0.975,648,1674,2814,4563,303,366,350,443
0.985,633,1615,2843,4496,315,368,375,409
0.995,601,1671,2869,4421,293,337,311,426
1.005,536,1812,2914,4378,300,402,318,387
1.015,492,1931,2915,4316,270,404,285,419
1.025,481,2054,2871,4295,224,391,300,449
1.035,438,2157,2865,4237,209,383,308,450
1.045,424,2249,2916,4264,207,377,318,461
1.055,405,2301,2957,4319,179,350,327,465
1.065,404,2367,2960,4440,174,350,329,462
1.075,388,2422,2956,4510,180,351,323,404
1.085,398,2443,2987,4522,190,347,327,400
1.095,410,2465,3040,4498,181,359,332,397
1.105,395,2467,3096,4503,195,350,328,395
1.115,422,2505,3027,4507,191,349,305,386
1.125,422,2506,2978,4449,198,349,296,378
1.135,422,2513,2956,4429,187,338,298,403
1.145,413,2476,2913,4383,190,337,284,408
1.155,416,2409,2891,4290,204,318,291,364
1.165,415,2438,2859,4296,183,321,285,392
1.175,410,2403,2805,4289,207,302,275,396
1.185,393,2310,2772,4325,203,281,283,381
1.195,396,2212,2740,4345,199,289,286,390
1.205,372,2141,2718,4434,215,281,292,387
1.215,360,2084,2707,4526,202,312,291,383
1.225,363,2026,2712,4624,207,301,329,352
1.235,403,1953,2700,4697,220,303,336,357
1.245,336,1838,2675,4530,216,347,326,434
1.255,349,1777,2707,4369,219,380,328,454
1.265,410,1975,2729,4417,258,409,289,457
1.275,501,2281,2740,4392,294,414,265,446
1.285,495,2337,2761,4323,238,425,274,440
1.295,471,2306,2726,4242,264,415,278,403
1.305,443,2336,2836,4155,221,405,248,388
1.315,471,2367,2818,4133,198,369,295,374
1.325,460,2364,2881,4183,199,329,320,368
1.335,503,2334,2926,4194,189,313,330,374
1.345,525,2284,2941,4205,173,304,322,370
1.355,557,2216,2964,4202,173,291,331,373
1.365,601,2132,2957,4162,161,312,318,394
1.375,601,2031,2897,4190,171,320,306,357
1.385,624,2024,2839,4210,157,343,316,360
1.395,672,2007,2801,4195,163,342,340,362
1.405,677,1960,2772,4170,162,346,308,365
1.415,666,1911,2785,4248,175,326,296,382
1.425,626,1944,2820,4242,149,300,317,375
1.435,647,1908,2795,4219,154,315,308,364
1.445,560,1876,2828,4237,130,283,306,362
1.455,622,1834,2839,4225,147,271,290,390
1.465,621,1866,2865,4277,179,298,279,384
1.475,528,1837,2915,4347,136,280,286,384
1.485,581,1802,2926,4364,175,293,283,405
1.495,593,1802,2940,4315,209,316,276,431
1.505,557,1806,2872,4279,272,332,299,423
1.515,568,1766,2815,4226,346,343,353,407
1.525,568,1729,2740,4176,342,358,333,454
1.535,590,1773,2700,4209,316,366,349,445
1.545,579,1735,2678,4223,290,336,337,430
1.555,622,1778,2610,4225,267,315,305,414
1.565,622,1825,2586,4292,288,291,303,416
1.575,644,1919,2561,4311,298,345,274,453
1.585,665,1890,2531,4268,298,310,336,442
1.595,660,1839,2512,4104,306,297,298,418
