sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,614,1830,2348,3552,255,298,340,457
0.015,622,1835,2326,3587,239,318,331,468
0.025,622,1846,2291,3684,219,342,323,456
0.035,622,1835,2349,3775,196,333,346,462
0.045,622,1835,2328,3801,188,338,350,471
0.055,611,1851,2361,3841,180,370,344,472
0.065,622,1846,2366,3819,257,299,356,470
0.075,622,1846,2361,3767,263,289,373,478
0.085,622,1806,2382,3771,211,312,383,488
0.095,611,1839,2382,3887,257,294,397,472
0.105,622,1893,2382,3992,268,304,359,457
0.115,611,1927,2415,4147,280,305,357,448
0.125,611,1890,2415,4245,247,290,334,425
0.135,611,1914,2409,4355,196,355,315,428
0.145,608,1933,2377,4372,170,324,318,406
0.155,601,1965,2393,4314,175,307,342,384
0.165,608,1976,2393,4281,180,301,347,386
0.175,608,1981,2386,4346,182,334,322,417
0.185,589,1976,2428,4371,174,327,320,403
0.195,584,1981,2441,4402,186,332,313,407
0.205,536,1954,2428,4369,161,317,322,405
0.215,516,1900,2394,4290,149,309,316,419
0.225,500,1846,2344,4210,126,287,329,420
0.235,513,1803,2283,4137,131,285,351,415
0.245,484,1694,2216,4052,130,294,352,417
0.255,478,1635,2157,3989,168,310,333,425
0.265,447,1597,2113,4106,184,299,331,440
0.275,448,1456,2086,4134,193,315,351,462
0.285,436,1348,2069,4163,188,306,347,443
0.295,432,1240,2055,4088,202,318,332,444
0.305,421,1120,2043,4025,215,311,307,447
0.315,416,1033,2031,3985,208,315,295,466
0.325,408,1043,2019,4015,237,278,327,479
0.335,426,1088,2009,4053,208,278,345,480
0.345,414,1077,2006,4172,203,285,327,453
0.355,414,1120,2016,4275,195,280,313,434
0.365,406,1153,2044,4275,193,285,291,415
0.375,406,1175,2086,4343,184,287,311,410
0.385,416,1191,2134,4392,188,306,283,413
0.395,406,1175,2181,4343,191,309,279,400
0.405,425,1202,2226,4342,209,298,285,390
0.415,427,1196,2274,4309,224,305,276,382
0.425,471,1164,2320,4340,217,290,268,374
0.435,500,1164,2350,4294,208,304,279,365
0.445,514,1164,2357,4318,201,295,272,363
0.455,525,1153,2350,4307,221,291,293,367
0.465,527,1099,2343,4296,209,297,270,373
0.475,514,1088,2343,4276,218,288,295,359
0.485,511,1061,2348,4203,222,307,319,365
0.495,514,1034,2358,4105,218,290,317,374
0.505,514,1034,2370,4129,212,299,299,387
0.515,514,1034,2380,4037,201,317,298,406
0.525,492,1012,2387,4006,202,307,304,420
0.535,490,996,2388,3860,206,308,294,441
0.545,492,990,2386,3743,219,276,294,449
0.555,492,1001,2387,3605,231,283,297,462
0.565,484,1001,2393,3534,226,291,308,478
0.575,471,996,2395,3598,218,288,315,505
0.585,497,1001,2380,3650,177,307,418,460
0.595,453,1012,2348,3640,169,308,480,435
0.605,479,1023,2317,3576,194,305,472,432
0.615,487,1045,2305,3488,197,317,426,442
0.625,493,1039,2318,3402,203,312,389,422
0.635,483,1045,2347,3404,201,313,376,419
0.645,514,1066,2379,3498,236,291,319,411
0.655,514,1097,2403,3583,243,300,322,437
0.665,514,1077,2414,3679,238,309,322,430
0.675,517,1099,2416,3827,223,293,341,423
0.685,514,1077,2409,3978,222,274,339,398
0.695,522,1099,2395,4134,213,276,334,403
0.705,514,1099,2375,4180,209,283,346,381
0.715,527,1104,2352,4199,215,284,372,365
0.725,514,1077,2327,4170,213,299,369,375
0.735,514,1050,2299,4079,220,291,361,409
0.745,506,947,2271,3978,208,328,360,391
0.755,514,904,2240,3984,191,299,347,383
0.765,503,850,2209,3941,194,313,352,387
0.775,460,774,2177,3868,206,315,355,432
0.785,452,726,2146,3866,223,331,371,438
0.795,416,709,2117,3923,207,356,370,452
0.805,416,633,2092,3975,229,363,374,469
0.815,373,611,2072,3954,223,377,371,481
0.825,351,611,2059,3962,213,386,369,467
0.835,340,611,2053,3972,208,358,361,426
0.845,389,622,2052,3967,206,309,360,442
0.855,395,676,2052,4009,208,305,346,415
0.865,503,713,2053,4030,202,307,327,397
0.875,579,774,2049,4038,183,294,315,391
0.885,603,872,2040,4087,185,292,313,376
0.895,622,940,2022,4098,187,308,309,376
0.905,666,1033,1995,4096,184,293,313,370
0.915,693,1127,1978,4044,182,305,314,379
0.925,717,1226,1992,4106,194,299,320,390
0.935,698,1304,2032,4200,201,284,314,364
0.945,695,1311,2078,4243,198,293,300,353
0.955,685,1333,2108,4157,204,293,302,363
0.965,687,1391,2112,4141,197,289,306,355
0.975,712,1399,2105,4143,200,292,300,369
0.985,698,1467,2102,4235,196,311,285,375
0.995,720,1532,2115,4283,189,301,294,354
1.005,728,1570,2141,4220,191,308,280,357
1.015,690,1586,2174,4195,191,311,291,360
1.025,698,1608,2206,4224,191,308,272,365
1.035,701,1608,2232,4250,190,311,294,361
1.045,698,1597,2249,4263,187,309,292,362
1.055,698,1608,2256,4223,183,314,279,369
1.065,701,1608,2255,4199,183,315,283,360
1.075,698,1602,2248,4191,175,314,287,368
1.085,701,1592,2237,4218,182,312,274,375
1.095,698,1586,2222,4220,181,301,282,359
