sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,441,1534,2472,3521,247,286,344,421
0.015,476,1539,2454,3506,254,321,332,407
0.025,449,1541,2375,3462,268,327,317,406
0.035,438,1580,2392,3438,278,312,356,434
0.045,449,1478,2436,3512,299,284,375,438
0.055,438,1521,2442,3578,274,318,317,411
0.065,446,1516,2442,3624,247,329,308,407
0.075,438,1505,2442,3660,253,318,345,421
0.085,435,1489,2436,3742,288,317,335,442
0.095,438,1494,2442,3862,226,350,321,466
0.105,438,1478,2442,3912,265,318,355,494
0.115,427,1472,2436,3963,301,310,354,460
0.125,430,1462,2442,3909,293,360,362,460
0.135,438,1472,2442,3784,291,336,326,483
0.145,427,1472,2429,3630,292,322,318,457
0.155,402,1472,2425,3702,255,262,354,431
0.165,421,1559,2436,3679,226,299,324,379
0.175,406,1635,2442,3750,217,316,348,403
0.185,406,1667,2447,3797,234,342,325,391
0.195,406,1692,2480,3808,222,325,320,396
0.205,384,1659,2512,3839,234,330,318,405
0.215,384,1615,2523,3856,218,285,342,392
0.225,384,1605,2523,3955,234,305,383,399
0.235,370,1586,2555,4042,289,322,390,446
0.245,373,1578,2549,4161,280,299,388,460
0.255,351,1577,2599,4194,274,298,375,444
0.265,351,1543,2610,4161,275,328,315,415
0.275,351,1559,2626,4209,275,300,314,445
0.285,341,1537,2642,4144,250,298,327,432
0.295,341,1548,2648,4043,231,262,355,441
0.305,360,1559,2653,3895,186,292,354,438
0.315,395,1592,2675,3942,220,285,316,436
0.325,427,1624,2685,3972,252,294,329,433
0.335,460,1678,2664,4048,281,298,329,440
0.345,460,1743,2653,4151,191,274,304,418
0.355,471,1770,2653,4176,167,254,312,411
0.365,492,1787,2642,4169,166,268,331,401
0.375,492,1841,2610,4138,176,285,316,402
0.385,481,1841,2610,4175,183,302,329,397
0.395,503,1808,2588,4158,190,302,335,403
0.405,517,1808,2555,4081,193,287,329,403
0.415,514,1808,2518,4020,198,287,331,416
0.425,525,1765,2480,3975,219,287,329,408
0.435,514,1711,2382,3917,219,291,318,414
0.445,525,1662,2274,3857,227,291,316,405
0.455,514,1624,2220,3836,228,267,320,415
0.465,514,1527,2187,3833,235,232,319,409
