sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,582,1699,2471,3699,197,314,389,435
0.015,571,1758,2533,3733,200,298,387,425
0.025,546,1774,2579,3741,217,326,398,440
0.035,546,1764,2592,3757,203,304,366,419
0.045,536,1719,2546,3775,216,297,380,412
0.055,546,1699,2536,3721,279,336,349,426
0.065,546,1751,2521,3765,248,316,351,446
0.075,538,1739,2567,3841,303,318,308,469
0.085,536,1725,2630,3790,286,312,326,461
0.095,546,1760,2650,3817,268,303,355,453
0.105,546,1758,2631,3871,274,311,374,438
0.115,546,1723,2610,3864,276,310,374,455
0.125,514,1720,2620,3826,263,341,344,465
0.135,506,1805,2610,3869,304,354,352,425
0.145,481,1788,2620,3894,270,330,336,416
0.155,479,1709,2616,3847,210,314,317,416
0.165,508,1754,2562,3784,201,288,323,418
0.175,517,1754,2534,3866,206,274,310,414
0.185,489,1754,2470,3888,227,305,328,414
0.195,436,1754,2463,3949,249,287,339,454
0.205,477,1754,2434,3958,300,350,318,467
0.215,543,1754,2415,3930,277,336,322,478
0.225,546,1743,2436,3946,276,334,305,468
0.235,585,1711,2393,3963,289,304,309,477
0.245,555,1657,2425,4103,196,309,300,501
0.255,480,1624,2447,4174,215,362,327,469
0.265,394,1581,2469,4212,180,355,276,448
0.275,390,1527,2490,4170,185,346,263,450
0.285,380,1468,2501,4211,197,311,279,452
0.295,393,1449,2545,4268,195,291,258,450
0.305,400,1422,2566,4397,199,328,255,462
0.315,402,1326,2588,4524,217,267,262,467
0.325,474,1278,2583,4512,239,271,310,439
0.335,503,1281,2687,4435,270,273,308,435
0.345,568,1311,2675,4429,244,279,285,428
0.355,698,1319,2722,4461,214,291,282,426
0.365,723,1330,2700,4500,218,268,309,400
0.375,735,1347,2670,4531,224,273,335,386
0.385,746,1370,2710,4566,220,273,330,377
0.395,770,1388,2664,4549,219,274,313,371
0.405,757,1439,2665,4527,215,283,308,371
0.415,756,1451,2647,4459,210,288,319,389
0.425,699,1483,2685,4447,194,294,312,403
0.435,671,1527,2653,4379,167,287,311,411
0.445,616,1548,2631,4324,168,272,300,436
0.455,607,1548,2642,4155,199,287,286,416
0.465,538,1624,2696,4080,185,277,285,394
0.475,514,1651,2707,3996,185,269,296,402
0.485,503,1776,2761,3967,192,302,305,407
0.495,503,1851,2805,3943,181,290,310,409
0.505,486,1927,2815,3970,178,287,296,425
0.515,456,1981,2815,4033,194,304,300,449
0.525,428,2019,2821,4090,206,296,295,448
0.535,448,2057,2815,4091,208,333,275,434
0.545,413,2122,2821,4159,189,316,273,431
0.555,370,2176,2848,4056,214,312,261,415
0.565,330,2231,2848,3997,216,283,305,439
0.575,297,2274,2880,3834,203,274,307,467
0.585,308,2279,2902,3761,203,299,314,457
0.595,316,2306,2924,3683,202,316,319,440
0.605,308,2306,2924,3680,204,341,328,403
0.615,308,2341,2924,3673,205,347,327,384
0.625,339,2323,2902,3670,206,362,316,393
0.635,333,2335,2886,3653,207,368,330,396
0.645,326,2317,2826,3634,208,361,317,392
0.655,314,2305,2799,3631,210,353,307,395
0.665,320,2283,2783,3661,210,341,318,392
0.675,309,2305,2729,3679,205,318,321,389
0.685,333,2237,2664,3738,217,313,336,379
0.695,362,2121,2641,3817,219,317,337,414
0.705,347,1998,2606,3907,230,323,315,429
0.715,340,1906,2588,3992,244,324,341,462
0.725,376,1861,2545,4019,239,327,353,469
0.735,379,1849,2534,4072,229,323,362,502
0.745,387,1854,2534,3999,224,313,384,478
0.755,400,1860,2534,3813,216,307,356,464
0.765,423,1862,2545,3726,209,301,319,435
0.775,434,1860,2545,3649,206,306,300,407
0.785,416,1854,2545,3651,205,309,292,380
0.795,438,1846,2555,3640,185,301,283,366
0.805,419,1835,2545,3658,198,292,298,375
0.815,365,1822,2545,3646,211,311,327,427
0.825,352,1806,2545,3714,228,337,326,457
0.835,373,1791,2545,3679,254,298,331,462
0.845,437,1779,2545,3640,300,302,324,467
0.855,438,1775,2555,3611,331,271,302,438
0.865,471,1780,2545,3628,295,332,323,484
0.875,468,1793,2545,3640,231,335,342,440
0.885,481,1807,2545,3668,238,311,340,428
0.895,492,1818,2545,3595,288,316,367,435
0.905,509,1820,2545,3523,253,329,336,409
0.915,486,1809,2540,3454,210,330,326,387
0.925,473,1782,2523,3470,217,302,336,427
0.935,425,1744,2209,3524,240,303,350,410
0.945,426,1696,2133,3550,267,297,344,410
0.955,395,1643,2068,3512,302,364,322,414
0.965,395,1587,2019,3481,323,334,323,407
0.975,406,1534,1992,3398,284,323,339,404
0.985,427,1491,1971,3444,297,311,358,406
0.995,416,1464,1971,3377,339,275,363,389
1.005,419,1445,1971,3323,317,260,347,427
1.015,438,1428,1971,3439,320,285,301,432
1.025,438,1402,1971,3537,295,281,316,441
1.035,425,1363,1949,3582,273,285,333,417
1.045,438,1318,1933,3622,203,315,336,421
1.055,438,1273,1916,3647,190,299,343,451
1.065,438,1235,1895,3737,211,333,336,483
1.075,438,1204,1873,3840,228,309,322,497
1.085,438,1180,1851,3860,228,302,315,457
1.095,438,1166,1851,3741,231,303,295,427
1.105,430,1162,1851,3723,200,299,304,434
1.115,438,1170,1851,3720,187,313,300,433
1.125,449,1189,1873,3674,196,304,297,406
1.135,460,1221,1906,3750,213,293,279,408
1.145,479,1266,2014,3778,220,308,297,422
1.155,471,1327,2046,3736,236,293,301,460
1.165,481,1403,2079,3706,234,285,291,431
1.175,514,1418,2144,3728,229,277,302,442
1.185,525,1505,2176,3736,228,265,306,424
1.195,557,1559,2220,3760,206,258,327,411
1.205,579,1602,2306,3792,165,254,338,392
1.215,608,1657,2339,3804,182,285,343,417
1.225,569,1722,2361,3798,165,277,379,402
1.235,603,1754,2375,3837,171,278,347,440
1.245,619,1776,2392,3885,175,294,340,474
1.255,591,1808,2436,3849,189,280,338,467
1.265,567,1841,2501,3847,190,287,335,471
1.275,560,1868,2518,3803,185,298,342,469
1.285,563,1895,2523,3800,192,270,317,443
1.295,547,1960,2555,3790,191,270,319,424
1.305,543,2014,2577,3757,191,286,325,412
1.315,526,2057,2593,3757,183,297,309,395
1.325,513,2111,2592,3785,173,288,305,404
1.335,509,2144,2673,3803,179,316,324,406
1.345,466,2198,2694,3854,181,341,310,387
1.355,422,2209,2705,3899,177,339,293,373
1.365,405,2252,2724,3927,189,337,294,382
1.375,397,2252,2783,3978,195,363,273,376
1.385,390,2280,2794,3993,203,375,276,387
1.395,411,2251,2844,3918,199,378,279,397
1.405,379,2274,2805,3829,186,359,311,434
1.415,360,2241,2815,3838,199,360,318,427
1.425,319,2209,2815,3813,204,352,297,412
1.435,300,2155,2790,3807,200,335,312,419
1.445,297,2101,2740,3774,258,341,342,433
1.455,287,2057,2664,3795,298,365,312,397
1.465,287,2036,2658,3752,317,307,344,402
1.475,287,2014,2600,3711,343,351,361,424
1.485,297,2014,2540,3687,333,334,359,429
1.495,297,2025,2483,3633,335,338,364,444
1.505,297,2025,2520,3603,311,330,322,474
1.515,297,2030,2517,3622,289,286,324,434
1.525,297,2046,2469,3602,295,309,319,415
1.535,300,2057,2534,3621,296,325,343,438
1.545,297,2068,2580,3645,305,304,351,442
1.555,297,2079,2539,3651,298,320,352,443
1.565,287,2084,2579,3701,290,313,333,458
1.575,287,2101,2597,3721,270,297,327,424
1.585,297,2122,2601,3693,296,322,325,426
1.595,287,2133,2635,3697,300,318,341,440
1.605,276,2155,2623,3699,272,322,346,452
1.615,287,2176,2652,3750,287,322,370,454
1.625,297,2187,2747,3797,267,309,385,457
1.635,297,2209,2761,3747,274,364,323,471
1.645,297,2220,2762,3782,297,335,321,431
1.655,297,2236,2745,3891,299,324,339,442
1.665,289,2241,2760,3840,300,394,280,509
1.675,297,2274,2779,3801,316,403,281,516
1.685,276,2263,2808,3741,252,334,310,520
1.695,280,2220,2810,3738,228,301,331,490
