sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,472,1564,2460,3613,233,334,368,449
0.015,444,1520,2474,3583,261,318,321,412
0.025,457,1497,2478,3625,258,302,281,431
0.035,474,1522,2559,3654,243,292,290,437
0.045,507,1522,2548,3645,249,299,310,447
0.055,547,1537,2463,3620,274,312,339,445
0.065,609,1505,2402,3596,291,344,317,463
0.075,613,1469,2933,3652,286,321,335,444
0.085,557,1433,2910,3709,257,310,336,448
0.095,373,1388,2933,3732,258,314,340,446
0.105,299,1301,2954,3847,195,330,331,471
0.115,390,1194,2964,3853,198,355,310,489
0.125,417,1159,2966,3957,221,349,317,484
0.135,533,1271,2967,4022,225,402,335,456
0.145,637,1505,2966,4144,150,427,296,464
0.155,633,1740,2959,4228,150,373,286,442
0.165,630,1863,2933,4252,152,344,300,412
0.175,634,1864,2858,4256,143,308,286,395
0.185,653,1869,2716,4221,156,330,278,390
0.195,676,1809,2647,4202,162,324,300,393
0.205,657,1764,2626,4182,177,304,327,397
0.215,643,1728,2584,4169,191,289,322,396
0.225,592,1672,2587,4181,191,276,318,402
0.235,560,1593,2644,4304,185,276,317,404
0.245,550,1557,2714,4438,202,311,303,425
0.255,498,1495,2808,4575,215,287,318,476
0.265,446,1462,2806,4523,265,275,326,445
0.275,402,1419,2673,4455,266,315,353,452
0.285,372,1400,2600,4432,275,308,338,457
0.295,344,1385,2552,4358,279,352,286,455
0.305,320,1296,2495,4290,252,339,293,431
0.315,307,1266,2445,4355,305,324,315,405
0.325,319,1240,2411,4362,319,314,331,407
0.335,365,1200,2387,4382,342,251,348,464
0.345,416,1182,2364,4437,273,209,342,506
0.355,453,1131,2332,4538,263,239,362,467
0.365,479,1066,2301,4555,221,287,369,435
0.375,499,1021,2298,4418,241,304,361,456
0.385,519,954,2320,4358,254,310,373,459
0.395,542,903,2346,4316,209,330,360,436
0.405,565,916,2373,4352,245,326,374,432
0.415,573,904,2401,4211,239,326,354,447
0.425,556,1107,2430,4144,247,316,381,457
0.435,536,1034,2433,4131,201,293,365,432
0.445,533,1209,2409,4028,191,312,328,411
0.455,543,1325,2430,3889,166,316,310,388
0.465,566,1412,2493,3875,162,284,306,379
0.475,580,1500,2545,3910,162,280,310,366
0.485,553,1621,2545,3990,169,295,324,388
0.495,542,1813,2567,4110,165,299,342,402
0.505,565,2005,2638,4208,167,311,330,409
0.515,582,2087,2698,4294,203,334,325,407
0.525,552,2104,2768,4348,248,312,366,438
0.535,500,2117,2840,4305,274,295,385,437
0.545,479,2139,2799,4344,303,324,380,430
0.555,479,2155,2784,4325,290,327,378,440
0.565,498,2148,2832,4370,268,362,345,461
0.575,519,2107,2948,4381,313,370,360,449
0.585,532,2047,2984,4348,324,366,365,420
0.595,536,1993,2983,4308,311,371,356,412
0.605,534,1950,2893,4124,299,367,373,399
0.615,544,1916,2793,4044,309,389,346,372
0.625,561,1887,2854,4040,287,377,354,376
0.635,559,1864,2931,4076,283,365,324,382
0.645,538,1844,2945,3998,302,362,334,386
0.655,529,1829,2953,3955,298,369,336,383
0.665,533,1816,2938,3923,278,382,347,372
0.675,536,1806,2978,3901,293,366,364,372
0.685,535,1798,3010,3958,292,348,376,344
0.695,539,1791,3074,4047,304,339,370,336
0.705,559,1785,3023,4047,254,331,325,369
0.715,575,1779,3037,4067,213,317,301,357
0.725,578,1772,3038,4091,217,324,309,380
0.735,564,1763,2957,4152,226,316,299,378
