sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,599,1427,2537,3591,232,292,361,422
0.015,634,1422,2502,3614,254,333,333,420
0.025,580,1448,2498,3608,275,304,330,406
0.035,535,1413,2505,3696,281,320,297,417
0.045,607,1416,2527,3663,284,299,296,439
0.055,619,1467,2536,3652,282,291,319,448
0.065,656,1484,2423,3662,272,324,339,450
0.075,664,1541,2416,3653,270,329,321,430
0.085,668,1574,2453,3697,247,331,321,428
0.095,786,1554,2420,3763,249,364,287,417
0.105,808,1615,2436,3855,196,357,295,406
0.115,861,1557,2480,3914,230,322,314,423
0.125,825,1607,2380,3894,263,306,326,460
0.135,763,1622,2371,3869,283,303,349,483
0.145,660,1518,2417,3893,240,297,358,462
0.155,585,1398,2495,3971,234,346,347,421
0.165,682,1346,2484,3944,187,344,338,411
0.175,741,1341,2618,3899,199,314,322,391
0.185,772,1329,2657,3842,226,302,287,374
0.195,822,1313,2510,3810,198,310,262,360
0.205,819,1348,2552,3806,187,307,260,367
0.215,827,1416,2599,3824,200,305,283,374
0.225,816,1509,2647,3892,188,301,290,388
0.235,802,1509,2653,3912,195,298,305,384
0.245,789,1582,2630,4049,185,309,311,388
0.255,776,1706,2636,4125,190,312,313,401
0.265,768,1850,2661,4194,188,307,333,422
0.275,732,1986,2692,4282,202,327,323,424
0.285,670,2088,2720,4320,221,331,320,443
0.295,583,2158,2741,4338,220,353,309,431
0.305,532,2221,2764,4325,192,342,301,432
0.315,514,2296,2803,4318,197,323,312,428
0.325,502,2372,2861,4278,192,313,307,430
0.335,499,2431,2923,4265,194,303,347,410
0.345,502,2466,2973,4236,191,306,346,397
0.355,495,2482,3011,4220,178,303,350,389
0.365,502,2486,3045,4274,178,322,341,405
0.375,463,2486,3082,4272,166,326,330,393
0.385,453,2489,3125,4273,179,326,335,377
0.395,461,2496,3167,4330,195,290,361,388
0.405,454,2507,3206,4304,184,313,337,384
0.415,424,2522,3238,4327,183,318,333,391
0.425,407,2539,3261,4323,193,304,356,351
0.435,433,2554,3276,4307,192,288,347,352
0.445,449,2564,3284,4313,192,272,358,364
0.455,470,2565,3284,4309,189,292,354,362
0.465,464,2553,3277,4310,187,289,346,380
0.475,450,2535,3264,4327,184,294,354,396
0.485,459,2525,3244,4375,176,327,355,386
0.495,464,2529,3225,4395,191,333,313,362
0.505,470,2505,3257,4354,202,336,291,364
0.515,465,2388,3149,4365,214,321,313,388
0.525,358,2174,2994,4331,184,358,281,403
0.535,326,2032,2842,4288,202,332,307,400
0.545,326,2015,2805,4246,194,331,315,409
0.555,400,2078,2855,4272,200,391,305,418
0.565,398,2177,2921,4285,207,368,292,400
0.575,389,2265,2983,4325,212,355,288,378
0.585,375,2326,3052,4331,203,329,289,363
0.595,363,2363,3114,4318,203,301,308,362
0.605,357,2382,3145,4354,202,307,312,375
0.615,361,2390,3153,4312,207,296,327,368
0.625,371,2395,3163,4276,199,310,330,366
0.635,379,2403,3183,4270,192,315,328,367
0.645,381,2421,3188,4310,189,338,342,379
0.655,379,2443,3155,4361,181,335,345,362
0.665,378,2454,3056,4450,157,329,350,371
0.675,378,2435,2948,4509,174,331,344,370
0.685,379,2385,2863,4607,183,313,338,381
0.695,379,2319,2777,4677,187,323,327,370
0.705,379,2254,2709,4701,204,310,318,381
0.715,379,2205,2673,4678,229,314,325,384
0.725,379,2180,2680,4676,227,331,312,386
0.735,379,2172,2665,4646,221,343,317,395
0.745,379,2174,2677,4574,213,338,312,420
0.755,378,2181,2707,4563,177,348,312,421
0.765,377,2184,2731,4547,178,359,330,444
0.775,376,2184,2789,4441,191,358,341,425
0.785,376,2183,2855,4275,188,360,334,421
0.795,377,2184,2910,4179,194,356,333,410
0.805,380,2189,3019,4128,198,338,360,412
0.815,386,2199,2934,4113,197,355,300,412
0.825,395,2212,2820,4032,180,344,290,390
0.835,409,2229,2748,4014,182,337,324,385
0.845,430,2243,2691,3983,166,346,296,384
0.855,455,2243,2635,3985,178,346,297,381
0.865,483,2217,2605,3970,177,329,310,379
0.875,510,2144,2598,3967,185,323,313,371
0.885,533,1986,2607,3970,204,317,339,359
0.895,548,1739,2628,3940,215,315,336,353
0.905,581,1623,2656,3880,216,304,326,350
0.915,586,1609,2683,3860,213,317,339,338
0.925,581,1566,2701,3904,203,330,332,355
0.935,543,1504,2713,3896,207,335,337,351
0.945,548,1448,2726,3952,220,321,321,336
0.955,621,1415,2741,3997,228,308,317,328
0.965,618,1395,2752,4079,237,289,315,338
0.975,565,1382,2752,4210,238,285,323,350
0.985,532,1369,2749,4331,236,304,340,371
0.995,521,1357,2759,4389,220,300,353,393
1.005,469,1349,2780,4369,219,302,312,389
1.015,423,1346,2784,4280,237,311,293,391
1.025,339,1350,2742,4262,216,328,301,433
1.035,339,1361,2659,4165,208,344,289,451
1.045,340,1378,2600,4131,201,332,311,427
1.055,357,1401,2554,4193,201,302,332,412
1.065,390,1427,2489,4204,207,304,346,409
1.075,452,1457,2481,4149,222,315,346,398
1.085,491,1489,2504,4103,221,300,314,370
1.095,515,1522,2394,4105,192,275,310,357
1.105,510,1556,2343,4119,187,273,293,347
1.115,562,1589,2316,4053,195,258,322,356
1.125,578,1620,2329,4031,205,257,309,367
1.135,583,1650,2325,4037,200,250,301,363
1.145,576,1676,2343,4039,198,236,303,372
1.155,572,1698,2352,4020,188,228,298,385
1.165,580,1715,2373,4045,199,237,315,381
1.175,584,1729,2413,4038,202,249,304,391
1.185,573,1740,2425,4059,200,269,298,383
1.195,551,1748,2437,4063,204,296,300,381
1.205,535,1754,2414,4096,198,308,305,376
1.215,496,1758,2379,4131,209,289,328,363
1.225,424,1762,2379,4145,196,291,317,373
1.235,362,1765,2362,4206,225,291,328,383
1.245,344,1768,2431,4201,197,284,346,411
1.255,344,1772,2436,4193,193,308,326,408
1.265,344,1776,2453,4365,191,358,286,425
1.275,395,1781,2455,4384,175,359,270,425
1.285,424,1788,2292,4424,186,386,289,407
1.295,380,1795,2358,4393,213,375,264,431
1.305,384,1805,2332,4327,218,395,275,406
1.315,414,1815,2312,4310,212,371,288,397
1.325,475,1828,2376,4327,235,361,266,414
1.335,571,1842,2304,4333,255,353,312,383
1.345,640,1858,2297,4323,241,359,327,397
1.355,768,1875,2342,4338,227,378,330,435
1.365,805,1894,2448,4337,221,328,345,443
1.375,820,1915,2530,4305,233,329,317,473
1.385,754,1937,2565,4256,223,332,308,450
1.395,803,1960,2619,4303,240,321,337,438
1.405,888,1985,2706,4257,233,306,347,433
1.415,918,2012,2802,4193,214,316,328,426
1.425,969,2039,2801,4072,209,346,299,416
1.435,874,2068,2760,4013,179,373,288,411
1.445,911,2098,2786,4008,197,379,289,402
1.455,899,2127,2767,4010,203,365,274,416
1.465,928,2157,2837,4041,202,325,338,450
1.475,853,2187,2845,3987,191,343,324,429
1.485,906,2216,2810,3942,206,359,279,422
1.495,870,2244,2813,3946,207,337,320,461
1.505,860,2272,2741,3899,218,317,360,453
1.515,798,2297,2792,3915,217,316,325,440
1.525,779,2321,2809,3953,218,323,336,438
1.535,803,2343,2724,3942,251,329,336,437
1.545,850,2363,2771,3969,220,341,334,459
1.555,925,2381,2711,3974,212,364,315,464
1.565,949,2396,2734,3974,219,341,335,439
1.575,882,2408,2827,4038,221,311,351,454
1.585,885,2418,2850,4020,246,332,346,450
1.595,886,2426,2859,3997,223,343,352,468
1.605,919,2430,2810,3940,229,324,366,481
1.615,925,2432,2777,3933,245,319,372,460
1.625,955,2431,2726,4006,257,336,371,455
1.635,891,2427,2730,3986,253,324,353,427
1.645,855,2420,2672,3989,233,319,354,423
1.655,900,2410,2671,3967,277,301,346,446
1.665,925,2397,2675,3901,275,342,348,454
1.675,977,2385,2681,3919,252,309,341,437
1.685,1030,2375,2698,3851,251,329,368,461
1.695,1013,2373,2777,3773,260,335,359,462
1.705,1049,2378,2891,3729,253,371,329,413
1.715,1022,2389,2783,3687,272,376,379,360
1.725,937,2405,2783,3825,238,374,342,367
1.735,807,2422,2783,3924,234,398,306,363
1.745,725,2438,2783,3921,237,419,296,365
1.755,616,2444,2893,3851,301,416,295,398
1.765,541,2435,2650,4047,265,445,255,404
1.775,410,2404,2617,4111,261,401,218,399
1.785,389,2349,2634,4145,222,352,262,385
1.795,420,2286,2628,4091,188,318,286,381
1.805,427,2227,2587,4117,183,305,276,398
1.815,420,2157,2556,4179,188,345,283,409
1.825,405,2038,2478,4235,176,348,274,409
1.835,399,1844,2371,4276,184,381,273,411
1.845,385,1609,2434,4305,181,384,253,435
1.855,419,1391,2390,4296,180,381,270,459
1.865,418,1232,2440,4318,198,361,263,454
1.875,408,1135,2465,4237,197,336,260,434
1.885,421,1089,2434,4183,210,318,271,422
1.895,419,1086,2419,4128,210,317,264,391
1.905,422,1114,2386,4096,215,321,269,367
1.915,425,1164,2357,4081,225,334,259,360
1.925,415,1227,2357,4051,236,329,279,359
1.935,409,1293,2342,4021,237,311,278,363
1.945,438,1362,2370,3969,233,299,291,375
1.955,568,1437,2455,3795,207,314,328,420
1.965,651,1522,2591,3730,207,304,313,386
1.975,723,1617,2652,3834,207,347,302,396
1.985,768,1724,2727,3945,211,371,322,389
1.995,728,1839,2771,3993,202,347,320,370
2.005,684,1957,2804,4065,200,334,323,368
2.015,674,2074,2844,4081,188,333,330,369
2.025,647,2177,2854,4102,188,324,322,376
2.035,607,2249,2843,4119,178,333,312,388
2.045,586,2286,2844,4159,178,330,320,391
2.055,591,2297,2855,4218,190,330,291,370
2.065,573,2292,2816,4225,200,324,297,369
2.075,548,2286,2779,4250,204,315,312,376
2.085,526,2294,2753,4279,205,317,311,371
2.095,502,2319,2742,4297,198,316,305,379
2.105,477,2280,2764,4357,181,355,278,388
2.115,471,2068,2784,4373,167,302,274,433
2.125,475,1718,2817,4373,194,312,322,463
2.135,519,1448,2807,4363,216,332,412,500
2.145,519,1266,2875,4344,196,313,390,439
2.155,517,1148,2892,4374,191,327,373,425
2.165,494,1080,2890,4370,185,308,364,427
2.175,469,1047,2896,4392,179,295,372,424
2.185,474,1038,2923,4371,166,308,336,450
2.195,452,1042,2950,4361,172,299,331,472
2.205,464,1049,2960,4310,185,318,347,494
2.215,475,1082,2956,4287,184,318,332,506
2.225,458,1185,2948,4251,186,305,330,455
2.235,475,1384,2947,4189,176,264,332,448
2.245,474,1566,2962,4128,176,279,326,418
2.255,496,1618,2918,4105,184,298,323,386
2.265,520,1608,2927,4061,199,313,318,366
2.275,437,1589,2907,4066,204,323,291,361
2.285,433,1568,2915,4050,209,330,299,345
2.295,439,1543,2890,4013,211,330,281,339
2.305,451,1518,2889,3984,218,317,303,333
2.315,466,1491,2867,3939,222,321,306,345
2.325,482,1464,2842,3891,223,327,307,366
2.335,495,1437,2806,3870,232,329,339,391
2.345,504,1412,2709,3798,226,317,377,420
2.355,509,1388,2662,3790,223,319,347,411
2.365,512,1368,2622,3837,206,318,358,452
2.375,513,1351,2532,3832,255,305,373,463
2.385,512,1336,2461,3842,299,284,371,484
2.395,510,1317,2458,3895,345,278,314,451
2.405,507,1281,2396,3850,341,303,316,421
2.415,504,1219,2396,3824,289,290,348,407
2.425,501,1147,2400,3841,287,313,342,394
2.435,499,1088,2434,3945,243,332,380,401
2.445,499,1048,2474,4080,200,310,415,425
2.455,500,1023,2563,4185,168,331,422,400
2.465,504,1005,2627,4151,187,308,399,372
