sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,571,1485,2493,3605,257,300,360,439
0.015,644,1487,2433,3486,285,316,354,422
0.025,693,1482,2465,3481,276,320,311,410
0.035,710,1462,2481,3519,285,330,298,387
0.045,669,1548,2505,3547,261,311,316,397
0.055,682,1565,2540,3562,282,307,346,433
0.065,671,1502,2517,3614,280,341,326,444
0.075,664,1544,2436,3651,266,354,316,450
0.085,659,1696,2526,3739,283,303,336,466
0.095,655,1719,2561,3716,276,321,326,468
0.105,653,1731,2627,3718,260,326,339,431
0.115,651,1789,2676,3756,262,309,351,427
0.125,651,1829,2691,3782,298,313,337,408
0.135,651,1962,2715,3806,297,322,315,418
0.145,652,1982,2715,3809,263,331,309,422
0.155,654,1800,2755,3773,287,241,346,413
0.165,656,1834,2749,3878,263,243,360,415
0.175,657,1895,2682,3897,213,307,380,428
0.185,657,1868,2671,3945,244,331,332,404
0.195,655,1927,2660,3979,230,316,342,435
0.205,649,2017,2601,4094,220,303,378,454
0.215,642,2062,2556,4132,250,301,368,460
0.225,633,2046,2490,4076,269,312,346,455
0.235,626,1963,2541,4029,245,338,375,447
0.245,620,1949,2595,4050,270,330,357,448
0.255,615,2007,2623,4088,232,337,363,455
0.265,612,2039,2664,4125,249,329,337,432
0.275,610,2048,2764,4022,258,340,337,418
0.285,609,2085,2843,3984,269,325,358,425
0.295,608,2150,2931,3997,246,338,355,425
0.305,609,2153,3039,4067,253,317,348,417
0.315,609,2184,3184,4071,224,309,347,413
0.325,610,2187,3117,4073,279,309,314,433
0.335,609,2233,3015,4158,233,304,321,429
0.345,607,2245,2983,4171,231,290,347,444
0.355,604,2308,2979,4174,208,305,342,437
0.365,599,2256,2924,4123,250,300,339,420
0.375,595,2145,3009,4127,256,283,353,429
0.385,591,2251,3018,4114,227,322,355,434
0.395,588,2262,2996,4103,240,305,365,450
0.405,586,2279,3031,4111,223,314,351,459
0.415,586,2259,2996,4088,233,306,334,424
0.425,587,2206,2895,4044,241,323,317,400
0.435,588,2173,2923,4127,281,316,334,444
0.445,587,2226,2968,4186,238,328,316,482
0.455,584,2234,2993,4235,225,338,319,450
0.465,578,2231,3017,4236,212,348,317,440
0.475,571,2230,2952,4191,202,346,310,457
0.485,563,2136,2960,4177,198,323,325,474
0.495,555,2107,2996,4170,218,354,301,472
0.505,548,2092,3014,4250,203,367,286,482
0.515,544,2037,2975,4262,221,374,259,476
0.525,542,1957,2886,4184,239,382,313,474
0.535,543,1880,2899,4113,238,376,351,471
