sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,555,1489,2582,3622,254,288,363,447
0.015,608,1431,2505,3545,294,339,351,420
0.025,567,1515,2469,3612,306,290,325,414
0.035,579,1521,2512,3645,281,287,335,470
0.045,632,1514,2518,3678,275,320,317,446
0.055,686,1525,2486,3678,297,313,311,454
0.065,743,1600,2507,3768,260,344,304,456
0.075,762,1665,2512,3781,261,348,331,447
0.085,784,1663,2612,3795,296,311,332,436
0.095,863,1741,2562,3733,265,325,382,446
0.105,884,1776,2649,3828,253,335,362,446
0.115,910,1870,2663,3850,260,320,371,452
0.125,955,1912,2768,3869,263,350,365,462
0.135,846,2098,2867,4009,213,391,335,455
0.145,686,2212,2962,4112,188,335,334,461
0.155,630,2284,3016,4269,190,326,305,473
0.165,584,2342,3038,4369,187,334,294,484
0.175,499,2395,3076,4426,181,340,275,468
0.185,468,2440,3124,4431,167,362,331,466
0.195,427,2479,3167,4426,169,363,299,443
0.205,403,2551,3191,4354,162,389,277,425
0.215,420,2645,3192,4312,145,421,247,434
0.225,451,2677,3192,4214,107,448,262,451
0.235,463,2683,3194,4322,122,430,233,427
0.245,477,2679,3160,4396,123,425,251,445
0.255,489,2648,3066,4435,166,407,264,453
0.265,471,2609,2988,4424,211,331,319,481
0.275,416,2544,2928,4420,229,312,346,487
0.285,346,2364,2875,4326,242,386,308,497
0.295,305,2209,2828,4186,290,354,361,482
0.305,298,2107,2782,4162,305,336,353,471
0.315,291,1986,2733,4090,308,279,353,455
0.325,310,1870,2682,4011,278,249,358,464
0.335,368,1768,2635,4007,247,281,363,475
0.345,422,1683,2599,3995,249,299,378,472
0.355,407,1624,2580,4051,271,300,380,484
0.365,365,1591,2573,4176,322,255,384,478
0.375,368,1555,2573,4267,305,259,409,433
0.385,399,1509,2574,4308,274,274,413,397
0.395,409,1473,2575,4333,234,313,392,387
0.405,399,1465,2574,4357,236,299,376,383
0.415,394,1489,2571,4400,247,291,396,365
0.425,415,1543,2573,4338,260,329,364,415
0.435,457,1628,2589,4244,242,340,362,409
0.445,484,1744,2608,4246,266,320,338,410
0.455,502,1852,2627,4293,277,280,332,413
0.465,536,1944,2651,4417,184,302,354,436
0.475,551,2040,2683,4497,216,341,339,424
0.485,518,2137,2721,4544,230,382,292,416
0.495,474,2217,2762,4588,219,412,254,401
0.505,446,2296,2798,4595,219,408,235,392
0.515,448,2395,2819,4532,212,393,247,385
0.525,464,2465,2831,4454,201,395,236,413
0.535,476,2443,2845,4411,187,384,262,427
0.545,486,2374,2869,4392,185,374,255,423
0.555,502,2349,2918,4413,185,342,284,426
0.565,509,2293,2973,4455,169,314,306,441
0.575,495,2172,2999,4460,174,282,311,433
0.585,485,2043,2992,4472,190,278,338,446
0.595,488,1961,3003,4466,198,298,345,415
0.605,497,1709,3093,4438,190,331,355,436
0.615,511,1432,3196,4316,172,331,366,431
0.625,525,1278,3246,4281,166,305,339,423
0.635,539,1147,3255,4280,176,290,339,423
0.645,551,1089,3249,4272,178,311,342,421
0.655,557,1126,3229,4305,168,291,337,417
0.665,555,1213,3185,4344,161,312,356,416
0.675,544,1325,3123,4390,146,306,350,455
0.685,529,1461,3067,4394,188,271,320,445
0.695,515,1682,3032,4393,206,305,282,426
0.705,508,1897,3020,4344,227,329,250,428
0.715,502,2058,3024,4304,230,371,227,428
0.725,485,2301,3027,4299,213,375,228,422
0.735,451,2450,3009,4325,182,397,232,440
0.745,421,2495,2974,4348,168,398,242,436
0.755,408,2556,2948,4371,157,384,262,444
0.765,396,2600,2940,4428,180,356,266,438
0.775,375,2591,2929,4501,170,325,292,413
0.785,345,2506,2882,4524,169,315,311,407
0.795,320,2334,2805,4563,167,357,296,398
0.805,321,2069,2774,4645,176,390,305,402
0.815,348,1923,2694,4553,212,357,378,362
0.825,381,1565,2516,4546,241,347,377,369
0.835,385,1197,2397,4492,254,353,354,388
0.845,383,1066,2241,4359,251,363,355,421
0.855,394,1052,2030,4400,240,330,322,436
0.865,403,980,1794,4388,191,339,349,426
0.875,400,992,1704,4347,188,343,339,442
0.885,397,1026,1729,4261,188,297,339,437
0.895,413,1030,1797,4115,158,300,359,432
0.905,455,1096,1915,4015,143,283,367,405
0.915,511,1267,2048,3951,128,282,371,392
0.925,557,1480,2127,3953,147,288,367,388
0.935,581,1619,2183,3972,148,299,352,391
0.945,614,1685,2262,4048,167,320,339,405
0.955,652,1773,2362,4165,185,334,321,414
0.965,656,1885,2469,4233,199,368,298,407
0.975,628,1971,2557,4375,196,371,306,431
0.985,596,1985,2623,4470,256,356,283,423
0.995,575,2120,2677,4426,318,318,318,419
1.005,568,2182,2705,4437,368,311,308,439
1.015,551,2229,2681,4405,351,331,334,451
1.025,506,2264,2658,4371,319,330,278,431
1.035,474,2289,2678,4304,285,361,260,423
1.045,467,2311,2677,4310,250,400,279,437
1.055,467,2340,2719,4345,248,397,267,450
1.065,467,2384,2844,4392,221,397,246,450
1.075,469,2441,2929,4451,184,406,224,443
1.085,469,2489,2940,4434,161,407,233,445
1.095,464,2510,2934,4455,158,399,244,424
1.105,466,2487,2942,4494,156,405,210,413
1.115,493,2423,2955,4557,147,422,220,414
1.125,512,2336,2956,4547,157,420,239,378
1.135,480,2284,2909,4513,202,352,356,438
1.145,418,2237,2778,4436,210,342,375,446
1.155,371,2168,2618,4349,219,384,327,429
1.165,354,2119,2513,4358,244,390,320,445
1.175,359,2083,2497,4430,298,414,349,454
1.185,368,2043,2584,4520,253,367,303,469
1.195,378,1997,2702,4665,210,361,263,446
1.205,392,1966,2731,4740,212,324,260,411
1.215,405,1956,2707,4711,212,313,279,405
1.225,422,1958,2670,4753,217,326,264,415
1.235,476,1958,2627,4554,248,340,332,402
1.245,552,1936,2584,4419,199,343,336,402
1.255,654,1871,2546,4377,192,343,339,411
1.265,750,1802,2516,4400,199,309,338,427
1.275,795,1757,2497,4390,213,307,340,445
1.285,835,1726,2489,4297,221,297,354,444
1.295,870,1678,2489,4226,204,308,327,467
1.305,857,1623,2488,4104,208,310,347,473
1.315,844,1570,2479,3934,212,314,355,409
1.325,853,1492,2466,3890,211,302,361,411
1.335,863,1425,2453,3909,210,314,369,409
1.345,872,1447,2446,3934,202,307,362,393
1.355,880,1511,2449,4002,191,301,381,402
1.365,873,1575,2460,4105,186,307,381,411
1.375,844,1649,2468,4214,178,327,370,424
1.385,801,1734,2470,4311,162,319,388,421
1.395,747,1826,2467,4496,163,324,386,433
1.405,681,1915,2464,4625,173,318,395,454
1.415,599,1989,2467,4755,180,286,409,463
1.425,507,2020,2479,4709,220,307,376,438
1.435,420,2055,2500,4546,270,363,363,406
1.445,362,1853,2524,4492,307,354,355,423
1.455,337,1810,2545,4451,317,309,357,454
1.465,327,1790,2560,4373,323,351,307,429
1.475,316,1801,2569,4442,314,357,312,469
1.485,300,1830,2577,4468,326,367,305,458
1.495,299,1864,2586,4410,289,340,309,438
1.505,316,1913,2598,4442,237,327,318,450
1.515,340,1957,2612,4492,205,320,347,429
1.525,368,1934,2619,4460,229,287,367,425
1.535,397,1871,2611,4379,261,305,369,426
1.545,398,1808,2613,4362,294,357,340,425
1.555,395,1772,2574,4367,280,340,342,447
1.565,423,1759,2503,4377,263,343,350,452
1.575,449,1753,2550,4303,262,321,351,433
1.585,451,1751,2383,4255,284,282,340,450
1.595,451,1766,2341,4327,292,304,331,468
