sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,672,1508,2397,3670,259,333,342,454
0.015,807,1536,2395,3695,251,340,319,445
0.025,839,1582,2380,3823,220,342,300,456
0.035,754,1607,2433,3875,190,351,321,445
0.045,768,1634,2506,3875,222,334,339,460
0.055,734,1617,2487,3750,222,353,338,459
0.065,770,1609,2531,3698,269,326,337,443
0.075,801,1998,2542,3601,262,326,345,431
0.085,852,1975,2590,3598,259,339,300,432
0.095,913,1984,2652,3614,311,306,309,414
0.105,861,2001,2692,3725,286,348,310,467
0.115,759,2003,2711,3878,310,360,338,489
0.125,608,1981,2722,3980,303,377,333,507
0.135,493,1981,2766,4102,245,373,317,529
0.145,505,1979,2813,4103,229,339,327,499
0.155,608,1931,2848,4087,219,309,397,438
0.165,725,1837,2808,4115,229,290,410,420
0.175,830,1771,2825,4074,229,308,396,409
0.185,863,1737,2829,3999,226,300,391,399
0.195,873,1688,2823,3889,204,301,389,378
0.205,871,1647,2812,3827,203,300,381,388
0.215,870,1572,2800,3841,237,303,351,344
0.225,881,1491,2789,3841,223,329,367,339
0.235,893,1456,2784,3886,220,324,367,357
0.245,887,1475,2781,3892,216,305,371,368
0.255,871,1517,2768,3990,211,310,380,395
0.265,876,1560,2735,4025,222,325,389,430
0.275,900,1590,2693,4157,211,311,352,473
0.285,877,1610,2660,4309,245,335,300,489
0.295,751,1629,2635,4466,196,363,276,494
0.305,570,1649,2607,4515,225,382,272,451
0.315,480,1666,2589,4451,279,325,282,425
0.325,496,1677,2592,4421,312,320,280,446
0.335,530,1679,2585,4438,260,354,244,460
0.345,513,1677,2547,4375,272,338,274,465
0.355,503,1673,2493,4381,278,354,302,455
0.365,510,1653,2443,4337,284,338,330,441
0.375,526,1671,2409,4257,253,323,309,425
0.385,541,1683,2389,4234,231,297,318,459
0.395,546,1678,2366,4112,222,273,348,464
0.405,540,1659,2304,3957,242,270,363,422
0.415,546,1627,2215,3852,253,308,309,439
0.425,584,1586,2138,3748,220,336,287,419
0.435,643,1547,2057,3652,194,320,304,406
0.445,714,1517,1969,3602,210,287,320,432
0.455,803,1486,1915,3581,220,344,332,417
0.465,876,1457,1867,3715,228,296,369,416
0.475,904,1447,1819,3854,220,290,381,419
0.485,928,1471,1983,3937,228,284,360,432
0.495,956,1461,2253,3929,236,274,347,413
0.505,950,1461,2349,3919,243,283,340,418
0.515,937,1477,2509,3911,237,294,353,423
0.525,954,1486,2604,3913,214,323,365,418
0.535,962,1475,2599,3888,228,310,344,432
0.545,954,1458,2541,3868,232,321,311,433
0.555,925,1476,2546,3900,239,333,318,470
0.565,847,1518,2530,3864,292,326,327,487
0.575,750,1539,2502,3870,308,306,317,490
0.585,700,1541,2497,3800,330,305,337,495
0.595,699,1545,2503,3782,309,329,317,480
0.605,704,1565,2508,3767,300,338,321,466
0.615,697,1588,2513,3839,242,347,330,445
0.625,674,1597,2525,3884,211,319,330,424
0.635,654,1627,2547,3999,171,294,338,440
0.645,653,1730,2579,4009,165,277,306,424
0.655,654,1957,2619,4013,175,285,302,425
0.665,644,1921,2662,3910,163,271,296,424
0.675,627,1902,2703,3792,156,276,282,425
0.685,609,1926,2733,3766,191,275,252,446
0.695,588,1839,2740,3788,251,329,293,450
0.705,560,1838,2716,3709,292,318,330,443
0.715,510,1920,2674,3639,315,295,348,448
0.725,448,1848,2623,3692,321,311,333,409
0.735,412,1666,2584,3849,343,304,365,403
0.745,411,1555,2568,3939,297,330,357,408
0.755,437,1557,2567,4034,231,340,374,442
0.765,468,1574,2569,4058,229,343,365,437
0.775,493,1308,2568,4215,155,384,335,427
0.785,523,1203,2563,4332,145,360,350,408
0.795,546,1141,2572,4373,133,320,358,406
0.805,548,1086,2606,4365,148,288,353,419
0.815,545,1067,2648,4376,162,312,377,384
0.825,546,1083,2681,4390,169,285,370,349
0.835,544,1088,2704,4345,168,312,370,358
0.845,545,1070,2716,4296,178,278,380,358
0.855,560,1053,2720,4266,206,303,379,350
0.865,569,1042,2719,4235,210,287,374,353
0.875,550,1038,2716,4262,206,310,356,347
0.885,515,1046,2709,4224,214,293,341,352
0.895,491,1077,2698,4229,197,320,331,367
0.905,483,1179,2682,4273,196,322,353,427
0.915,480,1337,2659,4247,246,276,352,398
0.925,472,1446,2635,4215,223,301,353,408
0.935,458,1512,2615,4115,183,312,334,400
0.945,440,1577,2607,4099,214,319,326,431
0.955,440,1639,2609,4103,248,345,314,459
0.965,464,1650,2612,4311,236,341,296,502
0.975,482,1634,2611,4511,173,345,273,466
0.985,475,1672,2600,4563,202,355,283,410
0.995,460,1732,2582,4586,203,357,263,425
1.005,457,1798,2566,4526,210,370,318,421
1.015,460,1870,2555,4572,185,368,317,401
1.025,454,1952,2540,4552,193,346,339,378
1.035,442,2008,2509,4591,197,335,319,382
1.045,434,1994,2467,4715,188,311,338,403
1.055,435,1953,2439,4750,184,295,371,396
1.065,441,1922,2447,4706,178,295,405,423
1.075,441,1899,2479,4639,187,325,371,448
1.085,420,1882,2503,4573,224,323,411,478
1.095,384,1872,2504,4491,247,325,361,467
1.105,357,1870,2517,4399,302,353,341,461
1.115,350,1875,2576,4415,286,352,345,453
1.125,362,1886,2652,4488,291,368,324,467
1.135,388,1905,2700,4543,274,372,324,467
1.145,419,1932,2744,4600,235,342,350,458
1.155,446,1967,2825,4718,157,317,374,447
1.165,470,2011,2930,4782,182,321,387,381
1.175,497,2064,3023,4721,182,306,350,389
1.185,534,2074,3065,4688,175,292,355,389
1.195,564,2125,3058,4640,158,308,338,416
1.205,562,2199,3033,4641,154,332,314,420
1.215,533,2284,3018,4604,154,337,306,426
1.225,503,2364,3020,4532,156,344,297,422
1.235,482,2424,3024,4427,152,353,281,413
