sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,554,1575,2461,3585,240,322,373,446
0.015,585,1546,2454,3491,280,344,338,453
0.025,623,1510,2503,3580,273,335,335,429
0.035,652,1572,2406,3651,281,331,323,428
0.045,738,1587,2427,3652,295,364,325,473
0.055,714,1671,2455,3612,269,341,331,449
0.065,729,1690,2516,3636,264,333,323,442
0.075,763,1661,2559,3659,255,330,348,424
0.085,784,1643,2615,3673,273,304,348,409
0.095,873,1661,2713,3719,273,335,364,444
0.105,919,1735,2689,3844,277,343,364,460
0.115,856,1753,2717,3956,265,326,351,474
0.125,878,1676,2744,4016,255,336,358,481
0.135,856,1670,2686,4058,217,362,340,478
0.145,874,1682,2671,4061,224,355,347,469
0.155,984,1742,2618,4028,226,355,346,474
0.165,1010,1863,2536,3992,223,372,346,477
0.175,988,1871,2549,3981,234,368,345,458
0.185,993,1909,2496,3841,236,327,353,445
0.195,954,1874,2555,3732,240,297,342,458
0.205,956,1786,2603,3723,242,281,389,442
0.215,1027,1886,2496,3667,242,325,363,425
0.225,1032,1902,2541,3765,193,321,344,435
0.235,985,1849,2553,3770,229,292,364,441
0.245,1035,1916,2462,3721,224,311,360,430
0.255,981,1896,2498,3744,227,284,353,410
0.265,959,1904,2587,3785,223,307,364,441
0.275,1051,2021,2534,3746,221,337,376,450
0.285,1050,1918,2566,3725,227,304,379,457
0.295,1039,1954,2554,3700,208,311,374,448
0.305,1021,1962,2543,3698,202,290,390,458
0.315,1014,2008,2488,3687,211,303,379,433
0.325,968,1907,2501,3653,204,290,374,433
0.335,978,1871,2523,3625,226,319,382,412
0.345,1016,1928,2585,3789,222,307,335,444
0.355,991,1915,2695,3828,205,291,356,456
0.365,978,1898,2759,3809,241,308,358,462
0.375,945,2016,2766,3858,213,326,329,457
0.385,996,2004,2866,3874,252,294,345,471
0.395,1020,2009,2938,3855,250,276,366,489
0.405,1039,2023,2995,3870,225,323,373,469
0.415,1030,1934,3032,3899,233,309,364,453
0.425,1075,1920,3109,3992,223,298,368,435
0.435,957,1857,3080,4024,224,310,331,449
0.445,944,1848,3107,3986,256,269,320,444
0.455,992,1919,3114,3998,253,300,334,449
0.465,1014,1938,3160,4014,272,289,354,479
0.475,1001,1929,3120,4146,229,304,331,475
0.485,952,1883,3113,4168,268,274,334,451
0.495,973,1831,3111,4174,261,300,331,433
0.505,986,1867,3042,4185,238,292,330,408
0.515,1000,1937,3074,4188,230,287,348,434
0.525,1049,1950,3089,4157,248,291,359,451
0.535,945,1864,3037,4054,270,312,350,445
0.545,932,1912,3043,4048,244,312,368,460
0.555,886,1908,3042,4119,234,277,351,471
0.565,915,1963,3071,4094,212,294,375,446
0.575,1003,1910,3190,4180,228,285,358,451
0.585,915,1878,3260,4205,237,298,363,450
0.595,1001,1862,3274,4201,253,294,361,428
0.605,895,1816,3218,4180,253,299,315,447
0.615,938,1700,3195,4216,252,269,313,463
0.625,970,1658,3195,4162,234,329,341,496
0.635,1016,1730,3243,4128,242,287,333,499
0.645,1007,1794,3203,4042,253,300,347,483
0.655,1053,1767,3120,4029,220,296,322,444
0.665,1045,1807,3143,4017,229,283,353,443
0.675,918,1922,3101,4049,223,304,366,471
0.685,903,1825,3047,4089,235,269,361,460
0.695,1012,1907,3003,4169,231,306,393,454
0.705,1044,1904,2950,4209,223,311,395,446
0.715,1048,1846,2916,4207,240,308,385,446
0.725,1031,1882,2855,4196,239,353,375,447
0.735,914,1845,2805,4132,246,338,326,435
0.745,914,1907,2762,4050,259,309,343,426
