sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,578,1495,2434,3510,267,292,349,422
0.015,534,1577,2435,3523,281,317,324,418
0.025,520,1556,2487,3492,309,337,340,439
0.035,495,1560,2481,3553,289,320,332,440
0.045,488,1550,2486,3596,318,296,355,438
0.055,480,1529,2429,3590,284,335,324,452
0.065,473,1503,2480,3634,298,296,349,423
0.075,467,1475,2496,3578,306,294,373,402
0.085,463,1449,2501,3586,309,316,318,395
0.095,463,1430,2499,3623,291,326,316,419
0.105,466,1421,2492,3651,280,305,337,420
0.115,476,1420,2483,3725,275,332,323,433
0.125,491,1424,2476,3742,278,322,351,411
0.135,514,1428,2473,3778,314,308,340,379
0.145,545,1427,2478,3928,274,301,350,411
0.155,579,1419,2494,3905,270,316,359,433
0.165,609,1407,2519,3913,280,333,340,450
0.175,625,1391,2549,3912,219,362,356,477
0.185,619,1376,2577,3978,232,378,335,479
0.195,599,1362,2598,4019,234,387,339,454
0.205,575,1353,2611,3962,230,382,325,426
0.215,558,1347,2616,4020,229,381,355,453
0.225,554,1342,2615,4060,234,355,357,461
0.235,557,1338,2609,4054,221,336,382,460
0.245,563,1333,2599,3978,232,330,360,479
0.255,566,1326,2589,3973,254,334,357,455
0.265,567,1317,2583,4058,234,301,324,442
0.275,563,1306,2582,4064,243,296,359,428
0.285,554,1296,2587,4092,230,312,313,400
0.295,543,1285,2594,4113,257,287,328,421
0.305,532,1276,2603,4157,242,308,329,409
0.315,526,1269,2611,4197,227,305,320,416
0.325,525,1266,2617,4274,219,289,335,424
0.335,527,1265,2619,4196,257,289,380,391
0.345,529,1266,2619,4237,249,300,331,400
0.355,529,1268,2618,4159,252,299,347,423
0.365,529,1269,2616,4244,229,271,307,408
0.375,528,1268,2614,4191,213,316,353,400
0.385,529,1264,2613,4242,223,284,347,413
0.395,531,1258,2613,4251,228,292,340,444
0.405,533,1250,2613,4117,223,309,330,449
0.415,530,1243,2614,4123,244,310,366,409
0.425,523,1237,2615,4144,281,277,347,437
0.435,511,1234,2617,4164,246,282,337,435
0.445,496,1234,2618,4189,245,285,331,421
0.455,480,1236,2618,4236,224,284,342,416
0.465,464,1238,2618,4278,209,298,324,431
0.475,451,1237,2616,4178,213,271,323,419
0.485,441,1234,2614,4222,216,273,339,402
0.495,435,1225,2610,4191,258,268,344,417
0.505,432,1214,2605,4042,269,288,374,421
0.515,432,1201,2602,4002,268,268,355,426
0.525,434,1188,2600,4115,254,282,325,436
0.535,435,1176,2601,4195,204,305,355,408
0.545,434,1167,2605,4167,207,282,369,386
0.555,428,1160,2615,4147,231,267,319,387
0.565,416,1155,2629,4149,231,310,318,353
0.575,396,1151,2646,4156,207,322,323,358
0.585,369,1145,2662,4129,198,281,329,375
0.595,346,1138,2674,4118,177,309,357,422
0.605,336,1128,2679,4115,137,332,375,391
0.615,346,1115,2675,4125,177,309,376,414
0.625,363,1099,2669,4140,158,328,393,435
0.635,369,1080,2670,4159,171,323,377,429
0.645,360,1058,2687,4186,256,340,375,439
0.655,343,1033,2722,4132,196,358,370,443
0.665,330,1005,2767,4098,171,365,360,438
0.675,328,974,2813,4063,186,366,388,452
0.685,347,962,2850,4090,189,386,395,452
0.695,329,898,2871,4167,120,383,388,447
0.705,324,850,2905,4274,53,411,399,417
0.715,337,887,2893,4310,94,373,394,380
0.725,360,915,2870,4367,155,321,348,400
0.735,362,941,2842,4378,144,345,339,383
0.745,409,1080,2840,4465,147,359,348,386
0.755,434,1360,2882,4601,180,353,357,394
0.765,427,1633,2927,4649,198,321,390,398
0.775,441,1773,2956,4519,243,333,368,482
0.785,482,1908,2971,4506,313,353,342,479
0.795,499,2007,2969,4460,327,363,345,470
0.805,434,1987,2973,4443,322,351,363,465
0.815,381,1984,2972,4467,262,332,375,499
0.825,391,2024,2944,4579,233,338,350,491
0.835,385,2063,2946,4733,268,338,378,499
0.845,360,2063,2994,4826,228,321,373,433
0.855,363,2054,3019,4754,258,296,381,416
0.865,388,2055,3013,4740,243,312,384,440
0.875,388,2057,2997,4622,262,311,360,445
0.885,364,2056,2977,4531,298,325,343,447
0.895,360,2050,2943,4395,269,311,369,472
0.905,360,2037,2905,4202,255,318,349,497
0.915,362,2014,2878,4145,272,325,342,513
0.925,382,1980,2827,4024,287,283,349,490
0.935,405,1938,2711,3926,263,322,326,447
0.945,424,1893,2576,3866,248,332,324,442
0.955,445,1888,2477,3767,281,302,336,443
0.965,464,1940,2385,3717,254,307,364,451
0.975,490,1838,2262,3586,200,284,347,428
0.985,537,1628,2147,3604,179,284,305,362
0.995,566,1503,2087,3655,186,300,300,390
1.005,575,1434,2105,3738,181,298,328,403
1.015,613,1340,2189,3792,193,315,292,376
1.025,667,1282,2283,3798,185,307,281,365
1.035,687,1274,2357,3806,182,299,317,356
1.045,684,1274,2399,3855,202,301,317,363
1.055,696,1274,2434,3913,204,293,309,358
1.065,733,1276,2485,3976,208,294,306,357
1.075,753,1278,2567,4067,202,298,310,358
1.085,735,1266,2655,4121,206,279,301,363
1.095,712,1245,2713,4178,204,292,320,352
1.105,712,1245,2744,4225,195,307,334,338
1.115,749,1269,2761,4237,196,286,312,337
1.125,786,1270,2795,4263,198,289,284,340
1.135,777,1249,2846,4251,199,300,289,329
1.145,748,1243,2888,4236,196,297,301,334
1.155,730,1271,2905,4232,195,295,298,338
1.165,721,1302,2900,4247,198,303,298,340
1.175,718,1304,2880,4295,194,293,275,340
1.185,719,1277,2851,4264,201,300,293,370
1.195,722,1239,2819,4262,167,268,388,442
1.205,707,1203,2790,4224,199,314,353,434
1.215,644,1181,2772,4199,194,342,332,415
1.225,579,1177,2766,4183,245,364,328,439
1.235,555,1177,2772,4152,297,316,345,439
1.245,557,1158,2787,4079,273,294,350,432
1.255,553,1142,2851,4017,237,338,313,440
1.265,561,1144,2833,3982,232,323,311,438
1.275,596,1144,2865,4014,227,331,330,439
1.285,631,1125,2929,3986,237,337,336,451
1.295,652,1111,3009,4047,160,362,412,422
1.305,672,1127,3088,4064,157,376,422,410
1.315,692,1146,3152,4061,145,350,401,396
1.325,712,1144,3196,4097,170,289,373,382
1.335,735,1143,3229,4150,189,294,359,364
1.345,762,1162,3257,4098,200,300,361,382
1.355,791,1180,3293,4088,184,300,358,400
1.365,815,1176,3351,4131,185,300,366,403
1.375,826,1154,3436,4216,171,301,374,407
1.385,823,1120,3508,4255,168,300,389,419
1.395,804,1088,3527,4316,169,284,383,414
1.405,766,1077,3500,4387,196,310,364,421
1.415,703,1095,3445,4467,208,325,343,452
1.425,610,1140,3383,4403,241,330,352,499
1.435,484,1207,3332,4334,227,332,348,520
1.445,374,1296,3313,4406,203,341,308,497
1.455,332,1414,3267,4492,192,318,282,471
1.465,325,1553,3241,4552,224,304,316,464
