sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,642,1470,2402,3567,270,295,359,433
0.015,711,1526,2403,3641,283,272,329,429
0.025,752,1566,2405,3714,278,294,333,438
0.035,801,1652,2408,3757,266,308,330,438
0.045,845,1659,2506,3822,260,327,333,447
0.055,874,1663,2515,3861,231,341,337,465
0.065,874,1733,2511,3894,245,335,333,473
0.075,864,1760,2533,3899,260,335,345,482
0.085,909,1773,2539,3915,248,336,337,455
0.095,955,1754,2613,4006,254,316,357,465
0.105,919,1709,2635,4051,256,302,338,467
0.115,960,1746,2650,4044,263,305,342,462
0.125,939,1853,2673,4139,219,364,329,448
0.135,976,1861,2716,4041,232,352,346,437
0.145,942,1831,2748,3971,244,337,340,429
0.155,984,1720,2755,3875,274,305,330,442
0.165,1013,1759,2757,3897,270,304,327,446
0.175,986,1766,2838,3890,229,311,362,453
0.185,926,1818,2773,3955,223,328,340,458
0.195,997,1852,2708,3914,249,310,365,478
0.205,949,1889,2731,3937,212,328,382,468
0.215,921,1854,2716,3898,226,327,359,469
0.225,888,1854,2791,3900,232,354,348,454
0.235,995,1654,2946,3880,253,320,331,469
0.245,959,1651,2860,4073,227,311,373,381
0.255,905,1711,2818,4120,196,342,395,423
0.265,984,1684,2716,4206,226,297,346,393
0.275,940,1600,2637,4242,217,307,339,392
0.285,823,1638,2617,4250,199,278,361,388
0.295,785,1643,2595,4317,204,295,350,389
0.305,702,1658,2588,4394,195,266,350,391
0.315,710,1723,2608,4422,176,262,342,404
0.325,686,1857,2652,4441,171,246,339,405
0.335,619,1979,2722,4430,191,281,293,398
0.345,600,2051,2806,4441,207,307,274,393
0.355,582,2101,2890,4552,193,324,257,409
0.365,530,2148,2958,4527,191,328,253,392
0.375,548,2198,3003,4483,190,317,250,390
0.385,540,2255,3030,4438,190,326,266,414
0.395,528,2311,3042,4414,198,339,251,422
0.405,538,2356,3043,4433,175,356,238,432
0.415,492,2379,3042,4334,168,365,265,459
