sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,652,1470,2468,3651,249,326,371,427
0.015,614,1586,2477,3749,255,335,346,446
0.025,608,1587,2490,3819,233,320,346,443
0.035,608,1544,2490,3873,243,301,351,478
0.045,595,1525,2490,3845,221,306,369,485
0.055,568,1588,2490,3938,233,309,396,491
0.065,543,1634,2491,4063,253,301,390,458
0.075,537,1628,2492,4132,225,302,373,465
0.085,541,1616,2489,4174,243,319,359,437
0.095,540,1601,2483,4209,312,314,334,422
0.105,527,1577,2473,4204,292,299,327,441
0.115,503,1560,2458,4205,284,320,333,453
0.125,481,1565,2446,4200,209,314,332,447
0.135,477,1596,2444,4110,204,324,319,443
0.145,491,1631,2446,4122,236,330,305,432
0.155,497,1651,2445,4114,224,323,316,452
0.165,482,1649,2444,3973,215,311,326,467
0.175,466,1655,2449,3737,256,295,317,454
0.185,454,1668,2462,3601,240,275,308,415
0.195,436,1673,2478,3659,213,262,302,361
0.205,417,1671,2489,3671,205,266,293,335
0.215,408,1672,2487,3650,197,258,325,323
0.225,410,1664,2460,3685,207,264,316,309
0.235,406,1652,2408,3712,208,288,333,338
0.245,393,1650,2355,3721,210,343,308,397
0.255,377,1647,2315,3767,242,355,344,472
0.265,352,1606,2284,3843,272,386,309,490
0.275,304,1548,2269,3857,256,383,303,482
0.285,252,1535,2273,3911,295,360,295,488
0.295,223,1534,2287,3993,306,320,299,480
0.305,203,1512,2298,4077,309,346,304,477
0.315,188,1494,2308,4173,335,340,295,481
0.325,198,1505,2326,4126,301,338,306,452
0.335,236,1517,2349,4061,251,356,323,450
0.345,279,1489,2367,3932,200,339,324,440
0.355,309,1448,2377,3728,213,329,317,408
0.365,367,1427,2380,3634,217,331,308,361
0.375,464,1426,2378,3719,197,314,322,336
0.385,485,1442,2380,3747,197,304,312,326
0.395,474,1490,2392,3778,196,302,315,331
0.405,488,1556,2397,3706,188,302,288,323
0.415,501,1582,2450,3727,200,304,318,307
0.425,498,1582,2437,3677,192,303,296,317
0.435,475,1582,2407,3714,206,299,301,356
0.445,434,1582,2388,3652,213,286,293,374
0.455,388,1587,2351,3717,217,299,334,412
0.465,349,1577,2287,3747,227,303,303,445
0.475,308,1547,2215,3713,257,289,319,433
