sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,479,1406,2499,3659,265,296,343,430
0.015,514,1364,2465,3646,277,328,311,409
0.025,492,1465,2486,3673,294,311,313,454
0.035,418,1506,2477,3712,286,302,332,438
0.045,498,1498,2448,3734,262,295,326,455
0.055,526,1435,2467,3751,308,297,309,457
0.065,479,1456,2439,3780,309,304,315,448
0.075,483,1483,2435,3725,294,297,332,462
0.085,532,1513,2417,3664,288,322,322,454
0.095,526,1420,2467,3672,325,310,323,450
0.105,548,1419,2519,3710,296,280,313,466
0.115,454,1496,2503,3767,286,293,335,448
0.125,466,1461,2500,3831,255,319,331,432
0.135,503,1517,2556,3929,214,323,356,448
0.145,470,2064,2563,3879,232,346,332,431
0.155,389,1987,2619,3824,240,342,320,429
0.165,387,1997,2652,3819,251,312,354,432
0.175,377,2031,2708,3772,213,298,350,426
0.185,323,2037,2625,3807,238,340,298,435
0.195,286,2038,2680,3721,219,327,318,430
0.205,268,2077,2667,3753,212,318,334,403
0.215,241,2123,2726,3682,256,312,340,399
0.225,230,2147,2724,3711,195,281,330,405
0.235,255,2152,2747,3616,202,303,358,406
0.245,273,2153,2770,3618,208,283,334,392
0.255,264,2203,2772,3693,208,289,345,413
0.265,246,2311,2750,3847,204,319,309,390
0.275,231,2364,2729,3901,208,317,322,377
0.285,229,2433,2730,3929,203,336,303,400
0.295,230,2384,2717,3986,197,330,328,405
0.305,230,2274,2687,4033,197,345,333,432
0.315,229,2268,2666,3997,188,353,324,434
0.325,230,2290,2652,4047,223,344,311,440
0.335,231,2306,2643,4091,244,337,306,453
0.345,227,2307,2649,4076,252,346,304,452
0.355,225,2306,2677,4045,248,327,311,449
0.365,250,2289,2695,3713,213,303,347,392
0.375,293,2220,2691,3681,212,287,353,351
0.385,325,2147,2695,3659,207,294,354,311
0.395,342,2101,2712,3707,200,273,322,309
0.405,362,2071,2733,3692,204,291,326,299
0.415,384,2059,2754,3734,195,276,318,305
0.425,403,2063,2777,3784,203,265,324,332
0.435,417,2080,2801,3791,183,269,323,363
0.445,427,2102,2812,3731,189,284,330,376
0.455,427,2124,2807,3660,192,292,330,365
0.465,414,2137,2792,3662,178,292,321,409
0.475,389,2149,2772,3711,183,293,305,390
0.485,366,2152,2752,3709,202,290,319,413
0.495,350,2159,2730,3641,208,313,322,396
0.505,344,2186,2706,3685,216,326,313,381
0.515,345,2184,2691,3721,225,312,323,367
0.525,344,2150,2692,3791,222,318,305,385
0.535,340,2110,2688,3874,216,305,296,376
0.545,346,2048,2661,3951,205,297,294,386
0.555,371,1963,2624,4032,216,311,310,412
0.565,385,1875,2592,4068,260,309,330,441
0.575,360,1799,2567,4160,294,318,375,472
0.585,318,1724,2543,4165,332,345,380,447
0.595,306,1657,2525,4106,315,365,353,436
0.605,302,1620,2520,4213,330,366,342,478
0.615,271,1612,2539,4198,234,381,316,443
0.625,242,1626,2583,4165,312,362,325,442
0.635,230,1651,2620,4163,283,331,348,430
