sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,544,1487,2515,3604,255,281,367,449
0.015,615,1525,2502,3540,293,283,389,451
0.025,694,1511,2491,3566,289,300,337,429
0.035,775,1500,2462,3611,306,303,319,429
0.045,818,1594,2538,3650,277,301,320,422
0.055,891,1619,2635,3726,266,323,335,445
0.065,867,1766,2625,3802,271,310,364,445
0.075,953,1806,2592,3834,276,328,349,443
0.085,941,1873,2631,3866,245,342,352,460
0.095,924,1920,2646,3838,232,331,334,460
0.105,898,1873,2712,3849,243,313,355,457
0.115,877,1906,2640,3828,249,317,362,450
0.125,951,1896,2679,3784,275,284,395,460
0.135,986,1885,2751,3802,238,311,356,433
0.145,1036,1875,2806,3795,249,309,342,429
0.155,1049,1864,2853,3811,268,325,342,420
0.165,966,1852,2915,3869,234,316,345,424
0.175,909,1838,2923,3993,229,311,332,444
0.185,932,1822,2893,4014,240,316,345,456
0.195,920,1805,2852,4046,240,347,355,467
0.205,852,1784,2802,4073,234,361,377,488
0.215,887,1761,2630,4100,246,385,346,486
0.225,673,1734,2540,4066,230,330,343,453
0.235,612,1703,2370,4148,206,354,315,447
0.245,587,1668,2389,4293,241,359,302,461
0.255,545,1628,2459,4276,250,340,309,441
0.265,539,1583,2457,4277,225,325,298,453
0.275,525,1533,2412,4284,202,328,282,439
0.285,535,1480,2351,4339,209,314,285,436
0.295,491,1428,2300,4409,193,324,325,433
0.305,492,1378,2266,4520,211,318,337,422
0.315,493,1334,2246,4551,217,318,340,424
0.325,532,1295,2226,4497,242,313,330,413
0.335,499,1262,2172,4442,246,334,323,407
0.345,481,1232,2079,4436,282,312,294,411
0.355,526,1206,2001,4369,282,278,286,391
0.365,541,1182,1936,4401,262,289,304,426
0.375,551,1158,1882,4478,239,322,326,412
0.385,535,1136,1836,4510,252,290,367,407
0.395,523,1114,1795,4497,252,302,352,440
0.405,505,1096,1758,4461,241,317,355,430
0.415,478,1083,1721,4525,197,342,357,426
0.425,482,1078,1686,4533,231,305,361,407
0.435,482,1081,1656,4529,212,311,369,405
0.445,502,1092,1634,4493,203,315,415,381
0.455,517,1107,1623,4462,183,302,425,360
0.465,470,1124,1627,4448,218,295,382,387
0.475,467,1140,1648,4362,238,303,320,371
0.485,497,1152,1679,4316,249,282,305,383
0.495,535,1157,1718,4277,255,277,296,406
0.505,553,1154,1756,4295,268,272,317,418
0.515,590,1144,1792,4328,237,257,294,404
0.525,596,1129,1824,4323,229,250,313,396
0.535,576,1110,1852,4285,238,255,317,401
0.545,580,1088,1875,4189,225,261,283,412
0.555,587,1066,1893,4153,227,293,307,472
0.565,620,1043,1908,4197,225,296,266,467
0.575,629,1023,1921,4184,232,269,314,431
0.585,599,1005,1934,4160,221,272,309,418
0.595,627,989,1947,4138,224,260,280,428
0.605,631,977,1961,4142,228,282,288,443
0.615,603,968,1976,4138,231,257,293,442
0.625,562,962,1992,4100,229,287,271,429
0.635,530,960,2008,4149,248,270,283,440
0.645,505,962,2024,4114,254,280,275,432
0.655,469,969,2041,4082,251,283,286,445
0.665,419,980,2059,4045,251,264,261,425
0.675,396,996,2077,4059,254,290,282,416
0.685,386,1017,2097,4072,259,276,295,408
0.695,365,1044,2119,4078,258,262,292,404
0.705,372,1076,2143,4060,255,276,305,398
0.715,386,1112,2169,3981,230,277,318,390
0.725,391,1150,2197,3945,240,299,323,392
0.735,402,1189,2224,3864,232,301,309,373
0.745,444,1227,2251,3897,210,315,331,344
0.755,431,1262,2276,3853,221,310,304,333
0.765,466,1294,2297,3967,232,301,347,381
0.775,462,1322,2316,4004,254,299,359,413
0.785,428,1346,2332,4020,283,301,358,388
0.795,390,1368,2347,4056,286,264,386,419
0.805,374,1386,2363,4112,302,291,383,405
0.815,470,1403,2382,4194,342,326,341,407
0.825,491,1419,2404,4292,318,355,342,413
0.835,503,1434,2427,4195,346,311,357,382
0.845,521,1448,2452,4107,318,307,377,406
0.855,541,1462,2476,4218,351,319,383,391
0.865,564,1475,2501,4251,317,340,348,387
0.875,589,1488,2524,4232,302,323,369,366
0.885,610,1499,2545,4127,277,298,387,378
0.895,616,1510,2563,4141,263,285,387,360
0.905,613,1520,2577,4195,248,252,374,355
0.915,611,1529,2587,4069,281,210,376,389
0.925,613,1536,2594,4042,235,265,371,434
0.935,614,1542,2596,4014,257,311,367,440
0.945,611,1547,2594,3978,257,330,351,447
0.955,603,1550,2587,4001,263,326,347,433
0.965,590,1552,2577,4020,239,332,334,433
0.975,575,1551,2563,4003,261,299,360,391
0.985,563,1549,2544,4016,219,313,374,388
0.995,551,1545,2521,4074,241,304,360,371
1.005,540,1539,2494,4057,242,305,358,387
1.015,526,1532,2466,4083,265,314,322,395
1.025,511,1524,2437,4044,266,322,338,429
1.035,497,1516,2410,4057,237,333,346,413
1.045,487,1507,2386,4031,266,339,332,440
1.055,477,1498,2368,4028,222,325,337,412
1.065,462,1490,2355,3909,259,314,324,416
1.075,434,1483,2346,3891,256,326,319,438
1.085,410,1477,2340,3982,261,323,310,431
1.095,424,1473,2335,4180,256,303,335,447
1.105,451,1470,2329,4284,250,314,353,419
1.115,423,1470,2323,4410,277,282,360,422
1.125,372,1473,2315,4407,301,306,333,406
1.135,364,1476,2308,4450,322,322,331,385
1.145,382,1478,2302,4400,331,350,331,372
1.155,402,1478,2297,4378,289,376,338,390
1.165,413,1473,2293,4398,304,336,332,364
1.175,413,1463,2292,4349,285,350,317,367
1.185,407,1448,2294,4430,270,346,333,373
1.195,406,1426,2299,4423,230,350,340,347
1.205,424,1400,2306,4332,260,333,359,389
1.215,448,1370,2314,4377,238,346,335,365
1.225,451,1336,2322,4398,256,358,319,371
1.235,451,1301,2329,4310,242,322,358,356
