sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,523,1523,2428,3573,257,322,347,415
0.015,519,1510,2484,3665,280,319,324,439
0.025,539,1474,2524,3682,281,293,332,422
0.035,624,1449,2468,3705,314,326,305,471
0.045,641,1463,2507,3732,280,313,332,464
0.055,695,1524,2454,3672,264,303,350,478
0.065,744,1572,2430,3626,300,321,349,479
0.075,700,1594,2449,3611,230,343,337,470
0.085,712,1570,2446,3591,200,349,319,428
0.095,680,1498,2457,3677,191,338,313,435
0.105,704,1440,2412,3679,212,306,340,449
0.115,670,1452,2392,3709,207,300,317,459
0.125,641,1436,2374,3734,287,306,324,454
0.135,663,1506,2429,3739,301,288,319,453
0.145,669,1558,2485,3845,267,323,343,456
0.155,559,1614,2508,4001,218,308,358,489
0.165,454,1673,2548,4081,218,270,335,465
0.175,400,1730,2628,4033,206,269,292,443
0.185,384,1784,2709,3923,182,262,312,468
0.195,394,1833,2750,3783,175,262,328,486
0.205,417,1872,2747,3666,210,292,350,448
0.215,433,1900,2745,3585,155,305,326,385
0.225,434,1914,2746,3591,163,316,312,396
0.235,428,1915,2729,3590,167,301,317,413
0.245,428,1905,2697,3572,179,304,315,403
0.255,447,1885,2649,3524,189,288,334,415
0.265,468,1853,2563,3462,183,283,328,416
0.275,472,1805,2428,3465,165,285,312,400
0.285,470,1742,2300,3441,147,258,315,419
0.295,476,1674,2207,3443,168,260,317,385
0.305,468,1607,2109,3407,167,280,320,393
0.315,437,1544,2001,3335,170,310,320,403
0.325,433,1484,1892,3298,175,290,320,404
0.335,455,1428,1819,3270,178,296,318,405
0.345,470,1375,1789,3278,186,315,302,410
0.355,453,1325,1763,3251,200,300,314,414
0.365,411,1278,1716,3297,213,315,311,409
0.375,359,1234,1684,3330,226,308,298,396
0.385,316,1195,1693,3417,232,288,301,421
0.395,298,1163,1723,3545,245,305,367,438
0.405,283,1138,1754,3557,202,319,372,424
0.415,243,1122,1790,3495,218,341,340,454
0.425,201,1117,1833,3542,218,328,351,470
0.435,205,1121,1877,3537,218,321,321,462
0.445,234,1132,1917,3472,219,290,335,451
0.455,230,1144,1952,3586,222,311,343,414
0.465,235,1154,1992,3693,214,295,305,416
0.475,298,1157,2055,3770,208,336,281,420
0.485,368,1154,2163,3870,238,300,261,413
0.495,411,1154,2295,3901,255,300,272,450
0.505,461,1164,2410,3935,234,299,269,458
0.515,506,1181,2472,3883,221,311,290,500
0.525,498,1194,2510,3893,223,308,276,449
0.535,469,1193,2564,3932,210,298,267,417
0.545,465,1178,2596,3940,225,306,277,424
0.555,470,1155,2591,3966,212,304,260,395
0.565,460,1130,2582,3949,205,312,277,392
0.575,436,1112,2582,3955,222,293,283,393
0.585,411,1101,2588,3963,221,302,285,396
0.595,394,1095,2601,3971,220,289,287,402
0.605,390,1087,2619,3997,226,292,295,405
0.615,393,1075,2643,3985,236,293,281,413
0.625,388,1059,2663,3992,218,310,275,371
0.635,369,1055,2664,4102,230,289,294,379
0.645,342,1079,2659,4235,234,283,305,401
0.655,318,1142,2689,4318,247,278,336,416
0.665,316,1222,2719,4352,290,333,372,397
0.675,347,1292,2660,4359,308,331,374,419
0.685,406,1326,2574,4337,264,368,361,432
0.695,439,1321,2574,4303,278,332,338,448
0.705,433,1297,2591,4384,252,298,374,448
0.715,435,1273,2587,4334,261,346,370,465
0.725,459,1263,2587,4295,239,319,351,500
0.735,495,1265,2589,4327,283,333,356,491
0.745,508,1271,2588,4370,240,320,325,457
0.755,478,1277,2584,4340,258,298,357,445
0.765,466,1279,2591,4301,305,302,374,482
0.775,470,1281,2614,4284,300,310,376,516
0.785,451,1283,2637,4170,258,304,379,500
0.795,418,1287,2669,4097,270,298,337,493
0.805,383,1295,2728,4038,286,300,294,467
0.815,358,1308,2758,4054,270,343,272,452
0.825,351,1329,2743,4094,286,315,288,433
0.835,356,1359,2711,4142,290,310,351,463
0.845,357,1399,2713,4161,284,304,366,449
0.855,340,1445,2759,4150,252,307,391,467
0.865,317,1494,2820,4158,239,274,382,432
0.875,319,1543,2869,4233,305,241,395,454
0.885,344,1588,2896,4189,306,234,357,432
0.895,351,1625,2916,4156,313,264,344,433
0.905,341,1653,2907,4109,304,251,339,455
0.915,364,1666,2861,4059,278,263,346,427
0.925,423,1662,2878,4002,299,271,319,417
0.935,440,1646,2577,3931,254,280,368,439
0.945,429,1623,2441,3872,240,268,399,450
0.955,449,1600,2356,3768,238,253,433,499
0.965,497,1583,2169,3637,225,235,421,514
0.975,533,1579,2063,3506,194,228,412,446
0.985,547,1593,2088,3464,178,225,398,407
0.995,549,1627,2129,3474,171,231,378,402
1.005,548,1675,2273,3508,163,250,356,402
1.015,552,1730,2445,3499,165,264,348,399
1.025,541,1782,2578,3545,164,271,323,407
1.035,514,1819,2620,3589,163,265,322,406
1.045,509,1824,2637,3618,157,254,320,406
1.055,548,1786,2719,3677,170,245,306,412
1.065,551,1711,2833,3717,208,274,296,414
1.075,460,1611,2902,3696,247,310,317,427
1.085,397,1501,2935,3657,241,330,302,417
1.095,392,1410,2944,3623,240,344,313,424
1.105,385,1365,2933,3580,233,347,313,432
1.115,360,1366,2905,3522,226,359,311,423
1.125,350,1397,2865,3463,219,362,299,414
1.135,354,1441,2827,3446,207,363,279,425
1.145,345,1487,2804,3444,210,347,244,436
1.155,322,1525,2785,3442,199,323,272,449
1.165,310,1548,2756,3504,214,307,268,444
1.175,318,1548,2723,3521,230,277,322,435
1.185,345,1522,2700,3498,275,278,383,433
1.195,395,1478,2695,3540,314,269,368,440
1.205,452,1427,2707,3570,288,329,359,432
1.215,489,1380,2731,3596,315,320,352,423
1.225,514,1349,2745,3668,341,328,330,434
1.235,564,1339,2729,3802,318,302,351,464
1.245,624,1342,2707,3826,299,298,374,464
1.255,597,1350,2712,3914,286,310,377,458
1.265,537,1353,2736,3976,274,309,349,442
1.275,515,1342,2754,3968,233,318,361,461
1.285,510,1321,2751,4032,231,342,346,452
1.295,497,1290,2719,4079,221,377,302,437
1.305,476,1255,2677,4086,167,393,275,436
1.315,461,1218,2651,3995,116,405,287,391
1.325,465,1182,2635,3931,113,388,293,384
1.335,502,1150,2607,3953,151,355,258,380
1.345,553,1128,2506,3954,186,301,269,375
1.355,576,1117,2451,3919,200,324,250,380
1.365,591,1122,2463,3876,202,309,265,390
1.375,612,1138,2513,3862,195,319,281,398
1.385,651,1159,2571,3842,188,316,276,393
1.395,694,1180,2607,3850,192,314,263,402
1.405,715,1194,2599,3861,183,312,258,390
1.415,706,1195,2562,3881,201,312,256,394
1.425,669,1184,2532,3873,182,317,265,385
1.435,625,1163,2538,3930,205,307,246,367
1.445,598,1134,2573,3969,188,309,279,394
1.455,579,1100,2624,3974,199,311,328,425
1.465,556,1063,2677,3950,212,330,306,446
1.475,532,1026,2724,3930,219,318,277,426
1.485,513,991,2769,3946,226,329,274,422
1.495,504,961,2811,3964,229,324,269,424
1.505,505,937,2852,4000,229,309,274,427
1.515,505,919,2888,4025,207,307,274,442
1.525,505,905,2916,3976,196,300,289,413
1.535,510,895,2933,3928,206,298,300,402
1.545,514,886,2932,3910,204,304,296,386
1.555,507,879,2908,3865,214,303,281,372
1.565,485,873,2866,3826,212,314,280,365
1.575,467,873,2817,3783,207,303,288,364
1.585,474,880,2778,3751,200,309,299,377
1.595,498,900,2764,3700,195,293,305,380
1.605,519,934,2774,3661,210,310,321,413
1.615,533,987,2794,3564,215,299,315,440
1.625,542,1058,2806,3472,214,307,301,431
1.635,548,1142,2798,3436,221,308,273,420
1.645,551,1233,2778,3453,219,319,299,418
1.655,546,1328,2751,3463,210,301,295,405
1.665,530,1435,2725,3498,191,293,305,406
1.675,511,1564,2700,3534,194,312,316,394
1.685,502,1722,2668,3666,214,334,315,401
1.695,502,1876,2626,3821,219,328,296,403
1.705,505,1996,2588,3936,240,368,297,396
1.715,503,2089,2566,4011,252,391,291,369
1.725,482,2140,2570,4015,254,383,286,387
1.735,430,2097,2607,4087,259,378,256,389
1.745,363,1972,2674,4118,239,375,275,393
1.755,317,1827,2724,4130,218,377,257,382
