sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,654,1414,2633,3689,231,300,409,476
0.015,700,1417,2728,3730,244,305,399,467
0.025,728,1471,2706,3751,230,338,369,444
0.035,760,1514,2714,3823,225,333,370,439
0.045,777,1573,2688,3947,260,320,317,435
0.055,771,1616,2667,4037,251,322,320,443
0.065,798,1590,2695,4016,234,302,329,472
0.075,820,1514,2737,3958,239,267,327,459
0.085,907,1482,2780,3971,238,309,338,474
0.095,947,1480,2818,4006,241,275,320,468
0.105,880,1522,2865,4044,199,317,283,459
0.115,907,1469,2865,4068,209,278,289,482
0.125,840,1450,2885,4046,194,331,307,494
0.135,812,1462,2899,3997,198,291,304,453
0.145,776,1501,2856,3885,226,293,304,481
0.155,773,1562,2785,3799,225,294,322,478
0.165,666,1643,2736,3865,176,274,299,436
0.175,634,1739,2705,3868,176,295,319,431
0.185,571,1847,2687,3951,194,323,295,409
0.195,493,1959,2680,4004,195,340,263,417
0.205,454,2050,2680,4154,190,359,249,430
0.215,413,2093,2684,4288,197,342,274,436
0.225,340,2100,2687,4298,194,341,315,441
0.235,306,2097,2688,4299,215,332,329,428
0.245,294,2105,2688,4270,227,349,335,436
0.255,382,2122,2687,4264,261,366,309,459
0.265,417,2136,2686,4245,299,354,299,446
0.275,369,2138,2686,4174,319,346,288,429
0.285,353,2117,2686,4094,273,368,311,421
0.295,361,2079,2686,4004,231,319,315,437
0.305,383,2032,2686,3988,193,288,346,463
0.315,411,1983,2686,3965,212,282,344,443
0.325,437,1939,2685,3998,206,267,340,430
0.335,450,1907,2684,4034,206,289,327,425
0.345,446,1889,2683,4067,211,289,328,413
0.355,432,1891,2684,4066,209,289,325,405
0.365,416,1917,2688,4047,198,280,324,398
0.375,410,1964,2692,4034,202,288,318,401
0.385,416,2025,2693,4012,197,281,320,398
0.395,429,2091,2686,3959,208,276,316,406
0.405,443,2150,2668,3882,200,287,304,403
0.415,452,2188,2642,3835,222,302,304,397
0.425,450,2188,2610,3842,206,292,305,405
0.435,435,2135,2576,3833,204,283,305,394
0.445,412,2024,2543,3879,198,296,328,387
0.455,388,1886,2514,3951,208,333,340,404
0.465,372,1759,2491,4061,224,322,326,408
0.475,369,1661,2472,4161,225,324,313,411
0.485,377,1584,2456,4237,217,306,317,418
0.495,390,1523,2444,4334,237,307,350,460
0.505,405,1467,2434,4328,218,336,368,458
0.515,418,1409,2427,4218,198,288,364,415
0.525,427,1357,2424,4159,209,303,375,361
0.535,436,1321,2425,4176,217,289,384,347
0.545,448,1311,2432,4186,212,290,390,344
0.555,466,1326,2444,4206,223,271,372,334
0.565,493,1358,2462,4183,228,277,378,329
0.575,534,1396,2483,4140,229,271,391,346
0.585,585,1433,2500,4092,211,262,398,380
0.595,633,1466,2507,4055,207,261,393,407
0.605,660,1493,2499,4062,231,280,390,453
0.615,662,1511,2469,4157,239,338,369,464
0.625,643,1520,2441,4296,222,324,321,449
0.635,607,1520,2457,4357,235,312,305,393
0.645,563,1513,2537,4343,247,305,282,353
0.655,519,1501,2648,4305,253,314,299,360
