sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,539,1555,2421,3626,249,341,368,442
0.015,532,1550,2542,3631,272,317,344,444
0.025,505,1543,2544,3664,284,328,327,463
0.035,491,1546,2543,3646,258,326,313,465
0.045,488,1557,2542,3597,256,340,328,445
0.055,489,1572,2542,3580,297,339,309,433
0.065,491,1587,2548,3611,270,334,320,431
0.075,491,1598,2557,3684,292,310,319,443
0.085,490,1592,2568,3645,285,296,353,437
0.095,488,1561,2578,3639,281,316,368,438
0.105,486,1541,2588,3644,240,358,350,442
0.115,488,1546,2598,3602,274,309,370,415
0.125,497,1555,2608,3655,229,357,329,412
0.135,510,1559,2617,3618,260,349,302,412
0.145,523,1557,2626,3630,232,360,309,427
0.155,531,1548,2632,3683,274,314,291,446
0.165,531,1533,2637,3798,277,343,267,471
0.175,529,1517,2638,3896,266,299,377,417
0.185,528,1509,2634,4015,288,245,410,378
0.195,528,1516,2627,4049,314,258,355,400
0.205,530,1536,2617,4065,319,308,310,421
0.215,531,1562,2607,4035,247,315,341,448
0.225,529,1586,2601,4045,260,302,343,440
0.235,523,1601,2602,4028,254,323,321,422
0.245,512,1611,2610,3957,246,321,368,438
0.255,497,1620,2624,3937,268,315,388,447
0.265,481,1636,2635,3884,270,307,373,459
0.275,466,1657,2634,3956,258,301,332,466
0.285,455,1681,2618,3853,296,290,347,418
0.295,450,1702,2595,3756,325,301,303,391
0.305,453,1717,2574,3697,320,302,361,408
0.315,451,1727,2569,3722,319,294,355,412
0.325,436,1740,2589,3614,314,251,385,414
0.335,418,1759,2631,3601,322,262,381,392
0.345,409,1788,2680,3609,323,265,365,386
0.355,411,1828,2723,3637,328,287,368,394
0.365,411,1880,2752,3683,318,268,370,400
0.375,412,1941,2779,3776,322,287,345,415
0.385,419,1998,2826,3817,273,276,392,424
0.395,413,2038,2896,3821,260,286,367,394
0.405,381,2057,2951,3736,193,285,351,387
0.415,367,2058,2964,3740,203,290,356,368
0.425,373,2045,2944,3842,195,298,336,345
0.435,372,2022,2903,3771,202,300,387,373
0.445,372,1991,2859,3890,264,344,362,359
0.455,372,1952,2830,3946,307,317,397,348
0.465,372,1905,2819,3900,289,316,421,354
0.475,375,1865,2817,3852,338,330,419,350
0.485,375,1852,2813,3882,349,319,411,345
0.495,362,1835,2796,3843,350,327,379,359
0.505,341,1775,2750,3830,381,327,357,425
0.515,328,1710,2675,3891,330,328,306,425
0.525,327,1678,2573,3952,352,351,305,438
0.535,337,1499,2438,3922,348,390,322,463
0.545,357,1217,2260,3837,310,363,341,447
0.555,389,1088,2065,3777,286,319,329,438
0.565,418,1047,1900,3785,241,298,343,429
0.575,411,1039,1796,3823,186,298,365,456
0.585,371,1036,1753,3886,153,315,369,475
0.595,399,1067,1764,3939,138,300,353,490
0.605,465,1162,1812,3973,145,283,368,478
0.615,524,1257,1872,3969,168,274,365,469
0.625,573,1301,1929,3976,185,284,341,477
0.635,612,1322,2004,3959,190,277,308,480
0.645,640,1347,2123,3838,182,283,286,454
0.655,645,1390,2265,3779,198,279,277,445
0.665,624,1457,2369,3706,209,282,246,415
0.675,595,1512,2436,3760,217,278,269,409
0.685,561,1526,2466,3777,214,296,252,397
0.695,514,1509,2453,3715,235,337,303,373
0.705,448,1477,2397,3717,230,394,277,377
0.715,368,1434,2338,3740,227,399,306,360
0.725,310,1383,2317,3756,235,364,282,372
0.735,292,1333,2325,3784,250,327,272,388
0.745,304,1302,2333,3768,257,299,276,391
0.755,326,1298,2332,3756,238,310,285,377
0.765,333,1312,2327,3778,218,308,329,360
0.775,336,1336,2325,3742,207,310,349,366
0.785,366,1375,2329,3748,229,292,354,378
0.795,415,1431,2342,3686,239,296,351,405
0.805,473,1484,2356,3606,239,292,353,409
0.815,546,1510,2359,3480,209,282,358,429
0.825,621,1495,2347,3375,192,300,336,393
0.835,647,1454,2328,3431,183,314,335,387
0.845,619,1402,2311,3461,194,306,325,378
0.855,608,1352,2300,3454,182,327,323,374
0.865,631,1310,2297,3457,196,318,304,363
0.875,650,1278,2290,3476,194,322,303,342
0.885,639,1245,2264,3435,200,315,332,359
0.895,598,1200,2220,3459,201,318,322,366
0.905,531,1142,2208,3403,250,306,318,418
0.915,455,1100,2240,3437,220,319,386,454
0.925,385,1102,2287,3453,245,295,361,432
0.935,337,1158,2328,3477,290,358,361,420
0.945,323,1222,2355,3581,282,285,360,411
0.955,333,1278,2363,3618,276,295,350,428
0.965,352,1408,2360,3577,278,293,341,451
0.975,376,1520,2363,3501,274,337,358,394
0.985,401,1571,2377,3507,258,298,350,399
0.995,412,1599,2390,3469,239,307,332,381
1.005,407,1610,2393,3466,248,312,315,397
1.015,414,1600,2390,3514,233,317,307,425
1.025,443,1560,2390,3595,251,305,271,468
1.035,447,1481,2399,3633,263,286,264,461
1.045,413,1365,2418,3657,261,304,273,473
1.055,367,1237,2445,3644,250,295,277,473
1.065,335,1124,2478,3603,253,310,271,445
1.075,333,1047,2506,3592,252,305,318,449
1.085,332,999,2515,3585,261,332,289,470
1.095,305,976,2492,3574,249,305,295,470
1.105,292,974,2426,3598,218,310,287,453
1.115,329,987,2333,3641,182,309,307,488
1.125,415,1011,2240,3592,187,301,370,497
1.135,494,1042,2173,3503,202,305,383,477
1.145,520,1084,2156,3447,215,311,377,462
1.155,528,1146,2189,3497,218,271,386,447
1.165,554,1238,2262,3654,241,260,354,451
1.175,570,1370,2333,3841,247,269,334,453
1.185,551,1487,2376,3925,253,305,313,448
1.195,501,1539,2404,4001,240,320,290,474
1.205,427,1535,2421,4007,229,329,280,484
1.215,346,1506,2414,4032,219,320,307,489
1.225,289,1483,2397,4189,208,312,310,482
1.235,274,1471,2388,4340,234,313,298,444
1.245,287,1474,2390,4299,239,333,316,407
1.255,306,1490,2390,4162,284,362,307,397
1.265,323,1506,2401,4077,256,371,306,403
1.275,332,1506,2452,4000,301,316,314,413
1.285,333,1486,2539,3934,274,325,358,456
1.295,330,1450,2629,3931,291,307,371,458
1.305,334,1407,2701,3956,246,311,374,453
1.315,349,1370,2745,3886,234,304,370,455
1.325,367,1346,2754,3895,168,362,364,489
1.335,377,1318,2725,3822,186,372,374,479
1.345,377,1271,2665,3788,190,381,396,488
1.355,373,1200,2588,3834,218,366,384,429
1.365,369,1145,2509,3787,205,377,406,402
1.375,368,1147,2445,3790,222,365,374,384
1.385,376,1185,2387,3813,237,328,353,418
1.395,391,1226,2324,3784,256,326,326,387
1.405,409,1273,2280,3788,263,308,321,391
1.415,426,1381,2283,3850,260,305,315,409
1.425,439,1514,2355,3789,318,274,328,449
1.435,449,1569,2463,3813,304,284,337,460
1.445,456,1570,2544,3852,296,327,334,435
1.455,458,1544,2577,3892,316,293,337,428
1.465,455,1507,2584,3908,304,281,346,422
1.475,446,1472,2632,3905,238,310,336,421
1.485,431,1436,2704,3850,250,303,325,409
1.495,417,1395,2714,3841,238,298,333,421
1.505,410,1341,2682,3803,198,339,364,429
1.515,410,1274,2636,3811,167,381,384,424
1.525,411,1210,2599,3860,182,404,384,384
1.535,410,1170,2576,3881,181,415,367,368
1.545,410,1182,2535,3828,239,344,414,375
1.555,415,1287,2445,3813,249,336,408,359
1.565,416,1463,2349,3863,213,339,381,370
1.575,400,1568,2307,3885,203,320,353,350
1.585,373,1680,2312,3803,223,306,322,364
1.595,354,1835,2342,3904,227,316,318,418
1.605,328,1937,2378,3923,189,316,333,450
1.615,295,1946,2396,3861,187,331,334,476
1.625,307,1915,2394,3856,227,320,341,492
1.635,333,1898,2389,3814,246,296,335,514
1.645,324,1902,2400,3797,273,304,321,487
1.655,300,1905,2417,3827,298,301,305,479
1.665,294,1894,2421,4025,298,321,324,465
1.675,311,1879,2421,4171,295,320,339,456
1.685,335,1871,2436,4220,268,340,345,448
1.695,352,1872,2451,4213,240,336,326,429
1.705,370,1871,2444,4151,219,292,364,425
1.715,397,1858,2421,4020,198,277,387,422
1.725,411,1829,2396,3874,199,246,374,394
1.735,398,1782,2374,3777,201,256,371,387
1.745,374,1721,2357,3732,206,263,354,394
1.755,361,1653,2344,3710,211,271,335,418
1.765,367,1588,2328,3727,221,300,309,402
1.775,392,1535,2308,3803,207,317,317,415
1.785,414,1497,2316,3771,210,325,314,424
1.795,410,1470,2223,3838,216,327,335,449
1.805,389,1447,2199,3890,197,309,379,465
1.815,359,1424,2221,3961,211,309,363,452
1.825,335,1399,2266,3908,223,329,330,421
1.835,328,1376,2311,3905,232,324,342,432
1.845,332,1358,2333,3903,210,317,348,429
1.855,332,1350,2335,3898,218,302,335,461
1.865,331,1362,2354,3794,224,315,338,465
1.875,340,1400,2418,3769,204,318,331,458
1.885,358,1472,2482,3725,203,299,365,460
1.895,373,1586,2494,3663,203,315,377,449
1.905,375,1601,2480,3732,206,323,372,454
1.915,372,1608,2475,3776,215,319,337,464
1.925,373,1592,2479,3794,253,325,290,463
1.935,382,1632,2519,3740,254,332,280,389
1.945,399,1667,2464,3745,200,268,355,350
1.955,427,1659,2447,3854,198,248,333,398
1.965,450,1638,2457,3860,188,248,352,391
1.975,452,1603,2484,3855,170,261,355,383
1.985,447,1617,2518,3774,154,251,390,378
1.995,461,1661,2549,3879,167,242,395,354
2.005,490,1690,2567,3878,173,261,334,326
2.015,502,1680,2562,3909,175,275,350,323
2.025,468,1678,2538,3797,209,308,331,311
2.035,398,1715,2501,3702,253,339,374,415
2.045,352,1674,2459,3671,206,304,371,432
2.055,332,1679,2417,3723,201,348,313,456
2.065,304,1653,2375,3720,217,341,288,452
2.075,292,1714,2337,3637,288,346,268,464
2.085,306,1770,2304,3605,309,342,289,472
2.095,328,1720,2278,3633,296,311,288,451
2.105,337,1723,2257,3644,275,319,318,432
2.115,324,1662,2239,3609,226,324,320,432
2.125,298,1535,2217,3551,227,309,319,444
2.135,281,1441,2191,3482,190,303,347,488
2.145,296,1421,2158,3353,209,295,351,510
2.155,349,1342,2121,3232,188,270,321,482
2.165,386,1323,2080,3191,196,277,318,435
2.175,386,1277,2036,3178,217,298,316,424
2.185,374,1221,1990,3261,253,275,327,421
2.195,371,1171,1943,3282,183,328,323,398
2.205,374,1141,1896,3378,209,313,346,390
2.215,365,1138,1910,3462,216,289,370,390
2.225,345,1163,1898,3518,220,297,374,387
2.235,332,1202,1902,3489,227,336,358,385
2.245,340,1231,1903,3468,231,328,361,424
2.255,364,1242,1900,3460,291,300,383,414
2.265,379,1238,1899,3497,299,301,380,409
2.275,379,1224,1908,3640,277,297,379,410
2.285,373,1209,1927,3721,289,291,358,460
2.295,370,1201,1949,3824,309,297,371,459
2.305,371,1209,1964,4015,268,329,386,454
2.315,374,1238,1967,4199,245,347,359,466
2.325,374,1274,1961,4310,255,314,371,447
2.335,371,1303,1950,4305,250,347,361,441
2.345,363,1309,1939,4359,232,360,367,426
2.355,359,1293,1934,4429,207,370,354,440
2.365,364,1267,1937,4489,228,328,379,445
2.375,385,1244,1947,4557,207,355,343,468
2.385,409,1235,1958,4564,230,327,340,421
2.395,404,1236,1964,4522,235,337,345,436
2.405,380,1241,1960,4478,254,321,358,438
2.415,371,1243,1950,4426,239,341,337,417
2.425,386,1242,1939,4408,257,331,371,422
2.435,407,1241,1932,4425,240,333,353,427
2.445,416,1245,1930,4471,238,331,354,435
2.455,413,1255,1931,4487,255,328,347,444
2.465,410,1267,1934,4522,248,327,358,453
2.475,415,1276,1936,4575,261,307,351,451
2.485,441,1277,1935,4508,266,276,373,432
