sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,537,1499,2399,3591,250,319,337,432
0.015,570,1561,2463,3564,231,312,336,451
0.025,596,1573,2541,3578,246,300,320,434
0.035,648,1594,2582,3670,256,302,328,446
0.045,718,1587,2601,3673,297,295,354,436
0.055,718,1740,2639,3730,298,308,359,472
0.065,745,1753,2577,3788,292,356,340,462
0.075,797,1763,2579,3831,263,323,384,471
0.085,747,1772,2562,3787,221,313,380,476
0.095,732,1778,2522,3762,221,316,358,475
0.105,734,1782,2488,3685,239,313,362,474
0.115,724,1785,2475,3576,210,321,337,444
0.125,686,1787,2381,3514,213,307,344,434
0.135,707,1787,2382,3498,221,310,348,449
0.145,654,1787,2438,3519,217,328,301,420
0.155,564,1786,2431,3471,250,348,307,415
0.165,433,1785,2472,3451,226,323,329,401
0.175,400,1783,2508,3513,214,313,314,396
0.185,371,1781,2492,3543,211,315,313,386
0.195,377,1776,2478,3553,203,315,315,395
0.205,377,1766,2476,3589,196,306,320,392
0.215,408,1747,2437,3638,218,312,338,394
0.225,431,1720,2425,3705,228,319,342,443
0.235,445,1686,2352,3721,257,330,332,445
0.245,450,1653,2388,3759,282,312,345,452
0.255,449,1625,2370,3867,305,285,356,445
0.265,444,1606,2378,3974,328,317,341,484
0.275,436,1595,2405,4050,285,300,344,524
0.285,427,1588,2441,4181,270,355,324,520
0.295,418,1584,2477,4363,297,325,330,505
0.305,413,1582,2507,4511,294,332,301,456
0.315,411,1581,2521,4549,285,350,310,464
0.325,414,1582,2513,4507,243,384,314,429
0.335,421,1583,2489,4378,249,321,356,396
0.345,430,1586,2460,4269,225,305,342,411
0.355,439,1590,2433,4018,225,313,344,431
0.365,447,1593,2414,3838,217,305,365,410
0.375,453,1594,2398,3808,216,299,373,425
0.385,456,1589,2381,3809,215,319,365,439
0.395,453,1578,2364,3864,247,312,351,437
0.405,444,1564,2352,3937,279,323,324,447
0.415,430,1552,2348,3949,287,325,333,481
0.425,413,1549,2354,3985,276,337,315,489
0.435,394,1557,2363,3964,259,314,345,499
0.445,377,1574,2362,3937,282,310,367,507
0.455,363,1598,2346,3978,292,371,303,472
0.465,356,1624,2320,4089,333,337,286,446
0.475,356,1651,2292,4049,343,358,310,447
0.485,368,1675,2266,3965,299,368,307,470
0.495,391,1694,2245,3742,274,316,330,464
0.505,420,1706,2225,3473,246,277,322,467
0.515,444,1712,2206,3392,198,226,307,375
0.525,455,1711,2185,3398,206,237,317,332
0.535,451,1701,2161,3397,199,196,326,340
0.545,436,1684,2133,3478,201,209,379,364
0.555,415,1664,2102,3499,193,198,402,396
0.565,392,1644,2073,3556,187,179,391,408
0.575,373,1628,2047,3601,190,174,334,410
0.585,360,1618,2028,3580,185,174,312,414
0.595,354,1616,2019,3572,187,161,360,412
0.605,353,1618,2023,3561,192,185,322,416
0.615,356,1626,2039,3519,188,176,347,416
0.625,361,1637,2067,3498,204,219,323,414
0.635,367,1651,2108,3521,196,235,313,402
0.645,372,1666,2160,3544,209,259,340,399
0.655,375,1682,2219,3556,209,255,327,397
0.665,377,1696,2279,3592,204,237,324,401
0.675,377,1707,2336,3614,216,241,325,396
0.685,377,1713,2384,3637,219,253,334,373
0.695,375,1712,2420,3672,219,262,335,360
0.705,374,1703,2444,3672,225,276,340,339
0.715,373,1683,2460,3711,227,286,339,325
0.725,372,1650,2469,3743,219,311,321,332
0.735,372,1607,2473,3790,208,338,300,344
0.745,373,1559,2476,3764,228,336,330,418
0.755,375,1511,2477,3988,256,327,348,445
0.765,375,1468,2476,4221,273,329,337,485
0.775,376,1436,2475,4377,262,312,364,470
0.785,375,1420,2473,4367,279,326,347,459
0.795,372,1419,2470,4353,290,380,333,448
0.805,368,1429,2466,4339,287,344,329,436
0.815,364,1445,2463,4372,306,339,327,410
0.825,361,1465,2460,4446,324,315,302,384
0.835,363,1483,2457,4529,327,311,317,378
0.845,370,1499,2455,4556,332,318,332,395
0.855,385,1510,2454,4500,317,320,378,402
0.865,405,1516,2452,4510,279,310,366,409
0.875,426,1514,2449,4397,223,315,350,467
0.885,443,1503,2444,4296,227,352,343,517
0.895,454,1483,2438,4173,228,340,340,520
0.905,456,1450,2430,3903,225,327,324,509
0.915,454,1406,2417,3610,233,310,310,463
0.925,451,1351,2399,3469,253,309,308,431
0.935,451,1295,2376,3416,234,304,327,446
0.945,456,1246,2347,3373,248,320,288,414
0.955,463,1208,2313,3401,241,319,285,394
0.965,471,1180,2276,3474,206,319,291,372
0.975,479,1153,2248,3577,205,301,282,355
0.985,486,1119,2245,3618,249,311,291,336
0.995,491,1071,2279,3608,221,308,286,350
1.005,492,1015,2343,3608,215,311,288,330
1.015,490,959,2415,3633,218,298,302,346
1.025,485,914,2472,3641,229,311,306,340
1.035,478,884,2507,3630,231,291,320,386
1.045,468,867,2522,3523,227,303,320,409
1.055,458,861,2515,3453,237,279,314,412
1.065,446,863,2493,3455,248,294,307,412
1.075,433,870,2468,3618,232,315,306,424
1.085,422,881,2449,3688,240,308,358,420
1.095,414,891,2436,3655,260,317,392,388
1.105,410,902,2426,3759,274,320,391,438
1.115,413,912,2419,3955,307,278,382,446
1.125,422,922,2412,4055,322,303,412,458
1.135,436,933,2405,4245,310,300,384,465
1.145,451,945,2396,4420,338,304,359,425
1.155,467,959,2384,4482,307,308,387,406
1.165,481,977,2372,4456,303,293,378,366
1.175,490,1001,2365,4311,296,312,380,374
1.185,494,1030,2366,4175,278,318,396,432
1.195,492,1062,2372,4033,235,383,382,424
1.205,487,1095,2378,3795,238,350,363,446
1.215,479,1125,2378,3656,234,330,311,464
1.225,470,1151,2365,3555,274,288,273,432
1.235,461,1174,2334,3546,237,333,283,451
1.245,454,1194,2284,3609,237,317,297,433
1.255,448,1212,2222,3590,243,330,299,457
1.265,448,1228,2155,3582,265,303,311,455
1.275,457,1244,2092,3598,284,297,315,460
1.285,480,1259,2038,3659,297,291,314,461
1.295,519,1273,1994,3646,282,306,323,463
1.305,564,1287,1960,3577,277,332,339,448
1.315,600,1300,1936,3570,296,307,333,428
