sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,612,1482,2467,3513,254,312,349,409
0.015,643,1464,2454,3535,292,294,324,409
0.025,586,1474,2517,3637,269,296,342,428
0.035,616,1479,2494,3652,269,300,363,429
0.045,649,1459,2460,3678,269,296,347,424
0.055,637,1473,2526,3716,255,297,377,444
0.065,582,1482,2568,3721,314,307,371,445
0.075,602,1488,2529,3765,298,304,346,463
0.085,602,1491,2483,3752,316,309,340,455
0.095,576,1491,2560,3663,299,298,362,460
0.105,553,1487,2480,3622,258,331,354,459
0.115,532,1480,2470,3565,272,365,312,460
0.125,513,1471,2443,3617,282,329,333,437
0.135,496,1459,2491,3666,264,314,343,446
0.145,479,1444,2380,3742,278,318,344,445
0.155,463,1427,2341,3738,256,324,368,436
0.165,447,1407,2346,3827,262,337,290,456
0.175,431,1384,2366,3775,258,325,313,443
0.185,418,1360,2370,3729,228,309,290,456
0.195,410,1333,2330,3602,231,302,282,448
0.205,408,1304,2217,3466,254,298,298,462
0.215,410,1273,2035,3435,284,282,336,452
0.225,412,1241,1852,3452,284,255,339,474
0.235,414,1208,1736,3468,281,257,352,464
0.245,413,1177,1684,3492,273,280,351,456
0.255,411,1149,1666,3504,259,275,356,474
0.265,407,1126,1654,3509,231,279,358,498
0.275,405,1110,1641,3511,219,287,350,521
0.285,408,1099,1620,3545,204,284,324,512
0.295,421,1094,1598,3539,192,286,338,473
0.305,441,1090,1603,3492,157,309,337,477
0.315,464,1086,1663,3432,175,335,360,456
0.325,485,1080,1801,3372,165,363,348,426
0.335,499,1071,1983,3384,178,356,294,412
0.345,506,1057,2133,3470,201,355,265,400
0.355,507,1042,2236,3501,220,340,262,408
0.365,503,1027,2305,3548,209,334,245,422
0.375,495,1014,2349,3552,209,312,279,393
0.385,484,1004,2379,3612,213,313,287,385
0.395,469,999,2397,3637,222,304,271,370
0.405,449,1002,2408,3668,224,300,281,369
0.415,424,1011,2414,3727,231,306,283,380
0.425,398,1027,2417,3746,238,301,300,408
0.435,379,1047,2419,3745,241,295,310,432
0.445,371,1070,2418,3768,256,289,314,440
0.455,377,1096,2415,3764,274,275,317,444
0.465,390,1124,2410,3736,268,264,336,440
0.475,403,1151,2403,3725,262,275,330,424
