sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,560,1469,2544,3700,232,270,370,434
0.015,605,1534,2555,3717,263,279,378,450
0.025,661,1558,2590,3728,268,298,406,447
0.035,695,1564,2583,3713,295,323,375,437
0.045,747,1535,2564,3706,296,326,325,432
0.055,802,1600,2505,3663,273,340,341,440
0.065,810,1643,2535,3664,290,310,349,424
0.075,727,1606,2681,3717,302,288,351,451
0.085,748,1577,2658,3653,335,311,344,421
0.095,774,1670,2695,3707,301,303,347,449
0.105,814,1725,2722,3659,283,330,366,414
0.115,824,1732,2725,3698,285,320,349,421
0.125,826,1761,2612,3730,282,332,361,438
0.135,775,1808,2522,3774,250,349,368,448
0.145,684,1611,2623,3826,238,373,314,421
0.155,572,1439,2414,3712,225,377,305,423
0.165,508,1214,2530,3642,229,361,312,422
0.175,379,1124,2496,3678,258,272,326,430
0.185,311,1021,2434,3725,239,296,330,445
0.195,348,1026,2442,3746,226,322,338,444
0.205,394,1001,2473,3791,238,335,328,456
0.215,391,962,2471,3836,278,280,317,464
0.225,365,924,2476,3888,274,298,319,453
0.235,342,902,2495,3888,299,291,318,442
0.245,338,906,2512,3867,299,302,305,461
0.255,362,925,2519,3788,274,333,307,443
0.265,408,942,2517,3662,180,359,313,438
0.275,439,947,2511,3569,154,362,313,424
0.285,449,944,2504,3550,198,308,320,402
0.295,468,938,2508,3586,198,327,336,400
0.305,519,939,2531,3620,189,314,344,397
0.315,563,955,2552,3621,184,334,337,387
0.325,581,978,2558,3602,168,312,336,401
0.335,598,995,2552,3604,154,323,337,392
0.345,619,1009,2543,3620,150,306,338,429
0.355,629,1024,2539,3644,135,296,325,421
0.365,628,1045,2552,3663,126,316,327,428
0.375,627,1067,2579,3697,184,317,307,442
0.385,629,1087,2587,3753,222,318,310,473
0.395,625,1101,2553,3719,208,309,330,481
0.405,604,1113,2500,3649,197,304,333,440
0.415,551,1149,2460,3654,184,341,384,435
0.425,488,1224,2467,3633,283,322,380,411
0.435,463,1338,2540,3636,328,299,391,367
0.445,470,1470,2649,3701,332,305,390,364
0.455,461,1576,2750,3811,329,319,379,370
0.465,439,1636,2821,3839,301,320,353,351
0.475,430,1643,2852,3896,281,343,328,364
0.485,433,1615,2861,3906,280,363,342,364
0.495,422,1602,2872,3918,296,344,326,368
0.505,392,1612,2895,3993,282,353,327,351
0.515,360,1628,2933,3991,249,328,339,389
0.525,345,1643,2969,4001,254,328,344,392
0.535,346,1648,2979,3928,294,310,341,384
0.545,352,1647,2970,3870,277,308,372,388
0.555,352,1645,2992,3851,306,309,382,383
0.565,338,1617,3014,3966,244,413,428,359
0.575,317,1519,2869,3966,229,411,429,430
0.585,298,1359,2666,3938,192,406,408,493
0.595,284,1216,2599,3896,176,351,385,523
0.605,275,1130,2578,3865,205,334,346,520
0.615,271,1076,2535,3850,188,320,308,507
0.625,272,1017,2486,3775,199,311,315,479
0.635,282,933,2445,3754,198,332,313,453
0.645,299,1038,2414,3788,228,349,318,432
0.655,321,1213,2395,3785,202,381,296,411
0.665,346,1226,2393,3768,193,371,286,423
0.675,372,1303,2398,3719,272,290,335,427
0.685,390,1370,2385,3762,265,360,322,452
0.695,394,1398,2345,3809,252,306,335,441
0.705,391,1411,2295,3740,236,303,349,477
0.715,395,1433,2255,3709,222,289,343,478
0.725,411,1484,2235,3730,195,280,352,482
0.735,428,1566,2244,3761,167,292,352,491
0.745,438,1627,2266,3802,182,292,342,490
0.755,448,1649,2276,3844,169,290,334,497
0.765,469,1647,2274,3917,162,290,330,512
0.775,510,1652,2280,3967,184,295,294,521
0.785,559,1639,2297,4018,173,299,280,512
0.795,598,1593,2322,4016,169,282,331,503
0.805,618,1561,2352,4050,175,316,314,504
0.815,626,1549,2383,4070,181,291,291,511
0.825,629,1493,2397,4102,195,327,289,518
0.835,630,1396,2374,4176,208,315,293,520
0.845,627,1310,2330,4307,204,334,303,494
0.855,616,1233,2309,4378,209,318,302,501
0.865,595,1162,2313,4436,198,314,289,491
0.875,561,1109,2306,4551,199,284,299,486
0.885,519,1071,2306,4600,215,311,302,451
0.895,479,1027,2344,4632,220,301,282,443
0.905,448,986,2402,4622,210,317,284,445
0.915,432,967,2447,4686,220,311,293,439
0.925,433,978,2478,4833,219,286,272,450
0.935,449,1019,2498,4966,221,314,272,422
0.945,468,1099,2509,5021,217,310,311,397
0.955,476,1222,2510,4990,210,312,290,394
0.965,473,1349,2509,4998,191,315,314,415
0.975,459,1425,2511,4976,199,312,309,412
0.985,442,1511,2520,4983,203,326,312,441
0.995,431,1622,2537,4995,195,305,284,451
1.005,435,1702,2565,4986,186,289,277,460
1.015,452,1748,2587,4951,191,294,270,475
1.025,469,1779,2580,4940,190,282,274,483
1.035,477,1807,2557,4934,195,270,271,495
1.045,475,1834,2547,4925,191,278,291,487
1.055,464,1859,2551,4932,192,259,303,492
1.065,447,1879,2538,4937,186,268,303,501
1.075,433,1885,2506,4965,202,255,318,492
1.085,431,1882,2475,4983,205,257,312,504
1.095,435,1882,2468,5053,212,274,306,509
1.105,433,1892,2472,5081,216,267,323,500
1.115,414,1907,2458,5124,221,230,350,495
1.125,383,1920,2435,5106,229,236,353,459
1.135,348,1926,2430,5066,222,236,368,472
1.145,320,1921,2427,5043,225,289,322,490
1.155,307,1896,2396,4935,236,310,332,487
1.165,313,1830,2344,4744,229,316,330,460
1.175,331,1711,2299,4558,256,365,305,430
1.185,354,1553,2278,4407,226,399,286,392
1.195,374,1342,2265,4347,184,390,304,403
1.205,388,1098,2246,4324,186,351,319,436
