sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,523,1534,2555,3675,238,291,334,431
0.015,545,1512,2524,3682,254,310,327,434
0.025,543,1464,2371,3652,297,327,355,429
0.035,537,1432,2410,3665,301,303,320,428
0.045,595,1541,2467,3689,267,296,352,419
0.055,515,1575,2480,3715,301,291,329,431
0.065,529,1561,2449,3733,309,327,317,440
0.075,592,1585,2407,3658,300,327,318,448
0.085,561,1552,2456,3621,293,314,319,420
0.095,567,1506,2516,3674,307,294,320,424
0.105,556,1575,2517,3700,275,324,308,403
0.115,592,1554,2581,3764,292,300,338,436
0.125,632,1542,2595,3815,300,303,333,459
0.135,704,1553,2535,3776,272,316,375,453
0.145,732,1606,2436,3770,246,319,400,429
0.155,736,1623,2391,3765,255,363,392,400
0.165,613,1473,2383,3810,242,317,370,449
0.175,564,1429,2397,3774,258,325,342,455
0.185,468,1395,2416,3865,208,277,325,419
0.195,419,1306,2425,3957,240,316,320,444
0.205,463,1212,2421,3990,264,307,343,438
0.215,441,1165,2407,3989,333,298,348,461
0.225,420,1130,2388,3964,325,288,322,439
0.235,423,1108,2367,3984,323,327,352,443
0.245,406,1127,2350,3912,305,282,384,489
0.255,384,1177,2345,3799,286,308,367,456
0.265,386,1194,2356,3750,282,304,382,471
0.275,384,1137,2378,3811,215,308,381,442
0.285,348,1116,2404,3872,247,303,354,429
0.295,311,1085,2421,3854,285,327,327,425
0.305,317,998,2415,3899,207,346,338,432
0.315,358,1018,2396,3910,255,326,327,441
0.325,387,1049,2380,3959,254,310,348,443
0.335,384,1037,2377,3965,265,293,382,476
0.345,384,1014,2384,3855,245,334,371,467
0.355,383,988,2396,3801,227,356,369,430
0.365,372,966,2414,3792,224,362,334,402
0.375,351,961,2437,3802,188,405,348,408
0.385,325,979,2464,3768,213,401,345,405
0.395,308,999,2490,3771,192,437,355,409
0.405,313,1007,2511,3811,196,418,338,418
0.415,341,1018,2526,3856,182,418,305,414
0.425,380,1056,2537,3918,216,347,319,388
0.435,420,1126,2545,3872,198,309,319,391
0.445,459,1213,2562,3829,199,302,308,400
0.455,500,1290,2597,3815,191,302,309,408
0.465,546,1323,2637,3819,212,305,301,409
0.475,583,1341,2651,3794,219,307,314,406
0.485,602,1398,2626,3817,207,331,301,427
0.495,617,1459,2589,3869,210,319,310,427
0.505,638,1471,2571,3955,211,321,305,407
0.515,655,1460,2575,3974,208,304,310,406
