sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,521,1494,2427,3639,273,306,349,435
0.015,458,1585,2541,3721,275,299,346,414
0.025,480,1597,2314,3761,271,342,367,429
0.035,485,1628,2259,3815,304,354,306,468
0.045,558,1568,2199,3758,296,336,305,485
0.055,608,1511,2139,3766,299,326,313,471
0.065,643,1475,2084,3806,310,330,301,477
0.075,645,1530,2036,3809,275,336,328,461
0.085,600,1591,2001,3835,285,311,324,445
0.095,606,1572,1981,3924,287,291,343,466
0.105,555,1515,1979,3888,284,298,317,467
0.115,506,1398,1981,3925,307,304,357,493
0.125,369,1458,1988,3917,255,306,372,475
0.135,395,1273,1953,3914,233,302,376,480
0.145,359,1215,1950,3931,255,304,356,504
0.155,328,1235,1972,3887,260,310,313,498
0.165,360,1285,2012,3811,251,292,289,490
0.175,355,1313,2063,3690,266,318,308,474
0.185,327,1298,2119,3578,258,285,273,430
0.195,321,1303,2173,3552,202,294,307,384
0.205,364,1395,2221,3577,217,298,277,389
0.215,378,1525,2262,3601,210,282,307,393
0.225,352,1622,2293,3598,204,280,293,403
0.235,365,1702,2316,3561,213,297,303,396
0.245,403,1788,2336,3496,219,300,311,418
0.255,410,1879,2360,3495,206,302,312,409
0.265,403,1921,2395,3526,220,313,296,443
0.275,371,1903,2439,3528,202,358,264,453
0.285,331,1853,2486,3492,203,374,267,454
0.295,317,1818,2526,3557,195,347,308,425
0.305,269,1827,2553,3709,202,344,316,400
0.315,265,1873,2571,3844,211,323,299,399
0.325,271,1947,2586,3938,202,310,274,380
0.335,290,2044,2605,3951,201,284,273,366
0.345,322,2134,2632,3961,189,319,284,362
0.355,343,2186,2665,4049,192,288,292,356
0.365,319,2229,2697,4144,188,294,286,357
0.375,277,2287,2723,4221,191,299,294,364
0.385,269,2342,2738,4250,192,300,310,364
0.395,297,2376,2738,4281,190,332,303,370
0.405,309,2322,2722,4243,184,322,308,374
0.415,305,2262,2688,4165,173,337,318,375
0.425,304,2251,2643,3982,176,315,307,386
0.435,305,2257,2591,3820,171,302,308,401
0.445,305,2250,2538,3636,190,293,315,467
0.455,304,2200,2490,3578,200,338,316,455
0.465,305,2085,2456,3599,228,349,303,465
0.475,307,1910,2444,3659,257,413,257,480
0.485,301,1710,2463,3709,245,433,266,496
0.495,275,1561,2509,3744,246,407,258,500
0.505,228,1488,2556,3829,234,414,301,504
0.515,191,1467,2583,3915,224,389,316,503
0.525,200,1469,2586,3964,197,363,340,488
0.535,245,1470,2573,3948,201,348,335,509
0.545,300,1462,2552,3921,240,307,345,490
0.555,340,1448,2533,3978,280,289,327,502
0.565,336,1428,2522,4043,278,318,318,462
0.575,285,1405,2520,4089,284,307,325,478
0.585,231,1382,2524,4087,299,308,314,447
0.595,214,1364,2529,4064,269,337,325,441
0.605,227,1353,2533,4061,289,298,346,453
0.615,249,1354,2535,3991,306,331,308,435
0.625,266,1358,2536,3975,252,304,334,444
0.635,267,1344,2535,3963,240,328,306,450
0.645,265,1290,2533,3976,224,319,301,459
0.655,268,1182,2529,3943,200,311,308,474
0.665,265,1045,2525,3978,203,313,329,458
0.675,245,922,2518,3961,166,333,312,445
0.685,229,833,2509,3928,137,381,321,396
0.695,238,780,2496,3886,116,418,321,348
0.705,268,764,2480,3850,118,426,308,306
0.715,301,781,2458,3879,143,380,298,279
0.725,325,815,2429,3777,175,332,286,292
0.735,339,848,2391,3732,209,304,273,292
0.745,344,869,2343,3736,225,292,290,309
0.755,345,885,2282,3713,217,309,290,362
0.765,343,906,2206,3720,203,286,304,382
0.775,343,941,2124,3672,197,308,296,371
0.785,343,990,2078,3560,205,290,335,389
0.795,342,1041,2076,3477,217,302,351,414
0.805,348,1082,2094,3434,231,290,371,433
0.815,364,1104,2129,3522,249,285,364,459
0.825,385,1109,2338,3661,264,299,308,425
0.835,408,1099,2659,3781,266,285,292,420
0.845,419,1075,2781,3924,253,295,276,421
0.855,410,1041,2766,3980,244,284,288,388
0.865,384,1005,2713,3952,241,288,300,399
0.875,355,973,2685,3922,235,300,309,377
0.885,334,954,2680,3944,216,285,315,354
0.895,331,952,2685,3925,223,312,308,354
0.905,347,966,2691,3892,229,283,301,376
0.915,380,994,2694,3914,197,300,284,379
0.925,414,1035,2692,3890,185,273,283,361
0.935,436,1090,2684,3891,192,298,286,363
0.945,446,1156,2669,3825,192,305,287,383
0.955,455,1224,2651,3813,191,291,264,369
0.965,470,1279,2632,3823,186,295,272,374
0.975,486,1312,2616,3758,194,324,280,387
0.985,496,1334,2605,3803,191,327,267,382
0.995,496,1358,2603,3838,188,312,268,366
1.005,496,1397,2612,3886,205,307,291,394
1.015,500,1460,2633,3880,211,302,302,374
1.025,496,1544,2668,3922,200,304,320,374
1.035,475,1639,2709,3964,211,316,336,379
1.045,440,1729,2740,3999,212,305,319,372
1.055,402,1794,2746,4053,199,292,346,371
1.065,364,1835,2712,4093,189,282,357,376
1.075,331,1858,2635,4145,205,261,360,394
1.085,306,1871,2541,4156,203,244,324,400
1.095,289,1880,2459,4078,204,271,283,464
1.105,277,1893,2413,4020,199,295,296,483
1.115,265,1918,2402,4027,211,302,315,471
1.125,249,1961,2416,4052,237,315,331,463
1.135,235,1872,2446,4039,304,348,316,473
1.145,227,1851,2481,3942,302,358,326,483
1.155,231,1834,2520,3824,310,378,309,477
1.165,246,1812,2562,3771,329,376,304,512
1.175,263,1795,2607,3682,302,363,302,502
1.185,271,1818,2653,3598,299,342,329,483
1.195,269,1907,2702,3552,285,355,312,459
1.205,265,2029,2750,3556,244,360,346,455
1.215,265,2135,2795,3574,225,382,329,447
1.225,275,2201,2832,3690,213,369,348,430
1.235,290,2243,2857,3773,268,409,337,439
1.245,303,2254,2868,3798,273,412,347,444
1.255,304,2229,2864,3866,240,367,302,421
1.265,302,2186,2844,3947,199,314,300,396
1.275,312,2139,2809,3963,201,294,302,385
1.285,335,2093,2758,3885,203,289,310,377
1.295,360,2044,2696,3899,209,287,323,357
1.305,378,1988,2624,3846,198,285,325,362
1.315,382,1921,2554,3802,203,296,326,369
1.325,380,1840,2499,3746,211,307,323,410
1.335,380,1781,2470,3661,206,294,317,413
1.345,381,1776,2467,3712,212,299,325,428
1.355,381,1784,2486,3760,206,333,324,388
1.365,332,1777,2520,3756,229,335,340,395
1.375,273,1789,2564,3831,250,337,374,365
1.385,304,1846,2611,3894,243,339,336,362
1.395,342,1918,2653,3911,234,369,298,341
1.405,308,1970,2682,3889,213,361,311,343
1.415,326,2001,2691,3932,231,350,319,368
