sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,485,1548,2591,3664,236,294,361,458
0.015,563,1604,2551,3638,259,312,355,450
0.025,457,1652,2519,3704,294,317,336,434
0.035,430,1601,2483,3764,301,317,333,476
0.045,433,1597,2448,3694,229,339,343,480
0.055,436,1460,2401,3587,264,324,321,461
0.065,432,1358,2406,3538,308,289,300,449
0.075,417,1444,2333,3559,287,310,337,412
0.085,391,1454,2364,3550,264,300,331,444
0.095,366,1445,2368,3490,281,296,328,472
0.105,366,1409,2394,3460,262,306,313,449
0.115,366,1420,2400,3415,252,311,307,404
0.125,340,1455,2521,3513,248,308,324,409
0.135,302,1441,2536,3583,235,307,363,401
0.145,294,1311,2389,3682,210,356,332,380
0.155,400,1226,2329,3747,199,350,293,360
0.165,465,1272,2332,3735,225,315,273,352
0.175,495,1314,2335,3718,227,311,289,355
0.185,533,1308,2298,3660,230,314,287,371
0.195,540,1315,2265,3662,240,313,278,388
0.205,499,1305,2267,3672,276,307,269,440
0.215,407,1336,2235,3739,281,345,283,462
0.225,409,1337,2345,3832,248,325,353,483
0.235,369,1360,2316,3868,268,327,336,469
0.245,370,1408,2357,3873,256,330,323,479
0.255,363,1485,2392,3836,265,317,315,479
0.265,334,1582,2423,3845,256,332,281,453
0.275,331,1665,2450,3838,260,346,256,459
0.285,335,1762,2483,3697,277,367,274,452
0.295,334,1829,2542,3637,287,383,260,431
0.305,333,1884,2627,3639,266,316,266,409
0.315,334,1935,2700,3661,223,289,263,410
0.325,334,1995,2742,3618,210,290,258,417
0.335,333,2051,2767,3576,200,286,263,414
0.345,349,2073,2786,3553,222,270,273,400
0.355,371,2066,2813,3514,229,260,294,409
0.365,367,2041,2708,3450,197,262,337,385
0.375,335,1992,2581,3416,233,282,374,364
0.385,355,1904,2443,3357,250,358,336,361
0.395,369,1762,2361,3347,296,373,314,384
0.405,378,1550,2162,3510,290,383,317,386
0.415,413,1354,2095,3580,311,339,324,418
0.425,439,1333,2050,3643,319,342,307,409
0.435,437,1337,1985,3678,291,360,322,459
0.445,408,1324,1973,3674,259,331,320,445
0.455,400,1347,2000,3637,278,315,310,448
0.465,396,1423,1970,3526,237,290,362,449
0.475,425,1457,1972,3410,215,263,358,457
0.485,439,1438,1945,3228,212,275,370,425
