sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,523,1480,2621,3560,251,279,387,453
0.015,485,1521,2655,3563,283,289,383,462
0.025,436,1478,2552,3562,281,329,344,483
0.035,413,1400,2460,3502,284,317,327,465
0.045,410,1511,2410,3506,288,293,295,436
0.055,419,1531,2440,3537,326,268,323,432
0.065,434,1533,2363,3622,336,331,323,405
0.075,448,1521,2482,3653,303,293,344,422
0.085,454,1504,2470,3709,289,327,294,427
0.095,453,1487,2546,3769,263,315,299,457
0.105,451,1477,2555,3740,245,315,307,438
0.115,452,1481,2504,3694,231,343,346,455
0.125,456,1507,2506,3567,255,352,324,450
0.135,459,1553,2495,3491,231,356,302,442
0.145,459,1603,2486,3538,221,365,293,433
0.155,452,1637,2469,3684,234,346,286,430
0.165,436,1644,2435,3749,271,322,271,446
0.175,417,1635,2375,3783,310,261,283,418
0.185,403,1618,2284,3758,285,260,361,390
0.195,398,1561,2180,3714,264,281,363,403
0.205,402,1436,2084,3598,226,306,390,386
0.215,417,1289,1985,3634,187,339,389,387
0.225,440,1170,1870,3652,184,337,382,399
0.235,469,1082,1789,3675,149,329,379,400
0.245,500,1013,1780,3683,131,347,390,410
0.255,528,972,1800,3633,156,335,337,423
0.265,552,973,1809,3626,144,323,306,453
0.275,568,1005,1797,3642,134,319,291,464
0.285,574,1037,1773,3604,128,317,291,446
0.295,573,1053,1753,3617,126,307,275,454
0.305,569,1077,1731,3603,133,315,288,455
0.315,567,1117,1696,3567,144,307,290,458
0.325,567,1144,1665,3538,164,302,293,456
0.335,569,1157,1656,3495,144,297,299,451
0.345,570,1181,1668,3499,162,301,291,464
0.355,570,1223,1699,3474,160,277,313,451
0.365,568,1268,1746,3436,169,247,310,467
0.375,562,1305,1806,3276,183,234,303,423
0.385,553,1342,1880,3322,206,279,315,438
0.395,540,1388,1971,3398,231,273,356,456
0.405,524,1444,2065,3483,265,277,366,426
0.415,506,1507,2136,3594,236,264,358,440
0.425,492,1567,2182,3628,212,279,382,370
0.435,487,1614,2229,3619,194,280,374,379
0.445,497,1645,2296,3599,204,288,366,399
0.455,517,1669,2362,3539,184,284,366,401
0.465,531,1692,2397,3510,206,291,358,424
0.475,525,1701,2397,3443,192,289,355,407
0.485,496,1689,2365,3346,216,282,355,399
0.495,461,1658,2303,3245,211,291,361,416
0.505,442,1613,2216,3230,230,306,350,399
0.515,442,1454,2110,3281,241,275,354,407
0.525,450,1368,1991,3377,249,283,387,441
0.535,457,1236,1870,3467,240,303,380,446
0.545,457,1115,1762,3658,226,296,371,478
0.555,444,995,1694,3708,211,347,400,444
0.565,423,1007,1625,3732,212,306,403,457
0.575,411,999,1520,3641,210,295,417,465
0.585,414,999,1533,3519,233,274,396,441
0.595,406,1037,1630,3459,269,283,357,426
0.605,374,1142,1775,3466,290,259,347,436
0.615,340,1327,1932,3575,305,257,347,443
0.625,328,1513,2069,3706,278,242,353,427
0.635,341,1627,2179,3783,245,213,354,413
0.645,364,1670,2273,3796,217,195,353,394
0.655,387,1705,2354,3848,209,223,335,383
0.665,404,1779,2421,3823,183,219,339,365
0.675,416,1867,2474,3866,206,218,340,390
0.685,426,1927,2517,3827,186,239,352,369
0.695,440,1941,2554,3831,200,253,350,360
0.705,463,1923,2578,3801,170,250,361,371
0.715,498,1885,2573,3773,161,257,351,360
0.725,539,1840,2528,3742,182,288,346,374
0.735,579,1813,2458,3722,184,276,344,364
0.745,607,1718,2386,3661,193,307,327,374
0.755,614,1652,2335,3543,225,330,313,390
0.765,606,1597,2330,3432,194,339,276,373
0.775,593,1519,2248,3312,171,354,262,365
0.785,579,1430,2149,3220,150,346,270,368
0.795,566,1349,2048,3087,157,328,313,393
0.805,556,1278,1969,2928,188,307,309,396
