sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,470,1460,2450,3571,262,297,358,435
0.015,524,1507,2496,3622,269,304,319,428
0.025,527,1583,2478,3658,290,311,320,427
0.035,577,1608,2423,3615,268,351,298,442
0.045,654,1628,2493,3544,263,342,328,442
0.055,700,1743,2595,3624,194,333,339,466
0.065,760,1807,2645,3707,199,338,346,467
0.075,788,1871,2687,3798,180,314,352,466
0.085,739,1849,2740,3878,181,281,346,478
0.095,716,1861,2712,3837,185,303,326,468
0.105,693,1884,2682,3802,173,318,305,472
0.115,792,1986,2664,3785,222,330,341,470
0.125,744,1962,2732,3733,198,270,363,469
0.135,724,1990,2791,3749,190,268,357,441
0.145,620,1924,2792,3741,185,300,341,429
0.155,567,1882,2747,3631,226,316,343,411
0.165,534,1830,2551,3670,248,305,331,396
0.175,520,1794,2528,3722,225,310,298,369
0.185,523,1724,2460,3650,226,332,315,359
0.195,541,1761,2383,3619,223,309,308,376
0.205,572,1741,2327,3549,217,297,327,395
0.215,605,1649,2297,3547,223,290,339,362
0.225,628,1660,2277,3515,218,276,347,371
0.235,630,1612,2249,3501,222,277,350,380
0.245,615,1535,2214,3473,220,283,353,396
0.255,596,1458,2181,3479,222,307,355,409
0.265,587,1408,2160,3444,198,334,338,388
0.275,590,1376,2149,3437,173,349,335,401
0.285,593,1336,2141,3423,144,360,344,383
0.295,580,1284,2133,3446,167,337,320,416
0.305,551,1233,2123,3488,194,321,312,413
0.315,516,1204,2116,3489,217,333,320,415
0.325,489,1193,2115,3461,202,331,313,413
0.335,471,1177,2119,3473,205,332,315,414
0.345,458,1141,2126,3453,211,322,316,409
0.355,442,1092,2133,3457,217,318,308,425
0.365,418,1041,2137,3437,225,304,303,397
0.375,376,994,2137,3502,246,314,323,412
0.385,311,954,2137,3445,228,301,325,423
0.395,247,933,2140,3388,228,293,353,420
0.405,214,943,2145,3468,212,275,336,430
0.415,214,989,2153,3397,202,273,326,411
0.425,236,1062,2165,3375,198,267,305,396
0.435,273,1149,2178,3455,230,289,319,402
0.445,322,1233,2191,3552,223,296,315,402
0.455,382,1305,2202,3537,225,310,306,382
0.465,444,1370,2211,3558,232,289,308,396
0.475,496,1423,2220,3619,231,320,325,390
