sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,607,1421,2423,3668,246,306,324,447
0.015,656,1409,2356,3703,252,309,287,452
0.025,610,1454,2367,3723,224,320,317,465
0.035,606,1406,2378,3801,283,299,357,468
0.045,638,1381,2363,3813,280,343,312,474
0.055,642,1414,2330,3917,246,310,340,486
0.065,610,1342,2303,3981,267,316,317,475
0.075,600,1355,2272,4038,287,366,327,488
0.085,595,1408,2286,4017,301,310,319,455
0.095,647,1437,2261,4067,247,322,315,460
0.105,655,1540,2301,4101,259,313,329,453
0.115,654,1624,2405,4201,231,299,329,476
0.125,667,1704,2589,4259,211,316,342,433
0.135,702,1779,2731,4321,221,338,348,424
0.145,727,1907,2713,4306,215,364,327,445
0.155,662,1959,2722,4349,260,331,324,465
0.165,658,1981,2707,4301,245,286,323,497
0.175,674,2014,2636,4232,261,270,336,514
0.185,657,1915,2610,4105,250,274,347,499
0.195,601,1813,2594,3955,289,335,318,502
0.205,548,1759,2561,3829,210,308,339,492
0.215,568,1708,2537,3699,166,291,329,458
0.225,613,1622,2527,3555,228,305,333,424
0.235,657,1608,2557,3607,254,279,305,412
0.245,656,1542,2537,3570,262,299,300,391
0.255,656,1541,2567,3532,237,275,332,413
0.265,656,1508,2479,3520,221,286,329,411
0.275,655,1488,2434,3485,232,297,336,393
0.285,655,1429,2435,3502,222,288,342,387
0.295,661,1371,2447,3522,209,306,347,412
0.305,679,1352,2432,3586,206,284,348,405
0.315,713,1398,2394,3615,225,313,340,378
0.325,733,1477,2393,3605,213,274,330,397
0.335,698,1540,2397,3567,200,257,322,383
0.345,636,1584,2374,3543,200,256,321,411
0.355,593,1633,2356,3597,200,275,319,399
0.365,578,1687,2359,3579,209,280,325,384
0.375,583,1740,2358,3597,214,289,328,411
0.385,586,1836,2334,3617,209,287,328,398
0.395,563,1812,2297,3621,212,307,319,404
0.405,538,1797,2265,3590,226,316,328,385
0.415,570,1776,2247,3549,231,311,338,417
0.425,618,1729,2244,3516,215,291,354,407
0.435,613,1641,2257,3479,229,286,347,395
0.445,585,1515,2277,3451,202,315,331,410
0.455,585,1402,2297,3446,195,313,344,391
0.465,612,1343,2313,3422,212,294,345,415
0.475,615,1342,2321,3401,211,325,346,405
0.485,593,1361,2322,3396,203,305,342,419
0.495,576,1378,2320,3421,199,338,329,411
0.505,578,1389,2322,3468,192,313,310,403
0.515,577,1395,2324,3521,189,306,314,387
0.525,564,1396,2317,3567,196,287,325,415
0.535,544,1392,2295,3616,193,305,316,410
0.545,520,1384,2264,3790,180,309,289,424
0.555,496,1372,2210,3975,232,294,288,419
0.565,454,1352,2103,4090,253,289,299,394
0.575,348,1328,1931,4134,246,267,353,409
0.585,309,1313,1802,4231,241,237,406,418
0.595,427,1323,1760,4363,264,217,460,433
0.605,518,1342,1747,4368,277,220,470,393
0.615,496,1353,1734,4366,293,207,456,388
0.625,500,1340,1705,4325,277,210,477,420
0.635,494,1305,1665,4255,291,216,466,404
0.645,463,1249,1619,4233,265,244,461,409
0.655,430,1174,1588,4182,234,268,464,394
0.665,429,1093,1592,4100,230,302,454,392
