sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,659,1643,2373,3520,211,315,366,442
0.015,708,1621,2343,3513,220,311,362,417
0.025,725,1639,2308,3539,212,325,318,438
0.035,683,1597,2367,3569,221,298,343,470
0.045,704,1616,2471,3627,257,321,358,462
0.055,754,1659,2496,3595,290,306,357,445
0.065,817,1738,2452,3673,285,310,299,426
0.075,848,1785,2547,3646,290,315,300,436
0.085,855,1882,2531,3728,297,330,298,449
0.095,851,1875,2618,3754,272,313,314,459
0.105,895,1895,2604,3776,225,351,303,453
0.115,859,1839,2583,3701,224,304,379,478
0.125,894,1744,2502,3610,220,336,362,432
0.135,932,1779,2371,3548,216,326,347,397
0.145,839,1762,2357,3608,216,296,331,397
0.155,778,1725,2340,3648,259,306,311,386
0.165,778,1698,2341,3706,251,293,328,378
0.175,778,1722,2335,3714,251,304,310,415
0.185,779,1683,2347,3739,257,304,337,405
0.195,763,1652,2382,3726,224,306,331,413
0.205,730,1602,2358,3662,212,291,349,430
0.215,697,1510,2385,3715,200,306,360,457
0.225,678,1411,2414,3829,223,306,364,476
0.235,648,1391,2409,3896,228,317,356,479
0.245,620,1401,2379,3830,222,320,361,492
0.255,623,1365,2348,3715,217,312,351,488
0.265,624,1308,2333,3682,226,319,350,495
0.275,621,1255,2335,3618,229,326,350,493
0.285,627,1201,2338,3652,229,301,354,490
0.295,617,1161,2336,3590,207,299,317,486
0.305,586,1124,2335,3607,210,316,319,525
0.315,554,1041,2337,3636,236,353,323,523
0.325,230,945,2339,3637,250,344,311,507
0.335,219,892,2337,3659,249,346,276,494
0.345,276,915,2327,3665,251,344,285,487
0.355,272,964,2323,3659,245,326,307,483
0.365,279,987,2347,3607,238,284,318,428
0.375,333,1037,2410,3593,163,336,327,399
0.385,448,1289,2502,3703,159,294,333,423
0.395,557,1549,2583,3841,167,282,313,432
0.405,590,1649,2627,4053,196,300,303,432
0.415,567,1734,2682,4195,226,321,301,445
0.425,507,1733,2645,4256,250,326,270,423
0.435,387,1612,2538,4191,249,323,283,422
0.445,276,1542,2485,4127,218,340,322,405
0.455,303,1449,2492,4035,217,361,250,392
0.465,387,1821,2603,3966,199,378,256,406
0.475,428,2238,2905,3973,202,393,242,407
0.485,397,2280,2984,4016,205,362,272,421
0.495,390,2298,3062,4056,205,323,273,421
0.505,375,2297,3063,4065,205,311,282,418
0.515,320,2302,2991,3993,210,316,303,428
0.525,302,2274,2913,3869,229,287,377,457
0.535,338,2134,2817,3774,237,300,390,477
0.545,355,1896,2710,3727,219,358,388,465
0.555,347,1788,2638,3686,253,380,349,431
0.565,350,1901,2645,3863,317,345,314,409
0.575,352,1941,2725,3887,343,309,331,407
0.585,325,1912,2840,3897,325,319,288,433
0.595,305,1904,2901,3917,307,332,256,433
0.605,310,1911,2889,3879,314,364,283,431
0.615,304,1904,2862,3912,302,355,298,442
0.625,278,1861,2794,3940,317,349,331,418
0.635,247,1768,2707,3926,314,324,345,459
0.645,233,1655,2693,3946,332,373,328,470
0.655,251,1563,2734,3919,301,322,345,480
0.665,277,1526,2739,3751,290,342,325,470
0.675,298,1482,2689,3669,297,389,341,454
0.685,344,1379,2622,3582,295,438,354,479
0.695,389,1303,2607,3522,232,443,340,472
0.705,389,1237,2636,3519,205,384,318,459
0.715,398,1196,2654,3573,216,328,281,438
0.725,426,1159,2649,3600,211,312,259,437
0.735,411,1064,2640,3657,203,307,263,450
0.745,387,1024,2642,3692,202,278,263,457
0.755,392,1010,2661,3726,204,273,255,458
0.765,376,950,2684,3760,209,270,315,416
0.775,330,890,2687,3744,242,294,341,387
0.785,310,878,2693,3688,249,337,349,371
0.795,347,900,2675,3602,249,332,318,438
0.805,328,960,2606,3575,278,299,289,454
0.815,262,1098,2514,3554,288,355,270,450
0.825,267,1190,2427,3536,309,356,255,443
0.835,268,1288,2338,3497,287,369,280,435
0.845,272,1375,2232,3552,258,338,268,446
0.855,338,1423,2126,3471,224,304,343,460
0.865,425,1441,2041,3401,210,276,355,429
0.875,458,1429,1991,3295,184,299,354,422
0.885,492,1405,1995,3193,194,286,361,427
0.895,519,1392,2030,3146,169,307,372,428
0.905,552,1417,2059,3162,202,305,358,427
0.915,551,1485,2106,3287,201,367,289,473
0.925,417,1566,2162,3411,210,393,265,493
0.935,343,1634,2257,3541,199,398,249,476
0.945,371,1599,2317,3669,193,374,283,491
0.955,353,1537,2393,3732,217,346,289,501
0.965,390,1554,2465,3785,233,361,302,491
0.975,380,1581,2484,3787,247,315,305,480
0.985,353,1598,2500,3723,311,300,318,461
0.995,352,1615,2542,3725,284,352,357,423
1.005,321,1673,2582,3819,293,369,317,438
1.015,269,1772,2602,3935,249,360,306,431
1.025,261,1867,2609,3913,225,337,314,411
1.035,273,1936,2610,3876,223,284,351,426
1.045,276,1988,2609,3814,228,276,345,402
1.055,272,2026,2609,3812,230,274,344,400
1.065,271,2050,2610,3851,232,254,354,413
1.075,272,2065,2609,3890,229,205,372,407
1.085,270,2069,2596,3954,222,170,398,428
1.095,272,2041,2554,4039,224,166,407,451
1.105,283,1969,2469,4139,221,233,362,438
1.115,307,1853,2370,4172,214,313,371,427
1.125,346,1697,2305,4174,204,356,387,418
1.135,387,1509,2296,4145,192,409,402,419
1.145,417,1308,2325,4103,189,326,410,418
1.155,427,1132,2355,4133,210,283,381,432
1.165,414,1019,2372,4284,257,270,331,463
1.175,394,996,2375,4416,250,275,327,455
1.185,386,1046,2373,4401,237,323,374,490
1.195,389,1134,2379,4411,263,357,354,471
1.205,390,1230,2399,4470,292,328,356,492
1.215,389,1313,2415,4503,315,343,389,526
1.225,388,1383,2416,4560,266,335,388,521
1.235,389,1463,2414,4543,272,320,379,505
1.245,397,1518,2415,4584,241,306,375,528
1.255,414,1518,2414,4552,234,306,326,502
1.265,446,1533,2410,4542,237,305,310,512
1.275,477,1555,2413,4585,225,324,331,515
1.285,500,1554,2435,4672,215,308,335,506
1.295,530,1530,2455,4775,190,358,339,489
1.305,553,1494,2455,4860,215,352,331,472
1.315,553,1456,2454,4887,222,339,321,455
1.325,536,1422,2452,4855,241,333,309,473
1.335,509,1393,2409,4816,259,319,299,478
1.345,477,1367,2357,4688,277,303,279,489
1.355,422,1341,2322,4524,292,269,261,458
1.365,395,1300,2289,4335,252,262,259,469
1.375,427,1290,2239,4273,227,306,306,459
1.385,378,1240,2216,4317,249,314,308,450
1.395,351,1236,2223,4279,262,317,327,442
1.405,342,1242,2170,4220,266,315,340,429
1.415,280,1231,2137,4174,319,330,311,411
1.425,279,1240,2061,4152,318,300,329,470
1.435,309,1271,2000,4062,310,322,320,436
1.445,293,1194,1958,4059,324,329,314,455
1.455,267,1194,1889,4069,288,292,344,471
1.465,269,1196,1809,4040,254,311,366,490
1.475,268,1192,1737,3989,240,299,381,467
1.485,272,1189,1741,4003,240,265,407,513
1.495,321,1196,1714,3904,261,289,402,496
1.505,425,1217,1686,3817,237,313,350,496
1.515,512,1262,1694,3709,209,299,293,505
1.525,556,1336,1746,3593,209,299,269,488
1.535,574,1428,1925,3513,208,290,298,443
1.545,579,1492,2160,3574,195,310,312,401
1.555,582,1512,2232,3685,184,304,343,384
1.565,578,1509,2407,3749,195,306,327,357
1.575,559,1503,2560,3816,182,309,293,350
1.585,514,1485,2655,3899,200,282,277,338
1.595,464,1442,2704,3927,199,310,289,341
1.605,440,1382,2704,3955,245,334,366,405
1.615,412,1335,2637,3975,308,320,364,466
1.625,365,1311,2523,4118,306,308,378,506
1.635,327,1306,2450,4207,270,315,347,506
1.645,310,1311,2437,4293,242,359,332,493
1.655,312,1321,2437,4224,254,335,334,496
1.665,311,1335,2439,4152,295,306,327,512
1.675,282,1353,2434,4176,217,317,360,423
1.685,273,1377,2415,4110,209,312,316,373
1.695,312,1395,2388,4117,215,322,331,378
1.705,372,1401,2364,4199,214,331,332,365
1.715,418,1400,2354,4231,209,344,308,375
1.725,432,1395,2364,4253,208,361,283,396
1.735,419,1391,2392,4292,206,348,276,418
1.745,398,1391,2426,4274,216,361,316,407
1.755,384,1392,2440,4251,218,366,348,402
1.765,385,1390,2436,4228,227,358,301,417
1.775,387,1387,2455,4311,229,305,294,437
1.785,386,1387,2507,4369,233,319,304,403
1.795,387,1393,2558,4406,256,311,330,400
1.805,386,1407,2583,4409,238,319,351,382
1.815,387,1428,2625,4479,243,321,360,392
1.825,417,1455,2677,4449,218,330,349,396
1.835,423,1487,2706,4406,205,276,316,457
1.845,431,1522,2703,4299,221,308,302,434
1.855,468,1559,2682,4217,214,298,288,432
1.865,464,1594,2669,4132,213,295,278,415
1.875,463,1628,2671,4098,196,285,293,408
1.885,430,1668,2664,4092,191,266,305,420
