sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,478,1468,2508,3533,245,329,371,457
0.015,480,1502,2484,3513,232,335,351,430
0.025,460,1400,2466,3581,262,313,315,428
0.035,493,1405,2509,3599,268,276,314,462
0.045,487,1474,2491,3587,268,302,326,432
0.055,540,1459,2520,3593,283,319,293,429
0.065,565,1469,2501,3664,296,294,293,460
0.075,593,1496,2501,3658,267,306,303,466
0.085,655,1397,2479,3588,286,316,306,469
0.095,717,1472,2471,3586,217,325,313,447
0.105,729,1519,2554,3631,233,339,325,457
0.115,787,1571,2562,3611,238,307,344,446
0.125,723,1608,2520,3643,193,318,329,441
0.135,766,1505,2518,3590,213,329,343,453
0.145,778,1251,2471,3665,116,372,330,467
0.155,767,1088,2541,3706,146,314,324,464
0.165,720,1098,2518,3612,221,304,348,466
0.175,653,988,2503,3522,214,299,384,462
0.185,593,1001,2503,3525,212,278,370,448
0.195,569,1084,2517,3600,208,288,334,438
0.205,611,1187,2500,3663,214,299,313,427
0.215,722,1261,2571,3636,213,314,307,435
0.225,815,1296,2539,3618,226,299,330,418
0.235,826,1322,2495,3665,218,318,327,417
0.245,792,1358,2463,3695,210,332,323,414
0.255,760,1414,2465,3754,190,306,346,421
0.265,748,1495,2493,3820,163,303,356,418
0.275,703,1600,2491,3851,168,297,362,428
0.285,635,1691,2453,3891,197,278,355,429
0.295,612,1724,2418,3897,181,272,350,418
0.305,622,1757,2412,3985,176,314,329,433
0.315,641,1763,2419,4008,145,298,317,434
0.325,646,1724,2422,4084,156,331,335,452
0.335,638,1682,2421,4058,133,351,321,469
0.345,644,1570,2428,4099,158,330,288,487
0.355,683,1469,2450,4214,175,298,295,490
0.365,743,1427,2483,4409,171,301,334,483
0.375,797,1396,2503,4435,148,296,378,490
0.385,835,1341,2500,4500,167,306,329,447
0.395,855,1314,2496,4432,152,298,334,465
0.405,857,1341,2497,4416,181,303,317,484
0.415,838,1375,2498,4393,200,310,334,495
0.425,801,1416,2497,4278,211,336,342,489
0.435,750,1464,2499,4104,209,331,342,518
0.445,692,1519,2503,3966,199,306,339,491
0.455,634,1581,2497,3952,171,307,350,438
0.465,583,1650,2473,3971,160,305,342,445
0.475,543,1722,2457,4033,162,301,335,429
0.485,522,1789,2461,4078,151,291,337,433
0.495,518,1845,2474,4162,165,316,350,418
0.505,479,1884,2490,4191,163,273,332,405
0.515,440,1905,2504,4164,185,284,329,374
0.525,389,1902,2495,4163,214,331,285,397
0.535,330,1874,2459,4093,219,302,296,405
0.545,281,1825,2466,4065,193,277,342,406
0.555,263,1760,2494,3972,161,252,362,417
0.565,376,1686,2498,3963,190,298,303,471
0.575,486,1607,2475,3837,199,307,306,478
0.585,502,1530,2440,3684,187,284,321,469
0.595,506,1460,2408,3568,189,316,317,439
0.605,500,1376,2381,3550,204,313,290,414
0.615,489,1275,2350,3603,237,322,285,446
0.625,518,1188,2437,3598,260,338,276,462
0.635,365,1086,2493,3628,264,334,272,474
0.645,225,953,2557,3631,247,335,298,467
0.655,232,893,2606,3618,254,326,282,472
0.665,225,911,2618,3607,255,318,292,482
0.675,236,929,2575,3575,259,318,309,476
0.685,266,924,2476,3509,248,325,337,483
0.695,273,919,2375,3404,233,289,348,447
0.705,373,936,2318,3417,233,301,351,393
0.715,524,976,2300,3470,236,286,356,381
0.725,554,1025,2317,3465,240,283,357,381
0.735,530,1076,2361,3449,244,279,358,377
0.745,513,1128,2291,3448,221,291,352,372
0.755,503,1185,2305,3466,227,294,373,368
0.765,495,1257,2302,3508,221,293,364,392
0.775,489,1332,2292,3542,209,309,341,404
0.785,491,1372,2303,3628,187,321,333,405
0.795,507,1398,2353,3667,159,304,320,388
0.805,532,1459,2408,3679,153,292,300,372
0.815,548,1559,2446,3692,171,324,297,399
0.825,535,1658,2480,3790,163,288,304,420
0.835,487,1726,2523,3869,183,278,295,422
0.845,431,1767,2574,3915,173,276,287,399
0.855,399,1791,2617,3915,177,275,265,386
0.865,388,1804,2642,3949,185,274,277,384
0.875,380,1807,2652,3956,183,284,284,380
