sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,486,1533,2547,3536,242,294,333,437
0.015,499,1607,2552,3620,230,311,325,457
0.025,454,1569,2552,3722,242,315,326,452
0.035,429,1594,2482,3750,267,310,334,447
0.045,340,1581,2464,3701,259,315,338,457
0.055,419,1582,2431,3732,270,312,337,453
0.065,461,1506,2395,3793,274,313,313,441
0.075,461,1452,2433,3817,277,307,327,464
0.085,505,1485,2445,3826,272,300,295,461
0.095,583,1520,2506,3863,245,300,311,448
0.105,672,1559,2536,3906,249,336,330,469
0.115,773,1655,2476,3831,242,308,363,485
0.125,828,1695,2463,3778,254,276,373,484
0.135,809,1683,2475,3781,236,268,379,485
0.145,859,1770,2432,3712,200,292,382,485
0.155,824,1729,2482,3714,223,281,364,467
0.165,750,1766,2551,3742,226,259,348,456
0.175,735,1783,2503,3775,228,299,361,455
0.185,719,1732,2519,3941,217,306,344,454
0.195,705,1716,2534,3990,233,280,353,458
0.205,691,1703,2528,4019,210,300,352,445
0.215,680,1688,2485,4038,208,272,343,445
0.225,670,1669,2593,4033,208,293,318,426
0.235,663,1643,2609,4008,205,307,317,411
0.245,658,1606,2582,3984,211,296,313,411
0.255,658,1556,2632,3897,196,316,316,422
0.265,660,1489,2651,3899,188,302,318,401
0.275,663,1413,2670,3852,170,298,322,417
0.285,664,1347,2667,3819,162,295,323,405
0.295,660,1297,2635,3767,160,292,311,388
0.305,649,1244,2594,3720,189,300,299,376
0.315,632,1182,2574,3671,185,308,296,380
0.325,612,1132,2529,3620,197,289,276,368
0.335,594,1093,2499,3604,207,301,280,368
0.345,578,1041,2519,3573,200,308,276,376
0.355,565,980,2497,3562,208,307,287,399
0.365,554,926,2533,3574,203,322,285,393
0.375,546,888,2499,3532,202,309,306,386
0.385,539,863,2488,3535,204,312,328,383
0.395,533,844,2504,3553,204,300,321,387
0.405,528,826,2558,3599,209,297,322,372
0.415,523,813,2619,3651,205,299,314,368
0.425,518,812,2603,3621,214,295,310,395
0.435,512,825,2592,3647,224,292,289,398
0.445,504,846,2592,3650,214,305,285,400
0.455,495,869,2528,3615,223,294,296,391
0.465,486,887,2510,3612,210,306,299,409
0.475,478,902,2479,3620,221,301,306,392
0.485,473,921,2470,3658,213,307,313,388
0.495,472,951,2506,3682,199,292,296,393
0.505,476,992,2488,3748,200,302,282,397
0.515,487,1036,2468,3739,211,301,285,375
0.525,501,1079,2454,3739,219,294,276,371
0.535,517,1122,2417,3715,213,294,278,362
0.545,533,1172,2376,3722,194,289,276,352
0.555,547,1236,2352,3786,165,306,255,351
0.565,557,1318,2344,3825,165,317,272,357
0.575,565,1406,2350,3776,157,291,274,361
0.585,568,1486,2369,3852,172,265,261,373
0.595,567,1550,2396,3879,174,267,278,387
0.605,561,1591,2424,3870,167,272,264,394
0.615,551,1597,2445,3995,166,277,279,365
0.625,538,1554,2462,4070,166,289,267,361
0.635,522,1468,2484,4087,167,306,272,418
0.645,505,1376,2515,4074,164,300,261,462
0.655,488,1315,2557,3987,151,315,267,443
0.665,470,1273,2607,3893,149,314,255,483
0.675,454,1173,2660,3791,155,311,300,454
0.685,439,1046,2714,3800,165,299,315,428
0.695,426,975,2767,3738,160,310,321,410
0.705,417,968,2803,3835,166,294,329,389
0.715,411,1021,2792,3946,181,303,324,385
0.725,409,1107,2724,4067,165,309,311,397
0.735,410,1202,2631,4142,168,326,304,439
0.745,411,1295,2549,4198,177,346,299,440
0.755,413,1405,2510,4223,189,332,305,424
0.765,414,1548,2496,4309,210,359,274,424
0.775,412,1717,2478,4390,232,353,281,424
0.785,407,1892,2518,4465,240,302,306,415
0.795,399,2048,2631,4493,233,293,359,419
0.805,386,2160,2720,4489,223,299,381,456
0.815,368,2201,2788,4553,204,298,401,433
0.825,354,2143,2870,4546,184,313,355,438
0.835,354,2016,2933,4516,181,320,356,465
0.845,368,1873,2922,4440,184,360,334,445
0.855,382,1833,2893,4313,213,359,366,431
0.865,381,1813,2816,4295,198,377,352,446
0.875,369,1824,2845,4279,205,362,341,448
0.885,356,1880,2859,4205,216,351,355,448
0.895,351,1935,2903,4215,286,354,373,440
0.905,354,1994,2895,4095,224,332,329,431
