sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,402,1471,2464,3546,247,315,359,418
0.015,477,1476,2497,3553,257,310,322,430
0.025,447,1519,2435,3507,253,326,317,439
0.035,529,1518,2440,3517,253,323,312,414
0.045,604,1517,2491,3614,258,314,330,427
0.055,622,1539,2467,3626,282,290,333,415
0.065,605,1537,2559,3599,281,309,357,437
0.075,577,1537,2589,3626,277,305,367,448
0.085,571,1558,2506,3661,253,314,332,453
0.095,618,1526,2472,3626,282,345,328,450
0.105,607,1511,2525,3610,273,340,321,453
0.115,582,1552,2526,3607,291,312,317,449
0.125,591,1581,2609,3688,307,312,329,435
0.135,637,1751,2685,3684,337,305,329,435
0.145,702,1783,2647,3718,277,333,327,439
0.155,806,1795,2568,3773,266,379,296,437
0.165,843,1851,2593,3929,274,346,332,463
0.175,882,1815,2629,3986,293,347,333,498
0.185,838,1794,2657,3983,290,296,375,454
0.195,850,1776,2736,4042,286,278,409,483
0.205,829,1829,2721,4044,263,289,384,454
0.215,696,1819,2695,4016,204,303,343,421
0.225,735,1840,2631,4018,218,314,363,428
0.235,749,1752,2673,4075,273,271,344,422
0.245,792,1822,2651,4139,287,317,369,435
0.255,842,1814,2707,4143,272,307,375,434
0.265,808,1845,2757,4135,282,285,374,428
0.275,792,1873,2769,4085,280,285,390,423
0.285,780,1888,2728,4059,250,311,370,416
0.295,795,1767,2684,4020,289,289,359,425
0.305,810,1746,2627,4100,295,295,363,431
0.315,852,1743,2546,4106,277,333,333,441
0.325,816,1763,2509,4093,247,307,361,433
0.335,763,1755,2483,4156,267,310,383,448
0.345,784,1770,2456,4164,268,318,357,432
0.355,822,1721,2497,4208,260,298,360,450
0.365,816,1693,2473,3977,275,291,339,443
0.375,783,1747,2461,3893,295,291,357,425
0.385,798,1701,2510,3834,300,295,357,445
0.395,777,1728,2478,3838,291,298,339,422
0.405,849,1736,2475,3936,299,323,323,437
0.415,889,1748,2464,3990,294,290,343,479
0.425,938,1817,2432,4047,298,308,350,461
0.435,876,1760,2500,4018,289,285,351,441
0.445,849,1757,2504,4013,264,281,342,441
0.455,860,1797,2464,4029,249,315,312,436
0.465,836,1742,2525,4076,300,269,320,418
0.475,808,1726,2486,4022,256,298,334,429
0.485,764,1766,2472,4072,287,296,341,444
0.495,690,1738,2451,4061,291,286,342,446
0.505,681,1720,2434,4029,280,296,326,430
0.515,669,1737,2454,3999,255,289,320,441
0.525,716,1718,2437,3969,279,288,318,447
0.535,659,1677,2425,3972,271,277,320,440
0.545,717,1674,2411,4003,285,306,317,426
0.555,689,1657,2466,4016,288,284,331,422
0.565,694,1687,2467,3970,268,292,334,445
0.575,708,1686,2446,4007,299,284,342,444
0.585,756,1692,2414,3989,280,302,324,447
0.595,738,1666,2440,3907,275,280,299,460
0.605,681,1653,2452,3894,292,268,314,477
0.615,685,1637,2432,3854,253,302,324,440
0.625,738,1629,2411,3909,250,314,336,425
0.635,816,1594,2425,3884,251,297,338,439
0.645,818,1652,2393,3898,245,310,316,440
