sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,610,1508,2467,3611,241,308,379,419
0.015,585,1474,2493,3664,287,282,324,433
0.025,569,1444,2470,3706,322,294,351,432
0.035,666,1389,2442,3692,326,314,318,477
0.045,681,1473,2533,3696,314,277,334,448
0.055,660,1450,2518,3667,328,300,332,463
0.065,668,1471,2552,3648,296,277,370,480
0.075,694,1517,2492,3632,291,311,393,463
0.085,682,1546,2466,3678,264,316,340,468
0.095,713,1606,2408,3670,260,343,307,459
0.105,732,1602,2494,3661,277,322,326,434
0.115,758,1590,2462,3637,290,346,294,445
0.125,497,1608,2521,3620,290,326,282,433
0.135,436,1692,2486,3672,296,288,322,449
0.145,431,1787,2539,3755,312,255,349,459
0.155,436,1789,2501,3705,294,243,380,448
0.165,410,1767,2587,3756,283,266,364,415
0.175,384,1724,2667,3891,297,250,341,412
0.185,388,1668,2575,3882,320,265,335,413
0.195,394,1605,2533,3862,302,275,339,463
0.205,394,1539,2443,3861,277,312,359,470
0.215,392,1466,2271,3902,284,300,389,485
0.225,392,1379,2109,4007,268,308,399,507
0.235,392,1308,2004,3997,253,316,408,498
0.245,388,1269,1944,3978,219,323,421,515
0.255,386,1235,1920,3925,196,325,393,522
0.265,398,1200,1922,3778,195,309,341,510
0.275,421,1170,1941,3554,222,358,302,508
0.285,438,1150,1969,3326,228,325,277,464
0.295,440,1139,2000,3247,228,310,299,404
0.305,427,1133,2027,3306,229,298,292,368
0.315,406,1133,2041,3356,224,294,295,356
0.325,391,1140,2043,3320,219,305,287,360
0.335,394,1153,2039,3293,213,298,304,374
0.345,415,1169,2040,3282,205,309,298,380
0.355,454,1183,2032,3301,195,327,295,383
0.365,495,1198,2011,3288,183,331,302,374
0.375,514,1220,1992,3281,186,335,289,376
0.385,510,1257,1978,3285,171,344,328,382
0.395,513,1312,1957,3277,173,309,303,375
0.405,533,1370,1929,3306,171,313,296,380
0.415,553,1416,1923,3266,185,307,322,390
