sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,556,1562,2476,3634,233,309,382,460
0.015,611,1507,2463,3661,268,349,308,423
0.025,535,1526,2506,3676,289,305,339,439
0.035,439,1561,2406,3643,224,352,332,421
0.045,486,1546,2356,3593,249,341,313,423
0.055,578,1513,2337,3532,283,373,297,409
0.065,478,1514,2427,3553,277,318,318,415
0.075,467,1499,2508,3546,281,305,332,420
0.085,507,1494,2531,3595,300,325,304,420
0.095,564,1487,2469,3715,260,368,284,420
0.105,600,1491,2381,3843,266,327,313,444
0.115,670,1489,2361,3939,287,345,319,490
0.125,658,1367,2307,3956,259,329,323,495
0.135,588,1302,2335,4009,281,333,360,471
0.145,600,1309,2492,3943,271,285,351,464
0.155,572,1313,2392,3943,293,264,366,461
0.165,535,1253,2237,3930,320,273,367,485
0.175,548,1182,2173,3961,279,262,374,509
0.185,594,1181,2210,4036,234,309,356,545
0.195,632,1203,2050,4051,168,303,332,537
0.205,635,1222,1835,3965,133,338,324,526
0.215,626,1228,1966,3786,125,332,334,534
0.225,642,1225,2272,3580,154,358,363,524
0.235,674,1224,2405,3349,199,350,312,500
0.245,673,1224,2405,3263,215,308,294,429
0.255,675,1222,2503,3316,207,312,317,409
0.265,679,1223,2592,3317,197,314,310,388
0.275,641,1231,2617,3459,215,304,331,378
0.285,569,1207,2606,3492,244,300,361,386
0.295,497,1130,2479,3544,247,297,364,377
0.305,422,1030,2325,3621,215,345,339,390
0.315,348,951,2225,3650,208,355,286,392
0.325,324,940,2195,3630,221,323,299,427
0.335,334,970,2208,3556,254,317,280,430
0.345,354,997,2238,3602,238,311,267,426
0.355,360,1028,2283,3594,260,296,300,431
0.365,356,1119,2344,3644,220,343,309,435
0.375,355,1271,2418,3716,223,348,321,441
0.385,356,1384,2483,3921,250,371,377,437
0.395,356,1456,2538,4026,195,365,387,415
0.405,356,1546,2600,4002,254,342,359,423
0.415,356,1624,2667,3908,256,320,400,410
0.425,356,1655,2719,3902,217,303,380,364
0.435,354,1658,2742,3961,197,310,335,351
0.445,355,1660,2764,3908,195,305,326,346
0.455,358,1657,2800,3874,186,306,331,337
0.465,356,1644,2784,3797,232,311,358,334
0.475,338,1620,2738,3857,207,314,322,395
0.485,319,1585,2696,3909,223,338,357,428
0.495,317,1544,2654,3950,251,342,376,460
0.505,315,1508,2607,4009,255,324,376,488
0.515,290,1494,2550,3947,202,333,361,457
0.525,277,1486,2486,3948,194,350,374,465
0.535,295,1449,2441,4024,193,335,371,467
0.545,320,1365,2424,3966,175,368,351,462
0.555,340,1268,2409,3991,196,372,338,474
0.565,385,1188,2372,3976,234,383,313,494
0.575,448,1149,2322,3886,215,362,332,476
0.585,490,1142,2279,3772,221,359,328,494
0.595,504,1156,2254,3667,205,350,331,512
0.605,514,1180,2246,3488,216,328,350,467
0.615,542,1208,2253,3396,214,313,343,402
0.625,578,1235,2269,3473,212,312,353,376
0.635,609,1257,2284,3483,199,307,384,356
0.645,628,1268,2290,3583,192,329,364,346
0.655,634,1283,2287,3599,193,328,363,355
0.665,632,1338,2289,3610,194,312,357,388
0.675,633,1429,2308,3607,197,319,323,390
0.685,634,1515,2339,3630,174,345,308,438
0.695,628,1581,2369,3742,183,359,300,381
0.705,615,1617,2391,3593,188,313,416,401
0.715,599,1625,2408,3670,194,313,380,385
0.725,585,1612,2420,3599,225,335,360,369
0.735,568,1604,2403,3560,225,295,387,359
0.745,530,1656,2348,3565,246,320,394,358
0.755,468,1763,2297,3601,219,277,390,377
0.765,390,1867,2296,3668,207,290,350,400
0.775,306,1937,2345,3718,201,279,402,436
0.785,230,2009,2409,3861,194,320,367,452
0.795,169,2101,2466,3869,194,319,367,446
0.805,127,2158,2524,3929,198,338,327,458
0.815,122,2172,2596,3912,196,352,313,453
0.825,149,2168,2668,3941,238,358,337,468
0.835,178,2165,2732,3957,249,392,321,455
0.845,196,2173,2797,3965,242,387,296,470
0.855,206,2196,2871,3879,241,345,314,486
0.865,220,2213,2963,3694,221,289,374,444
0.875,255,2207,3012,3727,203,309,346,376
0.885,306,2172,2884,3615,198,308,327,409
0.895,349,2106,2656,3546,205,296,327,373
0.905,361,2007,2569,3580,233,289,367,373
0.915,351,1876,2566,3574,261,351,343,369
0.925,349,1724,2557,3500,245,361,347,378
0.935,381,1564,2549,3499,226,362,329,375
0.945,425,1396,2579,3505,210,340,326,359
0.955,429,1274,2654,3506,223,327,319,305
0.965,388,1186,2723,3505,229,307,353,284
0.975,352,1086,2749,3583,237,286,340,387
0.985,350,1032,2778,3708,221,298,306,441
