sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,525,1466,2389,3621,278,309,345,408
0.015,466,1432,2358,3639,309,307,299,425
0.025,495,1397,2378,3658,299,325,289,414
0.035,532,1447,2438,3642,259,317,312,451
0.045,543,1482,2427,3625,289,291,321,480
0.055,537,1470,2469,3701,299,308,310,451
0.065,577,1455,2447,3721,290,317,327,480
0.075,594,1479,2352,3703,321,314,320,471
0.085,617,1508,2433,3675,276,313,306,443
0.095,651,1488,2510,3680,300,310,313,431
0.105,695,1544,2521,3735,247,325,328,439
0.115,750,1566,2483,3808,212,310,334,445
0.125,817,1653,2422,3740,232,309,333,470
0.135,883,1628,2492,3683,238,291,341,446
0.145,864,1693,2562,3689,243,260,357,418
0.155,812,1713,2524,3635,229,302,331,406
0.165,787,1682,2567,3585,242,298,330,408
0.175,754,1702,2561,3614,240,291,326,430
0.185,719,1694,2511,3540,200,307,342,421
0.195,687,1634,2477,3487,228,282,365,416
0.205,663,1516,2454,3388,177,299,364,408
0.215,653,1455,2413,3362,168,312,313,407
0.225,654,1429,2364,3307,175,309,310,393
0.235,656,1416,2317,3231,188,306,293,401
0.245,656,1394,2283,3135,217,307,305,365
0.255,658,1354,2270,3135,220,313,314,360
0.265,652,1334,2274,3144,216,317,304,358
0.275,625,1306,2288,3162,211,303,308,364
0.285,582,1248,2312,3175,215,287,322,381
0.295,526,1192,2352,3299,212,296,324,403
0.305,464,1129,2416,3560,182,306,295,426
0.315,422,1053,2502,3752,217,300,281,429
0.325,417,989,2584,3742,212,302,291,384
0.335,426,943,2638,3749,204,304,288,384
0.345,427,881,2665,3769,212,300,278,384
0.355,417,820,2674,3876,226,303,283,397
0.365,396,802,2672,3889,217,301,269,398
0.375,371,810,2664,3870,212,306,266,411
0.385,350,808,2650,3766,224,297,308,397
0.395,342,809,2623,3571,225,296,324,401
0.405,355,852,2582,3511,241,285,349,366
0.415,388,962,2532,3408,214,322,323,334
0.425,429,1110,2480,3407,195,350,310,305
0.435,465,1260,2432,3471,198,374,315,307
0.445,488,1395,2394,3496,186,371,275,322
0.455,501,1511,2370,3301,183,407,290,328
0.465,507,1607,2359,3340,202,389,298,313
0.475,498,1686,2362,3276,199,369,314,333
0.485,473,1748,2378,3224,207,327,301,345
0.495,462,1799,2407,3406,180,276,356,354
0.505,466,1847,2446,3451,188,294,355,346
0.515,444,1898,2491,3419,174,282,333,354
0.525,412,1948,2534,3462,183,290,337,346
0.535,397,1992,2565,3576,192,285,312,371
0.545,384,2026,2582,3512,206,288,313,352
0.555,360,2052,2592,3560,207,303,318,362
0.565,329,2069,2605,3715,198,311,326,325
0.575,297,2084,2629,3691,186,339,348,323
0.585,267,2102,2666,3666,167,340,350,347
0.595,244,2119,2702,3776,177,334,345,373
0.605,230,2127,2721,3842,188,345,326,408
0.615,229,2119,2731,3786,191,326,328,376
0.625,231,2100,2754,3903,200,337,341,357
0.635,229,2078,2795,3921,231,335,363,384
0.645,222,2056,2832,3914,249,354,362,371
0.655,233,2034,2853,3979,271,379,369,378
0.665,270,2013,2874,3968,330,398,336,401
0.675,304,1992,2897,3986,319,399,315,397
0.685,303,1976,2904,3916,331,392,289,444
0.695,278,1972,2901,3964,332,367,313,432
0.705,264,1978,2902,3973,306,405,317,421
0.715,266,1977,2903,4045,309,355,334,425
0.725,270,1956,2894,3964,301,376,307,422
0.735,270,1920,2860,3862,301,371,340,420
0.745,268,1888,2792,3863,287,374,317,419
0.755,271,1869,2723,3791,222,320,336,423
0.765,281,1854,2689,3679,190,319,321,427
0.775,298,1836,2691,3549,209,298,309,419
0.785,320,1821,2704,3566,187,291,284,430
0.795,346,1818,2706,3545,205,325,286,415
0.805,370,1819,2700,3598,227,379,263,362
0.815,388,1801,2713,3686,228,366,288,334
0.825,394,1767,2744,3686,189,345,324,346
0.835,378,1733,2732,3675,184,331,356,362
0.845,332,1710,2708,3721,155,379,311,388
0.855,266,1701,2766,3643,145,393,316,408
0.865,230,1706,2798,3656,191,375,340,397
0.875,250,1719,2786,3614,184,390,341,414
0.885,273,1736,2796,3674,201,370,333,411
0.895,271,1749,2822,3802,198,339,320,426
0.905,269,1762,2830,3934,184,369,323,451
0.915,269,1783,2825,4024,243,357,330,470
0.925,259,1816,2825,4132,256,349,320,450
0.935,239,1847,2831,4178,193,328,339,418
0.945,216,1864,2831,4170,231,320,338,410
0.955,197,1864,2813,4040,200,299,322,385
0.965,186,1855,2778,4007,194,310,321,372
0.975,187,1843,2743,3964,182,285,300,365
0.985,200,1831,2721,3991,190,291,302,348
0.995,221,1820,2710,3862,192,285,346,380
1.005,240,1811,2707,3810,201,313,304,378
1.015,262,1808,2708,3863,181,302,298,373
1.025,302,1814,2710,3712,202,303,300,383
1.035,342,1832,2710,3654,209,307,315,417
1.045,351,1857,2707,3832,201,302,337,414
1.055,347,1880,2699,3843,195,285,336,358
1.065,351,1894,2687,3921,193,300,320,359
1.075,345,1890,2673,3916,195,291,320,381
1.085,319,1871,2660,3929,185,303,309,377
1.095,303,1844,2648,4008,185,322,310,378
1.105,307,1814,2638,3965,201,307,345,394
1.115,311,1786,2630,3985,206,285,303,385
1.125,297,1762,2625,3973,211,271,321,440
1.135,274,1740,2623,4105,218,300,342,442
1.145,271,1719,2625,4057,247,307,373,413
1.155,291,1700,2632,4144,268,304,367,412
1.165,312,1680,2640,4269,276,339,350,401
1.175,317,1661,2642,4278,286,314,385,362
1.185,301,1642,2628,4217,293,309,345,371
1.195,266,1622,2596,4260,271,309,364,386
1.205,233,1601,2563,4257,274,311,354,388
1.215,217,1632,2553,4247,248,330,351,394
1.225,218,1617,2580,4226,279,342,303,396
1.235,228,1608,2627,4115,283,332,310,412
1.245,239,1604,2675,4003,242,354,298,409
1.255,253,1604,2705,3931,229,324,348,458
1.265,275,1610,2701,3930,208,296,336,454
1.275,306,1620,2673,3823,192,302,302,433
1.285,343,1634,2641,3807,187,310,279,382
1.295,381,1652,2626,3847,188,320,252,375
1.305,416,1674,2634,3844,198,317,272,367
1.315,444,1700,2653,3874,201,325,287,367
1.325,461,1729,2671,3844,198,305,275,367
1.335,463,1756,2679,3917,175,306,257,371
1.345,460,1777,2677,3920,184,292,254,363
1.355,468,1787,2666,3949,198,290,277,361
1.365,489,1785,2649,3932,202,303,321,375
1.375,502,1774,2629,3920,258,346,368,384
1.385,488,1759,2610,3928,283,368,369,382
1.395,452,1743,2665,4007,296,364,362,406
1.405,407,1729,2696,4051,289,357,342,405
1.415,367,1717,2734,4046,279,347,363,385
1.425,337,1709,2775,4082,286,332,366,396
1.435,315,1705,2772,4172,289,344,358,394
1.445,300,1704,2809,4235,285,345,421,400
1.455,295,1708,2804,4215,303,370,364,382
1.465,304,1714,2773,4237,302,359,401,378
1.475,332,1718,2732,4136,292,368,365,362
