sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,535,1504,2547,3651,256,330,362,436
0.015,529,1488,2515,3631,281,317,359,437
0.025,522,1475,2566,3626,280,305,347,427
0.035,508,1469,2524,3668,283,337,342,421
0.045,572,1531,2386,3709,247,352,353,405
0.055,556,1488,2387,3706,292,306,332,377
0.065,567,1480,2453,3681,329,285,329,391
0.075,597,1529,2367,3785,306,308,347,367
0.085,595,1488,2381,3785,323,311,334,349
0.095,610,1523,2369,3726,316,318,332,399
0.105,597,1468,2472,3659,294,307,357,419
0.115,620,1516,2525,3621,284,295,303,422
0.125,647,1524,2604,3681,273,311,280,431
0.135,689,1576,2724,3653,276,320,267,454
0.145,667,1587,2653,3622,316,310,312,424
0.155,594,1601,2553,3632,300,369,333,440
0.165,473,1601,2504,3701,284,355,367,460
0.175,415,1569,2483,3860,265,347,349,487
0.185,477,1516,2468,3934,263,330,365,483
0.195,515,1450,2435,3985,227,303,339,464
0.205,452,1381,2366,3950,252,283,339,491
0.215,390,1319,2248,3867,256,311,377,477
0.225,380,1265,2084,3812,245,288,381,449
0.235,380,1212,1910,3836,248,228,414,399
0.245,388,1150,1772,3833,236,253,429,361
0.255,412,1090,1708,3786,208,269,402,337
0.265,463,1061,1707,3795,189,297,353,322
0.275,518,1073,1743,3806,200,303,288,337
0.285,559,1117,1807,3823,188,307,295,326
0.295,586,1185,1902,3809,194,304,293,334
0.305,607,1259,1984,3759,191,313,286,343
0.315,630,1311,2012,3782,191,325,286,303
0.325,648,1367,2054,3811,192,323,305,292
0.335,651,1457,2177,3819,193,314,283,296
0.345,643,1538,2276,3780,183,312,301,301
0.355,626,1575,2283,3732,168,311,290,322
0.365,596,1601,2277,3704,167,309,304,347
0.375,556,1653,2337,3639,177,301,323,422
0.385,524,1721,2417,3590,209,287,356,420
0.395,506,1780,2431,3561,259,300,361,395
0.405,495,1811,2443,3496,309,356,323,358
0.415,485,1810,2501,3449,337,358,330,370
0.425,469,1780,2525,3536,304,368,313,364
0.435,443,1746,2524,3460,289,340,327,373
0.445,409,1719,2514,3530,310,308,334,376
0.455,379,1671,2427,3619,314,275,338,418
0.465,361,1624,2322,3787,327,285,325,415
0.475,368,1586,2250,3802,271,292,342,419
0.485,407,1538,2186,3771,276,288,332,399
0.495,452,1479,2136,3783,286,294,339,409
0.505,448,1432,2082,3870,275,312,335,433
0.515,405,1400,2007,3902,258,280,367,456
0.525,381,1367,1928,3814,286,265,397,419
0.535,403,1328,1859,3744,307,225,435,412
0.545,420,1301,1815,3751,303,190,424,363
