sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,539,1480,2383,3565,276,312,340,417
0.015,562,1457,2396,3554,309,311,337,411
0.025,614,1476,2322,3597,288,305,331,403
0.035,524,1463,2890,3609,250,301,339,397
0.045,445,1515,2862,3731,252,309,349,398
0.055,423,1490,2860,3787,282,327,318,413
0.065,428,1485,2863,3841,287,355,325,425
0.075,432,1504,2862,3886,297,338,320,416
0.085,408,1687,2860,3922,326,277,330,428
0.095,362,1674,2864,3984,290,299,355,462
0.105,336,1666,2865,3971,286,318,324,453
0.115,340,1622,2845,3924,252,329,355,443
0.125,347,1621,2824,3797,242,320,335,442
0.135,346,1624,2828,3852,257,319,351,430
0.145,346,1622,2816,3890,274,312,314,420
0.155,347,1606,2756,3934,230,313,369,402
0.165,345,1568,2682,3873,234,359,385,461
0.175,342,1498,2625,3905,269,337,376,474
0.185,365,1402,2585,3881,229,348,406,497
0.195,386,1320,2551,3898,260,337,421,473
0.205,370,1263,2511,3857,245,343,379,478
0.215,347,1201,2476,3793,221,360,346,487
0.225,343,1117,2462,3782,197,363,289,472
0.235,347,1058,2478,3771,186,370,270,478
0.245,346,1043,2521,3737,165,375,273,496
0.255,349,1047,2558,3610,145,386,301,502
0.265,383,1033,2562,3407,178,373,376,484
0.275,465,1005,2543,3303,174,310,383,443
0.285,526,1006,2518,3286,201,322,340,408
0.295,541,1032,2511,3326,206,292,333,399
0.305,538,1063,2514,3335,226,294,327,431
0.315,546,1085,2503,3362,238,303,306,413
0.325,532,1118,2466,3313,234,316,299,406
0.335,467,1240,2431,3368,171,353,337,385
0.345,411,1393,2491,3398,190,350,388,406
0.355,377,1480,2596,3385,254,297,364,385
0.365,356,1522,2650,3410,297,280,343,370
0.375,346,1553,2666,3418,328,289,330,393
0.385,345,1592,2679,3517,317,335,302,384
0.395,347,1627,2697,3481,327,344,287,385
0.405,345,1641,2710,3506,317,346,317,381
0.415,344,1628,2714,3501,334,331,330,408
0.425,364,1587,2703,3560,299,328,320,418
0.435,388,1549,2677,3566,295,355,280,430
0.445,393,1553,2641,3596,337,356,288,439
0.455,378,1587,2600,3648,310,314,317,434
0.465,354,1619,2593,3611,341,274,327,449
0.475,345,1616,2640,3596,319,258,352,430
0.485,347,1575,2676,3629,301,277,366,432
0.495,346,1530,2622,3629,334,282,348,453
0.505,346,1496,2477,3555,312,303,356,430
0.515,346,1465,2303,3518,292,279,377,466
0.525,346,1435,2121,3419,297,255,393,531
0.535,347,1437,1890,3302,282,227,389,537
0.545,346,1479,1868,3145,244,262,404,473
0.555,336,1544,1975,3061,251,266,377,411
0.565,310,1640,2082,3146,257,283,367,370
0.575,314,1749,2174,3114,248,274,304,381
0.585,317,1834,2269,3295,226,293,308,371
0.595,341,1882,2388,3441,227,301,325,390
0.605,337,1931,2511,3589,243,322,325,420
0.615,338,2008,2552,3668,270,300,307,430
0.625,343,2058,2553,3797,281,312,323,422
0.635,322,2056,2571,3768,308,330,322,409
0.645,307,2047,2596,3835,309,342,321,417
0.655,302,2049,2630,3855,303,358,304,422
0.665,310,2035,2695,3869,304,379,312,422
0.675,330,1991,2718,3798,283,323,379,439
0.685,347,1926,2706,3950,271,313,317,465
0.695,351,1890,2702,4079,229,282,285,465
0.705,347,1894,2706,4172,208,303,274,437
0.715,345,1887,2708,4207,239,309,280,411
0.725,351,1866,2707,4261,270,324,294,404
0.735,368,1844,2707,4246,257,368,282,404
0.745,393,1827,2707,4296,251,386,297,427
0.755,418,1818,2707,4296,258,376,285,428
0.765,425,1817,2707,4258,238,337,337,422
0.775,423,1814,2686,4328,259,354,394,438
0.785,427,1828,2727,4318,303,311,366,442
0.795,395,1887,2725,4247,276,312,353,477
0.805,349,1960,2750,4188,250,325,336,473
0.815,344,2023,2792,4150,251,310,351,424
0.825,340,2061,2889,4089,238,346,307,445
0.835,313,2078,2865,3965,273,331,294,423
0.845,301,2104,2807,3859,262,355,266,430
0.855,306,2141,2783,3808,292,332,269,444
0.865,310,2165,2767,3849,320,347,267,439
0.875,295,2155,2736,3864,340,311,343,439
0.885,269,2114,2680,3934,353,288,318,471
0.895,249,2095,2621,3956,350,311,284,455
0.905,235,2060,2577,3955,363,272,348,490
0.915,225,2017,2542,3991,357,267,344,498
0.925,223,1966,2517,4007,337,243,321,503
0.935,240,1906,2514,4025,301,248,345,472
0.945,274,1837,2507,3896,231,234,309,492
0.955,306,1756,2481,3786,245,277,323,466
0.965,321,1665,2467,3685,256,307,362,446
0.975,336,1560,2472,3759,289,336,341,459
0.985,374,1446,2481,3746,271,367,305,483
0.995,428,1333,2494,3638,243,366,304,484
1.005,467,1230,2519,3544,234,297,321,438
1.015,475,1148,2561,3559,202,289,322,404
1.025,467,1095,2612,3612,204,302,318,389
1.035,460,1067,2602,3635,208,276,314,362
1.045,461,1057,2645,3614,206,278,330,361
1.055,464,1061,2662,3639,203,293,342,375
1.065,463,1072,2637,3615,223,297,332,392
1.075,457,1086,2662,3616,252,313,316,420
1.085,456,1101,2691,3628,235,285,333,408
1.095,474,1117,2715,3658,217,297,318,393
1.105,511,1136,2716,3621,218,305,317,395
1.115,545,1159,2688,3655,211,309,322,404
