sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,490,1448,2458,3597,254,290,334,402
0.015,523,1498,2482,3628,264,311,319,430
0.025,525,1479,2481,3604,289,331,327,478
0.035,545,1484,2375,3557,322,309,321,464
0.045,559,1483,2434,3560,289,289,318,433
0.055,611,1541,2435,3622,251,312,319,440
0.065,578,1584,2485,3655,281,294,335,469
0.075,579,1538,2506,3650,298,329,323,470
0.085,546,1542,2522,3624,314,295,326,469
0.095,579,1532,2483,3605,310,301,331,439
0.105,689,1524,2452,3616,290,325,336,449
0.115,715,1596,2476,3608,272,321,335,421
0.125,762,1586,2538,3605,305,321,359,452
0.135,780,1652,2616,3635,282,290,373,467
0.145,857,1607,2671,3641,292,296,341,477
0.155,955,1522,2591,3762,278,297,334,433
0.165,949,1552,2581,3846,219,339,361,448
0.175,921,1653,2609,3820,253,313,368,440
0.185,918,1748,2635,3710,260,283,400,429
0.195,821,1872,2638,3746,246,316,360,422
0.205,787,1915,2608,3812,253,293,368,410
0.215,842,1918,2592,3826,269,295,399,441
0.225,889,1965,2559,3728,246,305,382,430
0.235,907,1934,2604,3762,259,283,369,421
0.245,903,1895,2710,3796,255,304,369,413
0.255,889,1941,2765,3774,246,306,345,409
0.265,884,1956,2850,3876,240,289,357,425
0.275,945,2012,2909,3800,270,285,388,425
0.285,886,1978,2885,3912,232,309,329,415
0.295,882,1987,2865,3907,224,333,300,429
0.305,784,1990,2866,3871,225,316,335,440
0.315,778,1894,2766,3857,249,325,313,412
0.325,654,1813,2672,3862,205,309,288,420
0.335,721,1814,2644,3876,219,309,302,437
0.345,722,1756,2543,3802,229,319,293,435
0.355,692,1673,2503,3758,237,302,343,427
0.365,721,1621,2496,3792,279,285,358,455
0.375,698,1675,2482,3743,264,282,381,477
0.385,669,1646,2561,3783,271,327,367,488
0.395,564,1647,2608,3853,273,301,359,466
0.405,572,1560,2614,3839,310,293,370,476
0.415,634,1607,2542,3749,333,267,345,438
0.425,692,1517,2516,3732,354,280,340,420
0.435,761,1549,2449,3729,338,287,347,417
0.445,745,1521,2371,3784,311,278,335,415
0.455,644,1431,2289,3885,273,299,339,431
0.465,511,1500,2116,4155,227,284,353,437
0.475,477,1439,2036,4316,182,294,352,439
0.485,504,1523,2043,4356,206,307,325,456
0.495,514,1617,2133,4367,193,281,320,435
0.505,587,1705,2296,4358,191,264,325,443
0.515,607,1787,2425,4371,171,245,332,436
0.525,604,1870,2569,4356,180,263,307,436
0.535,627,1941,2631,4406,191,292,322,439
0.545,633,1986,2657,4451,183,295,316,450
0.555,648,2020,2743,4550,186,315,332,433
0.565,611,2037,2770,4628,199,340,321,423
0.575,551,2034,2765,4667,192,330,319,429
0.585,495,2021,2800,4487,192,305,339,421
0.595,423,2011,2847,4442,212,285,318,423
0.605,408,2015,2824,4400,184,297,305,426
0.615,470,2030,2730,4498,222,348,315,445
0.625,483,2036,2719,4631,216,354,295,439
0.635,509,2080,2707,4703,205,367,275,389
0.645,517,2172,2754,4652,224,374,261,355
0.655,507,2187,2799,4664,229,366,235,355
0.665,510,2206,2739,4666,235,364,242,357
0.675,515,2207,2754,4640,229,348,245,349
0.685,511,2181,2789,4603,228,335,304,346
0.695,512,2149,2791,4607,238,336,318,366
0.705,500,2180,2770,4719,276,413,274,413
0.715,502,2157,2756,4773,268,418,271,398
0.725,480,2145,2751,4753,241,400,270,390
0.735,486,2121,2752,4754,213,369,312,384
0.745,479,2098,2770,4668,197,341,348,384
0.755,562,2098,2814,4567,233,387,371,416
0.765,603,2086,2865,4570,173,420,355,358
0.775,620,2086,2896,4589,177,425,357,365
0.785,668,2086,2904,4606,183,424,350,355
0.795,725,2086,2901,4664,188,425,336,363
0.805,728,2098,2895,4623,217,398,328,406
0.815,740,2098,2888,4770,204,345,365,387
0.825,763,2110,2880,4825,209,317,379,403
0.835,775,2110,2869,4715,257,335,366,437
0.845,763,2141,2891,4641,275,338,344,450
0.855,681,2077,2848,4561,310,314,366,474
0.865,623,2028,2819,4537,311,367,375,444
0.875,611,2020,2801,4437,336,394,357,443
0.885,611,1979,2793,4341,303,387,356,479
0.895,600,1896,2793,4419,323,360,369,491
0.905,623,1848,2797,4408,305,386,351,486
0.915,611,1881,2804,4350,238,366,364,514
0.925,635,1917,2812,4436,223,320,395,495
0.935,646,1921,2819,4522,255,298,371,493
0.945,658,1925,2822,4677,219,284,381,451
0.955,658,1973,2819,4665,209,274,354,400
0.965,670,1906,2808,4672,173,257,347,409
0.975,647,1872,2787,4644,160,264,321,411
0.985,649,1861,2757,4606,151,260,331,419
0.995,627,1885,2720,4597,141,259,321,411
1.005,597,1861,2678,4577,145,301,328,396
1.015,534,1858,2634,4443,167,305,347,372
1.025,456,1842,2591,4396,203,301,348,343
1.035,524,1815,2552,4357,225,308,356,349
1.045,575,1719,2519,4237,286,288,339,378
1.055,579,1737,2497,4236,298,306,324,400
1.065,602,1835,2488,4170,295,328,331,416
1.075,596,1842,2495,4234,322,308,350,408
1.085,562,1832,2517,4286,327,307,346,378
1.095,575,1848,2547,4393,336,324,332,365
1.105,597,1804,2580,4306,337,347,305,380
1.115,612,1756,2608,4158,318,379,301,405
1.125,600,1731,2627,4095,321,368,339,400
1.135,521,1700,2638,4018,313,366,325,384
1.145,450,1708,2644,3928,224,386,325,389
1.155,461,1714,2646,3859,227,341,318,398
1.165,461,1715,2647,3822,228,312,330,390
1.175,446,1705,2649,3783,237,318,335,396
1.185,429,1686,2650,3823,209,339,321,397
1.195,396,1683,2650,3947,221,369,319,365
1.205,352,1625,2649,4040,251,396,315,338
1.215,482,1512,2646,4207,254,431,336,402
1.225,488,1451,2642,4373,249,369,329,431
1.235,490,1462,2638,4356,245,317,342,473
1.245,473,1522,2636,4361,280,339,365,474
1.255,468,1491,2637,4382,271,312,327,463
1.265,477,1413,2645,4360,258,358,352,453
1.275,579,1408,2659,4419,215,350,370,463
1.285,640,1483,2678,4532,208,344,361,441
1.295,658,1549,2698,4464,227,353,366,416
1.305,634,1634,2715,4404,249,297,400,409
1.315,583,1632,2725,4358,205,317,368,435
1.325,641,1582,2725,4328,182,300,317,460
1.335,646,1604,2713,4268,171,320,282,460
1.345,666,1594,2697,4246,167,278,293,456
1.355,680,1637,2686,4236,164,313,292,432
1.365,643,1653,2689,4268,157,277,294,402
1.375,648,1691,2705,4330,155,302,291,406
1.385,649,1712,2729,4417,157,312,291,422
1.395,615,1810,2755,4480,152,276,287,436
1.405,562,1831,2780,4540,151,272,270,420
1.415,555,1829,2799,4581,151,292,276,417
1.425,542,1845,2808,4657,152,260,282,397
1.435,514,1848,2806,4691,159,286,281,399
1.445,473,1887,2797,4724,188,280,282,412
1.455,443,1801,2784,4727,187,288,288,416
1.465,386,1887,2772,4648,197,327,304,414
1.475,350,1786,2762,4483,210,337,336,422
1.485,326,1767,2757,4506,193,329,363,441
1.495,347,1829,2756,4547,185,348,364,455
1.505,383,1800,2757,4532,190,296,352,436
1.515,387,1832,2760,4550,184,316,328,439
1.525,395,1758,2763,4551,187,294,305,420
1.535,429,1720,2765,4609,189,289,296,414
1.545,439,1691,2766,4612,175,311,299,402
1.555,445,1663,2766,4610,184,293,299,426
1.565,431,1662,2766,4538,203,324,306,419
1.575,391,1628,2765,4468,227,350,338,452
1.585,327,1626,2764,4363,263,367,368,450
1.595,432,1613,2764,4357,274,375,401,430
1.605,461,1536,2766,4352,297,344,340,408
1.615,499,1418,2769,4438,255,327,340,426
