sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,468,1415,2560,3630,260,295,361,445
0.015,474,1378,2557,3698,278,294,351,441
0.025,520,1363,2502,3650,279,276,381,448
0.035,599,1458,2506,3629,272,334,360,467
0.045,619,1398,2509,3611,293,286,325,463
0.055,578,1522,2486,3588,281,301,354,442
0.065,535,1461,2513,3558,302,280,348,450
0.075,509,1440,2445,3623,283,322,324,417
0.085,553,1493,2437,3679,249,312,303,428
0.095,530,1481,2447,3721,242,313,309,440
0.105,607,1439,2556,3706,249,351,319,473
0.115,720,1458,2616,3726,242,373,324,468
0.125,813,1534,2668,3870,197,369,315,483
0.135,837,1611,2665,4048,268,357,304,484
0.145,832,1669,2734,4180,209,387,294,485
0.155,808,1759,2722,4283,206,382,306,452
0.165,770,1835,2747,4401,193,426,303,459
0.175,666,1946,2742,4270,231,382,316,420
0.185,549,2104,2757,4240,213,374,299,416
0.195,490,2239,2794,4098,212,334,291,390
0.205,492,2293,2810,4050,189,298,298,373
0.215,501,2284,2755,4031,202,287,296,373
0.225,494,2271,2696,4017,180,289,311,387
0.235,470,2209,2611,4050,207,291,305,411
0.245,361,2115,2654,4103,215,328,314,414
0.255,287,2048,2687,4188,227,355,336,431
0.265,381,1944,2744,4247,243,384,343,432
0.275,362,1831,2721,4275,290,412,336,418
0.285,411,1806,2669,4273,349,405,346,430
0.295,468,1753,2711,4199,324,355,353,462
0.305,456,1846,2615,4108,306,340,375,440
0.315,441,1860,2500,4073,302,324,363,431
0.325,490,1730,2486,4067,277,302,355,432
0.335,525,1678,2473,4091,280,314,356,452
0.345,591,1615,2420,4074,274,287,367,466
0.355,604,1621,2306,4194,243,287,372,434
0.365,556,1638,2187,4265,194,270,360,443
0.375,623,1594,2051,4209,174,323,339,423
0.385,634,1589,2017,4163,167,310,321,403
0.395,669,1605,2034,4200,169,303,291,421
0.405,707,1623,2130,4254,163,321,287,458
0.415,666,1626,2189,4299,163,308,296,477
0.425,696,1622,2246,4338,183,328,304,473
0.435,687,1637,2297,4348,161,310,323,477
0.445,687,1667,2363,4322,148,292,323,493
0.455,695,1672,2408,4291,177,312,298,488
0.465,723,1621,2430,4306,165,298,288,468
0.475,727,1586,2421,4263,174,325,290,455
0.485,744,1628,2452,4278,176,306,290,416
0.495,742,1559,2447,4283,163,315,309,430
0.505,761,1470,2488,4263,171,310,304,417
0.515,721,1507,2523,4217,168,325,288,449
0.525,711,1320,2555,4184,168,306,265,456
0.535,666,1174,2583,4178,180,289,277,426
0.545,634,1137,2651,4167,202,299,294,432
0.555,541,1074,2576,4227,222,326,298,441
0.565,546,978,2551,4327,186,320,296,426
0.575,553,976,2568,4379,180,323,280,405
0.585,564,1056,2618,4501,181,316,277,395
0.595,553,1085,2691,4540,203,300,299,393
0.605,541,962,2778,4565,194,273,278,386
0.615,529,893,2871,4600,201,297,268,381
0.625,482,906,2955,4582,204,298,278,372
0.635,482,949,3004,4554,213,307,283,387
0.645,471,974,3037,4497,198,297,271,380
0.655,471,975,3050,4411,205,293,251,388
0.665,482,964,2794,4304,204,326,335,424
0.675,482,958,2596,4300,201,314,317,437
0.685,498,972,2703,4274,229,331,349,439
0.695,482,1005,2449,4358,210,303,337,423
0.705,482,1048,2496,4443,218,299,307,398
0.715,541,1092,2423,4439,210,300,293,390
0.725,588,1128,2403,4461,206,287,317,391
0.735,588,1149,2340,4424,196,298,337,390
0.745,588,1160,2356,4400,201,312,309,394
0.755,588,1163,2553,4414,212,313,309,401
0.765,611,1161,2404,4348,209,308,315,406
0.775,611,1157,2523,4301,210,325,305,415
0.785,611,1154,2775,4313,217,309,307,421
0.795,600,1152,2702,4307,215,324,273,388
0.805,600,1149,2862,4357,217,316,295,400
0.815,564,1143,2882,4421,213,314,309,391
0.825,576,1134,2891,4448,215,322,308,407
0.835,576,1119,2917,4531,210,302,304,392
0.845,564,1098,2958,4551,201,289,294,381
0.855,482,1075,2996,4488,206,317,278,392
0.865,494,1054,3023,4369,203,292,256,445
0.875,494,1040,3038,4298,199,300,270,446
0.885,482,1038,3037,4321,210,294,254,447
0.895,459,1052,3021,4231,190,297,302,446
0.905,447,1077,2993,4377,184,294,279,446
0.915,459,1108,2954,4437,178,308,286,425
0.925,482,1135,2906,4413,173,308,305,425
0.935,494,1153,2850,4318,160,317,258,412
0.945,506,1157,2788,4269,150,309,260,425
0.955,564,1156,2727,4212,148,308,259,433
0.965,541,1168,2672,4139,165,294,279,452
0.975,529,1175,2614,4107,166,315,300,423
0.985,538,1152,2541,4081,203,284,289,422
0.995,482,1085,2459,4055,209,314,324,427
1.005,462,1005,2404,4048,283,311,314,448
1.015,454,959,2396,4131,244,316,310,427
1.025,483,1003,2423,4177,216,302,325,419
1.035,504,1126,2466,4173,171,314,334,416
1.045,464,1296,2512,4211,173,308,350,419
1.055,444,1471,2556,4275,183,289,329,424
1.065,415,1561,2594,4289,196,294,289,439
1.075,401,1558,2623,4249,182,307,292,418
1.085,381,1516,2642,4248,203,315,303,432
1.095,416,1482,2650,4299,208,333,307,446
1.105,437,1468,2650,4344,199,304,320,453
1.115,480,1467,2647,4284,177,299,303,407
1.125,498,1474,2647,4240,180,289,299,431
1.135,493,1465,2651,4248,176,295,295,441
1.145,474,1397,2652,4244,180,300,310,443
1.155,479,1270,2640,4233,189,299,300,423
1.165,451,1137,2614,4257,189,307,315,425
1.175,436,1030,2582,4227,202,333,308,428
1.185,425,948,2552,4159,209,307,325,418
1.195,413,888,2525,4115,197,329,344,430
1.205,437,846,2499,4023,192,336,339,427
1.215,413,816,2472,3980,199,330,354,446
1.225,413,792,2442,4027,214,317,340,437
1.235,423,776,2407,4116,219,308,313,439
1.245,413,773,2365,4197,230,307,302,447
1.255,409,792,2312,4225,213,303,300,415
1.265,399,839,2250,4288,211,313,289,408
1.275,413,923,2180,4318,218,316,328,394
1.285,437,1050,2112,4334,203,300,294,381
1.295,432,1117,2053,4317,198,314,343,348
1.305,418,1161,2008,4334,203,306,328,348
1.315,413,1192,1970,4352,205,308,320,341
1.325,427,1213,1931,4314,219,282,306,353
1.335,446,1229,1886,4389,208,306,323,336
1.345,451,1223,1840,4385,216,273,312,323
1.355,470,1220,1797,4384,212,314,320,337
1.365,474,1246,1761,4395,174,284,310,334
1.375,474,1263,1739,4398,160,298,290,340
1.385,474,1273,1741,4390,143,295,312,338
1.395,474,1267,1773,4374,142,302,292,362
1.405,470,1284,1834,4396,148,302,306,381
1.415,488,1263,1918,4340,153,312,278,390
1.425,502,1212,2021,4360,172,308,290,418
1.435,516,1208,2147,4371,179,289,314,416
1.445,535,1195,2298,4377,192,300,293,408
1.455,568,1170,2451,4436,191,319,288,405
1.465,587,1111,2575,4477,203,292,286,406
1.475,582,1048,2658,4496,207,288,299,409
1.485,577,1039,2715,4497,207,275,310,406
1.495,563,1010,2760,4471,203,276,296,396
1.505,559,1009,2797,4467,216,318,279,403
1.515,549,993,2826,4489,214,305,292,415
1.525,563,993,2846,4410,181,288,289,398
1.535,563,1031,2858,4350,196,304,288,404
1.545,582,1128,2861,4280,140,397,377,435
1.555,596,1220,2855,4257,236,338,374,429
1.565,730,1368,2840,4299,251,326,338,383
1.575,690,1456,2817,4290,280,300,332,402
1.585,718,1517,2799,4234,262,318,319,410
1.595,727,1532,2746,4149,259,298,319,421
1.605,779,1509,2683,4153,271,310,315,436
1.615,821,1593,2678,4108,255,322,316,422
1.625,866,1622,2613,4032,244,313,307,439
1.635,711,1707,2690,3987,234,297,361,452
1.645,808,1657,2699,3996,249,324,370,451
1.655,899,1588,2601,4069,272,318,327,417
1.665,933,1616,2560,4061,246,319,342,429
1.675,942,1611,2603,4080,268,300,358,474
1.685,894,1594,2690,4050,277,315,345,463
1.695,874,1579,2644,3998,272,337,329,462
1.705,830,1597,2648,4007,267,315,327,453
1.715,900,1565,2577,3945,305,306,337,450
1.725,893,1498,2647,3963,283,279,324,470
1.735,905,1540,2645,4032,274,316,355,474
1.745,896,1597,2628,4022,256,315,368,471
