sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,593,1437,2527,3655,239,281,365,440
0.015,703,1424,2539,3689,281,309,370,437
0.025,763,1424,2443,3754,230,311,358,426
0.035,743,1485,2372,3791,276,295,332,394
0.045,694,1522,2410,3850,289,309,319,420
0.055,704,1490,2512,3826,275,309,316,441
0.065,686,1477,2516,3775,275,317,324,438
0.075,684,1511,2440,3704,273,315,314,458
0.085,717,1567,2458,3723,275,312,336,459
0.095,714,1617,2423,3688,246,336,312,445
0.105,622,1590,2421,3641,247,343,324,468
0.115,443,1436,2429,3667,243,344,332,455
0.125,556,1126,2348,3664,175,410,304,468
0.135,495,927,2330,3650,151,392,320,438
0.145,522,863,2330,3795,150,368,294,409
0.155,498,869,2326,3823,192,303,282,368
0.165,491,974,2350,3837,179,306,291,358
0.175,498,1156,2342,3862,203,334,295,368
0.185,465,1559,2379,3933,220,348,275,372
0.195,448,1782,2449,3967,192,297,275,358
0.205,464,1840,2555,3996,196,286,266,359
0.215,458,1963,2566,4017,194,288,268,367
0.225,473,2004,2578,4046,197,293,241,399
0.235,466,2029,2590,4153,192,291,265,404
0.245,470,2046,2566,4252,189,305,292,401
0.255,495,2064,2543,4323,193,295,298,388
0.265,544,2074,2473,4254,204,311,307,399
0.275,572,2046,2414,4188,192,317,311,405
0.285,623,1948,2320,4193,204,319,319,378
0.295,603,1806,2215,4183,195,318,305,365
0.305,620,1682,2075,4215,196,316,278,361
0.315,585,1608,2004,4228,177,305,312,367
0.325,639,1544,1911,4261,176,313,316,381
0.335,634,1458,1870,4292,190,308,317,380
0.345,630,1375,1857,4275,178,310,297,375
0.355,683,1327,1871,4232,186,303,325,377
0.365,671,1315,1913,4184,182,306,299,404
0.375,704,1315,1979,4214,185,295,298,396
0.385,692,1302,2068,4240,205,294,302,399
0.395,700,1275,2161,4223,204,292,288,400
0.405,675,1238,2239,4234,222,276,273,398
0.415,700,1200,2297,4198,200,285,273,399
0.425,668,1164,2344,4167,226,305,262,396
0.435,681,1132,2395,4164,202,298,293,407
0.445,685,1104,2460,4142,188,313,281,415
0.455,636,1079,2531,4155,185,288,266,409
0.465,648,1059,2588,4167,186,300,292,418
0.475,641,1043,2610,4176,184,296,279,424
0.485,606,1031,2593,4213,188,308,280,423
0.495,516,1003,2551,4262,188,304,280,440
0.505,465,936,2502,4226,208,305,344,442
0.515,368,882,2462,4129,217,334,338,415
0.525,387,892,2434,4098,239,350,331,452
0.535,440,946,2418,4124,290,311,314,478
0.545,438,1006,2412,4161,289,310,297,468
0.555,444,1045,2412,4207,281,293,309,455
0.565,499,1069,2418,4176,266,306,310,435
0.575,529,1089,2429,4102,278,276,298,454
0.585,628,1118,2443,4102,259,301,300,448
0.595,531,1164,2459,4079,190,289,305,426
0.605,594,1227,2479,4120,170,339,301,418
0.615,622,1304,2503,4183,169,310,298,425
0.625,594,1388,2535,4251,170,289,311,416
0.635,642,1467,2573,4273,186,295,329,403
0.645,569,1529,2607,4355,194,299,286,408
0.655,549,1578,2630,4451,239,310,267,398
0.665,507,1620,2641,4470,262,286,262,378
0.675,509,1660,2646,4418,268,304,267,387
0.685,501,1701,2646,4386,240,310,312,413
0.695,600,1747,2647,4364,217,338,359,404
0.705,646,1797,2649,4359,184,326,350,378
0.715,628,1850,2653,4365,166,307,332,371
0.725,624,1903,2658,4315,164,297,332,397
0.735,625,1954,2664,4303,174,304,299,398
0.745,586,1995,2671,4314,174,299,286,396
0.755,653,2018,2680,4294,167,294,302,410
0.765,630,2019,2690,4304,165,308,314,418
0.775,613,2011,2702,4315,174,303,308,426
0.785,622,2014,2717,4273,175,334,310,407
0.795,619,2037,2732,4232,171,312,313,410
0.805,619,1987,2675,4211,164,333,313,405
0.815,596,1835,2474,4170,164,335,297,420
0.825,571,1723,2253,4107,156,303,297,425
0.835,569,1650,2103,4079,170,296,302,434
0.845,524,1548,2020,4043,231,341,309,483
0.855,494,1446,1985,4057,226,314,333,455
0.865,468,1374,1979,4008,233,298,332,448
0.875,449,1330,1983,3975,245,270,343,446
0.885,547,1303,1981,3940,222,324,352,450
0.895,566,1282,1964,4010,215,315,358,477
0.905,555,1259,1957,4066,209,285,317,440
0.915,550,1290,1997,4126,202,273,280,435
0.925,544,1459,2112,4185,200,291,296,442
0.935,519,1691,2246,4239,193,329,320,421
0.945,523,1842,2354,4275,200,345,315,411
0.955,518,1927,2442,4209,207,347,304,412
0.965,468,1963,2511,4140,206,355,283,435
0.975,358,1952,2525,4080,229,322,272,452
0.985,330,1897,2468,4020,187,316,259,439
