sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,616,1362,2371,3479,259,322,351,413
0.015,703,1356,2353,3448,250,310,324,398
0.025,701,1377,2338,3460,232,304,351,432
0.035,725,1403,2388,3509,232,323,352,430
0.045,703,1435,2343,3510,221,314,318,428
0.055,702,1475,2297,3519,238,299,318,426
0.065,713,1494,2323,3567,255,330,326,405
0.075,721,1579,2452,3628,262,300,334,427
0.085,712,1603,2566,3687,262,283,360,435
0.095,717,1620,2629,3816,239,302,332,434
0.105,728,1715,2674,3891,276,299,363,443
0.115,803,1687,2712,3997,295,330,368,462
0.125,893,1657,2656,4150,279,325,362,464
0.135,823,1650,2530,4171,226,312,364,444
0.145,729,1713,2474,4173,216,323,375,456
0.155,731,1839,2537,4228,266,326,370,437
0.165,662,1953,2639,4249,225,328,363,429
0.175,627,1920,2826,4238,203,325,346,384
0.185,667,2006,3007,4171,189,356,299,386
0.195,581,2224,2993,4139,203,391,281,389
0.205,439,2435,2920,4170,215,370,263,401
0.215,355,2570,2842,4224,185,344,294,404
0.225,324,2490,2881,4192,156,390,276,403
0.235,299,2398,2806,4241,158,392,286,417
0.245,289,2362,2765,4279,162,385,265,415
0.255,304,2367,2747,4332,216,356,362,417
0.265,329,2375,2619,4252,235,392,304,448
0.275,327,2374,2666,4133,231,401,255,429
0.285,341,2371,3004,4058,188,372,274,394
0.295,433,2357,2606,4014,183,382,262,400
0.305,522,2295,1365,3975,176,359,314,410
0.315,581,2192,3298,3928,178,345,287,417
0.325,604,2099,5205,3916,213,328,322,425
0.335,607,2041,2737,3936,218,299,316,432
0.345,604,2008,2069,4021,218,289,328,450
0.355,606,1985,2716,4053,210,282,345,446
0.365,621,1960,2952,4069,212,287,361,446
0.375,640,1934,2812,4193,214,302,310,459
0.385,650,1910,2766,4269,260,328,300,477
0.395,638,1889,2868,4365,241,296,299,496
0.405,593,1855,2908,4482,190,317,284,522
0.415,520,1799,2885,4654,215,313,273,481
0.425,453,1749,2875,4813,251,383,279,463
0.435,422,1649,2916,4893,261,366,286,445
0.445,411,1520,2995,4846,259,365,338,443
0.455,403,1440,2961,4793,285,335,396,419
0.465,433,1330,2859,4733,290,325,419,416
0.475,506,1221,2772,4639,274,341,384,429
0.485,591,1276,2658,4467,257,315,328,488
0.495,661,1408,2610,4289,268,274,313,452
0.505,752,1549,2710,4204,252,281,332,437
0.515,814,1763,2846,4205,223,244,356,407
0.525,806,1787,2924,4244,236,274,367,415
0.535,806,1865,2963,4289,226,263,344,437
0.545,794,1861,3018,4356,220,294,368,486
0.555,715,1894,3041,4439,217,311,365,514
0.565,571,1868,3017,4556,239,295,372,493
0.575,481,1771,3000,4660,225,320,369,466
0.585,516,1741,3025,4757,202,299,348,466
0.595,581,1737,3066,4854,201,331,322,469
0.605,639,1702,3085,4920,207,318,329,457
0.615,691,1669,3046,4991,204,331,321,470
0.625,736,1675,2961,4982,207,326,308,457
0.635,776,1719,2876,4823,234,318,327,457
0.645,809,1747,2838,4586,241,319,349,465
0.655,837,1744,2843,4332,249,288,345,480
0.665,860,1749,2832,4090,273,315,347,438
0.675,878,1669,2837,4047,253,298,344,397
0.685,892,1555,2906,4051,246,302,349,407
0.695,901,1501,3013,4114,241,285,352,415
0.705,906,1477,3101,4105,243,262,375,401
0.715,907,1424,3144,4077,247,268,372,404
0.725,904,1354,3158,4072,236,265,349,415
0.735,898,1303,3159,4048,219,278,346,427
0.745,889,1293,3157,4103,232,280,334,433
0.755,878,1305,3157,4203,243,272,343,435
0.765,863,1320,3153,4335,251,255,345,427
0.775,847,1332,3127,4429,246,267,338,440
0.785,829,1349,3065,4516,241,266,339,456
0.795,809,1379,2993,4554,212,275,321,444
0.805,787,1427,2956,4526,225,296,318,437
0.815,764,1491,2962,4493,222,320,324,449
0.825,741,1548,2961,4451,220,306,340,454
0.835,716,1578,2909,4459,215,300,357,459
0.845,692,1601,2834,4367,215,309,340,449
0.855,638,1636,2771,4302,211,320,350,477
0.865,378,1688,2750,4262,201,347,344,494
0.875,267,1763,2800,4163,294,376,342,463
0.885,356,1854,2943,4098,298,419,310,445
0.895,452,1927,3111,4094,242,392,305,425
0.905,461,1945,3181,4171,221,327,325,426
0.915,377,1874,3151,4237,190,308,295,428
0.925,434,1813,3115,4237,185,310,300,413
0.935,511,1875,3130,4229,183,320,299,413
0.945,497,1928,3159,4252,181,319,298,422
0.955,498,1939,3166,4296,187,312,312,428
0.965,527,1947,3177,4309,190,310,308,426
0.975,504,1949,3226,4312,200,309,274,416
0.985,402,1918,3287,4317,199,297,273,399
0.995,257,1859,3282,4326,214,312,275,431
1.005,181,1798,3139,4203,192,340,316,457
1.015,202,1741,2989,4146,202,334,332,474
1.025,274,1688,2970,4063,256,337,377,466
1.035,369,1641,3016,4050,234,361,362,452
1.045,464,1602,3050,4124,260,372,376,434
1.055,544,1570,3040,4072,314,343,367,436
1.065,608,1545,2999,4064,301,333,396,444
1.075,656,1526,2939,4050,304,335,408,468
1.085,691,1515,2874,4039,295,347,346,449
1.095,713,1509,2818,4078,304,381,331,445
1.105,724,1510,2784,4051,302,366,339,431
1.115,725,1516,2773,4074,314,346,362,430
1.125,718,1525,2778,4044,308,344,340,423
1.135,702,1534,2794,4065,266,345,341,430
1.145,681,1543,2814,4132,305,362,372,461
1.155,655,1549,2833,4187,313,363,352,468
1.165,624,1551,2842,4191,306,361,328,458
1.175,592,1552,2838,4268,286,347,328,465
1.185,557,1557,2827,4393,216,355,345,464
1.195,520,1569,2821,4453,288,342,303,456
1.205,482,1594,2831,4482,319,319,308,475
1.215,440,1635,2869,4438,294,328,338,460
1.225,397,1689,2932,4257,211,317,353,430
1.235,367,1734,3006,4150,208,316,369,433
1.245,388,1745,3075,4044,216,316,366,394
1.255,457,1724,3122,4033,217,326,371,412
1.265,514,1781,3113,3968,165,324,355,424
1.275,531,1909,3022,3923,186,323,361,424
1.285,520,2003,2854,3947,176,310,344,436
1.295,462,2037,2583,4032,244,310,338,455
1.305,340,1470,2408,4106,225,322,349,484
1.315,293,1436,2402,4055,238,337,309,462
1.325,366,1437,2448,3969,252,295,316,431
1.335,427,1373,2490,3964,274,328,367,461
1.345,413,1349,2515,3887,247,360,332,487
1.355,359,1539,2551,3850,275,366,277,493
1.365,296,1901,2631,4017,244,383,289,457
1.375,241,2109,2735,4055,240,377,276,439
1.385,281,2221,2816,4074,236,376,270,426
1.395,503,2298,2870,4082,195,360,305,421
1.405,526,2328,2920,4146,195,323,357,436
1.415,477,2340,2977,4258,187,334,348,441
1.425,457,2329,3003,4360,182,341,347,442
1.435,377,2259,2985,4477,166,333,338,497
1.445,312,2138,2960,4644,185,327,320,488
1.455,294,2036,2961,4798,193,310,299,464
1.465,325,2021,3000,4944,212,314,305,429
1.475,405,2082,3078,4917,207,327,313,416
1.485,524,2153,3151,4724,236,362,350,417
1.495,626,2176,3129,4642,207,353,337,435
1.505,644,2140,3067,4587,190,313,326,455
1.515,558,2107,3013,4483,208,330,338,469
1.525,504,1950,2825,4395,237,329,324,440
1.535,423,1723,2525,4330,212,310,337,453
1.545,291,1596,2384,4335,234,316,350,442
1.555,293,1584,2371,4303,229,326,329,450
1.565,366,1611,2385,4261,278,344,289,424
1.575,462,1655,2413,4216,288,325,304,422
1.585,570,1720,2450,4155,238,309,330,440
1.595,646,1794,2498,4041,242,327,309,425
1.605,610,1864,2562,4015,275,333,319,415
1.615,493,1947,2644,4058,323,365,307,421
1.625,438,2041,2739,3989,274,418,289,422
1.635,429,2099,2823,3974,211,383,330,436
1.645,327,2097,2876,3944,206,383,344,421
1.655,327,2109,2889,3943,216,363,327,416
1.665,472,2171,3000,3929,177,359,337,414
1.675,522,2241,3123,3947,181,356,356,427
1.685,501,2293,3122,3934,178,328,376,417
1.695,473,2315,3261,3929,185,328,377,414
1.705,446,2332,3289,4010,178,333,373,407
1.715,396,2341,3236,4139,176,329,353,443
1.725,308,2213,3262,4194,201,345,343,444
1.735,239,2020,3220,4164,221,331,336,425
1.745,241,1899,3096,4191,263,316,323,426
1.755,294,1861,3082,4179,290,334,336,430
1.765,373,1880,3119,4054,330,370,349,419
1.775,451,1932,3134,3946,362,385,347,437
1.785,503,1989,3105,3815,336,379,280,446
1.795,518,2019,3022,3744,310,353,242,421
1.805,506,2000,2897,3743,329,323,265,416
1.815,478,1951,2762,3822,339,304,260,432
1.825,445,1900,2646,3826,318,286,313,459
1.835,420,1857,2551,3892,294,273,348,489
1.845,411,1825,2434,4053,184,245,369,466
1.855,421,1804,2295,4094,173,260,332,440
1.865,444,1783,2186,4120,180,276,328,436
1.875,469,1750,2136,4126,182,278,318,429
1.885,493,1696,2130,4141,180,278,313,421
1.895,512,1650,2154,4204,182,284,305,427
1.905,526,1654,2191,4320,180,277,302,436
1.915,531,1737,2226,4360,176,265,306,460
1.925,530,1847,2257,4387,166,273,325,470
1.935,528,1907,2302,4395,170,315,318,470
1.945,531,1975,2379,4369,181,358,256,471
1.955,531,2121,2505,4284,195,393,265,486
1.965,514,2231,2660,4167,212,414,291,468
1.975,464,2259,2803,4041,217,420,314,482
1.985,385,2245,2899,4044,194,400,315,515
1.995,310,2213,2944,4010,187,363,330,512
2.005,267,2168,2958,4093,193,328,322,500
2.015,255,2138,2961,4209,196,342,317,484
2.025,255,2146,2966,4317,195,330,320,438
2.035,257,2127,2969,4295,208,335,322,440
2.045,261,2036,2962,4227,215,339,340,441
2.055,266,1976,2938,4112,248,396,332,424
2.065,273,2012,2899,3955,295,407,286,420
2.075,281,2104,2854,3980,320,385,301,446
2.085,290,2162,2807,4018,255,382,314,430
2.095,300,2200,2766,4067,224,361,273,411
2.105,312,2244,2736,4084,199,358,292,415
2.115,324,2243,2723,4132,194,343,313,415
2.125,337,2169,2734,4149,186,339,347,414
2.135,352,2105,2757,4209,171,352,314,412
2.145,367,2076,2769,4267,186,341,313,429
2.155,382,2055,2777,4272,190,331,326,403
2.165,399,2019,2815,4317,201,322,347,406
2.175,416,1975,2896,4300,215,367,350,419
2.185,434,1930,2982,4303,263,387,375,432
2.195,452,1891,3037,4192,303,374,397,452
2.205,471,1865,3053,4105,323,398,407,460
2.215,490,1859,3039,4051,344,411,327,445
2.225,510,1880,3002,3940,327,418,324,423
2.235,530,1934,2951,3897,316,360,297,441
2.245,550,1994,2897,3923,319,303,306,437
2.255,570,2007,2849,3965,337,306,323,474
2.265,590,1919,2815,3961,341,318,340,463
2.275,610,1731,2774,3990,323,325,335,457
2.285,630,1588,2694,4087,342,321,328,462
2.295,650,1560,2547,4150,300,294,333,452
2.305,670,1584,2358,4145,233,281,347,455
2.315,690,1598,2192,4172,121,242,371,439
2.325,709,1607,2092,4187,151,205,375,435
2.335,728,1642,2058,4160,176,282,321,425
2.345,747,1708,2079,4187,154,294,336,425
2.355,765,1769,2146,4201,145,302,340,428
2.365,783,1809,2248,4170,146,313,316,418
2.375,800,1837,2358,4143,143,307,335,408
2.385,816,1864,2444,4159,159,329,320,426
2.395,831,1898,2489,4088,155,331,338,415
2.405,846,1934,2528,4075,162,326,337,431
2.415,860,1963,2617,4086,188,314,363,425
2.425,873,1979,2763,4141,199,291,380,427
2.435,885,1974,2923,4204,192,286,397,423
2.445,896,1942,3050,4271,200,328,354,453
2.455,906,1879,3116,4294,252,393,362,487
2.465,914,1796,3110,4445,326,379,339,459
2.475,922,1730,3066,4485,309,405,375,431
2.485,928,1703,3029,4557,302,413,348,438
2.495,933,1700,3020,4572,316,368,324,439
2.505,936,1705,3022,4539,301,353,320,435
2.515,938,1701,3017,4436,296,357,303,440
2.525,938,1683,2987,4414,302,325,305,453
2.535,937,1660,2925,4421,294,332,338,442
2.545,934,1638,2849,4313,282,345,381,436
2.555,929,1627,2778,4288,272,373,394,460
2.565,922,1633,2730,4325,300,362,391,469
2.575,914,1647,2721,4286,274,329,365,460
2.585,903,1656,2740,4238,227,327,326,453
2.595,891,1648,2765,4187,226,333,311,408
2.605,877,1609,2773,4254,204,332,321,417
2.615,860,1543,2745,4224,204,329,325,388
2.625,841,1471,2705,4164,213,318,331,399
2.635,820,1413,2723,4096,216,305,325,412
2.645,797,1367,2833,4097,218,303,336,413
2.655,774,1321,2913,4099,217,285,318,415
2.665,761,1261,2929,4115,218,279,312,448
2.675,765,1204,2925,4156,213,286,300,450
2.685,790,1172,2919,4202,220,302,302,410
2.695,817,1161,2916,4247,223,300,291,403
2.705,835,1158,2905,4227,202,280,278,397
2.715,843,1150,2875,4235,220,293,291,397
2.725,842,1142,2814,4250,209,293,287,394
2.735,830,1148,2725,4243,213,291,304,407
2.745,798,1182,2627,4252,213,287,304,428
2.755,748,1239,2539,4189,222,290,310,438
2.765,725,1304,2480,4175,223,293,313,408
2.775,750,1357,2451,4146,244,285,314,396
2.785,740,1388,2447,4125,265,275,344,426
2.795,612,1387,2463,4103,339,267,383,449
2.805,477,1362,2491,4073,324,315,325,422
2.815,428,1351,2517,4135,279,323,323,439
2.825,441,1384,2529,4171,306,306,327,440
2.835,488,1458,2521,4198,332,293,369,465
2.845,540,1555,2503,4191,345,276,400,470
2.855,578,1655,2487,4204,217,305,361,441
2.865,602,1743,2488,4108,140,266,351,403
2.875,612,1811,2515,4101,167,305,309,390
2.885,611,1854,2566,4167,162,320,318,432
2.895,600,1869,2629,4152,157,325,350,446
2.905,580,1860,2696,4119,191,350,345,458
2.915,552,1837,2756,4132,265,350,355,446
2.925,518,1811,2799,4069,289,305,360,419
2.935,481,1787,2819,4096,231,263,351,411
2.945,446,1764,2816,4056,251,308,360,433
2.955,420,1742,2796,3982,283,340,364,430
2.965,411,1719,2765,3905,292,348,349,422
2.975,422,1696,2727,3903,304,357,357,424
2.985,451,1673,2686,3854,284,344,372,469
2.995,488,1650,2645,3873,291,378,385,466
3.005,526,1631,2607,3908,273,347,367,449
3.015,558,1616,2574,3929,272,359,342,445
3.025,574,1607,2549,4022,266,346,345,463
3.035,573,1606,2532,4078,252,344,335,439
3.045,558,1614,2524,4116,288,318,311,436
3.055,535,1634,2527,4184,291,333,328,418
3.065,505,1664,2543,4201,302,346,342,424
3.075,474,1700,2571,4379,306,325,355,462
3.085,444,1739,2614,4409,279,337,350,458
3.095,416,1776,2672,4524,215,340,357,457
3.105,394,1807,2747,4536,240,307,397,492
3.115,389,1827,2832,4541,245,320,373,483
3.125,416,1839,2921,4580,221,310,381,465
3.135,490,1854,3004,4593,194,328,359,443
3.145,606,1888,3076,4540,199,338,355,450
3.155,708,1951,3126,4556,198,364,330,448
3.165,735,2034,3153,4518,207,358,341,464
3.175,700,2119,3160,4468,207,344,388,448
3.185,658,2189,3151,4417,200,328,363,483
3.195,629,2245,3135,4307,192,335,367,485
3.205,612,2300,3121,4201,195,321,366,493
3.215,606,2367,3118,4084,194,340,340,480
3.225,611,2442,3135,4068,195,339,345,430
3.235,626,2511,3181,4085,197,333,355,433
3.245,649,2558,3266,4146,176,339,344,458
3.255,474,2569,3208,4189,182,322,334,443
3.265,430,2534,3108,4300,173,324,339,426
3.275,371,2421,2923,4458,160,393,306,466
3.285,380,2242,2841,4655,170,387,289,490
3.295,362,2103,2851,4857,183,363,288,444
3.305,350,2014,2891,4960,195,368,274,376
3.315,365,1937,2894,4964,196,378,286,337
3.325,366,1874,2891,4944,200,388,291,325
3.335,370,1857,2830,4910,199,395,294,330
3.345,359,1909,2829,4898,191,401,314,348
3.355,367,1998,2883,4880,197,394,374,353
3.365,498,2064,2999,4836,205,380,388,383
3.375,607,2082,3100,4747,242,334,380,414
3.385,638,2046,3162,4600,280,360,375,465
3.395,714,1968,3195,4420,283,360,342,480
3.405,746,1896,3184,4283,258,360,324,484
3.415,839,1863,3160,4135,233,373,320,499
3.425,870,1835,3142,4083,214,354,321,452
3.435,882,1777,3164,3986,197,340,325,419
3.445,852,1714,3207,4022,204,315,321,417
3.455,850,1699,3255,4163,213,315,295,459
3.465,789,1723,3230,4247,220,302,314,458
3.475,709,1749,3243,4296,244,290,334,442
3.485,623,1754,3282,4428,210,301,343,473
3.495,597,1742,3279,4433,242,348,330,451
3.505,598,1720,3206,4327,253,357,352,440
3.515,548,1695,3138,4353,268,339,372,465
3.525,521,1675,2995,4319,247,341,366,457
3.535,554,1666,2905,4298,260,356,380,457
3.545,589,1770,2856,4268,301,367,376,456
3.555,664,1755,2793,4264,282,382,411,462
3.565,773,1818,2830,4215,323,381,405,447
3.575,773,1948,2941,4290,264,383,386,473
3.585,694,2066,3025,4449,223,358,391,484
3.595,619,2128,2950,4514,232,328,331,476
3.605,522,2238,2948,4591,188,349,339,485
3.615,496,2304,2971,4721,220,333,330,446
3.625,569,2393,2994,4771,208,316,339,409
3.635,524,2392,2998,4791,178,298,351,408
3.645,523,2505,3144,4781,194,340,297,434
3.655,481,2553,3063,4806,169,348,299,410
3.665,483,2598,3166,4682,173,365,283,363
3.675,403,2593,3111,4757,204,326,311,406
3.685,389,2448,3079,4779,218,328,327,405
3.695,392,2270,2966,4828,211,339,349,402
3.705,412,2154,3005,4788,244,348,315,401
3.715,374,2051,2930,4737,237,342,305,404
3.725,434,2070,2883,4684,252,365,302,398
3.735,518,2046,2894,4671,286,354,342,430
3.745,598,1987,2930,4600,260,361,352,427
3.755,602,1995,2859,4452,288,375,324,426
3.765,618,2022,2722,4349,281,374,329,456
3.775,629,1991,2693,4231,292,331,343,477
3.785,662,1911,2641,4091,297,314,347,477
3.795,747,1842,2589,4039,288,297,365,467
3.805,866,1797,2567,3985,278,317,365,464
3.815,904,1754,2591,3968,242,311,386,469
3.825,832,1748,2605,3900,248,264,387,427
3.835,920,1683,2533,3910,256,289,377,450
3.845,952,1655,2542,3948,228,317,372,479
3.855,881,1737,2498,3953,215,335,360,456
3.865,849,1777,2489,3977,275,286,398,467
3.875,813,1747,2523,3955,263,307,382,432
3.885,758,1707,2568,3928,225,302,367,450
