sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,648,1431,2430,3613,249,332,350,430
0.015,660,1443,2538,3555,256,284,327,457
0.025,652,1477,2497,3594,264,316,319,458
0.035,713,1444,2560,3625,282,311,305,460
0.045,722,1521,2564,3639,264,308,314,438
0.055,806,1492,2566,3719,282,339,308,425
0.065,840,1549,2628,3732,286,330,316,443
0.075,857,1621,2647,3793,252,348,344,479
0.085,825,1681,2651,3747,261,351,345,459
0.095,859,1583,2646,3748,298,342,319,446
0.105,910,1581,2638,3760,275,338,340,459
0.115,833,1632,2546,3770,234,372,326,426
0.125,889,1657,2490,3777,266,339,316,420
0.135,924,1712,2476,3878,307,253,361,454
0.145,823,1778,2473,3883,282,282,366,480
0.155,781,1745,2517,3861,269,314,371,458
0.165,830,1733,2468,3875,251,321,362,461
0.175,813,1748,2518,3825,262,343,344,455
0.185,824,1701,2590,3808,263,304,373,448
0.195,853,1732,2626,3831,291,312,353,432
0.205,850,1775,2678,3870,262,325,369,426
0.215,865,1845,2702,3934,272,315,379,470
0.225,881,1874,2705,3881,273,315,334,453
0.235,863,1801,2720,3786,267,316,343,464
0.245,858,1781,2749,3835,257,299,375,442
0.255,896,1776,2689,3890,249,323,352,429
0.265,923,1717,2667,4046,258,320,350,447
0.275,994,1697,2652,4068,265,308,342,459
0.285,957,1735,2735,4050,262,306,351,454
0.295,916,1705,2808,4141,231,325,361,431
0.305,907,1693,2814,4135,215,332,330,411
0.315,924,1683,2804,4047,226,337,323,393
0.325,910,1673,2754,3907,258,324,342,454
0.335,893,1658,2722,3897,254,313,357,433
0.345,909,1636,2693,3862,281,273,346,417
0.355,903,1603,2666,3991,290,278,323,419
0.365,1022,1558,2643,4023,314,286,332,449
0.375,1043,1496,2624,3977,266,317,337,432
0.385,929,1420,2611,4033,241,318,339,436
0.395,900,1341,2604,3991,223,341,403,486
0.405,843,1272,2603,3870,239,340,365,455
0.415,710,1226,2610,3844,182,351,355,441
0.425,749,1210,2625,3830,197,311,345,399
0.435,745,1216,2648,3778,212,298,362,401
0.445,726,1237,2680,3821,200,316,369,373
0.455,746,1274,2721,3895,198,309,354,373
0.465,738,1348,2771,3999,183,332,332,388
0.475,727,1488,2824,4109,183,342,335,414
0.485,705,1688,2877,4249,198,362,355,437
0.495,705,1898,2922,4423,240,390,347,448
0.505,705,2068,2956,4615,222,402,318,448
0.515,705,2177,2972,4635,229,399,321,414
0.525,705,2221,2975,4559,209,415,334,428
0.535,705,2235,2970,4524,215,373,356,467
0.545,705,2266,2963,4480,219,339,366,467
0.555,705,2335,2959,4376,241,370,319,440
0.565,713,2415,2966,4339,222,356,314,434
0.575,697,2479,2982,4402,267,311,289,436
0.585,671,2514,3003,4497,257,335,312,428
0.595,678,2529,3028,4461,268,353,340,421
0.605,794,2532,3050,4576,339,322,367,429
0.615,918,2529,3068,4534,286,358,375,415
0.625,812,2530,3077,4449,212,391,360,429
0.635,625,2535,3075,4430,211,388,295,424
0.645,567,2536,3062,4379,234,408,300,402
0.655,542,2525,3042,4357,249,413,267,399
0.665,536,2497,3020,4384,247,414,247,414
0.675,527,2456,2996,4368,245,411,215,405
0.685,502,2407,2969,4323,238,444,254,407
0.695,499,2354,2938,4343,202,394,307,427
0.705,604,2300,2906,4328,286,354,312,437
0.715,728,2244,2876,4243,288,338,304,451
0.725,714,2189,2852,4196,301,273,345,438
0.735,758,2136,2840,4185,278,321,337,435
0.745,880,2084,2839,4233,290,324,335,456
0.755,917,2035,2846,4230,264,298,341,465
0.765,938,1988,2858,4191,215,328,341,467
0.775,928,1944,2871,4181,234,329,344,460
0.785,930,1900,2880,4107,259,319,349,457
0.795,851,1856,2882,4036,245,301,348,442
0.805,920,1810,2876,4020,282,302,347,436
0.815,873,1761,2865,4044,244,294,324,445
0.825,861,1712,2854,4034,228,329,339,475
0.835,693,1666,2844,4089,218,314,316,433
0.845,730,1626,2840,4205,184,301,285,386
0.855,756,1594,2841,4240,180,294,270,362
0.865,796,1573,2848,4228,187,297,272,375
0.875,830,1561,2857,4272,190,300,284,383
0.885,881,1559,2870,4272,198,303,291,377
0.895,879,1562,2884,4270,194,306,285,375
0.905,880,1568,2899,4278,186,309,304,381
0.915,876,1577,2914,4282,181,304,301,384
0.925,873,1585,2927,4294,179,314,311,381
0.935,867,1592,2939,4272,184,306,305,382
0.945,850,1597,2949,4285,184,300,305,383
0.955,849,1604,2957,4267,197,294,306,386
0.965,844,1617,2962,4273,204,294,296,375
0.975,846,1639,2965,4268,209,294,301,376
0.985,835,1673,2966,4224,202,309,299,378
0.995,817,1719,2964,4267,205,309,311,376
1.005,802,1772,2959,4241,210,315,319,375
1.015,758,1823,2951,4249,203,309,304,368
1.025,756,1867,2942,4243,175,324,294,371
1.035,693,1895,2930,4197,159,311,306,367
1.045,687,1900,2918,4161,180,308,309,372
1.055,672,1888,2904,4135,171,312,294,364
1.065,665,1885,2886,4082,166,310,315,360
1.075,620,1919,2861,4018,165,310,333,363
1.085,587,2019,2827,3945,184,303,311,375
1.095,558,2042,2779,3897,174,335,319,387
1.105,521,1979,2716,3857,188,315,326,375
1.115,480,2014,2645,3768,179,296,314,385
1.125,470,1708,2575,3780,191,314,302,387
1.135,449,1597,2519,3782,195,299,340,413
1.145,418,1645,2482,3818,218,325,312,419
1.155,318,1656,2463,3889,277,362,315,458
1.165,399,1635,2458,3907,239,348,309,468
1.175,494,1603,2464,3947,273,343,326,491
1.185,599,1578,2477,3948,226,331,348,481
1.195,626,1568,2495,4032,265,330,333,487
1.205,616,1568,2515,3954,277,343,341,480
1.215,633,1575,2534,3935,267,329,337,474
1.225,701,1584,2552,3973,279,343,313,456
1.235,819,1589,2568,4003,286,338,342,472
1.245,916,1589,2579,4049,261,339,340,474
1.255,849,1584,2589,4068,232,324,326,458
1.265,771,1576,2598,4023,244,323,313,471
1.275,841,1567,2610,4042,268,328,346,475
1.285,917,1558,2626,4029,258,333,366,473
1.295,903,1550,2648,3962,273,293,407,467
1.305,919,1546,2678,3918,250,314,409,469
1.315,938,1545,2714,3938,253,304,417,477
1.325,953,1548,2752,3972,268,302,399,469
1.335,885,1555,2791,4042,245,329,391,470
1.345,817,1567,2827,4143,285,317,354,448
1.355,646,1583,2858,4189,267,314,343,454
1.365,502,1605,2881,4235,233,299,343,429
1.375,491,1633,2895,4265,189,295,295,396
1.385,480,1669,2900,4356,199,313,284,406
1.395,479,1714,2899,4324,193,319,277,373
1.405,475,1770,2894,4413,181,302,286,396
1.415,448,1833,2887,4496,181,319,303,373
1.425,405,1892,2882,4469,182,337,311,395
1.435,396,1937,2878,4424,184,325,314,393
1.445,406,1959,2877,4322,221,357,350,418
1.455,420,1962,2877,4167,269,357,349,421
1.465,476,1954,2880,4161,341,382,374,413
1.475,542,1943,2883,4112,322,376,369,402
1.485,585,1935,2887,4090,306,367,366,409
1.495,599,1940,2892,4014,306,329,379,388
1.505,672,1963,2897,4079,330,312,364,384
1.515,728,1998,2903,4070,318,318,330,394
1.525,723,2038,2908,3996,311,338,328,404
1.535,747,2076,2912,3958,328,343,327,415
1.545,714,2103,2916,3878,302,346,328,399
1.555,718,2117,2919,3948,279,352,302,377
1.565,703,2124,2921,3967,289,338,311,362
1.575,725,2130,2921,3992,324,347,345,383
1.585,709,2142,2920,4008,314,359,288,393
1.595,716,2167,2918,4022,301,369,284,403
1.605,702,2210,2916,4045,297,363,294,397
1.615,537,2266,2917,4063,272,392,329,407
1.625,453,2327,2921,4125,238,413,311,407
1.635,399,2382,2929,4164,247,406,317,397
1.645,387,2424,2936,4147,217,386,286,392
1.655,408,2448,2938,4123,183,382,255,373
1.665,429,2450,2928,4118,169,365,236,389
1.675,414,2426,2902,4196,167,365,266,380
1.685,419,2379,2862,4238,169,353,287,391
1.695,406,2311,2813,4254,209,354,319,437
1.705,362,2227,2760,4274,260,300,344,448
1.715,368,2137,2709,4217,247,351,339,465
1.725,318,2053,2663,4156,225,368,308,448
1.735,399,1982,2623,4225,241,377,325,483
1.745,466,1926,2588,4236,292,332,355,452
1.755,504,1890,2558,4179,268,340,315,445
1.765,566,1873,2533,4257,284,304,346,458
1.775,686,1867,2512,4312,268,337,346,419
1.785,780,1863,2492,4367,286,295,327,405
1.795,852,1855,2468,4337,292,298,317,424
1.805,919,1840,2434,4320,285,305,335,423
1.815,1007,1817,2386,4275,282,278,363,438
1.825,1044,1787,2327,4203,260,306,346,430
1.835,998,1750,2269,4121,270,272,348,427
1.845,1008,1716,2225,3994,321,244,373,448
1.855,805,1700,2207,3866,326,255,402,454
1.865,582,1715,2228,3713,301,265,445,464
1.875,437,1768,2280,3643,250,276,418,434
1.885,386,1857,2333,3660,190,318,341,408
1.895,372,1979,2368,3698,189,351,312,391
1.905,376,2101,2419,3728,188,347,311,404
1.915,366,2181,2528,3722,191,321,313,394
1.925,335,2216,2654,3693,211,323,330,416
1.935,315,2217,2722,3669,207,346,337,414
1.945,395,2193,2741,3638,246,339,336,463
1.955,435,2156,2734,3635,299,316,331,459
1.965,493,2116,2724,3662,274,313,321,442
1.975,549,2075,2729,3643,292,284,332,453
1.985,635,2028,2745,3733,287,290,322,445
1.995,574,1970,2768,3791,295,298,330,438
2.005,647,1894,2791,3753,287,329,356,422
2.015,705,1802,2810,3796,297,324,368,382
2.025,720,1703,2823,3973,287,315,350,442
2.035,546,1604,2831,4172,217,337,369,468
2.045,417,1513,2836,4327,229,333,370,466
2.055,394,1437,2841,4352,248,338,344,429
2.065,502,1377,2847,4340,230,305,357,420
2.075,546,1327,2854,4472,222,342,358,421
2.085,655,1280,2863,4563,216,314,380,421
2.095,716,1238,2873,4475,223,288,366,436
2.105,799,1205,2883,4430,235,280,373,455
2.115,833,1188,2894,4457,226,283,376,473
2.125,840,1186,2904,4427,230,302,379,474
2.135,847,1199,2913,4396,228,295,371,463
2.145,845,1223,2921,4391,227,294,356,450
2.155,830,1257,2928,4381,222,291,360,456
2.165,806,1298,2933,4406,226,280,361,440
2.175,812,1342,2935,4418,216,286,348,421
2.185,780,1386,2935,4458,220,296,367,438
2.195,769,1427,2933,4492,228,288,358,432
2.205,741,1462,2927,4517,232,289,345,438
2.215,697,1493,2918,4513,229,282,337,446
2.225,724,1521,2905,4591,226,296,370,451
2.235,738,1549,2891,4600,222,291,359,440
2.245,747,1578,2876,4570,209,291,355,427
2.255,744,1612,2861,4652,205,297,347,450
2.265,757,1652,2849,4610,192,298,334,415
2.275,766,1697,2839,4534,171,311,350,441
2.285,729,1745,2833,4478,157,282,332,449
2.295,718,1794,2831,4356,157,318,327,461
2.305,696,1840,2831,4257,158,314,330,466
2.315,713,1882,2833,4166,155,304,321,439
2.325,721,1918,2838,4125,165,302,311,402
2.335,694,1947,2843,4093,162,298,310,401
2.345,685,1971,2850,4083,164,300,315,425
2.355,638,1989,2857,4071,172,334,323,418
2.365,586,2000,2864,4046,172,332,301,419
2.375,524,2006,2871,3974,180,336,334,403
2.385,398,2005,2877,4069,209,355,315,437
2.395,305,1999,2881,4076,216,369,332,447
2.405,234,1986,2884,3998,194,365,352,445
2.415,218,1959,2885,3873,212,375,370,437
2.425,266,1956,2885,3839,215,365,340,439
2.435,412,1893,2885,3903,251,374,367,439
2.445,347,1895,2883,4035,217,349,378,458
2.455,372,1951,2882,4133,201,338,337,439
2.465,465,1986,2881,4227,204,353,334,439
2.475,571,1990,2880,4257,227,342,324,407
2.485,711,1948,2881,4240,241,351,329,404
2.495,749,1884,2883,4146,209,343,305,417
2.505,809,1908,2824,4152,221,365,302,426
2.515,727,1931,2907,4170,186,342,312,422
2.525,805,1894,2886,4140,201,353,312,431
2.535,767,1869,2883,4041,194,360,323,414
2.545,796,1955,2812,4017,186,337,351,413
2.555,762,1917,2842,3999,187,316,346,437
2.565,836,1902,2780,3937,179,310,337,412
2.575,884,1880,2706,4076,164,296,363,442
2.585,828,1784,2661,4123,201,313,328,449
2.595,840,1796,2624,4151,228,314,326,453
2.605,828,1790,2625,4233,245,323,320,456
2.615,821,1806,2591,4243,229,328,314,436
2.625,823,1802,2591,4213,232,326,305,427
