sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,470,1522,2467,3580,245,288,366,441
0.015,482,1519,2478,3561,230,268,375,420
0.025,517,1460,2524,3553,256,293,323,449
0.035,500,1488,2609,3620,287,284,339,440
0.045,500,1441,2625,3675,315,311,333,457
0.055,488,1511,2644,3681,290,288,369,469
0.065,521,1518,2666,3684,282,301,362,438
0.075,498,1437,2690,3622,302,274,326,394
0.085,547,1456,2717,3597,287,292,356,408
0.095,617,1329,2745,3556,307,317,328,474
0.105,674,1339,2774,3555,281,302,325,484
0.115,718,1344,2802,3502,293,312,317,489
0.125,647,1365,2831,3477,237,339,272,484
0.135,538,1355,2858,3410,236,319,270,476
0.145,516,1270,2883,3331,218,324,287,442
0.155,482,1233,2906,3294,168,336,278,443
0.165,525,1248,2926,3273,202,327,291,443
0.175,635,1396,2943,3268,149,361,413,431
0.185,685,1565,2955,3299,165,348,432,407
0.195,781,1701,2963,3342,182,363,418,396
0.205,773,1811,2966,3394,143,326,397,385
0.215,786,1817,2965,3417,158,308,372,392
0.225,778,1796,2962,3454,135,293,363,425
0.235,789,1785,2958,3571,159,288,359,416
0.245,812,1787,2953,3686,159,304,338,432
0.255,809,1719,2950,3860,149,288,320,452
0.265,784,1622,2950,4017,172,306,306,447
0.275,782,1528,2952,4089,186,296,310,429
0.285,746,1486,2960,4128,181,272,309,419
0.295,730,1433,2972,4118,176,306,325,402
0.305,716,1363,2989,4118,169,304,340,408
0.315,740,1308,3007,4095,159,306,338,401
0.325,738,1251,3024,4100,166,287,339,405
0.335,719,1233,3038,4104,166,276,351,400
0.345,710,1227,3046,4166,166,275,351,398
0.355,700,1240,3049,4222,168,272,369,393
0.365,681,1240,3043,4275,175,282,356,400
0.375,681,1219,3029,4328,205,309,326,431
0.385,677,1146,3004,4322,214,314,324,437
0.395,686,1208,2968,4294,187,315,352,462
0.405,681,1277,2924,4282,241,307,375,463
0.415,681,1275,2874,4274,244,320,371,468
0.425,681,1316,2823,4288,192,326,363,428
0.435,672,1349,2772,4158,201,311,359,420
0.445,663,1308,2726,4107,209,310,328,404
0.455,681,1315,2688,4090,236,329,352,433
0.465,677,1299,2661,4056,216,324,337,432
0.475,670,1213,2640,4032,259,301,337,474
0.485,681,1288,2623,4047,274,297,347,463
0.495,677,1276,2604,4010,281,326,370,484
0.505,670,1350,2579,3916,310,326,361,483
0.515,667,1373,2543,3879,335,275,342,482
0.525,667,1395,2493,3788,323,309,358,467
0.535,672,1461,2423,3789,324,293,317,436
0.545,670,1463,2336,3826,309,309,330,424
0.555,667,1489,2244,3829,241,329,331,457
0.565,630,1439,2160,3790,226,309,330,460
0.575,644,1424,2094,3746,237,304,345,467
0.585,644,1422,2053,3674,185,351,309,431
0.595,644,1430,2045,3717,158,308,298,382
0.605,670,1446,2076,3782,165,314,297,352
0.615,679,1468,2153,3680,159,308,310,373
0.625,710,1492,2272,3801,167,288,310,416
0.635,687,1515,2405,3907,158,298,323,422
0.645,710,1536,2522,4002,169,288,317,440
0.655,706,1550,2612,4038,160,300,325,425
0.665,729,1556,2680,4080,162,288,319,419
0.675,743,1550,2732,4123,164,291,314,418
0.685,754,1531,2773,4240,162,305,336,430
0.695,747,1502,2806,4371,166,316,348,446
0.705,723,1466,2832,4375,170,298,341,430
0.715,711,1430,2852,4380,176,286,365,438
0.725,626,1397,2867,4247,196,296,360,490
0.735,587,1372,2876,4284,214,295,338,476
0.745,522,1355,2882,4317,230,288,313,464
0.755,505,1343,2883,4275,211,285,298,469
0.765,508,1334,2882,4291,220,295,314,496
0.775,510,1327,2880,4181,217,279,309,485
0.785,498,1318,2878,4144,216,287,329,489
0.795,454,1307,2879,4189,230,316,331,469
0.805,419,1292,2883,4357,228,315,324,498
0.815,413,1276,2892,4492,214,313,295,537
0.825,404,1260,2903,4649,193,311,335,502
0.835,388,1247,2914,4851,221,300,348,493
0.845,399,1238,2923,5038,233,303,323,501
0.855,422,1235,2928,5210,222,292,301,419
0.865,413,1242,2927,5264,227,286,340,389
0.875,415,1266,2917,5171,241,278,359,370
0.885,447,1317,2900,5103,241,328,400,346
0.895,527,1397,2879,5002,211,342,409,377
0.905,533,1495,2860,4979,209,348,364,415
0.915,529,1597,2846,4886,219,337,362,427
0.925,515,1689,2843,4841,186,294,388,423
0.935,520,1761,2852,4785,178,265,371,423
0.945,517,1815,2871,4643,162,264,333,422
0.955,521,1850,2895,4533,160,263,310,405
0.965,520,1870,2920,4471,158,281,323,415
0.975,492,1876,2943,4475,162,276,320,409
0.985,470,1874,2960,4348,193,312,329,386
0.995,428,1865,2967,4306,196,322,323,389
1.005,413,1855,2967,4394,197,303,332,391
1.015,411,1843,2959,4471,218,313,365,413
1.025,396,1828,2947,4515,274,347,364,418
1.035,400,1807,2932,4512,317,363,346,439
1.045,419,1780,2916,4378,305,359,354,442
1.055,412,1743,2901,4348,302,361,377,473
1.065,412,1698,2886,4345,296,338,384,455
1.075,442,1646,2871,4251,289,332,353,473
1.085,436,1594,2857,4180,275,338,358,463
1.095,424,1545,2843,4259,280,355,338,461
1.105,424,1502,2829,4287,328,321,367,467
1.115,436,1463,2816,4233,321,294,339,475
1.125,436,1429,2803,4153,318,293,309,478
1.135,424,1399,2790,4115,324,275,297,425
1.145,424,1374,2778,4163,322,291,310,440
1.155,419,1353,2766,4093,289,302,325,438
1.165,412,1341,2755,4015,286,293,339,445
1.175,419,1358,2744,3909,336,285,359,472
1.185,424,1430,2733,3763,234,271,310,440
1.195,431,1553,2722,3782,212,287,302,389
1.205,412,1692,2712,3751,193,320,325,377
1.215,402,1811,2702,3704,181,341,322,387
1.225,411,1904,2693,3732,192,307,361,451
1.235,377,1974,2684,3845,203,307,369,434
1.245,379,2023,2675,4017,209,308,368,440
1.255,401,2055,2666,4074,182,323,358,453
1.265,416,2071,2658,4147,205,354,369,423
1.275,410,2074,2650,4178,225,351,355,440
1.285,424,2064,2643,4128,270,365,330,424
1.295,463,2042,2636,4164,315,359,360,422
1.305,436,2011,2629,4210,303,341,390,423
1.315,471,1977,2622,4383,297,310,376,442
1.325,459,1943,2616,4493,256,311,337,450
1.335,482,1915,2610,4498,233,298,341,454
1.345,533,1896,2604,4617,200,282,350,460
1.355,513,1891,2599,4668,184,278,325,404
1.365,518,1905,2594,4706,188,269,339,429
1.375,494,1938,2589,4829,190,258,343,428
1.385,482,1983,2584,4891,195,255,364,409
1.395,471,2031,2580,4846,193,271,346,393
1.405,471,2071,2576,4822,199,302,342,383
1.415,480,2096,2572,4823,202,308,331,407
1.425,471,2100,2569,4770,206,302,351,402
1.435,480,2078,2565,4770,201,288,373,417
1.445,459,2023,2563,4699,202,269,358,407
1.455,471,1948,2560,4657,200,290,315,423
1.465,459,1875,2557,4704,208,332,307,426
1.475,466,1827,2555,4809,205,300,304,411
1.485,436,1826,2553,4800,217,325,307,382
1.495,452,1864,2552,4715,219,310,322,388
1.505,447,1920,2550,4729,215,305,305,368
1.515,459,1975,2549,4741,236,308,323,361
1.525,461,2018,2548,4743,223,280,345,349
1.535,436,2045,2548,4754,199,257,361,345
1.545,438,2051,2547,4733,191,256,342,351
1.555,400,2032,2547,4679,187,274,320,354
1.565,377,1982,2547,4522,198,299,302,379
1.575,386,1902,2547,4444,219,327,337,413
1.585,377,1802,2548,4415,208,328,303,450
1.595,336,1700,2548,4343,194,321,329,474
1.605,307,1613,2549,4257,176,369,317,487
1.615,292,1551,2550,4282,166,356,308,462
1.625,295,1511,2552,4237,217,343,358,470
1.635,221,1488,2553,4141,212,309,370,493
1.645,295,1477,2555,4086,228,304,366,472
1.655,354,1474,2557,4066,260,349,362,486
