sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,576,1576,2554,3567,257,314,378,450
0.015,652,1625,2431,3559,310,313,321,447
0.025,647,1667,2408,3613,289,292,354,436
0.035,579,1655,2424,3719,257,296,329,448
0.045,541,1623,2439,3689,226,302,347,449
0.055,554,1515,2465,3715,283,365,320,480
0.065,587,1394,2412,3686,319,345,314,469
0.075,597,1373,2422,3634,287,303,301,444
0.085,616,1348,2431,3665,300,314,308,435
0.095,597,1349,2496,3723,281,316,293,420
0.105,705,1376,2498,3821,231,318,263,463
0.115,731,1483,2501,3954,228,323,295,475
0.125,602,1500,2537,3944,244,316,278,450
0.135,410,1470,2498,3953,258,309,279,459
0.145,421,1576,2542,3933,226,314,279,458
0.155,567,1800,2580,3985,226,360,282,428
0.165,590,1847,2705,4053,223,382,312,450
0.175,584,1930,2869,4102,210,341,312,460
0.185,576,2037,2998,4126,202,318,300,451
0.195,566,2143,3013,4155,194,299,284,434
0.205,577,2226,3005,4133,182,307,291,434
0.215,583,2270,3026,4062,187,305,300,436
0.225,593,2281,3026,4029,186,316,310,445
0.235,639,2265,3009,4039,191,312,304,452
0.245,673,2232,2980,4056,184,303,308,453
0.255,698,2186,2943,4028,171,289,316,454
0.265,748,2130,2903,4057,176,291,307,444
0.275,794,2066,2863,4095,175,307,305,441
0.285,862,2005,2828,4120,190,314,290,439
0.295,870,1959,2799,4142,173,314,299,433
0.305,907,1931,2776,4129,182,323,295,429
0.315,937,1912,2763,4180,157,331,297,438
0.325,932,1894,2758,4181,164,337,288,444
0.335,922,1877,2759,4164,149,334,291,446
0.345,898,1873,2763,4148,164,335,284,442
0.355,883,1895,2765,4168,167,333,280,446
0.365,846,1952,2765,4152,172,314,270,439
0.375,819,2024,2762,4130,176,337,276,442
0.385,783,2082,2756,4052,189,330,271,444
0.395,775,2095,2747,4030,199,316,271,445
0.405,729,2051,2735,4037,206,309,268,444
0.415,704,1974,2719,4022,197,329,265,437
0.425,671,1888,2700,4011,180,331,272,425
0.435,617,1808,2678,3972,170,336,272,404
0.445,619,1724,2652,3893,154,301,256,390
0.455,643,1622,2623,3846,157,302,272,373
0.465,602,1506,2591,3920,175,290,278,371
0.475,665,1385,2556,3955,194,335,384,417
0.485,675,1269,2518,4034,219,299,342,396
0.495,639,1165,2476,4084,197,319,289,364
0.505,667,1084,2427,4189,199,298,289,360
0.515,681,1031,2367,4246,209,290,308,348
0.525,647,1004,2293,4282,193,298,319,360
0.535,629,999,2201,4275,201,298,302,383
0.545,624,1014,2077,4239,203,298,309,376
0.555,593,1048,1901,4101,199,320,307,385
0.565,581,1103,1702,3954,219,308,312,372
0.575,569,1174,1595,3761,240,281,328,398
0.585,573,1250,1579,3595,250,305,316,422
0.595,586,1319,1622,3388,255,326,306,438
0.605,579,1378,1694,3241,221,307,315,446
0.615,588,1427,1764,3250,238,299,308,486
0.625,575,1467,1813,3312,246,305,328,466
0.635,584,1496,1845,3328,219,329,340,454
0.645,572,1511,1865,3365,217,323,336,410
0.655,563,1510,1877,3552,208,301,330,426
0.665,562,1497,1885,3740,203,273,316,438
0.675,563,1478,1891,3949,216,278,314,461
0.685,546,1456,1897,4111,203,294,328,451
0.695,544,1437,1906,4250,209,286,321,425
0.705,546,1426,1917,4290,210,276,320,393
0.715,577,1427,1929,4357,221,276,322,392
0.725,591,1446,1938,4348,206,279,332,394
0.735,617,1478,1942,4320,206,287,326,398
0.745,644,1517,1951,4242,206,292,306,405
0.755,648,1554,1981,4110,210,283,307,422
0.765,620,1585,2051,3947,195,263,328,411
0.775,627,1607,2162,3916,170,264,338,405
0.785,593,1621,2288,3962,166,270,314,413
0.795,606,1628,2402,4110,157,311,285,449
0.805,503,1628,2496,4281,130,294,245,498
0.815,502,1627,2573,4417,204,310,279,489
0.825,578,1630,2637,4432,256,344,339,449
0.835,662,1638,2687,4480,266,353,348,453
0.845,666,1650,2720,4466,281,340,341,433
0.855,650,1665,2733,4516,307,333,319,462
0.865,639,1684,2721,4689,312,330,336,453
0.875,699,1705,2685,4719,332,339,341,420
0.885,760,1727,2630,4654,303,348,341,462
0.895,812,1745,2566,4540,321,351,311,476
0.905,853,1752,2500,4427,307,335,309,460
0.915,844,1744,2439,4283,254,297,333,472
0.925,760,1715,2383,4105,224,360,295,455
0.935,708,1671,2331,3987,270,329,319,453
0.945,657,1615,2280,3890,270,287,373,449
0.955,605,1555,2228,3873,235,335,418,413
0.965,600,1495,2173,3928,208,321,452,399
0.975,591,1441,2112,3892,184,327,459,409
0.985,643,1397,2047,3855,177,317,415,424
0.995,676,1366,2003,3829,160,329,359,420
1.005,690,1352,2020,3786,187,309,301,396
1.015,717,1357,2119,3809,176,310,297,399
1.025,736,1375,2252,3824,183,310,302,400
1.035,769,1398,2361,3839,176,308,297,395
1.045,783,1420,2427,3805,190,307,295,385
1.055,783,1434,2454,3794,177,300,296,400
1.065,765,1436,2448,3783,187,308,291,396
1.075,769,1433,2414,3773,201,313,297,380
1.085,775,1431,2350,3811,200,290,319,382
1.095,727,1432,2253,3777,249,296,322,377
1.105,690,1433,2133,3857,260,305,321,406
1.115,633,1431,2016,3969,243,302,340,431
1.125,559,1422,1931,4060,231,299,371,448
1.135,526,1414,1882,4100,215,299,350,436
1.145,521,1415,1863,4164,185,274,336,419
1.155,519,1434,1865,4324,181,284,336,455
1.165,544,1475,1881,4490,182,290,318,446
1.175,562,1529,1908,4591,185,290,323,396
1.185,566,1586,1939,4581,187,292,322,381
1.195,577,1634,1972,4555,189,288,320,365
1.205,595,1666,2007,4548,204,296,321,363
1.215,577,1689,2049,4528,203,303,317,361
1.225,566,1711,2100,4576,193,298,312,366
1.235,558,1739,2164,4586,189,299,314,371
1.245,548,1781,2244,4628,192,310,318,358
1.255,538,1835,2334,4631,203,306,323,377
1.265,510,1896,2424,4653,214,332,313,388
1.275,491,1960,2508,4569,211,329,311,392
1.285,454,2022,2582,4512,204,334,299,408
1.295,438,2076,2647,4503,191,322,294,377
1.305,408,2116,2702,4396,186,309,310,384
1.315,432,2137,2748,4390,178,305,314,394
1.325,496,2134,2785,4213,211,316,392,400
1.335,511,2115,2814,4069,270,305,405,408
1.345,508,2086,2835,3938,318,354,368,447
1.355,543,2057,2851,3850,358,347,364,464
1.365,573,2032,2862,3712,354,325,378,478
1.375,645,2012,2870,3663,365,310,397,463
1.385,749,1994,2875,3704,338,321,391,462
1.395,793,1977,2879,3781,289,306,384,453
1.405,839,1959,2883,3756,289,299,403,440
1.415,783,1939,2889,3729,237,308,387,417
1.425,747,1913,2895,3838,216,314,363,430
1.435,640,1882,2903,3883,212,298,352,437
1.445,647,1849,2912,3996,212,289,346,458
1.455,680,1823,2924,4076,201,296,319,465
1.465,704,1814,2937,4147,203,294,322,451
1.475,702,1830,2949,4183,218,293,340,447
1.485,685,1868,2958,4156,224,288,363,433
1.495,639,1900,2960,4125,217,299,354,422
1.505,585,1902,2955,4160,196,307,355,414
1.515,541,1877,2944,4300,184,329,338,420
1.525,601,1838,2928,4505,216,390,309,434
