sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,622,1586,2304,3617,212,286,375,427
0.015,717,1539,2234,3604,254,311,348,425
0.025,823,1481,2635,3577,285,292,351,425
0.035,884,1525,2689,3591,245,302,372,448
0.045,939,1512,2728,3670,249,329,349,455
0.055,945,1535,2755,3662,252,308,367,442
0.065,947,1537,2774,3723,259,308,357,449
0.075,859,1627,2787,3714,258,336,356,416
0.085,859,1601,2797,3810,233,337,328,441
0.095,904,1554,2807,3796,252,319,349,462
0.105,712,1584,2821,3769,241,334,378,486
0.115,611,1613,2840,3668,286,333,367,472
0.125,443,1649,2869,3611,237,332,351,466
0.135,422,1688,2909,3579,181,296,340,490
0.145,517,1729,2965,3460,157,297,392,475
0.155,458,1768,3033,3327,122,270,407,462
0.165,487,1802,3101,3241,132,249,398,424
0.175,472,1830,3150,3274,136,255,440,398
0.185,471,1850,3166,3341,155,297,391,386
0.195,491,1862,3159,3487,169,330,369,443
0.205,487,1868,3148,3494,220,315,363,423
0.215,491,1866,3139,3511,232,262,380,441
0.225,528,1857,3131,3539,287,325,309,429
0.235,568,1841,3123,3571,289,308,297,421
0.245,579,1823,3115,3575,291,284,315,422
0.255,563,1803,3106,3640,281,302,312,458
0.265,590,1784,3097,3589,279,302,321,458
0.275,637,1770,3088,3612,257,309,299,476
0.285,588,1759,3082,3649,285,294,323,480
0.295,538,1752,3078,3644,284,310,337,464
0.305,564,1747,3078,3686,306,301,318,437
0.315,603,1744,3082,3753,283,326,297,476
0.325,615,1745,3091,3764,271,295,315,479
0.335,686,1755,3104,3795,279,319,334,512
0.345,767,1780,3121,3806,266,317,351,500
0.355,798,1823,3141,3864,265,353,320,483
0.365,673,1873,3166,3850,244,368,354,495
0.375,701,1917,3192,3769,205,379,351,497
0.385,681,1942,3216,3736,205,407,366,493
0.395,681,1939,3232,3769,207,371,392,472
0.405,684,1922,3236,3831,206,365,388,473
0.415,679,1905,3224,3894,208,352,413,478
0.425,688,1904,3201,3919,216,340,443,471
0.435,717,1921,3174,3945,234,317,452,470
0.445,721,1939,3150,4032,205,286,444,471
0.455,749,1938,3132,4167,212,276,454,477
0.465,754,1899,3113,4221,215,254,442,439
0.475,763,1812,3086,4150,226,273,435,378
0.485,763,1710,3046,4050,207,270,403,391
0.495,754,1630,3009,3931,196,304,309,426
0.505,735,1585,2999,3992,228,274,300,421
0.515,707,1562,3022,4025,218,282,294,425
0.525,642,1549,3069,4020,221,291,293,426
0.535,581,1533,3129,4010,240,308,297,435
0.545,529,1514,3191,3975,247,301,309,441
0.555,511,1496,3245,3940,239,302,319,448
0.565,511,1481,3283,3900,210,313,323,457
0.575,546,1471,3308,3880,238,277,329,441
0.585,641,1470,3320,3857,215,321,354,419
0.595,683,1479,3324,3828,224,312,401,397
0.605,689,1497,3321,3864,242,305,399,373
0.615,706,1523,3314,3892,254,321,414,364
0.625,718,1552,3305,3951,257,320,433,378
0.635,736,1584,3295,3996,258,298,455,421
0.645,737,1616,3286,4086,248,301,472,426
0.655,726,1644,3278,4177,239,291,462,424
0.665,693,1664,3272,4297,223,282,433,419
0.675,648,1674,3269,4426,200,279,398,421
0.685,629,1675,3263,4542,191,302,351,444
0.695,502,1672,3252,4627,206,305,333,437
0.705,388,1667,3233,4520,224,329,337,440
0.715,422,1664,3203,4425,205,307,380,463
0.725,459,1668,3167,4432,201,291,392,477
0.735,538,1680,3130,4585,210,270,351,479
0.745,547,1696,3100,4567,174,295,326,422
0.755,548,1714,3081,4396,166,266,308,450
0.765,539,1732,3078,4243,161,258,315,495
0.775,564,1745,3054,4063,185,280,353,515
0.785,572,1752,2950,3805,194,274,382,523
0.795,577,1753,2780,3614,183,275,401,450
0.805,570,1750,2595,3524,169,264,403,373
0.815,568,1745,2435,3521,175,266,372,390
0.825,593,1737,2329,3570,191,307,312,389
