sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,637,1524,2445,3622,232,282,360,430
0.015,675,1560,2430,3610,257,292,359,416
0.025,627,1648,2457,3619,270,256,353,417
0.035,653,1628,2515,3601,227,315,329,427
0.045,676,1544,2524,3618,287,317,297,440
0.055,681,1534,2524,3639,270,334,296,465
0.065,682,1542,2455,3627,256,334,324,437
0.075,703,1566,2488,3671,273,318,328,429
0.085,663,1623,2487,3712,242,316,340,412
0.095,645,1596,2599,3748,300,326,335,447
0.105,729,1597,2584,3734,298,356,361,468
0.115,721,1703,2591,3705,246,341,380,464
0.125,713,1658,2622,3794,211,342,362,476
0.135,627,1554,2614,3755,217,333,388,488
0.145,634,1579,2667,3659,195,277,435,518
0.155,688,1526,2771,3658,172,268,436,477
0.165,737,1453,2902,3706,169,277,443,454
0.175,747,1339,3025,3817,169,331,415,456
0.185,769,1282,3119,3942,177,287,375,446
0.195,799,1275,3199,4074,178,306,354,456
0.205,764,1347,3214,4186,211,305,350,455
0.215,814,1373,3096,4096,233,306,331,436
0.225,825,1327,3129,4070,244,286,373,414
0.235,839,1435,3114,4041,243,268,352,396
0.245,849,1450,3086,4122,226,304,340,400
0.255,860,1420,3136,4156,226,316,333,400
0.265,896,1370,3154,4175,236,310,335,390
0.275,864,1330,3135,4139,223,311,347,376
0.285,742,1358,3099,4109,234,319,319,393
0.295,680,1281,3141,4174,246,293,336,404
0.305,611,1226,3174,4201,235,287,327,399
0.315,637,1169,3206,4215,175,329,331,401
0.325,706,1094,3233,4204,164,307,328,409
0.335,738,1113,3242,4222,172,300,349,398
0.345,732,1093,3237,4223,180,304,343,399
0.355,740,1061,3217,4239,179,282,348,395
0.365,775,1048,3225,4255,173,314,340,394
0.375,798,1042,3255,4290,170,301,347,398
0.385,806,1044,3290,4297,171,302,326,404
0.395,797,1053,3312,4264,180,305,326,409
0.405,776,1048,3332,4264,178,295,321,397
0.415,757,1047,3349,4292,183,298,312,398
0.425,733,1042,3361,4260,175,302,304,384
0.435,706,1023,3434,4246,190,295,303,362
0.445,680,1009,3486,4201,192,311,322,377
0.455,624,995,3495,4169,181,303,325,397
0.465,629,967,3440,4176,182,293,318,398
0.475,590,967,3372,4149,201,295,346,412
0.485,517,953,3293,4125,203,310,359,421
0.495,454,958,3220,4054,207,335,349,403
0.505,454,1001,3205,4010,200,328,341,395
0.515,497,1004,3295,4003,183,325,362,365
0.525,533,1000,3319,4112,191,311,325,406
0.535,564,1008,3277,4177,204,307,306,402
0.545,586,1050,3199,4156,188,323,321,394
0.555,572,1147,3154,4097,133,330,331,404
0.565,597,1296,3166,4177,155,350,334,403
0.575,574,1456,3188,4215,150,349,345,403
0.585,555,1584,3184,4194,165,317,331,411
0.595,571,1681,3190,4173,179,322,332,415
0.605,552,1780,3135,4190,166,336,297,435
0.615,561,1911,3128,4151,181,354,311,443
0.625,556,2059,3145,4166,166,348,298,422
0.635,563,2176,3138,4186,169,317,306,415
0.645,552,2232,3103,4224,180,316,299,417
0.655,548,2219,3112,4208,184,291,324,415
0.665,576,2131,3082,4328,172,307,316,442
0.675,594,1988,2964,4344,163,313,317,461
0.685,555,1840,2905,4356,148,300,322,486
0.695,620,1723,2881,4292,151,334,311,497
0.705,688,1626,2893,4237,179,325,313,476
0.715,741,1532,2792,4253,246,309,323,456
0.725,669,1432,2755,4221,212,257,327,446
0.735,635,1337,2767,4213,208,272,331,416
0.745,658,1263,2814,4203,201,276,317,409
0.755,696,1215,2880,4205,202,292,329,394
0.765,665,1187,2950,4186,204,270,337,390
0.775,660,1168,3009,4186,209,308,327,391
0.785,643,1146,3049,4181,208,305,340,396
0.795,641,1118,3071,4212,198,315,330,381
0.805,635,1088,3079,4183,188,316,343,388
0.815,625,1061,3078,4183,183,313,344,392
0.825,596,1039,3070,4138,177,314,345,404
0.835,583,1027,3056,4097,171,314,360,409
0.845,564,1019,3037,4087,167,305,363,420
0.855,532,1007,3011,4142,181,294,332,433
0.865,512,985,2983,4187,211,341,322,429
0.875,512,962,2956,4198,218,380,337,424
0.885,523,960,2933,4199,251,374,367,435
0.895,512,995,2919,4163,295,336,366,419
0.905,512,1063,2913,4236,263,322,348,453
0.915,535,1155,2915,4318,283,312,333,454
0.925,612,1261,2920,4300,275,321,335,422
0.935,663,1369,2926,4290,307,318,303,409
0.945,724,1470,2932,4350,273,313,286,442
0.955,665,1554,2939,4364,248,318,314,430
0.965,582,1621,2945,4328,217,292,373,396
0.975,555,1674,2952,4401,167,302,416,365
0.985,581,1715,2959,4456,191,277,405,396
0.995,563,1746,2967,4519,187,285,413,379
1.005,526,1772,2973,4575,170,285,435,397
1.015,526,1794,2976,4624,176,313,399,412
1.025,468,1817,2974,4650,164,276,424,439
1.035,396,1844,2965,4697,164,303,403,483
1.045,352,1873,2948,4814,166,343,372,484
1.055,338,1900,2922,4887,167,322,321,494
1.065,326,1923,2893,4976,169,330,327,481
1.075,301,1938,2863,5015,189,350,341,448
1.085,271,1941,2836,4951,194,341,357,432
1.095,262,1934,2815,4762,207,331,360,451
1.105,282,1920,2804,4638,220,358,351,439
1.115,368,1904,2805,4526,258,365,348,441
1.125,474,1890,2816,4480,304,343,348,475
1.135,564,1879,2835,4443,325,385,342,468
1.145,634,1870,2858,4412,350,368,356,470
1.155,683,1864,2884,4420,297,348,368,487
1.165,768,1860,2908,4449,280,368,359,484
1.175,770,1859,2929,4463,241,334,367,487
1.185,578,1860,2947,4592,247,314,384,439
1.195,477,1864,2958,4667,212,288,440,447
1.205,463,1870,2961,4668,192,278,449,422
1.215,468,1878,2955,4656,206,244,436,442
1.225,485,1888,2941,4660,207,226,421,424
1.235,505,1900,2923,4622,205,227,416,444
1.245,519,1912,2902,4617,198,223,421,445
1.255,515,1925,2882,4667,195,262,398,444
1.265,524,1935,2865,4592,205,271,382,415
1.275,449,1941,2849,4744,196,298,337,456
1.285,437,1941,2833,4816,221,337,313,424
1.295,423,1932,2814,4851,234,355,291,431
1.305,374,1918,2792,4788,229,386,290,425
1.315,291,1901,2766,4705,223,391,262,435
