sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,473,1453,2494,3545,269,306,337,448
0.015,486,1513,2461,3457,264,286,336,442
0.025,480,1597,2495,3492,250,302,330,420
0.035,530,1514,2482,3568,281,334,287,444
0.045,587,1464,2515,3529,269,301,287,442
0.055,668,1490,2473,3473,275,325,329,431
0.065,767,1547,2513,3517,268,332,306,417
0.075,802,1645,2590,3634,235,333,306,444
0.085,870,1656,2607,3696,228,348,315,467
0.095,944,1672,2660,3805,233,342,326,491
0.105,1000,1732,2678,3851,241,337,351,476
0.115,1025,1833,2749,3894,230,350,377,484
0.125,1021,1936,2839,3846,250,322,384,469
0.135,1000,1949,2861,3826,249,311,371,459
0.145,925,1934,2835,3759,237,312,388,442
0.155,827,1783,2984,3828,216,320,386,424
0.165,855,1610,3154,3953,187,341,388,439
0.175,770,1418,3239,4089,163,336,335,458
0.185,745,1350,3229,4171,173,300,319,442
0.195,771,1293,3197,4275,177,296,305,433
0.205,769,1258,3143,4237,170,292,325,416
0.215,799,1217,3156,4260,177,291,342,419
0.225,809,1238,3199,4223,210,309,344,409
0.235,805,1289,3265,4249,249,285,325,418
0.245,717,1368,3303,4251,235,270,318,410
0.255,681,1359,3342,4274,260,271,307,415
0.265,702,1360,3319,4302,271,265,296,432
0.275,762,1246,3286,4299,238,291,324,462
0.285,765,1285,3244,4210,238,281,342,440
0.295,743,1342,3266,4204,241,270,351,437
0.305,752,1268,3314,4261,233,289,339,418
0.315,742,1252,3353,4282,236,282,355,413
0.325,772,1249,3293,4313,216,280,340,434
0.335,805,1206,3294,4269,209,280,354,432
0.345,836,1216,3317,4187,211,289,340,408
0.355,822,1258,3357,4100,205,280,333,410
0.365,812,1250,3348,4036,201,297,328,401
0.375,810,1246,3350,3987,207,288,322,404
0.385,816,1243,3364,3973,206,289,320,415
0.395,818,1240,3359,3961,205,290,313,430
0.405,818,1240,3359,3953,202,294,315,440
0.415,799,1240,3364,3940,199,299,308,445
0.425,800,1218,3368,3973,211,302,317,442
0.435,790,1185,3367,4059,201,296,303,433
0.445,785,1157,3301,4109,199,291,309,416
0.455,779,1129,3256,4070,209,294,326,408
0.465,744,1073,3276,4004,202,295,333,403
0.475,708,991,3326,3959,213,301,306,405
0.485,677,935,3358,3864,209,309,295,400
0.495,629,861,3401,3826,206,307,286,413
0.505,572,789,3405,3771,192,305,287,419
0.515,554,745,3405,3770,185,286,303,425
0.525,544,754,3416,3725,195,298,290,418
0.535,525,784,3381,3728,198,291,280,398
0.545,550,845,3371,3784,192,292,281,379
0.555,583,943,3310,3843,194,302,281,364
0.565,596,1066,3192,3872,189,294,284,351
0.575,581,1251,3043,3862,179,309,316,343
0.585,580,1452,2945,3915,167,285,289,331
0.595,625,1554,2882,3987,165,287,274,340
0.605,665,1717,2882,4033,163,304,283,381
0.615,687,1826,2894,4140,183,319,286,402
0.625,676,1954,2941,4212,188,300,316,395
0.635,666,2012,2988,4255,187,306,338,381
0.645,668,2071,3081,4236,197,321,325,411
0.655,666,2113,3117,4230,195,331,327,425
0.665,637,2161,3152,4169,191,342,335,409
0.675,617,2200,3152,4138,192,331,345,406
0.685,605,2233,3140,4161,186,332,360,410
0.695,592,2240,3081,4217,188,327,345,415
0.705,598,2221,3058,4203,176,334,340,412
0.715,604,2228,3011,4206,167,347,347,422
0.725,635,2220,2988,4204,171,337,344,405
0.735,653,2142,2976,4221,172,328,337,403
0.745,595,2049,2964,4187,155,329,314,399
0.755,657,1965,2929,4221,158,342,324,388
0.765,674,1852,2929,4275,153,377,286,403
0.775,716,1804,2918,4263,167,356,346,429
0.785,734,1663,2952,4234,215,325,312,417
0.795,709,1526,2939,4199,196,289,270,396
0.805,637,1431,2907,4214,177,302,263,394
0.815,667,1368,2902,4162,155,321,266,395
0.825,682,1326,2950,4170,173,299,274,361
0.835,679,1260,2949,4114,185,284,267,329
0.845,675,1250,2895,4075,185,271,255,330
0.855,685,1230,2913,4114,191,287,267,346
0.865,718,1224,2956,4151,201,289,278,367
0.875,669,1276,2910,4114,184,296,271,353
0.885,686,1245,2910,4113,180,285,266,340
0.895,677,1210,2898,4120,175,289,262,355
0.905,662,1174,2906,4128,177,293,252,385
0.915,645,1137,2927,4167,187,288,247,401
0.925,592,1097,2888,4136,190,289,247,380
0.935,571,1023,2959,4168,191,293,284,407
