sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,613,1586,2333,3532,242,363,387,424
0.015,673,1631,3205,3564,298,341,313,412
0.025,701,1574,3225,3530,271,341,326,426
0.035,796,1564,3238,3509,265,362,305,406
0.045,841,1593,3244,3510,254,363,312,405
0.055,825,1649,3246,3532,257,325,331,401
0.065,874,1722,3244,3607,255,324,333,428
0.075,794,1802,3241,3642,208,361,331,456
0.085,887,1878,3237,3716,222,367,288,468
0.095,934,1939,3235,3752,242,354,305,455
0.105,887,1979,3235,3783,242,336,337,448
0.115,884,1999,3238,3829,246,325,354,450
0.125,846,2008,3243,3892,240,340,345,457
0.135,845,2011,3248,3853,231,356,339,474
0.145,958,2015,3249,3691,207,378,312,511
0.155,870,2026,3247,3508,196,423,328,486
0.165,775,2046,3237,3375,203,385,343,448
0.175,639,2068,3219,3399,239,382,358,407
0.185,555,2088,3194,3336,189,375,376,389
0.195,481,2100,3164,3360,156,377,373,374
0.205,505,2103,3130,3376,146,369,374,411
0.215,456,2099,3094,3398,156,341,369,415
0.225,453,2090,3060,3474,180,332,348,416
0.235,454,2075,3029,3578,196,310,358,421
0.245,455,2052,3002,3673,204,355,340,401
0.255,473,2018,2984,3664,220,365,335,390
0.265,529,1974,2971,3633,251,345,344,448
0.275,557,1931,2964,3607,275,374,293,460
0.285,556,1899,2960,3564,256,349,336,452
0.295,389,1888,2959,3539,226,320,310,422
0.305,419,1891,2960,3510,211,319,302,410
0.315,475,1899,2964,3467,175,371,321,442
0.325,508,1903,2973,3501,176,366,329,427
0.335,509,1896,2986,3455,173,384,331,408
0.345,517,1886,3004,3482,180,379,326,400
0.355,539,1895,3027,3612,186,376,335,400
0.365,570,1950,3056,3624,183,370,326,363
0.375,574,2060,3089,3645,177,361,336,375
0.385,587,2194,3126,3587,178,352,334,412
0.395,596,2311,3167,3588,192,351,330,403
0.405,600,2389,3211,3573,204,344,328,425
0.415,589,2446,3257,3571,209,335,317,393
0.425,582,2505,3303,3591,223,337,322,412
0.435,571,2575,3348,3622,207,338,331,398
0.445,545,2631,3390,3634,200,335,328,369
0.455,541,2645,3427,3707,225,323,359,370
0.465,519,2613,3457,3728,205,324,332,388
0.475,516,2573,3481,3805,224,330,308,385
0.485,504,2547,3498,3860,200,344,363,434
0.495,491,2381,3509,3966,186,357,383,439
0.505,393,2075,3513,4042,185,337,376,428
0.515,376,1980,3512,4042,210,308,393,423
0.525,337,1951,3504,4090,205,298,387,440
0.535,318,1940,3491,4086,186,300,372,460
0.545,339,1941,3473,4098,170,331,383,490
0.555,345,1950,3448,4090,178,366,400,489
0.565,378,1976,3418,4135,239,347,417,465
0.575,332,2034,3382,4142,244,356,368,426
0.585,361,2132,3339,4080,203,389,315,402
0.595,409,2258,3291,4098,200,417,281,405
0.605,408,2384,3238,4189,173,419,270,439
0.615,393,2484,3183,4314,178,417,223,473
0.625,406,2538,3129,4423,152,412,249,499
0.635,407,2557,3082,4420,198,376,328,476
0.645,424,2561,3048,4353,255,385,338,459
0.655,445,2571,3033,4230,282,354,331,482
0.665,463,2598,3037,4100,319,330,366,496
0.675,546,2634,3056,4036,298,388,308,483
0.685,588,2665,3082,3988,264,409,283,450
0.695,641,2687,3111,3975,258,398,282,448
0.705,651,2700,3138,4094,300,410,237,462
0.715,761,2704,3155,4155,263,398,269,459
0.725,719,2700,3159,4203,246,402,288,429
0.735,647,2689,3152,4183,222,405,320,426
0.745,640,2670,3140,4247,197,390,340,442
0.755,614,2645,3127,4260,190,364,369,457
0.765,645,2614,3118,4228,177,336,395,474
0.775,626,2576,3118,4153,160,341,395,494
0.785,610,2532,3125,4080,162,338,397,484
0.795,605,2480,3138,4048,161,338,397,455
0.805,596,2418,3151,4077,167,327,390,432
0.815,590,2346,3164,4120,158,316,387,428
0.825,583,2261,3172,4130,152,298,407,411
0.835,550,2167,3173,4123,144,296,416,411
0.845,533,2068,3166,4199,147,283,419,428
