sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,590,1577,2465,3636,249,303,360,441
0.015,694,1583,2434,3559,301,289,341,449
0.025,787,1654,2486,3542,288,288,355,454
0.035,871,1655,2499,3473,299,250,368,457
0.045,905,1664,2518,3516,274,270,375,451
0.055,968,1652,2447,3519,257,282,405,427
0.065,914,1557,2512,3615,224,293,383,431
0.075,823,1627,2513,3651,224,322,373,442
0.085,892,1581,2537,3692,247,331,342,472
0.095,945,1551,2510,3718,257,308,345,447
0.105,986,1561,2507,3729,228,302,354,474
0.115,945,1533,2582,3739,187,321,376,484
0.125,979,1502,2604,3823,225,309,390,481
0.135,909,1470,2635,3885,181,314,407,478
0.145,963,1440,2738,3968,213,313,406,490
0.155,907,1417,2826,4068,204,314,385,456
0.165,940,1402,2924,4162,227,303,369,446
0.175,941,1400,2994,4244,198,299,352,431
0.185,938,1413,3046,4268,190,294,340,416
0.195,917,1445,3082,4309,198,296,320,410
0.205,877,1499,3104,4369,190,318,327,402
0.215,859,1574,3115,4421,204,310,326,394
0.225,840,1667,3118,4468,195,331,324,405
0.235,738,1773,3115,4510,189,298,326,421
0.245,665,1887,3107,4555,178,284,326,442
0.255,660,1999,3096,4578,162,282,337,440
0.265,632,2100,3082,4588,166,293,328,446
0.275,607,2183,3068,4591,161,286,325,445
0.285,593,2249,3054,4595,168,303,322,442
0.295,591,2301,3044,4597,168,307,319,440
0.305,588,2343,3038,4590,163,318,311,437
0.315,599,2378,3040,4581,159,331,313,441
0.325,599,2410,3050,4562,160,329,311,434
0.335,594,2437,3067,4566,162,331,304,437
0.345,581,2460,3092,4556,170,334,299,431
0.355,561,2479,3122,4567,172,326,305,428
0.365,550,2495,3158,4567,168,339,299,419
0.375,508,2507,3196,4559,161,346,268,405
0.385,480,2519,3232,4576,167,338,283,409
0.395,488,2534,3261,4587,172,329,275,404
0.405,476,2555,3276,4604,164,324,276,399
0.415,491,2584,3271,4623,173,329,282,394
0.425,472,2602,3247,4646,173,321,281,395
0.435,441,2573,3210,4644,186,318,310,407
0.445,482,2470,3173,4610,194,314,346,428
0.455,494,2333,3138,4588,255,312,345,459
0.465,552,2213,3102,4499,246,329,353,476
0.475,603,2123,3062,4449,280,347,362,451
0.485,643,2066,3020,4488,313,354,369,482
0.495,616,2045,2980,4539,323,322,341,450
0.505,604,2047,2946,4558,266,311,335,455
0.515,586,2057,2923,4572,240,303,335,448
0.525,600,2060,2915,4545,345,322,371,442
0.535,590,2057,2916,4502,361,349,363,473
0.545,600,2057,2921,4442,315,358,386,471
0.555,614,2065,2920,4422,283,350,358,446
0.565,642,2084,2913,4462,239,331,366,485
0.575,642,2106,2909,4518,206,301,340,467
0.585,629,2127,2917,4524,201,286,329,474
0.595,632,2142,2943,4537,175,264,331,431
0.605,622,2146,2978,4559,162,264,317,420
0.615,646,2134,3002,4552,168,257,317,417
0.625,644,2102,3006,4525,154,259,309,411
0.635,641,2048,3001,4457,147,252,305,401
0.645,647,1982,2999,4354,157,244,316,415
0.655,621,1918,2993,4252,156,265,325,399
0.665,623,1858,2959,4144,160,257,320,381
0.675,567,1802,2880,4039,170,285,303,379
0.685,505,1749,2763,3929,178,286,287,376
0.695,492,1699,2618,3831,179,295,298,411
0.705,497,1653,2469,3857,187,285,321,410
0.715,479,1614,2355,3859,196,292,309,421
0.725,473,1589,2296,3906,205,303,348,433
0.735,471,1582,2269,3937,222,285,330,438
0.745,499,1590,2245,3933,221,290,348,428
0.755,524,1610,2195,3894,208,305,339,423
0.765,564,1637,2118,3935,197,316,330,413
0.775,578,1673,2062,3957,160,290,330,393
0.785,571,1720,2062,3953,134,263,323,397
0.795,587,1783,2147,3950,163,265,309,408
0.805,596,1866,2325,3984,154,304,277,409
0.815,556,1968,2476,4011,159,326,269,412
0.825,547,2085,2536,4070,165,352,271,423
0.835,560,2196,2558,4093,169,353,246,426
0.845,569,2254,2594,4150,167,328,281,436
0.855,567,2218,2651,4163,156,320,266,419
0.865,556,2103,2705,4148,161,312,255,410
0.875,521,1944,2729,4066,175,320,245,400
0.885,563,1822,2716,3964,171,313,261,400
0.895,547,1739,2680,3938,165,289,263,422
0.905,593,1563,2641,3987,161,364,299,442
0.915,576,1305,2610,3927,160,372,331,435
0.925,608,1117,2587,3868,251,376,362,480
0.935,709,1023,2570,3715,190,385,331,493
0.945,638,998,2555,3569,152,349,302,460
0.955,661,1018,2540,3569,168,290,300,393
0.965,700,1065,2522,3604,182,300,315,380
0.975,705,1120,2501,3684,191,289,307,370
0.985,672,1173,2478,3783,195,284,313,357
0.995,659,1236,2455,3827,185,289,310,332
1.005,623,1331,2436,3871,169,325,302,355
1.015,628,1464,2432,3934,177,310,273,351
1.025,573,1612,2460,4043,177,330,285,366
1.035,526,1750,2525,4220,194,325,309,410
1.045,485,1870,2613,4425,210,325,308,420
1.055,451,1971,2707,4550,193,328,322,431
1.065,441,2049,2806,4469,198,328,287,430
1.075,430,2100,2913,4409,236,333,294,451
1.085,543,2120,3005,4423,275,328,347,470
1.095,642,2117,3054,4384,286,323,415,493
1.105,757,2101,3053,4336,335,343,384,503
1.115,859,2081,3026,4288,287,343,360,487
1.125,902,2060,2993,4361,270,308,354,485
1.135,889,2038,2969,4393,243,324,329,487
1.145,883,2016,2953,4424,224,347,346,509
1.155,840,1994,2940,4422,222,359,331,470
1.165,861,1972,2926,4439,259,380,333,482
1.175,891,1950,2908,4499,248,385,370,440
1.185,849,1925,2891,4447,256,390,349,446
1.195,883,1895,2881,4486,247,357,362,482
1.205,970,1858,2884,4305,272,330,347,473
1.215,964,1811,2888,4186,220,342,356,464
1.225,946,1751,2879,4059,219,386,312,468
1.235,941,1679,2846,3899,229,401,301,427
1.245,750,1607,2776,3786,237,328,315,429
1.255,545,1549,2658,3680,228,267,339,396
1.265,540,1517,2487,3807,191,270,328,358
1.275,531,1507,2299,3789,174,263,316,333
1.285,558,1509,2153,3852,172,269,343,354
1.295,576,1513,2063,3879,177,291,337,336
1.305,600,1511,2020,3868,170,303,330,328
1.315,620,1494,2013,3822,163,286,326,338
1.325,619,1468,2033,3752,158,298,323,339
1.335,646,1440,2073,3684,171,291,316,363
1.345,704,1420,2130,3646,185,316,305,370
1.355,771,1408,2199,3596,201,296,313,377
1.365,822,1402,2275,3589,223,312,293,383
1.375,813,1396,2346,3593,208,297,301,391
1.385,791,1388,2402,3662,216,299,338,390
1.395,853,1378,2433,3760,236,304,326,373
1.405,888,1375,2450,3812,235,303,304,350
1.415,889,1388,2472,3831,208,302,338,340
1.425,824,1425,2518,3860,233,292,312,336
1.435,770,1482,2584,3834,237,313,326,344
1.445,705,1555,2645,3785,222,307,348,354
1.455,643,1637,2681,3727,213,290,355,362
1.465,589,1726,2699,3610,185,284,365,365
1.475,540,1819,2713,3449,171,271,348,412
1.485,459,1910,2737,3396,197,345,295,403
1.495,437,1989,2776,3455,194,312,296,388
1.505,435,2044,2824,3470,192,287,291,404
1.515,414,2063,2873,3498,194,326,303,409
1.525,407,2046,2917,3497,193,276,282,417
1.535,400,2009,2949,3507,223,318,277,417
1.545,400,1969,2965,3474,205,269,275,416
1.555,402,1943,2961,3456,185,302,284,419
1.565,398,1946,2934,3383,216,266,293,431
1.575,400,1966,2882,3363,207,330,273,433
1.585,434,1980,2812,3410,210,323,298,435
1.595,503,1961,2739,3484,224,308,313,431
1.605,553,1883,2676,3759,200,297,278,406
1.615,571,1730,2627,3842,209,318,291,379
1.625,597,1549,2589,3839,207,301,304,366
1.635,624,1394,2562,3837,209,305,296,368
1.645,637,1278,2544,3820,210,299,295,375
1.655,654,1207,2531,3806,214,313,297,372
1.665,669,1173,2521,3768,206,300,281,365
1.675,690,1161,2511,3770,208,312,293,347
1.685,721,1157,2497,3779,210,300,300,357
1.695,696,1150,2476,3763,216,305,314,330
1.705,719,1143,2445,3798,217,297,284,341
1.715,701,1148,2405,3777,221,294,272,323
1.725,680,1174,2366,3783,212,279,293,345
1.735,690,1223,2338,3773,201,270,292,323
1.745,683,1289,2333,3809,210,281,318,344
1.755,677,1365,2354,3790,208,307,314,338
1.765,688,1445,2400,3842,205,279,324,358
1.775,661,1523,2468,3905,203,285,340,341
1.785,666,1594,2556,4008,201,282,352,366
1.795,665,1655,2652,4128,189,263,364,430
1.805,653,1703,2743,4285,178,292,395,481
1.815,602,1740,2815,4467,184,281,387,470
1.825,532,1772,2858,4527,202,316,360,445
1.835,532,1798,2878,4492,268,342,350,431
1.845,561,1818,2882,4482,291,361,366,435
1.855,642,1830,2875,4490,297,406,403,456
1.865,692,1834,2859,4479,304,373,376,474
1.875,732,1834,2837,4405,315,362,350,470
1.885,789,1830,2810,4374,301,324,348,451
1.895,824,1824,2780,4407,284,311,377,445
1.905,853,1819,2749,4450,257,322,353,449
1.915,827,1814,2718,4435,282,273,375,484
1.925,778,1808,2689,4390,259,359,362,486
1.935,775,1800,2663,4298,294,327,353,499
1.945,773,1789,2644,4291,233,343,370,483
1.955,841,1774,2634,4214,264,347,345,463
1.965,875,1756,2637,4098,234,317,312,454
1.975,882,1736,2656,4107,237,318,340,459
1.985,849,1715,2691,4124,228,345,361,450
1.995,809,1695,2738,4141,226,368,334,438
2.005,823,1678,2794,4116,211,389,321,435
2.015,779,1664,2853,4057,226,341,329,413
2.025,837,1653,2913,3976,238,357,346,431
2.035,863,1643,2970,3911,242,357,361,439
2.045,761,1628,3022,3909,195,367,344,456
2.055,664,1606,3065,3891,202,333,334,468
2.065,539,1585,3101,4020,199,289,321,497
2.075,573,1574,3129,4079,164,298,332,514
2.085,606,1582,3152,4096,157,278,308,519
2.095,663,1618,3170,4098,157,265,313,529
2.105,692,1682,3181,4127,159,254,330,528
2.115,683,1770,3179,4189,144,274,321,517
2.125,629,1877,3160,4280,159,296,328,500
2.135,650,1987,3121,4312,160,303,337,498
2.145,667,2083,3079,4363,155,315,322,481
2.155,635,2156,3055,4395,153,311,315,474
2.165,641,2217,3045,4394,165,307,328,483
2.175,599,2278,3038,4398,158,330,314,466
2.185,560,2342,3029,4417,164,339,306,459
2.195,531,2405,3016,4441,159,358,281,442
2.205,493,2458,3002,4461,144,372,246,419
2.215,493,2497,2988,4504,150,367,249,408
