sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,512,1491,2428,3598,244,319,347,428
0.015,504,1512,2414,3560,260,335,317,443
0.025,520,1493,2458,3531,282,324,339,453
0.035,443,1486,2546,3544,303,284,337,446
0.045,417,1588,2517,3588,267,300,323,459
0.055,511,1615,2486,3594,266,342,307,439
0.065,540,1599,2493,3547,282,336,307,452
0.075,577,1548,2607,3623,302,307,329,464
0.085,631,1479,2583,3643,308,306,356,440
0.095,669,1457,2567,3665,277,298,350,430
0.105,680,1517,2579,3682,241,317,353,438
0.115,652,1466,2671,3722,261,306,355,442
0.125,628,1520,2640,3781,266,309,361,464
0.135,670,1513,2624,3791,283,310,338,449
0.145,685,1542,2562,3813,306,297,327,453
0.155,693,1569,2490,3841,308,285,344,467
0.165,526,1542,2359,3842,296,288,367,453
0.175,483,1530,2182,3798,209,282,368,417
0.185,491,1565,2146,3825,189,264,307,397
0.195,494,1694,2210,3876,181,269,281,390
0.205,481,1770,2297,3952,189,289,295,393
0.215,465,1881,2350,3988,185,315,280,407
0.225,433,1940,2502,4035,170,345,282,421
0.235,390,2150,2561,4117,181,338,273,415
0.245,311,2197,2631,4168,192,302,297,419
0.255,320,2209,2648,4196,200,324,264,399
0.265,336,2209,2713,4278,221,326,310,401
0.275,324,2209,2783,4373,244,325,314,406
0.285,307,2209,2853,4439,305,333,353,417
0.295,336,2205,2865,4418,344,346,371,463
0.305,406,2095,2865,4353,326,342,356,462
0.315,418,2052,2823,4363,300,333,356,451
0.325,453,1946,2803,4267,311,339,329,469
0.335,453,1928,2806,4236,299,364,335,453
0.345,453,1999,2799,4290,278,344,347,451
0.355,465,2043,2825,4369,261,348,345,475
0.365,465,1978,2863,4529,227,356,344,509
0.375,465,2017,2884,4570,240,337,356,438
0.385,478,2088,2977,4623,242,320,372,456
0.395,476,2050,3003,4658,235,322,359,456
0.405,465,2039,3028,4635,228,306,393,444
0.415,476,1980,3006,4617,214,302,358,464
0.425,482,1988,2949,4691,224,306,381,449
0.435,465,1937,2874,4747,241,323,382,429
0.445,412,1887,2799,4746,227,331,354,461
0.455,418,1829,2718,4624,241,351,325,426
0.465,395,1735,2719,4526,251,349,325,399
0.475,383,1752,2723,4475,284,325,298,396
0.485,375,1840,2809,4580,243,330,297,425
0.495,366,1893,2857,4703,195,359,254,425
0.505,397,1991,2883,4784,190,350,290,419
0.515,435,2092,2906,4794,189,314,315,434
0.525,475,2205,2942,4741,199,315,354,392
0.535,512,2194,3009,4625,199,278,357,402
0.545,544,2127,3085,4451,179,301,311,391
0.555,563,2084,3035,4384,184,304,314,423
0.565,568,2021,2903,4253,176,304,321,434
0.575,552,2004,2845,4094,185,307,306,435
0.585,514,1964,2761,4150,202,315,310,435
0.595,450,1917,2664,4235,194,309,342,419
0.605,365,1929,2592,4243,238,324,320,412
0.615,291,1894,2547,4249,229,339,282,414
0.625,260,1870,2528,4259,244,374,306,409
0.635,269,1832,2531,4222,271,350,303,405
0.645,312,1777,2547,4221,263,350,289,429
0.655,380,1786,2566,4197,248,350,301,416
0.665,464,1799,2580,4192,226,333,332,427
0.675,495,1800,2592,4354,245,328,355,433
0.685,505,1812,2606,4435,253,333,342,451
0.695,526,1829,2629,4430,265,360,320,466
0.705,572,1812,2658,4412,265,338,320,474
0.715,648,1812,2686,4502,266,337,333,461
0.725,656,1799,2712,4629,308,302,338,462
0.735,691,1838,2741,4720,278,340,321,426
0.745,608,1887,2778,4749,237,325,311,405
0.755,519,1908,2820,4619,181,333,319,408
0.765,508,1906,2852,4517,175,284,316,416
0.775,516,1888,2846,4268,174,290,277,407
0.785,488,1856,2779,4118,175,281,291,416
0.795,462,1818,2683,4084,180,289,303,420
0.805,437,1785,2591,4088,197,290,315,424
0.815,445,1762,2511,3992,203,303,298,402
0.825,488,1748,2450,3928,185,314,303,415
0.835,561,1734,2416,3993,195,303,285,432
0.845,652,1727,2414,4057,198,305,287,423
0.855,682,1735,2471,4089,178,302,317,434
0.865,725,1766,2624,4073,186,300,334,446
0.875,740,1814,2756,4057,190,296,326,481
0.885,785,1859,2804,4005,187,323,328,462
0.895,767,1885,2794,4029,176,314,303,477
0.905,730,1896,2745,4048,186,315,303,481
0.915,676,1906,2672,3991,206,304,290,486
0.925,682,1921,2608,4017,230,321,280,490
0.935,618,1941,2585,3999,261,335,277,487
0.945,526,1965,2567,4122,275,340,315,484
0.955,570,1985,2518,4175,305,330,337,449
