sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,625,1598,2359,3502,281,325,328,409
0.015,754,1646,2446,3557,290,336,312,402
0.025,863,1782,2506,3597,258,328,307,382
0.035,889,1838,2593,3647,231,315,325,387
0.045,878,1896,2633,3665,223,310,348,402
0.055,966,1947,2573,3772,222,345,312,417
0.065,970,1973,2600,3832,219,349,342,454
0.075,941,1916,2691,3897,210,353,352,474
0.085,829,1805,2740,3882,226,336,336,452
0.095,842,1810,2708,3838,249,330,312,438
0.105,896,2065,2748,3815,243,334,328,430
0.115,947,2173,2723,3863,210,377,343,423
0.125,991,2264,2830,3825,221,372,341,432
0.135,892,2340,2924,3886,229,369,347,424
0.145,811,2404,2945,3872,228,377,340,408
0.155,806,2458,2997,3849,230,375,339,409
0.165,769,2505,3104,3920,249,334,334,422
0.175,687,2547,3125,3983,262,330,314,416
0.185,534,2588,3154,3947,274,303,342,406
0.195,444,2628,3142,3969,220,336,352,421
0.205,492,2672,3243,4023,204,343,346,414
0.215,542,2705,3218,4069,187,318,353,418
0.225,563,2707,3193,4025,179,339,343,412
0.235,583,2654,3169,4016,182,334,340,430
0.245,597,2533,3146,3969,212,305,320,422
0.255,607,2383,3126,3920,196,293,317,414
0.265,609,2256,3108,3855,209,305,326,421
0.275,600,2145,3094,3854,196,273,346,406
0.285,593,2002,3084,3833,193,270,355,394
0.295,559,1824,3079,3862,200,260,381,390
0.305,515,1671,3079,3849,236,312,382,417
0.315,456,1568,3083,3853,230,287,393,403
0.325,455,1501,3087,3838,233,291,396,405
0.335,490,1458,3089,3887,212,312,386,405
0.345,519,1430,3084,3918,218,308,362,414
0.355,563,1421,3069,4006,198,303,359,422
0.365,592,1434,3047,4090,178,309,352,412
0.375,566,1471,3023,4129,162,280,356,404
0.385,570,1523,3005,4097,150,282,358,407
0.395,580,1583,2999,4058,187,280,358,428
0.405,579,1643,3004,3981,171,288,346,431
0.415,574,1702,3004,3916,161,282,332,437
0.425,581,1765,2984,3921,164,281,297,440
0.435,576,1835,2942,3938,163,277,316,455
0.445,584,1903,2881,3950,174,259,323,451
0.455,603,1960,2805,3916,208,275,319,447
0.465,559,1995,2722,3888,271,336,311,493
0.475,568,2005,2658,3893,319,333,307,463
0.485,559,1995,2638,3878,309,329,338,480
0.495,582,1971,2658,3852,293,322,345,453
0.505,605,1936,2701,3843,277,321,335,434
0.515,629,1892,2747,3821,292,311,343,468
0.525,617,1841,2787,3773,301,295,333,454
0.535,617,1784,2824,3806,285,328,353,430
0.545,629,1724,2859,3822,275,315,366,434
0.555,629,1661,2895,3809,253,326,379,430
0.565,629,1597,2935,3844,269,348,315,443
0.575,629,1659,2980,3914,254,337,345,419
0.585,629,1542,3033,3843,262,358,353,384
0.595,629,1351,3096,3804,219,352,341,383
