sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,570,1527,2478,3601,232,299,358,414
0.015,555,1496,2454,3645,279,319,314,413
0.025,589,1529,2360,3607,271,320,314,407
0.035,577,1538,2444,3626,273,309,320,410
0.045,668,1471,2373,3580,304,336,291,431
0.055,699,1519,2486,3645,284,314,316,438
0.065,754,1535,2520,3672,262,321,299,447
0.075,734,1554,2577,3745,265,316,290,424
0.085,726,1599,2621,3738,263,334,289,426
0.095,706,1614,2655,3748,287,306,327,437
0.105,756,1633,2629,3835,318,302,342,450
0.115,732,1603,2636,3867,276,321,343,449
0.125,805,1632,2585,3816,270,341,362,501
0.135,801,1592,2608,3860,246,309,354,451
0.145,836,1409,2575,3938,209,282,326,437
0.155,805,1378,2595,3960,233,290,347,442
0.165,773,1391,2653,3959,216,313,360,431
0.175,541,1358,2682,3889,218,306,338,439
0.185,518,1315,2658,3809,225,296,317,467
0.195,506,1263,2587,3710,239,310,315,462
0.205,494,1206,2463,3662,241,303,330,433
0.215,506,1147,2420,3632,250,296,353,401
0.225,518,1141,2409,3598,250,280,352,378
0.235,541,1133,2383,3564,251,284,351,397
0.245,529,1132,2350,3527,254,285,341,380
0.255,529,1147,2271,3540,251,287,321,400
0.265,529,1136,2242,3573,247,277,338,365
0.275,512,1153,2261,3603,212,268,334,375
0.285,564,1153,2291,3649,228,272,359,385
0.295,600,1169,2334,3684,246,282,351,392
0.305,600,1160,2349,3706,253,281,338,366
0.315,647,1195,2386,3733,254,283,335,386
0.325,600,1235,2432,3747,248,289,355,365
0.335,536,1255,2452,3711,246,317,367,354
0.345,530,1248,2465,3642,228,300,370,378
0.355,590,1206,2434,3652,229,289,392,385
0.365,651,1197,2385,3642,178,341,408,402
0.375,654,1290,2389,3682,175,328,408,398
0.385,652,1530,2429,3740,179,281,412,400
0.395,658,1814,2531,3809,189,278,397,418
0.405,640,1995,2647,3880,188,274,360,436
0.415,628,2036,2712,3949,182,256,311,421
0.425,591,1988,2734,4020,166,268,274,402
0.435,536,1900,2733,4016,151,257,268,398
0.445,454,1813,2635,4036,169,292,300,395
0.455,414,1737,2633,4076,200,310,347,413
0.465,359,1674,2568,4073,205,309,319,436
0.475,380,1624,2578,4126,198,306,320,433
0.485,482,1593,2674,4228,199,301,329,427
0.495,575,1586,2780,4275,191,328,331,413
0.505,582,1600,2836,4267,173,301,304,396
0.515,570,1624,2857,4199,171,288,304,383
0.525,551,1650,2885,4103,166,268,294,388
0.535,521,1667,2856,3938,167,293,273,405
0.545,506,1671,2820,3763,190,292,304,423
0.555,506,1668,2792,3740,207,275,316,404
0.565,506,1666,2772,3761,197,297,364,417
0.575,471,1674,2758,3810,201,287,353,410
0.585,471,1690,2751,3813,189,330,354,420
0.595,471,1711,2750,3883,210,328,347,424
0.605,471,1736,2755,3935,225,330,338,424
0.615,506,1761,2764,3977,256,328,368,462
0.625,541,1786,2778,3969,161,358,351,412
0.635,553,1809,2796,4074,171,288,364,420
0.645,615,1829,2816,4157,175,241,353,414
0.655,649,1844,2838,4198,180,279,366,404
0.665,673,1854,2862,4219,171,260,363,408
0.675,689,1861,2886,4246,164,269,351,407
0.685,729,1864,2909,4237,165,305,337,401
0.695,739,1862,2931,4220,160,269,320,401
0.705,735,1852,2949,4264,166,297,314,404
0.715,740,1832,2961,4334,177,312,324,415
0.725,718,1801,2968,4422,188,307,340,418
0.735,684,1758,2968,4546,189,310,355,423
0.745,646,1707,2964,4653,180,336,345,437
0.755,587,1652,2956,4711,185,352,338,440
0.765,586,1598,2943,4605,255,349,381,464
0.775,702,1555,2927,4463,282,381,394,468
0.785,727,1529,2907,4267,280,358,370,456
0.795,818,1518,2882,4307,271,346,352,451
0.805,851,1519,2852,4282,253,345,322,441
0.815,874,1528,2822,4296,261,353,326,403
0.825,855,1539,2794,4292,255,326,348,430
0.835,905,1548,2772,4285,262,325,358,418
0.845,911,1552,2759,4326,217,356,372,409
0.855,921,1552,2757,4352,249,328,375,395
0.865,878,1547,2763,4310,260,294,382,394
0.875,850,1539,2776,4310,265,285,395,421
0.885,749,1526,2794,4331,242,300,373,439
0.895,766,1507,2815,4241,297,312,337,450
0.905,814,1478,2837,4217,273,322,365,451
0.915,805,1440,2859,4148,259,296,399,445
0.925,820,1394,2880,4184,240,344,378,430
0.935,861,1347,2900,4164,246,344,371,420
0.945,844,1302,2922,4084,244,314,363,417
0.955,826,1266,2945,3960,248,303,338,410
0.965,851,1237,2969,3922,218,333,355,426
0.975,850,1208,2996,4021,231,349,366,409
0.985,857,1166,3024,4278,206,341,358,407
0.995,770,1101,3050,4392,210,323,355,408
1.005,664,1017,3075,4397,198,316,374,409
1.015,694,943,3096,4300,182,300,340,413
1.025,708,914,3111,4262,187,296,373,410
1.035,724,965,3118,4244,183,290,354,419
1.045,750,1122,3115,4201,165,318,348,421
1.055,740,1333,3102,4155,165,332,361,424
1.065,752,1517,3079,4153,163,338,366,434
1.075,708,1657,3050,4138,171,329,359,434
1.085,653,1764,3017,4119,172,296,336,454
1.095,629,1845,2981,4082,170,285,328,463
1.105,625,1904,2946,4020,186,288,342,475
1.115,610,1944,2912,3872,181,304,341,474
1.125,587,1969,2880,3774,161,290,339,462
1.135,581,1983,2847,3736,165,280,323,438
1.145,570,1988,2814,3733,166,284,293,415
1.155,559,1987,2780,3747,173,287,294,401
1.165,552,1981,2744,3756,174,288,288,406
1.175,548,1972,2708,3734,177,285,286,404
1.185,543,1961,2671,3714,174,285,293,407
1.195,546,1950,2637,3674,178,293,309,415
1.205,545,1940,2606,3618,181,270,306,410
1.215,555,1933,2579,3570,172,279,306,383
1.225,554,1928,2557,3524,174,301,303,395
1.235,547,1921,2540,3512,169,312,317,412
1.245,540,1913,2529,3506,169,294,309,404
1.255,539,1900,2523,3536,170,283,312,402
1.265,529,1882,2521,3593,169,285,309,420
1.275,511,1861,2523,3661,171,279,330,422
1.285,510,1838,2526,3825,176,316,320,435
1.295,530,1816,2529,4024,214,321,372,419
1.305,459,1796,2531,4185,277,365,394,450
1.315,459,1780,2533,4254,288,408,391,428
1.325,458,1770,2533,4344,345,415,375,435
1.335,459,1766,2533,4339,333,406,350,440
1.345,460,1767,2531,4365,331,390,349,446
1.355,459,1772,2529,4431,306,362,358,444
1.365,447,1782,2527,4432,300,343,355,438
1.375,447,1796,2525,4413,321,333,383,404
1.385,447,1813,2523,4431,289,341,384,400
1.395,436,1830,2524,4444,214,348,400,371
1.405,443,1845,2528,4441,206,358,392,391
1.415,436,1858,2535,4457,205,361,394,410
1.425,441,1865,2547,4530,215,334,412,425
1.435,392,1866,2564,4646,221,349,387,456
1.445,370,1863,2586,4746,253,360,393,434
1.455,366,1856,2613,4912,229,364,395,466
1.465,343,1847,2647,4984,213,405,327,433
1.475,303,1838,2688,4977,190,424,333,431
1.485,267,1829,2735,4954,180,433,349,420
1.495,271,1821,2787,4894,187,420,353,425
1.505,258,1816,2842,4773,235,377,316,463
1.515,292,1812,2897,4530,287,401,320,494
1.525,307,1808,2950,4436,329,393,307,491
1.535,378,1803,2996,4332,329,377,285,489
1.545,442,1795,3030,4155,326,369,305,467
1.555,459,1784,3042,3978,322,402,292,446
1.565,459,1770,3028,3884,338,402,295,462
1.575,518,1757,2987,3798,258,388,302,439
1.585,530,1751,2925,3768,196,349,298,421
1.595,518,1758,2851,3727,170,313,293,402
1.605,526,1784,2771,3641,160,279,312,388
1.615,518,1826,2692,3673,190,281,323,377
1.625,535,1851,2623,3658,174,280,293,358
1.635,541,1814,2568,3647,186,301,303,400
1.645,553,1675,2530,3682,191,301,294,381
1.655,553,1467,2505,3726,205,320,321,365
1.665,559,1311,2491,3764,211,313,300,384
1.675,553,1245,2487,3780,222,303,297,357
1.685,553,1234,2489,3819,212,296,278,388
1.695,553,1245,2496,3785,222,301,305,386
1.705,559,1268,2507,3748,214,304,320,386
1.715,553,1301,2521,3718,216,315,310,365
1.725,553,1345,2538,3721,211,307,308,377
1.735,553,1397,2558,3695,203,296,304,354
1.745,518,1453,2579,3684,168,285,338,363
1.755,529,1509,2601,3685,148,298,314,362
1.765,529,1561,2621,3655,158,306,320,379
1.775,534,1605,2637,3632,160,295,313,388
1.785,529,1643,2647,3598,175,314,320,390
1.795,539,1672,2649,3521,176,316,314,387
1.805,502,1694,2644,3517,216,318,304,391
1.815,511,1709,2635,3623,210,304,325,401
1.825,491,1716,2624,3651,221,311,344,409
1.835,598,1715,2612,3646,268,337,356,429
1.845,663,1707,2601,3607,271,346,345,432
1.855,683,1693,2592,3670,289,305,346,436
1.865,713,1671,2584,3706,291,288,342,431
1.875,723,1642,2576,3708,278,289,346,416
1.885,740,1607,2567,3656,269,301,350,396
1.895,763,1566,2557,3649,229,332,361,348
1.905,775,1522,2547,3696,243,303,320,344
1.915,775,1475,2538,3722,231,294,307,360
1.925,775,1429,2532,3786,236,305,309,366
1.935,775,1384,2529,3838,235,325,312,377
1.945,775,1344,2531,3918,213,325,287,396
1.955,752,1310,2537,3967,216,305,321,418
1.965,753,1286,2546,3992,233,287,295,453
1.975,752,1275,2556,3967,231,279,293,446
1.985,717,1278,2566,3973,202,293,321,442
1.995,717,1295,2574,3966,231,285,286,435
2.005,705,1322,2581,3968,239,286,284,434
2.015,693,1357,2587,3979,243,283,279,431
2.025,664,1397,2592,3959,236,295,292,426
2.035,623,1440,2598,3970,231,295,293,427
2.045,658,1487,2604,3908,197,299,298,417
2.055,594,1541,2611,3821,224,295,299,410
2.065,600,1602,2619,3758,264,310,331,427
2.075,585,1674,2630,3759,289,315,347,419
2.085,600,1750,2643,3723,278,316,358,422
2.095,601,1823,2659,3726,266,343,377,450
2.105,564,1883,2679,3802,307,315,368,478
2.115,529,1921,2703,3800,325,324,355,462
2.125,520,1941,2732,3814,264,334,329,441
2.135,494,1954,2766,3864,189,364,300,427
2.145,494,1970,2803,3977,181,361,296,411
2.155,490,2002,2841,3947,187,338,304,424
2.165,476,2056,2881,3954,193,300,325,428
2.175,461,2082,2919,3950,183,287,368,414
2.185,461,1991,2955,3970,174,298,399,420
2.195,461,1740,2988,3956,193,304,411,429
2.205,461,1494,3015,3994,184,304,363,448
2.215,461,1340,3038,3947,197,304,359,434
2.225,471,1248,3060,3963,194,290,371,402
2.235,475,1199,3082,3973,199,295,366,401
2.245,494,1197,3107,3907,196,289,368,395
2.255,587,1246,3136,3923,189,305,363,409
2.265,621,1336,3160,3985,191,305,343,428
2.275,643,1461,3158,3996,185,301,358,419
2.285,662,1608,3116,3990,183,301,338,429
2.295,670,1747,3040,3938,183,285,357,426
2.305,664,1847,2942,3825,184,281,363,424
2.315,693,1902,2833,3739,196,273,364,415
2.325,690,1921,2726,3719,194,255,362,393
2.335,698,1915,2631,3695,194,250,350,376
2.345,694,1893,2549,3634,191,270,302,369
2.355,691,1866,2479,3589,185,282,305,401
2.365,690,1843,2420,3575,180,280,316,375
2.375,682,1825,2370,3569,182,268,293,391
2.385,681,1811,2331,3583,172,291,307,394
2.395,686,1800,2303,3558,170,268,332,401
2.405,698,1790,2288,3557,174,290,329,386
2.415,698,1779,2288,3564,175,267,331,390
2.425,695,1770,2305,3578,168,312,330,393
2.435,686,1766,2338,3540,179,290,325,414
2.445,641,1771,2384,3517,190,283,300,403
2.455,612,1789,2440,3500,198,303,308,412
2.465,593,1825,2502,3489,206,307,329,442
2.475,558,1880,2567,3539,213,289,304,472
2.485,514,1955,2633,3647,195,334,324,473
2.495,501,2047,2697,3736,236,363,333,462
2.505,485,2152,2757,3784,216,346,323,463
2.515,482,2258,2811,3922,207,341,302,440
2.525,469,2347,2856,3941,207,342,298,433
2.535,473,2411,2890,3962,199,350,284,427
2.545,467,2451,2913,3921,194,360,273,415
2.555,463,2474,2927,3919,199,361,257,406
2.565,466,2486,2932,3970,189,365,243,422
2.575,473,2491,2932,3888,176,355,237,422
2.585,478,2493,2928,3939,176,346,282,423
2.595,479,2493,2923,3989,171,348,273,428
2.605,469,2490,2919,4111,181,346,313,433
2.615,469,2483,2915,4029,189,340,310,402
2.625,469,2473,2912,4043,197,321,346,453
2.635,469,2459,2909,4225,213,340,317,457
2.645,476,2441,2904,4271,242,308,326,429
2.655,546,2418,2898,4224,277,308,334,412
2.665,651,2390,2889,4221,300,274,357,411
2.675,757,2357,2878,4225,294,261,353,437
