sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,573,1510,2354,3557,262,329,333,419
0.015,657,1551,2410,3589,244,327,335,419
0.025,743,1586,2499,3545,241,325,336,426
0.035,766,1622,2544,3678,239,334,308,422
0.045,836,1665,2592,3658,260,333,349,452
0.055,878,1661,2638,3689,257,335,363,441
0.065,916,1702,2645,3697,259,350,356,425
0.075,930,1669,2664,3797,232,354,350,461
0.085,963,1685,2682,3879,205,395,322,484
0.095,944,1771,2751,3978,210,367,278,445
0.105,864,1914,2789,4025,194,389,297,468
0.115,806,2001,2814,4090,246,368,303,471
0.125,691,2110,2828,4164,271,361,354,490
0.135,653,2192,2837,4208,207,353,341,411
0.145,631,2244,2844,4278,162,333,346,416
0.155,583,2272,2854,4199,171,322,316,431
0.165,546,2287,2870,4094,209,346,303,416
0.175,640,2293,2898,4184,206,327,303,418
0.185,656,2294,2941,4232,181,312,306,440
0.195,653,2292,2994,4289,177,318,286,430
0.205,665,2293,3045,4320,183,317,285,427
0.215,678,2297,3076,4368,186,297,300,411
0.225,682,2299,3077,4396,189,286,305,401
0.235,707,2286,3054,4415,192,293,316,401
0.245,684,2239,3021,4366,188,321,321,407
0.255,635,2129,2990,4524,264,406,286,444
0.265,600,1978,2970,4577,252,427,281,409
0.275,583,1881,2961,4479,244,397,321,399
0.285,576,1884,2962,4403,251,364,335,383
0.295,541,1939,2971,4325,229,361,357,405
0.305,522,1993,2984,4340,267,375,355,382
0.315,512,2020,3000,4341,227,417,337,410
0.325,494,2038,3015,4273,250,384,333,407
0.335,489,2070,3022,4377,277,363,345,437
0.345,506,2120,3016,4471,299,380,343,407
0.355,494,2164,2991,4419,274,354,329,405
0.365,494,2177,2946,4464,249,329,340,387
0.375,494,2145,2895,4499,251,334,337,383
0.385,482,2072,2851,4430,233,316,336,392
0.395,456,1963,2827,4448,214,314,307,398
0.405,482,1840,2819,4465,175,279,306,411
0.415,494,1746,2814,4518,191,315,323,422
0.425,494,1694,2799,4501,233,337,352,440
0.435,494,1667,2768,4520,263,316,398,471
0.445,506,1649,2723,4585,291,335,356,431
0.455,518,1633,2671,4522,324,338,371,433
0.465,529,1615,2616,4525,298,335,390,441
0.475,529,1593,2566,4441,312,350,360,425
0.485,529,1567,2523,4342,334,337,364,435
0.495,529,1536,2492,4287,339,322,378,447
0.505,541,1499,2466,4143,298,337,325,451
0.515,553,1459,2438,4006,286,299,311,462
0.525,570,1418,2399,3954,296,308,336,438
0.535,553,1377,2343,4005,255,342,359,455
0.545,553,1342,2265,3991,276,313,371,456
0.555,583,1317,2175,4025,288,338,366,472
0.565,600,1312,2092,4124,218,335,384,457
0.575,621,1333,2028,4172,219,307,388,430
0.585,658,1387,1990,4172,224,295,341,386
0.595,646,1466,1980,4151,213,296,330,363
0.605,639,1552,1999,4145,192,295,313,355
0.615,636,1628,2041,4140,188,271,324,351
0.625,649,1683,2099,4145,182,273,332,350
0.635,674,1709,2167,4152,180,273,331,346
0.645,675,1704,2245,4176,176,278,331,348
0.655,710,1680,2333,4229,189,278,339,350
0.665,734,1652,2431,4304,189,283,353,346
0.675,728,1620,2538,4403,170,315,337,344
0.685,714,1570,2652,4429,155,338,341,350
0.695,727,1488,2764,4401,180,331,360,371
0.705,695,1376,2861,4330,189,303,344,383
0.715,702,1263,2934,4307,204,272,323,378
0.725,694,1185,2987,4295,206,290,310,374
0.735,683,1150,3022,4306,213,303,304,374
0.745,648,1154,3048,4320,213,308,317,382
0.755,638,1196,3070,4406,202,315,337,368
0.765,657,1276,3096,4429,182,314,327,371
0.775,623,1395,3125,4398,176,343,330,374
0.785,597,1533,3150,4458,180,321,336,376
0.795,525,1660,3164,4468,174,277,329,364
0.805,486,1753,3168,4390,196,301,343,398
0.815,459,1795,3164,4375,234,325,391,441
0.825,461,1779,3155,4301,291,313,369,468
0.835,459,1716,3146,4289,325,302,339,479
0.845,459,1644,3136,4302,286,319,376,487
0.855,459,1597,3126,4308,294,335,363,473
0.865,447,1587,3117,4258,259,335,355,457
0.875,447,1613,3108,4284,285,334,321,423
0.885,447,1670,3101,4298,278,334,354,410
0.895,447,1746,3093,4393,248,346,352,426
0.905,453,1826,3085,4457,301,360,348,413
0.915,447,1893,3075,4374,270,367,331,375
0.925,447,1944,3063,4396,248,298,356,380
0.935,453,1976,3047,4382,217,276,324,356
0.945,447,1986,3023,4288,181,271,312,351
0.955,447,1983,2991,4263,166,284,312,381
0.965,447,1980,2949,4245,155,282,312,383
0.975,447,1985,2904,4230,163,293,285,399
0.985,477,1981,2864,4192,176,319,315,415
0.995,447,1949,2829,4256,201,320,309,460
1.005,425,1891,2797,4318,217,312,311,433
1.015,423,1815,2768,4375,243,334,337,445
1.025,429,1730,2744,4387,274,331,361,434
1.035,429,1642,2728,4230,278,327,335,426
1.045,436,1558,2725,4270,290,317,341,418
1.055,471,1473,2738,4344,296,310,353,435
1.065,480,1375,2774,4318,299,309,354,483
1.075,471,1257,2840,4284,266,339,372,468
1.085,485,1133,2939,4236,262,321,380,467
1.095,541,1025,3057,4365,192,355,400,448
1.105,494,963,3157,4457,180,315,398,424
1.115,553,979,3214,4298,185,287,392,395
1.125,571,1100,3234,4265,181,320,352,372
1.135,564,1278,3233,4295,168,319,347,352
1.145,579,1464,3219,4242,178,354,341,347
1.155,564,1678,3185,4227,181,329,337,357
1.165,540,1916,3124,4154,181,341,314,358
1.175,525,2112,3042,4134,177,352,279,354
1.185,524,2245,2959,4153,173,358,254,366
1.195,500,2320,2898,4220,150,329,269,390
1.205,489,2346,2863,4290,173,330,296,372
1.215,484,2340,2844,4270,200,334,287,382
1.225,501,2315,2829,4192,219,303,346,402
1.235,553,2279,2816,4242,234,311,384,469
1.245,641,2237,2807,4323,272,279,410,444
1.255,752,2192,2803,4364,278,308,381,439
1.265,853,2149,2806,4316,242,325,361,459
1.275,982,2109,2813,4298,274,322,378,478
1.285,960,2071,2822,4263,257,307,388,497
1.295,969,2035,2832,4202,268,303,369,491
1.305,1021,2002,2840,4184,291,302,386,515
1.315,1014,1969,2845,4166,239,322,368,498
1.325,972,1938,2844,4072,253,317,338,473
1.335,1027,1908,2840,4047,257,312,361,451
1.345,975,1877,2833,4076,223,300,375,446
1.355,909,1842,2824,4207,241,282,373,454
1.365,941,1804,2812,4359,233,311,354,472
1.375,953,1759,2800,4422,209,322,345,458
1.385,912,1706,2787,4274,224,302,318,415
1.395,892,1643,2776,4121,244,308,336,407
1.405,772,1569,2768,4066,286,304,319,383
1.415,608,1482,2764,4127,300,287,312,391
1.425,566,1387,2767,4105,256,289,310,390
1.435,535,1290,2779,4133,218,312,295,391
1.445,516,1198,2801,4161,213,310,278,375
1.455,509,1120,2836,4126,214,309,291,376
1.465,515,1063,2886,4055,239,324,333,392
1.475,534,1037,2953,3981,244,293,377,408
1.485,566,1050,3033,3912,264,268,379,413
1.495,609,1096,3112,3803,254,280,412,405
1.505,654,1152,3178,3785,224,276,409,367
1.515,684,1196,3229,3848,219,285,391,365
1.525,690,1223,3262,3860,194,283,378,377
1.535,677,1235,3278,3896,197,297,377,401
1.545,657,1232,3279,3923,189,296,349,418
1.555,642,1218,3274,3962,179,301,315,454
1.565,636,1197,3272,4052,167,311,328,501
1.575,639,1172,3281,4156,160,298,311,512
1.585,645,1148,3301,4295,153,305,308,506
1.595,654,1129,3326,4455,181,287,307,509
1.605,664,1117,3349,4575,195,289,319,467
1.615,674,1113,3365,4667,206,304,345,456
1.625,687,1121,3374,4688,216,300,339,437
1.635,702,1140,3381,4691,249,276,355,468
1.645,726,1167,3389,4551,282,292,303,418
1.655,763,1197,3402,4379,304,271,329,394
1.665,795,1240,3418,4278,283,288,353,423
1.675,801,1356,3432,4234,244,299,379,438
1.685,770,1563,3441,4247,212,320,383,430
1.695,711,1784,3440,4310,209,336,377,466
1.705,633,1949,3426,4281,198,359,357,486
1.715,548,2064,3397,4254,216,333,328,466
1.725,466,2153,3357,4211,192,358,290,452
1.735,401,2238,3312,4144,191,395,264,434
1.745,368,2323,3264,4084,278,423,230,403
1.755,372,2407,3219,4093,236,423,257,412
1.765,400,2484,3176,4107,217,397,265,410
1.775,438,2550,3137,4094,218,403,256,394
1.785,478,2602,3103,4107,211,380,252,394
1.795,517,2636,3074,4110,194,380,248,386
1.805,551,2648,3052,4128,180,361,275,388
1.815,581,2635,3037,4142,174,334,306,379
1.825,606,2599,3030,4169,185,313,322,388
1.835,627,2546,3032,4171,187,302,344,392
1.845,645,2481,3045,4175,189,285,344,396
1.855,659,2410,3066,4172,196,291,344,403
1.865,670,2336,3093,4166,207,296,352,420
1.875,679,2262,3122,4199,198,291,364,428
1.885,684,2192,3147,4267,207,300,339,440
1.895,687,2125,3166,4354,213,285,326,447
1.905,687,2054,3177,4466,200,274,327,453
1.915,684,1974,3178,4596,186,251,333,431
1.925,678,1882,3169,4724,160,271,331,414
1.935,669,1787,3149,4739,194,313,324,423
1.945,659,1703,3119,4752,219,326,331,429
1.955,647,1639,3079,4673,230,350,339,413
1.965,634,1594,3029,4501,242,362,388,478
1.975,619,1566,2970,4416,209,374,364,457
1.985,604,1552,2903,4368,243,369,349,460
1.995,588,1548,2831,4293,301,333,326,444
2.005,572,1553,2760,4324,315,293,363,425
2.015,557,1567,2700,4277,274,328,367,425
2.025,543,1591,2656,4265,267,295,373,431
2.035,532,1625,2631,4173,223,348,360,446
2.045,525,1669,2620,4165,266,315,379,443
2.055,524,1714,2621,4308,291,331,404,479
2.065,531,1750,2630,4442,202,279,405,431
2.075,543,1764,2645,4400,183,283,390,409
2.085,551,1736,2663,4363,185,312,354,372
2.095,544,1663,2681,4497,185,388,346,403
2.105,513,1575,2700,4616,175,380,319,404
2.115,459,1503,2719,4609,188,383,327,396
2.125,405,1448,2735,4629,185,372,325,379
2.135,370,1411,2749,4488,204,335,314,404
2.145,368,1390,2759,4381,225,350,370,428
2.155,393,1384,2765,4224,252,330,365,422
