sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,644,1645,2509,3498,219,318,418,450
0.015,733,1736,2598,3490,221,316,395,412
0.025,847,1763,2762,3523,252,320,402,408
0.035,912,1879,2804,3624,216,320,385,431
0.045,993,1908,2976,3641,236,298,404,456
0.055,915,1875,3044,3748,231,288,342,474
0.065,897,1862,3126,3867,220,293,305,494
0.075,904,1686,3074,4050,242,285,273,496
0.085,841,1755,3089,4133,204,319,298,445
0.095,906,1681,3092,4210,249,295,299,468
0.105,890,1604,3012,4217,220,308,327,444
0.115,818,1600,2960,4115,212,290,346,474
0.125,898,1538,2952,4060,241,304,349,461
0.135,895,1529,2945,4087,246,326,325,430
0.145,839,1530,2920,4028,207,306,336,440
0.155,852,1564,2921,4002,225,334,355,437
0.165,916,1577,2888,3998,217,335,392,460
0.175,949,1613,2797,4004,242,331,372,438
0.185,931,1619,2775,3960,220,370,368,451
0.195,1039,1505,2844,3914,241,305,387,459
0.205,952,1554,2833,3861,200,322,432,481
0.215,839,1495,2836,3838,209,327,423,470
0.225,818,1377,2898,3866,209,295,377,444
0.235,825,1357,2905,3993,212,282,339,422
0.245,826,1392,2811,3916,216,298,344,416
0.255,899,1474,2836,3918,264,282,342,433
0.265,920,1384,2756,3961,236,305,337,432
0.275,856,1393,2877,3912,228,305,346,445
0.285,862,1350,2930,3866,230,307,336,430
0.295,892,1280,3009,3847,234,292,345,425
0.305,779,1250,3037,3938,216,297,356,408
0.315,736,1214,3085,3970,217,294,344,415
0.325,582,1168,3117,3945,208,300,345,433
0.335,559,1124,3127,3966,216,295,333,445
0.345,535,1130,3120,3924,198,307,333,467
0.355,547,1123,3141,3879,202,295,352,475
0.365,547,1144,3160,3838,200,293,366,477
0.375,559,1147,3172,3891,203,282,394,433
0.385,535,1098,3265,3910,223,290,428,409
0.395,523,1098,3265,3833,235,304,409,435
0.405,547,1086,3289,3851,234,323,394,436
0.415,527,1063,3335,3928,220,341,397,432
0.425,497,1039,3394,3996,199,350,344,454
0.435,495,1027,3394,4088,224,349,319,486
0.445,496,1051,3382,4173,222,338,324,483
0.455,544,1051,3324,4160,226,309,361,451
0.465,512,1051,3312,3953,226,266,385,422
0.475,535,1191,3218,3861,182,305,351,410
0.485,512,1390,3160,3834,201,342,337,405
0.495,500,1707,3078,3822,241,352,331,392
0.505,500,1824,3043,3907,227,351,261,385
0.515,485,1987,2961,3962,206,318,282,391
0.525,497,2105,2926,4103,191,300,300,396
0.535,462,2105,2902,4210,179,289,306,384
0.545,427,2058,2855,4226,192,341,282,380
0.555,344,1906,2832,4234,204,327,312,400
0.565,337,1859,2809,4174,204,297,308,417
0.575,379,1765,2820,4185,207,286,308,422
0.585,390,1730,2867,4217,210,315,361,435
0.595,406,1718,2855,4276,206,309,347,437
0.605,395,1695,2879,4399,166,275,315,432
0.615,395,1683,2891,4347,156,268,283,400
0.625,406,1683,2914,4223,195,285,260,398
0.635,395,1683,2860,4139,202,326,284,393
0.645,395,1484,2815,4150,229,287,310,418
0.655,395,1472,2728,4107,201,291,327,410
0.665,406,1461,2666,4075,209,335,349,430
0.675,406,1486,2602,4045,198,356,358,445
0.685,406,1502,2579,4103,214,319,344,454
0.695,418,1466,2542,4144,230,312,366,467
0.705,462,1437,2502,4180,258,311,333,448
0.715,510,1442,2461,4094,295,297,353,416
0.725,548,1434,2457,4082,307,311,342,434
0.735,585,1517,2491,4186,284,308,325,463
0.745,608,1766,2591,4224,204,332,341,435
0.755,648,1908,2692,4205,197,324,323,400
0.765,656,1969,2801,4227,167,310,316,406
0.775,667,1969,2861,4280,152,304,319,416
0.785,656,1970,2878,4329,138,315,330,425
0.795,685,1955,2923,4357,140,299,341,422
0.805,696,1965,2948,4372,143,293,343,415
