sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,493,1428,2469,3517,273,314,364,435
0.015,549,1441,2421,3501,267,299,345,431
0.025,628,1400,2365,3482,280,318,329,410
0.035,665,1433,2301,3415,274,302,317,399
0.045,672,1443,2365,3431,277,266,352,434
0.055,640,1523,2393,3538,270,278,354,439
0.065,628,1551,2410,3545,289,300,336,422
0.075,624,1606,2452,3546,262,311,336,436
0.085,700,1545,2476,3561,294,327,338,419
0.095,735,1515,2572,3622,275,327,324,427
0.105,725,1574,2550,3611,270,342,374,461
0.115,748,1617,2579,3634,231,351,356,481
0.125,729,1673,2557,3671,240,340,357,450
0.135,766,1737,2574,3738,258,341,368,448
0.145,718,1816,2609,3852,210,306,388,472
0.155,807,1763,2640,3910,230,301,396,490
0.165,786,1719,2643,3860,204,317,411,496
0.175,844,1729,2658,3732,224,319,387,469
0.185,868,1699,2668,3668,229,331,356,457
0.195,815,1674,2675,3656,259,308,326,424
0.205,785,1651,2678,3647,288,293,354,437
0.215,824,1627,2681,3662,265,348,359,443
0.225,874,1601,2682,3637,268,331,384,434
0.235,907,1569,2684,3616,272,329,380,404
0.245,864,1530,2687,3655,284,347,361,397
0.255,830,1481,2692,3793,226,318,380,446
0.265,849,1421,2701,3961,224,285,415,491
0.275,896,1363,2713,4191,232,322,389,505
0.285,864,1322,2731,4397,199,310,359,482
0.295,875,1316,2754,4587,230,286,355,451
0.305,931,1352,2784,4579,258,298,334,381
0.315,905,1423,2815,4480,222,310,313,407
0.325,863,1517,2837,4497,182,304,274,423
0.335,821,1623,2842,4493,192,334,310,432
0.345,856,1718,2827,4478,187,322,292,447
0.355,881,1786,2801,4492,188,319,320,442
0.365,811,1820,2774,4495,217,286,337,425
0.375,894,1817,2753,4470,217,284,355,423
0.385,905,1782,2742,4431,188,275,385,423
0.395,936,1725,2735,4401,226,296,339,424
0.405,970,1658,2730,4407,209,296,327,427
0.415,991,1598,2724,4383,213,312,352,433
0.425,999,1565,2711,4424,232,296,347,440
0.435,997,1564,2690,4442,204,324,323,439
0.445,985,1600,2657,4465,222,321,342,462
0.455,963,1672,2620,4529,227,326,332,469
0.465,934,1778,2587,4590,205,352,318,455
0.475,897,1907,2568,4589,182,358,307,440
0.485,856,2036,2573,4545,170,367,279,451
0.495,814,2127,2605,4472,180,390,300,452
0.505,773,2167,2655,4409,189,405,293,426
0.515,736,2176,2714,4377,194,417,272,418
0.525,701,2176,2773,4303,205,415,273,443
0.535,669,2208,2825,4243,202,384,262,467
0.545,640,2294,2859,4099,176,395,262,441
0.555,615,2303,2837,3900,170,360,300,416
0.565,594,2060,2700,3836,159,324,281,427
0.575,578,1728,2488,3908,190,314,290,441
0.585,568,1550,2291,3947,209,338,282,485
0.595,565,1410,2170,3939,231,339,256,491
0.605,566,1222,2125,3915,258,325,290,498
0.615,568,1100,2132,3928,253,294,290,489
0.625,569,1066,2163,4023,232,303,318,488
0.635,578,1094,2192,4069,242,270,348,476
0.645,605,1156,2214,4048,251,279,366,446
0.655,662,1229,2233,4137,249,278,380,420
0.665,757,1310,2256,4224,245,272,400,417
0.675,861,1401,2290,4303,233,270,369,405
0.685,926,1503,2339,4357,217,288,316,398
0.695,921,1611,2410,4420,210,333,326,398
0.705,870,1721,2492,4473,189,330,315,432
0.715,805,1826,2564,4547,163,321,329,461
0.725,741,1913,2608,4641,164,303,355,470
0.735,681,1979,2626,4677,172,286,378,483
0.745,629,2020,2625,4609,209,327,366,473
0.755,586,2037,2612,4638,249,303,389,492
0.765,553,2032,2593,4584,320,349,340,484
0.775,531,2009,2577,4513,312,326,337,472
0.785,521,1972,2567,4531,308,329,315,481
