sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,621,1451,2526,3552,273,350,353,427
0.015,719,1461,2613,3546,260,390,304,395
0.025,807,1480,2606,3517,251,388,322,385
0.035,843,1512,2612,3508,229,383,319,379
0.045,857,1597,2597,3452,230,373,336,394
0.055,879,1597,2647,3582,208,384,311,448
0.065,819,1594,2706,3563,196,400,315,463
0.075,780,1683,2652,3511,178,402,304,428
0.085,848,1695,2585,3549,207,408,316,395
0.095,813,1687,2650,3574,185,401,310,429
0.105,836,1638,2609,3672,257,359,329,426
0.115,798,1655,2667,3609,298,336,358,427
0.125,841,1649,2702,3625,281,338,336,425
0.135,847,1645,2695,3765,258,362,334,434
0.145,890,1654,2667,3998,262,381,350,448
0.155,720,1779,2685,4048,232,358,349,470
0.165,595,1891,2744,4083,169,402,298,470
0.175,586,1992,2730,4107,230,455,271,460
0.185,558,2086,2875,4209,277,479,278,501
0.195,557,2175,2968,4293,265,461,324,499
0.205,585,2261,3051,4411,253,412,338,467
0.215,605,2333,3120,4507,229,382,299,450
0.225,604,2371,3168,4549,198,345,317,441
0.235,612,2355,3194,4535,190,316,302,422
0.245,609,2299,3191,4550,167,316,301,413
0.255,584,2225,3160,4534,175,276,309,372
0.265,476,2155,3102,4558,201,307,321,379
0.275,396,2094,3022,4680,210,387,287,403
0.285,399,2040,2935,4706,207,368,268,405
0.295,391,1993,2865,4693,210,364,270,393
0.305,393,1952,2822,4674,214,356,256,406
0.315,385,1917,2796,4721,200,372,251,397
0.325,388,1890,2773,4756,184,371,259,369
0.335,372,1871,2739,4782,174,367,292,376
0.345,345,1861,2699,4866,192,371,359,399
0.355,373,1861,2664,4743,189,357,294,409
0.365,386,1870,2646,4580,187,358,281,432
0.375,416,1887,2653,4455,200,345,275,454
0.385,454,1910,2685,4314,199,370,295,433
0.395,477,1941,2739,4255,220,385,319,420
0.405,453,1983,2813,4246,206,357,360,410
0.415,501,2041,2903,4281,188,310,395,411
0.425,571,2118,3004,4324,165,268,401,414
0.435,636,2206,3104,4299,165,288,387,449
0.445,641,2293,3198,4258,175,296,385,454
0.455,645,2365,3280,4292,174,285,386,458
0.465,641,2418,3347,4399,184,279,382,459
0.475,641,2460,3395,4508,205,283,385,450
0.485,641,2494,3423,4672,234,313,339,444
0.495,606,2529,3433,4723,197,290,322,419
0.505,603,2568,3428,4693,168,293,311,397
0.515,594,2609,3411,4702,149,339,320,417
0.525,571,2651,3387,4607,125,333,326,431
0.535,523,2690,3358,4487,111,354,316,416
0.545,571,2724,3327,4435,112,394,272,404
0.555,547,2746,3295,4455,101,418,257,424
0.565,501,2752,3263,4495,124,426,259,423
0.575,512,2736,3229,4499,133,403,239,425
0.585,512,2695,3194,4421,164,382,233,422
0.595,500,2631,3157,4396,188,341,268,432
