sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,562,1467,2463,3694,259,306,348,422
0.015,596,1394,2525,3708,290,296,317,445
0.025,660,1398,2503,3637,320,268,317,448
0.035,750,1494,2515,3688,264,340,321,467
0.045,810,1543,2605,3784,261,307,351,473
0.055,837,1625,2621,3839,260,322,368,450
0.065,934,1715,2660,3908,263,321,365,479
0.075,914,1805,2686,3869,258,334,345,462
0.085,912,1869,2712,3878,241,336,374,477
0.095,963,1838,2707,3850,238,340,340,479
0.105,945,1785,2725,3806,261,308,361,449
0.115,927,1842,2686,3857,251,322,354,424
0.125,966,1912,2691,3869,262,345,356,448
0.135,924,1911,2727,3868,238,314,387,472
0.145,965,1967,2664,3933,284,290,373,476
0.155,859,2002,2585,4047,254,296,359,498
0.165,764,1956,2620,4146,227,295,357,464
0.175,798,1892,2641,4278,267,285,327,443
0.185,892,1853,2648,4391,243,302,296,441
0.195,920,1875,2645,4437,228,287,305,424
0.205,835,1838,2657,4461,206,302,269,435
0.215,700,1785,2659,4504,226,294,297,441
0.225,770,1744,2663,4595,203,320,313,418
0.235,721,1697,2762,4607,190,282,292,405
0.245,725,1735,2838,4601,165,300,323,386
0.255,671,1745,2819,4673,149,315,302,384
0.265,698,1768,2851,4709,160,302,279,358
0.275,711,1783,2927,4710,152,294,289,356
0.285,611,1721,2917,4720,146,283,283,401
0.295,578,1699,2921,4626,147,279,271,409
0.305,484,1632,2910,4496,201,298,272,421
0.315,563,1646,2955,4551,172,282,256,450
0.325,636,1638,2982,4604,161,296,288,474
0.335,685,1624,2964,4570,153,303,342,486
0.345,774,1583,2880,4499,156,296,381,465
0.355,772,1600,2803,4418,140,341,376,429
0.365,818,1565,2769,4356,146,319,381,459
0.375,797,1577,2798,4273,152,327,384,432
0.385,797,1554,2832,4228,161,304,371,417
0.395,799,1554,2836,4218,166,300,373,412
0.405,803,1495,2845,4206,168,300,374,406
0.415,811,1495,2870,4305,187,308,382,431
0.425,785,1507,2940,4309,189,306,389,428
0.435,742,1507,2954,4341,205,303,345,383
0.445,714,1507,2799,4297,214,322,330,402
0.455,636,1507,2758,4303,234,331,403,443
0.465,617,1542,2699,4176,260,347,377,450
0.475,570,1583,2577,4076,362,296,353,427
0.485,535,1606,2596,4009,340,298,337,458
0.495,535,1641,2576,3965,296,308,380,471
0.505,541,1662,2629,3951,251,279,378,486
0.515,500,1617,2647,3910,277,254,364,456
0.525,482,1565,2673,3963,297,237,370,463
0.535,477,1532,2712,4017,246,277,332,425
0.545,512,1546,2671,4075,183,313,301,427
0.555,523,1632,2730,4176,156,315,306,439
0.565,535,1805,2708,4232,144,320,292,428
0.575,559,1961,2696,4189,137,319,309,424
0.585,570,2003,2673,4174,140,303,359,444
0.595,570,1986,2614,4163,134,297,329,451
0.605,570,1980,2579,4115,142,301,366,454
0.615,570,1978,2567,4025,136,269,377,452
0.625,559,1924,2509,3918,158,234,344,446
0.635,570,1772,2427,3926,150,284,348,437
0.645,582,1590,2403,4017,204,305,353,462
0.655,559,1462,2298,4121,242,316,326,449
0.665,559,1391,2239,4195,288,319,308,437
0.675,523,1372,2193,4243,278,323,308,432
0.685,512,1386,2181,4196,243,278,341,422
0.695,512,1415,2181,4135,186,247,388,412
0.705,512,1451,2134,4064,154,213,404,429
0.715,552,1499,2163,3962,166,231,348,424
0.725,500,1566,2150,3896,161,283,301,424
0.735,529,1669,2205,3865,162,321,285,429
0.745,547,1796,2288,3830,174,322,313,422
0.755,522,1901,2299,3752,174,324,300,410
0.765,498,1953,2325,3650,170,315,303,368
0.775,500,1932,2373,3652,179,309,309,398
0.785,500,1819,2424,3681,182,309,343,422
0.795,453,1660,2535,3737,192,291,370,429
0.805,360,1596,2558,3825,206,311,366,433
0.815,348,1621,2543,3797,188,352,359,421
0.825,348,1648,2518,3826,179,328,331,448
0.835,324,1698,2548,3777,223,325,351,458
0.845,301,1815,2578,3850,207,319,356,457
0.855,301,1936,2544,3936,231,318,346,452
0.865,348,2001,2604,4093,200,320,316,440
0.875,395,2020,2602,4225,183,319,303,413
0.885,395,2004,2668,4239,170,279,319,399
0.895,406,1964,2697,4239,194,242,321,386
0.905,477,1907,2743,4177,181,262,311,360
0.915,554,1841,2759,4159,160,263,318,370
0.925,579,1772,2751,4118,153,271,319,387
0.935,614,1700,2752,4144,165,296,347,415
0.945,656,1625,2746,4106,179,307,365,427
0.955,699,1547,2784,4242,169,347,393,439
0.965,694,1466,2844,4332,156,349,371,415
0.975,702,1387,2967,4327,168,334,366,392
0.985,636,1313,3029,4289,169,301,371,372
0.995,609,1245,3082,4266,198,302,352,381
1.005,610,1189,3137,4311,225,299,356,379
1.015,545,1145,3188,4285,218,307,350,379
1.025,483,1118,3193,4295,233,303,290,376
1.035,436,1110,3159,4289,214,311,279,384
1.045,424,1124,3064,4238,204,302,298,412
1.055,412,1162,3002,4168,192,298,319,408
1.065,450,1228,2952,4213,189,304,303,452
1.075,519,1322,3033,4199,171,308,333,462
1.085,565,1443,3049,4067,162,305,353,458
1.095,606,1592,3024,3999,164,276,361,443
1.105,595,1760,3025,3976,171,287,378,411
1.115,543,1927,2970,4024,180,292,383,417
1.125,510,2072,2973,4036,189,283,380,424
1.135,470,2176,2854,4019,189,292,356,396
1.145,440,2241,2845,4120,175,339,320,387
1.155,433,2276,2840,4145,163,352,271,378
1.165,451,2294,2791,4270,166,357,303,394
1.175,464,2301,2661,4351,167,347,320,431
1.185,499,2303,2647,4359,158,357,311,462
1.195,511,2300,2651,4312,173,372,295,479
1.205,540,2294,2713,4140,161,364,303,449
1.215,533,2287,2873,4128,179,350,278,407
1.225,571,2279,2924,4200,180,373,259,426
1.235,621,2270,2870,4167,187,367,258,399
1.245,611,2260,2791,4208,185,342,286,389
1.255,667,2250,2791,4281,196,331,292,402
1.265,698,2233,2773,4326,193,325,304,419
1.275,716,2198,2849,4435,182,321,300,404
1.285,730,2133,2895,4451,167,314,291,410
1.295,743,2041,2913,4552,157,287,297,420
1.305,703,1933,2941,4590,142,279,321,412
1.315,634,1822,2950,4617,171,268,336,423
1.325,528,1719,2944,4562,176,302,332,421
1.335,444,1636,2892,4383,234,329,339,423
1.345,420,1576,2814,4283,283,326,357,444
1.355,434,1540,2603,4276,345,344,333,419
1.365,507,1527,2500,4237,325,314,331,438
1.375,538,1531,2473,4242,317,318,316,404
1.385,581,1547,2455,4191,310,330,319,432
1.395,649,1567,2451,4189,304,325,318,440
1.405,622,1587,2477,4211,201,329,333,435
1.415,459,1600,2503,4306,212,299,382,453
1.425,461,1610,2629,4479,161,302,403,445
1.435,447,1620,2703,4504,203,338,385,434
1.445,439,1634,2702,4397,238,335,375,461
1.455,383,1643,2651,4309,290,325,361,440
1.465,419,1629,2696,4288,314,323,330,423
1.475,497,1578,2668,4228,291,347,336,449
1.485,581,1504,2541,4177,296,359,365,445
1.495,666,1433,2484,4184,310,358,328,457
1.505,690,1388,2507,4179,275,360,341,445
1.515,673,1386,2538,4166,294,355,335,421
1.525,657,1418,2551,4226,307,329,339,415
1.535,681,1470,2486,4232,283,344,319,412
1.545,712,1529,2458,4288,283,348,331,434
1.555,723,1585,2442,4358,244,360,341,422
1.565,676,1634,2592,4455,219,365,298,417
1.575,557,1671,2761,4623,188,299,344,425
1.585,613,1695,2872,4719,157,292,321,416
1.595,633,1705,2873,4699,155,293,306,415
1.605,645,1704,2863,4655,162,272,294,427
1.615,637,1701,2867,4513,162,286,292,425
1.625,635,1714,2825,4496,156,253,311,433
1.635,580,1739,2742,4499,144,271,308,447
1.645,470,1740,2693,4505,138,283,321,486
1.655,434,1700,2597,4532,198,309,325,465
1.665,400,1628,2567,4532,208,320,380,496
1.675,383,1539,2558,4434,239,329,394,410
1.685,349,1475,2683,4397,238,290,378,429
1.695,345,1482,2736,4356,221,310,324,447
1.705,427,1530,2705,4281,210,348,331,419
1.715,507,1560,2851,4322,206,309,351,412
1.725,500,1556,2921,4358,205,295,360,419
1.735,426,1546,2938,4424,199,325,305,434
1.745,445,1545,2887,4474,201,342,267,454
1.755,427,1548,2866,4472,194,340,273,471
1.765,415,1551,2848,4484,202,356,281,465
1.775,402,1552,2844,4391,209,367,302,455
1.785,453,1552,2770,4354,240,388,356,458
1.795,465,1551,2699,4307,309,381,365,443
1.805,441,1550,2767,4336,312,306,346,450
1.815,441,1548,2785,4303,298,339,355,466
1.825,453,1542,2711,4244,280,315,340,439
1.835,441,1529,2709,4199,265,305,305,432
1.845,441,1500,2753,4170,254,295,331,427
1.855,430,1454,2718,4133,285,322,330,442
1.865,430,1393,2802,4136,244,314,326,447
1.875,418,1319,2860,4113,263,319,348,440
1.885,418,1234,2917,4157,222,313,363,452
1.895,418,1150,2898,4195,237,342,343,444
1.905,418,1082,2733,4233,201,367,350,432
1.915,418,1036,2731,4305,196,345,355,438
1.925,383,1006,2823,4336,133,351,361,444
1.935,383,988,2914,4404,165,326,346,448
1.945,395,982,2884,4413,196,312,323,464
1.955,465,996,2945,4472,183,300,319,423
1.965,500,1030,2951,4486,186,308,303,432
1.975,541,1068,2901,4460,187,295,306,453
1.985,535,1087,2889,4373,196,292,326,455
1.995,547,1085,2811,4239,192,293,324,473
2.005,535,1072,2779,4100,210,291,324,456
2.015,512,1052,2765,4122,201,313,330,439
2.025,535,1019,2689,4062,205,308,321,422
2.035,488,975,2617,3969,200,315,336,423
2.045,465,932,2586,3911,204,295,335,434
2.055,465,902,2526,3813,205,312,343,430
