sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,598,1511,2537,3656,251,321,333,430
0.015,612,1544,2510,3677,265,308,314,439
0.025,593,1541,2532,3654,278,318,319,454
0.035,571,1499,2470,3638,306,333,312,448
0.045,599,1497,2536,3697,280,309,345,432
0.055,625,1544,2537,3711,261,308,396,437
0.065,639,1554,2543,3825,226,342,374,458
0.075,630,1583,2537,3809,234,323,375,456
0.085,677,1538,2468,3771,294,343,342,475
0.095,751,1579,2461,3688,236,363,308,487
0.105,827,1556,2393,3570,258,362,318,470
0.115,795,1537,2387,3504,244,351,339,450
0.125,832,1524,2433,3517,259,329,353,448
0.135,801,1514,2518,3534,241,323,339,433
0.145,781,1509,2516,3548,238,322,337,410
0.155,718,1509,2525,3602,254,315,346,433
0.165,622,1512,2544,3721,273,316,316,405
0.175,456,1518,2563,3883,223,275,309,431
0.185,406,1529,2590,3944,202,286,284,405
0.195,383,1542,2703,4058,214,313,299,389
0.205,394,1559,2759,4083,203,322,294,362
0.215,400,1575,2820,4139,204,336,277,361
0.225,434,1586,2848,4014,199,360,318,398
0.235,408,1586,2858,3910,193,369,337,416
0.245,369,1577,2863,3870,203,361,356,425
0.255,360,1563,2853,3920,206,343,330,445
0.265,365,1552,2839,3918,251,362,371,431
0.275,395,1548,2820,3913,302,373,345,433
0.285,400,1554,2778,3870,294,345,355,447
0.295,412,1566,2788,3829,301,335,331,447
0.305,412,1578,2675,3828,295,354,334,409
0.315,453,1588,2619,3772,262,374,330,401
0.325,447,1589,2549,3778,253,369,319,406
0.335,583,1580,2507,3817,232,349,358,414
0.345,424,1559,2460,3818,246,347,353,403
0.355,482,1531,2441,3804,266,358,345,400
0.365,494,1499,2441,3774,263,380,333,421
0.375,494,1465,2436,3740,231,391,321,403
0.385,494,1434,2436,3713,205,384,315,407
0.395,541,1408,2455,3640,194,382,329,405
0.405,588,1387,2443,3549,169,367,329,443
0.415,588,1369,2460,3532,155,313,313,429
0.425,623,1355,2464,3541,206,318,330,449
0.435,623,1343,2469,3576,209,315,321,452
0.445,623,1332,2469,3581,197,311,346,430
0.455,623,1321,2473,3701,183,305,327,456
0.465,623,1309,2479,3712,185,280,348,420
0.475,635,1296,2474,3697,171,286,355,422
0.485,658,1282,2479,3670,184,292,352,428
0.495,635,1268,2497,3621,196,302,348,419
0.505,646,1253,2502,3618,197,300,348,433
0.515,646,1238,2474,3624,207,301,351,413
0.525,646,1223,2464,3653,200,303,355,434
0.535,658,1210,2464,3686,206,304,354,414
0.545,658,1197,2450,3674,202,294,346,413
0.555,646,1187,2446,3626,202,303,334,417
0.565,635,1177,2446,3628,180,311,308,434
0.575,646,1170,2427,3702,168,321,334,462
0.585,646,1164,2432,3744,194,321,341,463
0.595,670,1159,2413,3858,172,307,293,443
0.605,646,1157,2413,3936,146,303,294,441
0.615,658,1155,2399,3978,173,304,301,439
0.625,635,1155,2408,3970,167,289,295,448
0.635,646,1157,2408,4035,186,297,287,431
0.645,646,1160,2399,4037,202,295,310,418
0.655,646,1164,2394,4015,210,293,330,410
0.665,670,1169,2399,3967,198,293,335,413
0.675,646,1174,2399,3912,203,292,340,416
0.685,623,1180,2389,3875,203,293,344,422
0.695,623,1185,2389,3856,195,293,335,422
0.705,600,1189,2389,3838,196,294,345,451
0.715,588,1193,2394,3833,182,292,342,495
0.725,570,1195,2394,3806,172,295,338,519
