sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,578,1373,2538,3650,227,291,366,474
0.015,674,1433,2422,3685,230,355,336,452
0.025,680,1513,2493,3677,240,316,355,432
0.035,779,1538,2561,3656,251,327,351,434
0.045,820,1590,2592,3745,253,314,348,439
0.055,841,1649,2644,3783,260,315,379,439
0.065,834,1657,2689,3847,237,324,345,436
0.075,905,1691,2655,3896,279,311,334,429
0.085,942,1720,2687,3886,258,339,353,451
0.095,851,1782,2690,3807,242,311,352,449
0.105,867,1806,2655,3719,265,312,349,445
0.115,865,1724,2646,3757,211,304,370,447
0.125,886,1663,2600,3876,220,295,355,438
0.135,872,1533,2533,3902,210,313,334,445
0.145,818,1515,2401,3893,222,284,342,424
0.155,790,1451,2326,3890,199,303,315,432
0.165,789,1328,2269,3906,209,292,309,439
0.175,695,1302,2232,3834,187,344,295,440
0.185,692,1267,2215,3757,178,330,287,393
0.195,754,1243,2219,3701,223,311,297,394
0.205,752,1232,2244,3655,212,296,281,375
0.215,749,1185,2292,3617,207,315,271,353
0.225,753,1161,2358,3608,209,299,297,366
0.235,737,1091,2425,3602,213,308,296,363
0.245,698,1056,2468,3602,210,298,290,341
0.255,661,1033,2480,3552,218,314,296,329
0.265,671,1024,2469,3575,212,299,307,344
0.275,681,1065,2445,3563,211,310,319,347
0.285,684,1077,2414,3578,213,283,309,381
0.295,706,1077,2377,3567,227,288,337,374
0.305,698,1086,2337,3581,218,293,340,380
0.315,652,1123,2296,3634,221,304,350,390
0.325,628,1207,2265,3599,212,326,341,401
0.335,646,1333,2260,3579,209,329,313,403
0.345,653,1477,2297,3591,212,359,320,399
0.355,636,1622,2380,3584,218,347,332,394
0.365,591,1763,2485,3576,213,334,344,390
0.375,555,1902,2582,3568,194,317,357,380
0.385,525,2004,2652,3584,204,321,338,371
0.395,510,2013,2688,3636,230,359,319,360
0.405,478,1946,2687,3685,263,396,289,388
0.415,458,1868,2661,3688,264,386,279,412
0.425,434,1836,2625,3651,267,390,301,432
0.435,398,1850,2590,3584,278,376,333,448
0.445,474,1895,2564,3624,316,394,340,439
0.455,450,1953,2543,3675,346,389,318,437
0.465,440,2014,2525,3649,355,357,312,389
0.475,452,2065,2508,3673,339,335,317,428
0.485,441,2098,2489,3785,312,328,310,431
0.495,443,2104,2467,3760,317,317,322,425
0.505,449,2083,2445,3793,326,304,325,424
0.515,426,2036,2425,3769,305,277,329,416
0.525,435,1966,2412,3669,323,277,318,448
0.535,419,1884,2408,3646,288,286,315,421
0.545,515,1802,2410,3672,240,318,314,473
0.555,543,1736,2414,3689,237,333,264,483
0.565,522,1687,2415,3704,250,331,232,490
0.575,473,1630,2409,3627,281,384,249,483
0.585,444,1543,2394,3586,229,382,244,469
0.595,411,1444,2378,3634,215,364,254,460
0.605,377,1357,2368,3640,230,352,267,470
0.615,379,1307,2367,3631,233,354,271,473
0.625,372,1298,2369,3617,242,350,293,476
0.635,364,1331,2372,3521,258,358,278,458
0.645,406,1402,2372,3480,245,331,310,433
0.655,405,1499,2370,3531,231,317,312,398
0.665,406,1595,2368,3589,221,314,305,385
0.675,424,1667,2368,3611,216,304,291,365
0.685,412,1704,2374,3616,215,311,295,362
0.695,389,1703,2386,3648,218,313,303,372
0.705,392,1669,2406,3774,219,322,296,375
0.715,379,1614,2434,3732,223,347,294,366
0.725,369,1557,2471,3840,226,364,294,375
0.735,385,1511,2517,3948,228,349,278,401
0.745,384,1477,2569,4036,232,317,292,389
0.755,386,1451,2617,4150,226,329,351,386
0.765,383,1431,2655,4134,253,361,363,389
0.775,372,1412,2677,4210,275,324,396,421
0.785,394,1395,2686,4270,291,334,400,425
0.795,465,1380,2686,4337,321,348,423,400
0.805,504,1368,2680,4400,279,332,415,376
0.815,555,1359,2670,4449,295,348,377,364
0.825,576,1353,2658,4441,298,356,366,384
0.835,664,1353,2644,4462,289,368,330,345
0.845,708,1356,2630,4431,301,350,332,368
0.855,691,1364,2618,4412,269,362,343,378
0.865,608,1372,2609,4301,304,324,317,415
0.875,496,1381,2603,4204,264,313,331,407
0.885,454,1388,2601,4037,243,310,304,357
0.895,418,1393,2603,4100,257,314,295,351
0.905,402,1394,2607,4120,257,316,297,363
0.915,400,1393,2612,4214,221,301,284,373
0.925,406,1392,2612,4255,215,300,302,371
0.935,414,1392,2599,4356,238,313,313,380
0.945,378,1395,2570,4365,265,315,342,380
0.955,471,1401,2533,4407,265,351,357,386
0.965,529,1408,2491,4384,269,362,320,370
0.975,611,1418,2451,4389,240,358,323,356
0.985,604,1431,2418,4440,266,334,335,360
0.995,586,1445,2398,4512,290,318,365,378
1.005,591,1461,2390,4434,287,322,328,385
1.015,576,1476,2394,4483,308,308,345,366
1.025,525,1490,2407,4462,300,325,344,385
1.035,511,1501,2429,4482,290,315,347,383
1.045,522,1508,2457,4410,275,309,348,392
1.055,534,1510,2489,4355,287,325,297,392
1.065,551,1506,2519,4290,271,335,297,379
1.075,532,1499,2538,4140,275,322,267,379
1.085,527,1496,2541,3928,254,314,322,391
1.095,541,1504,2521,3777,240,302,326,388
1.105,553,1525,2476,3668,240,308,321,382
1.115,561,1504,2416,3637,241,315,320,373
1.125,544,1393,2351,3620,243,309,339,375
1.135,541,1250,2292,3560,242,323,336,377
1.145,529,1144,2245,3550,229,318,346,368
1.155,474,1073,2216,3546,199,318,332,363
1.165,498,1016,2209,3569,223,328,340,388
1.175,528,959,2219,3581,219,341,349,392
1.185,529,906,2239,3613,210,345,321,407
1.195,508,860,2264,3615,188,351,339,431
1.205,454,824,2286,3633,208,342,321,429
1.215,437,802,2302,3578,205,340,336,438
1.225,468,792,2309,3569,228,326,346,447
1.235,514,795,2303,3546,234,293,335,436
1.245,576,813,2281,3529,225,308,299,431
1.255,567,850,2238,3547,181,289,320,424
1.265,567,917,2178,3503,199,284,363,423
1.275,614,1022,2116,3521,197,302,367,393
1.285,594,1144,2066,3551,210,288,368,373
1.295,562,1256,2044,3522,215,283,358,378
1.305,541,1343,2050,3554,215,275,340,376
1.315,533,1407,2076,3544,224,285,329,370
1.325,523,1455,2118,3604,195,255,345,374
1.335,512,1494,2169,3643,208,256,348,354
1.345,503,1524,2223,3663,219,277,338,357
1.355,522,1544,2275,3704,225,281,337,350
1.365,568,1549,2319,3691,239,292,333,364
1.375,588,1540,2355,3726,238,303,337,371
1.385,627,1523,2383,3760,238,290,352,388
1.395,603,1510,2406,3759,244,311,352,390
1.405,678,1513,2427,3880,274,368,374,458
1.415,737,1534,2448,3944,281,357,390,453
1.425,785,1566,2473,4086,296,332,377,465
1.435,761,1600,2506,4226,292,284,385,438
1.445,711,1629,2545,4387,302,317,375,430
1.455,703,1648,2585,4355,333,324,347,401
1.465,717,1657,2621,4290,341,293,371,376
1.475,778,1661,2648,4203,303,289,415,381
1.485,889,1662,2660,4102,328,258,388,405
1.495,1055,1663,2657,3942,321,289,380,420
1.505,1149,1666,2636,3820,274,273,376,404
1.515,1030,1674,2597,3830,225,319,383,404
1.525,1071,1679,2545,3793,334,234,417,391
1.535,1049,1672,2498,3785,268,263,384,365
1.545,1019,1644,2476,3689,224,348,372,343
1.555,914,1587,2480,3655,241,340,356,347
1.565,840,1492,2499,3721,236,352,333,338
1.575,781,1366,2526,3651,208,380,330,352
1.585,665,1225,2552,3472,191,398,314,397
1.595,578,1087,2569,3401,206,399,263,444
1.605,548,972,2572,3388,179,369,257,466
1.615,539,899,2556,3425,203,345,271,468
1.625,568,876,2525,3457,218,335,261,447
1.635,596,913,2494,3600,240,302,312,414
1.645,600,998,2473,3670,229,310,328,398
1.655,581,1113,2460,3758,218,303,326,401
1.665,558,1237,2444,3731,228,309,324,369
1.675,555,1353,2420,3693,236,318,334,378
1.685,536,1445,2393,3673,234,305,346,378
1.695,531,1503,2365,3620,230,299,371,396
1.705,541,1535,2339,3652,198,276,372,395
1.715,537,1547,2320,3683,200,289,378,392
1.725,494,1548,2306,3696,206,298,353,394
1.735,448,1542,2298,3609,203,294,339,442
1.745,427,1530,2293,3606,248,338,334,426
1.755,437,1514,2292,3581,272,332,326,444
1.765,406,1495,2293,3568,273,309,319,441
1.775,394,1476,2296,3557,217,279,337,475
1.785,435,1458,2300,3493,235,294,361,458
1.795,436,1442,2306,3474,225,290,392,400
1.805,444,1430,2313,3485,228,294,395,404
1.815,398,1540,2319,3479,230,299,436,396
1.825,414,1525,2326,3523,217,305,414,400
1.835,434,1483,2332,3524,225,281,415,428
1.845,466,1418,2310,3621,214,304,364,424
1.855,469,1382,2237,3647,246,260,345,441
1.865,460,1444,2182,3647,265,261,345,437
1.875,576,1444,2148,3689,240,291,342,457
1.885,653,1460,2112,3601,252,314,348,444
1.895,705,1527,2091,3651,204,316,356,476
1.905,728,1457,2127,3700,240,292,364,471
1.915,747,1451,2171,3785,270,278,377,476
1.925,753,1466,2208,3847,253,280,366,479
1.935,799,1457,2227,3870,267,281,354,455
1.945,858,1381,2253,3929,254,305,367,469
1.955,729,1469,2374,4008,180,340,347,479
1.965,769,1484,2414,4045,186,343,356,478
1.975,712,1489,2500,4015,173,359,328,435
1.985,723,1417,2564,3946,190,313,319,430
1.995,784,1418,2555,3971,229,309,331,417
2.005,791,1443,2543,3992,257,304,342,412
2.015,752,1477,2520,3975,202,317,357,425
