sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,659,1483,2480,3606,229,301,382,435
0.015,656,1520,2473,3605,221,295,392,429
0.025,690,1486,2536,3666,215,314,386,454
0.035,695,1519,2433,3685,224,343,366,458
0.045,692,1520,2486,3640,292,304,354,487
0.055,695,1616,2544,3642,283,309,307,473
0.065,740,1623,2538,3631,266,341,319,455
0.075,747,1584,2639,3664,265,302,330,441
0.085,777,1589,2586,3659,254,317,357,432
0.095,810,1582,2562,3694,271,335,337,437
0.105,726,1641,2506,3697,287,345,385,449
0.115,636,1574,2467,3680,284,348,350,462
0.125,460,1436,2406,3716,280,340,325,451
0.135,436,1437,2379,3623,226,336,327,438
0.145,453,1463,2374,3561,226,356,313,418
0.155,509,1466,2354,3488,214,344,327,381
0.165,534,1495,2333,3661,208,313,297,356
0.175,546,1495,2323,3715,215,292,297,397
0.185,545,1507,2338,3738,223,307,278,393
0.195,537,1507,2377,3756,219,299,284,364
0.205,549,1507,2410,3796,214,271,260,352
0.215,550,1495,2409,3833,203,309,309,359
0.225,514,1612,2387,3826,212,304,322,394
0.235,575,1682,2369,3807,284,369,314,427
0.245,545,1837,2367,3840,305,314,315,439
0.255,582,1985,2371,3915,309,338,309,472
0.265,559,1988,2371,3874,304,293,339,446
0.275,533,1893,2361,3867,307,302,334,441
0.285,454,1748,2345,3902,299,279,339,462
0.295,484,1601,2325,3911,232,302,335,466
0.305,472,1499,2305,3940,212,273,311,455
0.315,477,1470,2293,3970,218,297,304,426
0.325,464,1480,2291,4025,199,304,313,438
0.335,474,1502,2293,3939,224,311,312,443
0.345,450,1510,2293,3957,226,311,309,449
0.355,444,1492,2293,3900,238,318,331,439
0.365,450,1447,2298,4082,222,295,348,475
0.375,439,1383,2315,4186,228,300,370,475
0.385,406,1323,2349,4261,241,314,369,494
0.395,435,1288,2400,4164,229,308,376,516
0.405,433,1276,2453,3997,237,331,336,479
0.415,462,1276,2494,3892,227,321,315,440
0.425,501,1274,2516,3973,209,310,316,432
0.435,500,1267,2526,3891,229,321,323,474
0.445,541,1283,2532,3918,228,319,339,451
0.455,594,1333,2535,3993,197,329,311,422
0.465,594,1386,2524,3979,209,345,336,438
0.475,617,1407,2491,3932,184,362,341,465
0.485,617,1400,2428,3902,139,372,321,470
0.495,617,1378,2330,3903,150,351,333,478
0.505,640,1357,2219,3860,154,346,376,501
0.515,640,1354,2124,3927,157,323,411,496
0.525,658,1376,2064,3948,102,313,410,470
0.535,570,1412,2022,3956,182,317,355,474
0.545,570,1449,1986,4051,165,284,312,460
0.555,559,1486,1966,4136,181,291,294,444
0.565,559,1534,1982,4085,235,322,305,453
0.575,559,1593,2048,4001,295,395,301,454
0.585,570,1650,2148,3933,275,375,302,430
0.595,582,1692,2264,3877,261,401,337,420
0.605,582,1705,2376,4000,277,377,375,414
0.615,582,1683,2469,4044,278,360,395,442
0.625,582,1639,2523,4048,304,350,341,437
0.635,582,1592,2525,4086,296,286,384,435
0.645,605,1548,2487,3962,248,293,369,433
0.655,594,1505,2435,3875,283,313,365,454
0.665,570,1466,2387,3759,280,286,378,450
0.675,570,1434,2340,3798,212,324,351,461
0.685,547,1422,2292,3731,201,309,349,440
0.695,547,1466,2253,3686,191,287,374,440
0.705,540,1608,2283,3692,186,282,387,459
0.715,572,1768,2358,3712,200,327,382,468
0.725,590,1858,2400,3847,203,304,357,483
0.735,656,1977,2418,3899,228,357,320,507
0.745,711,2127,2448,3813,246,408,295,505
0.755,750,2220,2488,3651,238,400,315,498
0.765,697,2253,2523,3523,212,386,300,471
0.775,614,2250,2531,3559,239,389,300,457
0.785,550,2229,2506,3619,205,374,312,457
0.795,476,2206,2454,3573,204,352,315,441
0.805,479,2188,2415,3545,208,341,327,392
0.815,457,2173,2450,3485,196,326,391,391
0.825,388,2159,2593,3498,221,323,352,356
0.835,339,2148,2768,3565,255,271,343,379
0.845,330,2139,2877,3575,233,284,347,398
0.855,326,2135,2905,3570,219,294,313,423
0.865,322,2129,2877,3586,213,286,289,457
0.875,337,2109,2815,3629,214,255,312,461
0.885,360,2063,2723,3713,217,248,340,451
0.895,337,1981,2607,3785,230,281,333,451
0.905,337,1855,2503,3783,242,350,315,460
0.915,365,1695,2457,3716,282,395,315,439
0.925,360,1520,2467,3670,219,461,359,460
0.935,365,1320,2507,3718,123,446,327,469
0.945,395,1089,2553,3887,151,479,313,488
0.955,430,930,2578,4056,179,404,296,450
0.965,430,881,2577,4092,205,313,332,427
0.975,442,927,2568,4036,232,294,279,394
0.985,442,1024,2567,4005,233,281,302,413
