sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,586,1537,2462,3750,290,308,296,451
0.015,726,1551,2497,3828,293,333,273,472
0.025,827,1631,2612,3880,262,302,305,458
0.035,917,1711,2634,3871,253,301,330,480
0.045,964,1818,2625,3897,263,301,328,457
0.055,1048,1917,2602,4008,263,307,348,456
0.065,1000,2015,2602,4145,216,330,349,448
0.075,999,2006,2650,4291,226,306,378,448
0.085,1016,2001,2620,4305,254,285,348,425
0.095,1018,1985,2662,4369,260,300,320,424
0.105,1017,1947,2651,4365,271,299,312,452
0.115,1039,1966,2565,4270,218,312,335,441
0.125,988,1909,2550,4181,228,307,341,434
0.135,998,1897,2518,4166,259,302,346,444
0.145,1010,1950,2509,4233,260,305,374,441
0.155,990,1976,2572,4239,216,316,363,416
0.165,1064,1904,2750,4149,222,333,377,396
0.175,965,1724,2879,4077,240,302,364,460
0.185,988,1765,2912,4135,282,259,344,447
0.195,1019,1821,2944,4144,284,262,338,432
0.205,1029,1891,2826,4044,295,269,363,426
0.215,948,1821,2734,3959,280,291,350,416
0.225,820,1839,2695,3858,258,287,358,429
0.235,734,1923,2635,3744,258,299,367,439
0.245,728,1884,2606,3709,257,315,367,398
0.255,804,1884,2623,3760,279,294,354,440
0.265,896,1880,2583,3724,289,273,374,437
0.275,896,1855,2521,3629,287,257,353,412
0.285,778,1903,2399,3557,234,275,353,418
0.295,757,1813,2374,3487,218,282,350,439
0.305,763,1777,2362,3491,238,292,340,425
0.315,708,1614,2394,3495,242,274,362,426
0.325,734,1589,2305,3495,227,308,321,403
0.335,693,1441,2395,3475,280,287,352,410
0.345,565,1456,2525,3607,239,309,352,415
0.355,623,1503,2474,3645,241,304,352,418
0.365,635,1599,2435,3699,239,339,315,450
0.375,635,1656,2431,3728,243,370,318,461
0.385,623,1648,2523,3726,277,308,318,431
0.395,600,1486,2601,3820,314,325,302,444
0.405,600,1476,2558,3833,290,351,323,452
0.415,529,1599,2568,3847,279,338,319,457
0.425,494,1556,2561,3831,315,322,315,450
0.435,459,1695,2520,3818,283,328,311,446
0.445,459,1694,2470,3871,283,295,330,451
0.455,436,1694,2467,3832,292,272,347,471
0.465,424,1706,2455,3754,311,242,358,482
0.475,412,1718,2408,3726,297,254,370,477
0.485,400,1694,2233,3675,325,250,371,460
0.495,400,1671,2186,3690,322,230,359,438
0.505,389,1659,2116,3761,330,237,331,449
0.515,395,1636,2034,3786,333,228,342,416
0.525,365,1577,1963,3791,270,253,367,418
0.535,365,1507,1893,3875,275,278,377,446
0.545,365,1472,1823,3928,285,217,386,443
0.555,365,1378,1695,3870,300,187,389,445
0.565,365,1296,1592,3852,303,163,401,448
0.575,365,1204,1535,3832,304,167,388,445
0.585,365,1134,1513,3794,300,181,363,465
0.595,377,1101,1517,3844,297,189,349,484
0.605,395,1100,1538,3877,287,179,369,463
0.615,400,1124,1567,3824,298,160,358,443
0.625,412,1169,1600,3799,263,156,350,450
0.635,400,1227,1638,3785,248,171,362,439
0.645,389,1293,1683,3816,209,196,346,443
0.655,412,1361,1736,3842,192,225,369,423
0.665,424,1426,1799,3753,180,197,349,407
0.675,424,1486,1874,3747,193,187,347,421
0.685,424,1542,1961,3724,183,211,359,409
0.695,436,1592,2058,3767,194,220,381,424
0.705,424,1636,2157,3829,197,233,406,410
0.715,412,1674,2250,3816,206,264,397,386
0.725,389,1712,2331,3849,200,284,376,370
0.735,377,1754,2392,3852,184,285,321,353
0.745,365,1806,2425,3931,195,293,315,355
0.755,342,1864,2434,3954,214,290,352,361
0.765,330,1845,2426,3937,206,317,338,385
0.775,330,1625,2413,3899,246,336,348,394
0.785,336,1320,2403,3954,272,328,364,398
0.795,319,1209,2396,4051,305,309,356,425
0.805,307,1229,2391,4150,291,334,342,442
0.815,307,1298,2384,4209,293,303,337,414
0.825,319,1339,2373,4293,264,326,341,424
0.835,319,1337,2356,4326,265,321,329,441
0.845,336,1312,2332,4375,298,331,337,442
0.855,307,1282,2303,4395,299,312,361,435
0.865,342,1265,2269,4354,277,357,333,426
0.875,342,1263,2231,4240,250,327,342,421
0.885,354,1268,2189,4068,233,304,348,450
0.895,365,1274,2144,3910,245,338,307,448
0.905,342,1273,2096,3911,262,318,280,469
0.915,319,1262,2047,4031,265,316,237,484
0.925,272,1243,1997,3995,241,329,261,468
0.935,260,1213,1947,3951,220,295,280,477
0.945,237,1176,1898,3936,229,320,301,476
0.955,248,1138,1850,3970,222,278,302,480
0.965,225,1102,1804,3972,205,301,322,492
0.975,237,1073,1761,3923,213,293,344,479
0.985,248,1055,1721,3855,253,292,324,484
0.995,237,1045,1684,3767,287,255,296,487
1.005,237,1041,1652,3702,298,266,315,465
1.015,283,1039,1624,3664,306,322,317,468
1.025,365,1038,1601,3650,307,340,296,445
1.035,354,1035,1582,3675,278,325,312,440
1.045,354,1028,1565,3652,288,302,353,427
1.055,365,1015,1550,3692,251,282,340,412
1.065,354,993,1536,3757,226,302,370,431
