sec,F1,F2,F3,F4,BW1,BW2,BW3,BW4
0.005,453,1417,2408,3597,259,279,331,399
0.015,511,1473,2420,3600,261,316,331,416
0.025,491,1593,2414,3537,254,293,342,428
0.035,550,1526,2467,3526,257,320,349,410
0.045,544,1550,2515,3523,275,308,333,421
0.055,638,1497,2439,3536,296,309,312,447
0.065,674,1505,2400,3460,282,319,327,442
0.075,640,1586,2457,3484,266,299,364,432
0.085,612,1564,2410,3539,278,320,355,398
0.095,639,1524,2409,3618,282,334,316,396
0.105,608,1511,2398,3708,289,302,359,409
0.115,617,1485,2380,3646,321,315,370,439
0.125,686,1479,2359,3623,304,324,344,425
0.135,755,1569,2339,3714,282,314,350,423
0.145,683,1703,2323,3908,266,308,339,447
0.155,647,1731,2316,4067,271,297,343,450
0.165,551,1674,2320,4024,244,302,324,416
0.175,522,1709,2340,4047,200,301,308,388
0.185,541,1732,2373,4090,185,308,309,390
0.195,515,1744,2406,4033,189,295,325,403
0.205,525,1745,2427,4068,190,309,331,408
0.215,536,1739,2439,4085,201,295,326,412
0.225,539,1724,2451,4116,205,305,289,401
0.235,530,1702,2470,4131,216,315,295,373
0.245,512,1675,2488,4104,243,304,360,421
0.255,486,1640,2498,4070,269,343,369,437
0.265,479,1598,2498,4045,289,305,380,454
0.275,476,1560,2493,4023,295,310,390,431
0.285,509,1542,2485,4020,328,345,363,444
0.295,524,1550,2479,4020,351,303,391,456
0.305,568,1579,2479,4069,342,321,366,471
0.315,611,1623,2493,4100,320,345,338,448
0.325,645,1680,2521,4162,325,334,319,435
0.335,625,1743,2559,4171,321,317,296,411
0.345,695,1810,2602,4169,283,321,284,402
0.355,752,1881,2641,4154,265,343,303,426
0.365,777,1959,2672,4218,203,380,263,405
0.375,707,2048,2690,4261,227,378,273,394
0.385,627,2125,2692,4290,208,339,317,406
0.395,614,2123,2675,4194,212,321,318,408
0.405,621,2048,2643,4104,208,295,325,397
0.415,602,1982,2607,4053,192,309,357,398
0.425,584,1949,2577,4124,203,277,371,389
0.435,546,1934,2553,4179,195,301,363,383
0.445,517,1904,2530,4222,234,366,284,379
0.455,460,1830,2506,4200,259,383,268,388
0.465,407,1754,2483,4236,213,349,321,415
0.475,412,1733,2464,4237,187,330,317,404
0.485,397,1744,2452,4292,174,346,335,415
0.495,348,1734,2452,4287,171,368,353,420
0.505,335,1697,2463,4297,192,385,357,428
0.515,384,1660,2486,4254,188,354,356,410
0.525,503,1646,2519,4131,203,308,380,401
0.535,445,1674,2546,3965,203,279,344,418
0.545,437,1759,2552,3861,222,279,349,416
0.555,434,1885,2518,3696,237,283,373,409
0.565,432,1944,2442,3612,223,271,379,376
0.575,419,1881,2353,3637,216,298,356,397
0.585,425,1769,2284,3689,243,339,354,395
0.595,431,1667,2241,3647,259,351,341,397
0.605,439,1564,2215,3612,262,366,302,386
0.615,422,1456,2201,3604,257,359,265,360
0.625,424,1356,2189,3695,250,363,290,372
0.635,422,1269,2171,3728,250,300,307,387
0.645,436,1196,2142,3680,235,289,306,411
0.655,453,1142,2107,3556,232,297,280,417
0.665,454,1116,2072,3507,224,292,296,425
0.675,459,1130,2044,3436,210,318,279,418
0.685,506,1177,2026,3439,217,331,288,382
0.695,585,1240,2017,3468,215,323,299,376
0.705,614,1302,2018,3470,219,309,303,370
